"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.366999984E-3,1.682149803E0,6.212460516E-1,9.544190839E-2
1.738999994E-2,1.372211705E0,6.957221836E-2,4.845894590E-1
2.741200000E-2,6.255339611E-1,-2.350090988E-1,5.991596563E-1
3.743499995E-2,-2.306755811E-1,-4.285259168E-1,5.703444314E-1
4.745800002E-2,-9.488171589E-1,-3.831123470E-1,5.307962036E-1
5.748099997E-2,-1.146642498E0,-1.031931236E-1,2.574353635E-1
6.750399992E-2,-8.620310301E-1,3.015283397E-1,-5.646784794E-1
7.752699999E-2,2.381863296E-2,5.028472437E-1,-8.890806882E-1
8.754899993E-2,1.783500177E-1,1.328829458E-1,-1.588067226E-1
9.757200000E-2,6.519879341E-2,-2.861902159E-1,-1.665155455E-2
1.075946250E-1,-1.286551166E-1,-4.077029586E-1,-3.207767889E-2
1.176176249E-1,-3.850034827E-1,-3.686904819E-1,-9.931276515E-2
1.276406250E-1,-5.643358326E-1,-2.375024977E-1,-1.874595411E-1
1.376636249E-1,-5.396681839E-1,-5.914268598E-2,-6.816786334E-2
1.476856250E-1,-4.674854761E-1,8.923815876E-2,7.465973452E-2
1.577086250E-1,-5.216622680E-1,1.262979577E-1,1.147423978E-1
1.677316249E-1,-5.894367599E-1,8.138754085E-2,1.789610517E-1
1.777546250E-1,-5.721097058E-1,-3.783031583E-2,3.240785654E-1
1.877776249E-1,-5.162927699E-1,-1.584792785E-1,2.834708221E-1
1.978006250E-1,-4.902089256E-1,-2.270989855E-1,3.841049118E-1
2.078226249E-1,-4.442772925E-1,-2.322939442E-1,6.805692704E-1
2.178456250E-1,-3.476491302E-1,-2.333921975E-1,7.313709033E-1
2.278686250E-1,-2.938605934E-1,-1.950505427E-1,5.800426233E-1
2.378916249E-1,-3.876546103E-1,-1.263564299E-1,5.733604252E-1
2.479146250E-1,-5.750344831E-1,-1.115062563E-1,6.812262051E-1
2.579376249E-1,-7.220603818E-1,-1.270317833E-1,9.994483455E-1
2.679596250E-1,-5.803010702E-1,-1.758263594E-1,1.354929529E0
2.779826249E-1,-2.025726932E-1,-3.232340813E-1,9.210841075E-1
2.880056250E-1,1.028700650E-1,-4.556425256E-1,4.383751130E-1
2.980286250E-1,1.610557079E-1,-5.323777293E-1,2.752901289E-1
3.080516249E-1,2.540246826E-1,-6.162263632E-1,2.847456613E-1
3.180746250E-1,4.203785527E-1,-6.983031446E-1,4.738083628E-1
3.280966249E-1,6.275962740E-1,-7.279967675E-1,8.609178664E-1
3.381196250E-1,1.050055851E0,-7.729074767E-1,1.167240777E0
3.481426249E-1,1.638142489E0,-7.930350548E-1,9.148807964E-1
3.581656250E-1,1.966667131E0,-7.673350802E-1,4.455867764E-1
3.681886250E-1,1.840509360E0,-6.641337705E-1,-2.854025960E-2
3.782116249E-1,1.446161442E0,-5.102189746E-1,-1.310960367E-1
3.882346250E-1,1.130259184E0,-5.260713610E-1,3.205253586E-2
3.982566249E-1,1.051895970E0,-6.952637619E-1,1.845509899E-1
4.082796250E-1,9.878414762E-1,-9.357515556E-1,3.461931735E-1
4.183026250E-1,7.337934047E-1,-1.187053044E0,3.185718039E-1
4.283256250E-1,2.891752195E-1,-1.252430177E0,2.405535749E-1
4.383486250E-1,-1.054171121E-1,-1.222761990E0,2.185455322E-1
4.483716249E-1,-3.709906304E-1,-1.186921335E0,9.521576732E-2
4.583936250E-1,-5.820920724E-1,-1.152139319E0,9.016845077E-2
4.684166249E-1,-8.061374956E-1,-1.157470810E0,-1.281037241E-2
4.784396250E-1,-1.013154657E0,-1.151385613E0,-3.057399429E-1
4.884626250E-1,-1.103777729E0,-1.165675185E0,-7.245445713E-1
4.984856250E-1,-1.042974873E0,-1.072593066E0,-1.133603499E0
5.085086250E-1,-8.381550944E-1,-8.635276249E-1,-1.403403970E0
5.185306249E-1,-5.691592008E-1,-5.781931490E-1,-1.574061098E0
5.285536250E-1,-4.508279282E-1,-2.949334113E-1,-1.425983724E0
5.385766249E-1,-5.012110466E-1,-7.157050431E-2,-1.105715789E0
5.485996250E-1,-5.733925849E-1,-1.228646189E-3,-6.257421219E-1
5.586226250E-1,-4.671545237E-1,-1.063424340E-1,-4.409502268E-2
5.686456250E-1,-1.396595764E-1,-4.130524300E-1,4.700477260E-1
5.786676250E-1,1.676677394E-1,-7.250320829E-1,9.159122452E-1
5.886906249E-1,1.924839073E-1,-9.019987956E-1,1.232353616E0
5.987136250E-1,-1.386982942E-1,-7.847518891E-1,1.629267292E0
6.087366249E-1,-3.687786287E-1,-3.932743692E-1,1.752181028E0
6.187596250E-1,-2.812534118E-1,1.817949048E-1,1.431034403E0
6.287826250E-1,-2.946359342E-1,7.427557245E-1,1.081848039E0
6.388046250E-1,-6.149352980E-1,1.129228174E0,6.426288807E-1
6.488276250E-1,-9.168276268E-1,1.395442255E0,4.039288732E-1
6.588506249E-1,-7.480383915E-1,1.655386951E0,4.367010552E-1
6.688736250E-1,1.236908305E-1,1.868184962E0,5.329073408E-1
6.788966249E-1,1.143385014E0,1.891597945E0,5.781528032E-1
6.889196250E-1,1.506585984E0,1.681415100E0,5.011715779E-1
6.989416250E-1,1.069013109E0,1.310324921E0,4.495035338E-1
7.089646250E-1,3.741808712E-1,9.506496763E-1,5.673655674E-1
7.189876250E-1,-1.600382924E-1,6.307508469E-1,8.188993362E-1
7.290106249E-1,-5.599814111E-1,3.752539815E-1,9.409383282E-1
7.390336250E-1,-8.541419667E-1,3.374764368E-1,9.204733658E-1
7.490566249E-1,-1.024222852E0,5.788715722E-1,7.347052780E-1
7.590796250E-1,-9.975373292E-1,9.541442648E-1,4.607725802E-1
7.691016250E-1,-7.354861736E-1,1.258205911E0,3.928709114E-1
7.791246250E-1,-2.444440198E-1,1.380127666E0,3.910068190E-1
7.891476250E-1,2.850763214E-1,1.252746658E0,2.173392516E-1
7.991706249E-1,5.408054674E-1,9.777548830E-1,8.849000752E-2
8.091936250E-1,6.389398724E-1,6.267626072E-1,-9.660068035E-2
8.192166250E-1,7.762465292E-1,2.487766604E-1,-2.772018760E-1
8.292386250E-1,1.014052205E0,-8.539171413E-2,-3.394665366E-1
8.392616250E-1,1.168476586E0,-3.878123389E-1,-3.784680498E-1
8.492846249E-1,1.222189693E0,-5.964275448E-1,-5.487337071E-1
8.593076250E-1,1.296012545E0,-6.047346841E-1,-7.591855234E-1
8.693306249E-1,1.368174203E0,-4.932025538E-1,-8.936656362E-1
8.793536250E-1,1.318606771E0,-3.229499066E-1,-8.323295134E-1
8.893756249E-1,1.048439680E0,-2.028194457E-1,-5.703964716E-1
8.993986250E-1,6.809351599E-1,-2.257971029E-1,-1.979960775E-1
9.094216250E-1,2.988535309E-1,-3.356154142E-1,2.103652775E-1
9.194446249E-1,2.440803230E-2,-4.786777778E-1,6.506132537E-1
9.294676250E-1,-1.614234978E-1,-6.407430075E-1,1.079451558E0
9.394906249E-1,-2.996101606E-1,-7.617834413E-1,1.358886486E0
9.495126250E-1,-3.451950538E-1,-7.448482968E-1,1.414155537E0
9.595356249E-1,-2.903493404E-1,-5.653133409E-1,1.275646693E0
9.695586250E-1,-4.707534850E-2,-2.731966795E-1,1.053979332E0
9.795816250E-1,3.340017289E-1,4.293639690E-2,7.416298431E-1
9.896046249E-1,7.701858902E-1,3.402730139E-1,4.186390060E-1
9.996276250E-1,1.122281828E0,6.006914806E-1,1.499933606E-1
1.009649625E0,1.352368594E0,8.173809604E-1,5.543452799E-2
1.019672625E0,1.375777922E0,8.711330983E-1,8.116198450E-2
1.029695625E0,1.276641304E0,7.445457034E-1,7.717769176E-2
1.039718625E0,1.118934882E0,5.611417910E-1,9.531575471E-2
1.049741625E0,9.770054162E-1,4.269246568E-1,1.706433874E-1
