"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.191458432E-3,7.361541595E0,-1.634900208E0,6.082900543E0
8.831541636E-3,7.080875244E0,-1.933529205E0,5.518125000E0
1.885354158E-2,6.883286133E0,-1.899849243E0,5.487887878E0
2.887554164E-2,6.809639282E0,-1.765129395E0,5.560486908E0
3.889854159E-2,6.826703796E0,-1.825453949E0,5.958209839E0
4.892054165E-2,7.076384583E0,-1.683099976E0,6.548432465E0
5.894354160E-2,7.341183929E0,-1.505419464E0,6.678661652E0
6.896554166E-2,7.533683624E0,-1.496887207E0,6.556815033E0
7.898754161E-2,7.569608917E0,-1.548529816E0,6.172713776E0
8.901054168E-2,7.496560822E0,-1.702409821E0,5.907914429E0
9.903254162E-2,7.365134125E0,-1.828447723E0,5.889802094E0
1.090555416E-1,7.183412018E0,-1.809137878E0,6.054160309E0
1.190775416E-1,7.137008514E0,-1.774559784E0,6.258784790E0
1.290995416E-1,7.251370697E0,-1.733096008E0,6.347550201E0
1.391225416E-1,7.383994904E0,-1.679357758E0,6.307134247E0
1.491445416E-1,7.457192688E0,-1.627715149E0,6.133645020E0
1.591675417E-1,7.542365570E0,-1.720222778E0,5.955216064E0
1.691895416E-1,7.665110321E0,-1.910028076E0,5.762267303E0
1.792115417E-1,7.677235107E0,-1.919907532E0,5.703739014E0
1.892345416E-1,7.619155884E0,-2.022144928E0,5.882916412E0
1.992565417E-1,7.483537903E0,-2.095791779E0,5.893843689E0
2.092795416E-1,7.385791168E0,-2.146985321E0,5.893244934E0
2.193015416E-1,7.414980469E0,-2.142644348E0,5.917494507E0
2.293235416E-1,7.577991486E0,-2.044448547E0,5.860912170E0
2.393465416E-1,7.750432892E0,-2.002535706E0,5.716612244E0
2.493685416E-1,7.911947021E0,-1.873953094E0,5.436544647E0
2.593915416E-1,7.950566711E0,-1.703906708E0,5.139412537E0
2.694135417E-1,7.813601532E0,-1.582060089E0,4.858446808E0
2.794355416E-1,7.627538452E0,-1.530866547E0,4.621040497E0
2.894585417E-1,7.490722961E0,-1.533111877E0,4.483476562E0
2.994805416E-1,7.467371521E0,-1.551373901E0,4.335135040E0
3.095035416E-1,7.557484131E0,-1.625769196E0,4.292174377E0
3.195255416E-1,7.589816895E0,-1.733694763E0,4.114194489E0
3.295475416E-1,7.594307556E0,-1.737137604E0,3.624862061E0
3.395705416E-1,7.478897552E0,-1.764530640E0,3.418441315E0
