"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.008454163E-2,3.418226913E-2,1.069915667E-1,-7.169383019E-2
2.010654157E-2,-2.043056302E-2,9.714745916E-3,-4.465249553E-2
3.012854164E-2,-6.396152824E-2,-1.058845520E-1,-1.577770710E-2
4.015154159E-2,-5.518987775E-2,-1.837763786E-1,9.135944769E-3
5.017354165E-2,-2.970502526E-2,-2.085648179E-1,1.393575966E-2
6.019654160E-2,-5.377726164E-3,-2.021593601E-1,-1.192726428E-3
7.021854166E-2,-1.315282658E-2,-1.786343306E-1,-1.508430764E-2
8.024054160E-2,-3.815148026E-2,-1.720492989E-1,-2.062230930E-2
9.026354167E-2,-6.444966793E-2,-2.018644512E-1,-6.515544374E-3
1.002855416E-1,-8.672792464E-2,-2.403077334E-1,7.640668657E-3
1.103085416E-1,-9.912707657E-2,-2.693564296E-1,2.352482639E-2
1.203305416E-1,-1.082509905E-1,-2.960170805E-1,3.300292790E-2
1.303525416E-1,-1.099389046E-1,-3.379512131E-1,3.135576099E-2
1.403755416E-1,-1.160518229E-1,-3.881428838E-1,2.594865672E-2
1.503975416E-1,-1.180843487E-1,-4.465774298E-1,1.361449249E-2
1.604205417E-1,-1.274508089E-1,-5.097114444E-1,-1.231896877E-2
1.704425416E-1,-1.661654413E-1,-6.061724424E-1,-3.315367550E-2
1.804645417E-1,-1.803496778E-1,-6.435806751E-1,-6.969761848E-2
1.904875416E-1,-1.841721088E-1,-6.465479136E-1,-9.773164988E-2
2.005095417E-1,-1.914011538E-1,-6.561930180E-1,-1.061744913E-1
2.105325416E-1,-1.930712312E-1,-6.704460382E-1,-1.002870426E-1
2.205545416E-1,-1.944966614E-1,-6.892688274E-1,-9.270448983E-2
2.305765416E-1,-1.977361292E-1,-7.215474248E-1,-9.850059450E-2
2.405995416E-1,-1.991752237E-1,-8.061187863E-1,-9.585984796E-2
2.506215416E-1,-2.183505148E-1,-9.394730926E-1,-9.530804306E-2
2.606445416E-1,-2.560571134E-1,-1.137099266E0,-1.052961797E-1
2.706665416E-1,-3.199886978E-1,-1.387445211E0,-1.154564023E-1
2.806885416E-1,-3.863636255E-1,-1.641858578E0,-1.326568276E-1
2.907115417E-1,-4.745302498E-1,-1.846970677E0,-1.459396183E-1
3.007335416E-1,-5.325205326E-1,-2.036359310E0,-1.818526089E-1
3.107565417E-1,-5.688662529E-1,-2.178911924E0,-2.112941146E-1
3.207785416E-1,-5.904864073E-1,-2.374801636E0,-2.067470402E-1
3.308005417E-1,-6.875293255E-1,-2.669382572E0,-2.594507337E-1
3.408235416E-1,-7.197315097E-1,-2.731648445E0,-2.486445457E-1
3.508455416E-1,-7.518782616E-1,-2.847667456E0,-2.392710149E-1
3.608685416E-1,-7.456995249E-1,-2.889031887E0,-2.460168153E-1
3.708905416E-1,-7.332380414E-1,-3.070909500E0,-4.065071642E-1
3.809125416E-1,-7.238774300E-1,-3.321062565E0,-6.365906000E-1
3.909355416E-1,-7.038201094E-1,-3.762146473E0,-8.474439383E-1
4.009575417E-1,-7.297035456E-1,-4.112289906E0,-9.891967177E-1
4.109805416E-1,-7.268531322E-1,-4.344936848E0,-1.085849881E0
4.210025417E-1,-7.188203335E-1,-4.385353565E0,-1.080745459E0
4.310245416E-1,-6.816934943E-1,-4.253652096E0,-8.884372711E-1
4.410475416E-1,-5.654900074E-1,-3.962175608E0,-5.542434454E-1
4.510695416E-1,-4.527469575E-1,-3.494070292E0,-1.955175102E-1
4.610925416E-1,-3.899995685E-1,-2.885103464E0,9.393844754E-2
4.711145416E-1,-3.928065300E-1,-2.240632772E0,2.510971725E-1
4.811375416E-1,-4.408626556E-1,-1.665966749E0,1.953371018E-1
4.911595416E-1,-4.069307745E-1,-1.205558896E0,-7.410661131E-2
5.011815416E-1,-2.607013285E-1,-8.913490176E-1,-3.096592128E-1
5.112045417E-1,-1.586655229E-1,-7.925739884E-1,-4.692326188E-1
5.212265416E-1,-1.491409168E-2,-5.372330546E-1,-4.134539664E-1
5.312495417E-1,1.125408038E-1,-1.969721168E-1,-2.354221791E-1
5.412715416E-1,1.974017173E-1,1.591568142E-1,-2.612395585E-2
5.512935416E-1,1.865783781E-1,3.930792809E-1,1.413893998E-1
5.613165416E-1,1.231421158E-1,4.808114469E-1,1.276987642E-1
5.713385416E-1,9.580929577E-2,5.210627317E-1,1.671579294E-2
5.813615416E-1,7.970784605E-2,5.049835443E-1,-1.007195339E-1
5.913835416E-1,6.910340488E-2,4.219067395E-1,-1.756608933E-1
6.014055416E-1,6.544318795E-2,2.927254736E-1,-1.946532726E-1
6.114285416E-1,5.917543173E-2,1.453509331E-1,-1.670815647E-1
6.214505417E-1,3.787694871E-2,-1.160862204E-2,-1.175977662E-1
6.314735416E-1,-9.327661246E-4,-1.674863696E-1,-6.949255615E-2
6.414955417E-1,-5.585411936E-2,-3.103109896E-1,-4.045766219E-2
6.515175416E-1,-1.074656546E-1,-4.348659515E-1,-2.714558505E-2
6.615405416E-1,-1.385121346E-1,-5.359944701E-1,-1.758342050E-2
6.715625416E-1,-1.443303227E-1,-6.059679389E-1,-1.036012825E-2
6.815855416E-1,-1.377276033E-1,-6.508523822E-1,-1.533753145E-2
6.916075416E-1,-1.356998831E-1,-6.745939255E-1,-4.058589786E-2
7.016295416E-1,-1.340466291E-1,-6.707968116E-1,-7.872121036E-2
7.116525416E-1,-1.323842853E-1,-6.447638869E-1,-1.192659736E-1
7.216745416E-1,-1.338436455E-1,-6.031079888E-1,-1.435162276E-1
7.316975417E-1,-1.292531639E-1,-5.440945029E-1,-1.486601233E-1
7.417195416E-1,-1.142029166E-1,-4.774099588E-1,-1.467550695E-1
7.517415417E-1,-9.848520160E-2,-4.107638299E-1,-1.480775923E-1
7.617645416E-1,-8.851243556E-2,-3.640792668E-1,-1.690522134E-1
7.717865416E-1,-8.594302088E-2,-3.413627744E-1,-2.046576142E-1
7.818095416E-1,-8.790954947E-2,-3.492795527E-1,-2.372058332E-1
7.918315416E-1,-1.013582423E-1,-3.764448762E-1,-2.581934035E-1
8.018535416E-1,-1.293201596E-1,-4.174267650E-1,-2.559635341E-1
8.118765416E-1,-1.677261293E-1,-4.644917250E-1,-2.343466729E-1
8.218985416E-1,-2.038344592E-1,-5.173025727E-1,-2.031950504E-1
8.319215416E-1,-2.304386348E-1,-5.601392388E-1,-1.670389175E-1
8.419435417E-1,-2.437265068E-1,-5.849627852E-1,-1.338926256E-1
8.519655416E-1,-2.542688847E-1,-5.932925940E-1,-1.173536032E-1
8.619885417E-1,-2.696079016E-1,-5.981054306E-1,-1.189701408E-1
8.720105416E-1,-2.838571370E-1,-5.959770679E-1,-1.283340752E-1
8.820335416E-1,-2.928428054E-1,-5.811367631E-1,-1.440174729E-1
8.920555416E-1,-3.012011349E-1,-5.459926128E-1,-1.573165059E-1
9.020785416E-1,-3.129497468E-1,-5.062530637E-1,-1.636774242E-1
9.121005416E-1,-3.247251809E-1,-4.701052010E-1,-1.560171098E-1
9.221225416E-1,-3.372545838E-1,-4.461203516E-1,-1.338798553E-1
9.321455417E-1,-3.445351720E-1,-4.388576448E-1,-9.628826380E-2
9.421675416E-1,-3.345905244E-1,-4.263639748E-1,-5.665012449E-2
9.521905417E-1,-3.118844032E-1,-3.881904781E-1,-3.867325559E-2
9.622091666E-1,-2.855122387E-1,-3.314430118E-1,-5.209895968E-2
9.722311667E-1,-2.611006498E-1,-2.692438364E-1,-9.452551603E-2
9.822541666E-1,-2.400771827E-1,-2.230993211E-1,-1.534109265E-1
9.922761666E-1,-2.244814336E-1,-2.136815935E-1,-2.038394809E-1
1.002299167E0,-2.191100270E-1,-2.484608889E-1,-2.224773914E-1
1.012321167E0,-2.190873921E-1,-3.187174499E-1,-2.001145631E-1
1.022343167E0,-2.199422419E-1,-3.968808353E-1,-1.422878057E-1
1.032366167E0,-2.239111513E-1,-4.584163427E-1,-7.968780398E-2
1.042388167E0,-2.275515050E-1,-4.963926971E-1,-4.342553020E-2
1.052411167E0,-2.288596481E-1,-5.105189085E-1,-5.609178916E-2
1.062433167E0,-2.291720808E-1,-5.252241492E-1,-9.575238824E-2
1.072456167E0,-2.320554852E-1,-5.440084934E-1,-1.364635974E-1
1.082478167E0,-2.385663837E-1,-5.884233713E-1,-1.619870663E-1
1.092500167E0,-2.400998324E-1,-6.553475857E-1,-1.550513953E-1
1.102523167E0,-2.318934500E-1,-7.296283841E-1,-1.251606941E-1
1.112545167E0,-2.460170090E-1,-8.097434640E-1,-8.075328916E-2
1.122568167E0,-2.383456826E-1,-8.986586928E-1,-3.042468987E-2
1.132590167E0,-1.834584773E-1,-9.507152438E-1,4.514656030E-4
1.142612167E0,-1.026620567E-1,-9.134415388E-1,-1.305990480E-2
1.152635167E0,8.393623866E-3,-7.169932127E-1,-8.758234233E-2
1.162657167E0,1.653471589E-1,-3.616561890E-1,-2.182910442E-1
1.172680167E0,3.111142218E-1,8.684275299E-2,-3.693508506E-1
1.182702167E0,4.018952250E-1,4.729018807E-1,-4.892415404E-1
1.192724167E0,4.382202029E-1,7.139182687E-1,-5.559670329E-1
1.202747167E0,4.565285146E-1,8.195372820E-1,-5.732654929E-1
1.212769167E0,4.455533624E-1,8.113397956E-1,-5.527141094E-1
1.222792167E0,3.771737814E-1,6.851592660E-1,-4.871065915E-1
1.232814167E0,2.548763752E-1,4.244954586E-1,-3.735376596E-1
1.242836167E0,1.292779446E-1,5.300001428E-2,-2.221092582E-1
1.252859167E0,4.810426384E-2,-3.444392085E-1,-7.553900033E-2
1.262881167E0,-1.453193091E-2,-6.791685820E-1,3.202474862E-2
1.272904167E0,-9.453888237E-2,-9.071743488E-1,9.193575382E-2
1.282926167E0,-1.878129840E-1,-1.046902895E0,1.049773023E-1
1.292948167E0,-2.258703560E-1,-1.120955825E0,7.416159660E-2
1.302971167E0,-1.937844604E-1,-1.120853543E0,6.341931876E-3
1.312993167E0,-1.662327200E-1,-1.044531584E0,-6.911953539E-2
1.323016167E0,-1.575122029E-1,-9.279250503E-1,-1.172625646E-1
1.333038167E0,-1.330183148E-1,-7.893123031E-1,-1.290963143E-1
1.343061167E0,-7.893152535E-2,-6.221080422E-1,-1.244046688E-1
1.353083167E0,-6.533497479E-3,-4.031443000E-1,-1.301531047E-1
1.363105167E0,6.291550398E-2,-1.411689669E-1,-1.631738544E-1
1.373128167E0,1.517372578E-1,1.280638427E-1,-2.141611427E-1
1.383150167E0,2.821718454E-1,3.709075451E-1,-2.455692142E-1
1.393173167E0,4.148609340E-1,5.477185249E-1,-2.152073234E-1
