"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.008454163E-2,-8.649259865E-2,-9.035658494E-2,-7.863604581E-1
2.010654157E-2,-2.960825354E-1,-1.329794249E-1,-9.225660843E-1
3.012854164E-2,-3.961511993E-1,1.288755566E-2,-8.578029084E-1
4.015154159E-2,-4.295727146E-1,-2.868351638E-3,-5.627874899E-1
5.017354165E-2,-2.399457568E-1,5.876480967E-2,7.356966734E-2
6.019654160E-2,2.149202585E-2,2.879582678E-1,3.297782850E-1
7.021854166E-2,2.243295979E-1,3.106173979E-1,2.833198178E-1
8.024054160E-2,2.963649559E-1,2.906259137E-1,-5.355640233E-2
9.026354167E-2,2.285512877E-1,1.531508571E-1,-3.573467374E-1
1.002855416E-1,9.371624887E-2,6.259882897E-3,-4.206568801E-1
1.103085416E-1,-1.003925997E-1,2.127801776E-3,-2.642497087E-1
1.203305416E-1,-2.106827813E-1,4.877805769E-2,-3.158958256E-2
1.303525416E-1,-1.375113094E-1,9.822269797E-2,1.196153212E-1
1.403755416E-1,-2.099501252E-2,1.615625153E-1,1.267886853E-1
1.503975416E-1,4.286944628E-2,2.108700384E-1,2.630603850E-2
1.604205417E-1,7.688036084E-2,1.960359447E-1,-1.353571951E-1
1.704425416E-1,1.720496428E-1,-1.655098245E-2,-2.577856117E-1
1.804645417E-1,1.699972701E-1,-3.450441957E-2,-3.535711902E-1
1.904875416E-1,1.011872363E-1,-9.775623634E-2,-1.266600466E-1
2.005095417E-1,-6.629748523E-2,-1.935526322E-1,-1.001511097E-2
2.105325416E-1,-2.284396058E-1,-2.408105600E-1,1.973084450E-2
2.205545416E-1,-2.837285382E-1,-2.593934499E-1,1.070595950E-1
2.305765416E-1,-1.830546874E-1,-1.656792475E-1,1.266641396E-1
2.405995416E-1,-5.150344491E-2,-1.092879689E-1,8.008346558E-2
2.506215416E-1,7.208272040E-2,-2.986465394E-3,-1.052592373E-1
2.606445416E-1,8.790119290E-2,1.722798769E-1,-3.206917119E-1
2.706665416E-1,-8.411453605E-2,3.220109899E-1,-4.983049804E-1
2.806885416E-1,-3.620473140E-1,3.981426148E-1,-6.233517802E-1
2.907115417E-1,-5.967048490E-1,4.051722836E-1,-6.247954577E-1
3.007335416E-1,-7.568144774E-1,4.149937056E-1,-6.137757951E-1
3.107565417E-1,-8.055206144E-1,3.635253440E-1,-4.727257508E-1
3.207785416E-1,-8.468002027E-1,2.628801446E-1,-4.191991693E-1
3.308005417E-1,-9.675773656E-1,2.359433377E-1,-5.748684222E-1
