"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.984995842E-3,5.238109928E1,4.860581495E0,-1.036109924E-1,2.160000086E0,2.271093750E2,2.644916025E1,4.000000000E0
4.988002777E-2,5.238108597E1,4.860528992E0,4.136726379E0,1.340000033E0,NaN,5.182016796E1,4.009611169E0
4.983200669E0,5.238120548E1,4.860736141E0,2.372093201E-1,1.529999971E0,5.273437500E1,2.556173703E1,4.000000000E0
5.983190536E0,5.238120527E1,4.860722730E0,9.715232849E-1,4.300000072E-1,NaN,1.400000000E1,4.000000000E0
6.983180404E0,5.238120988E1,4.860709822E0,1.464870453E0,1.700000018E-1,NaN,5.493776778E0,4.000000000E0
7.983289838E0,5.238121038E1,4.860693561E0,9.967918396E-1,0.000000000E0,NaN,1.400000000E1,4.000000000E0
8.983294249E0,5.238121277E1,4.860682916E0,1.448024750E0,1.500000060E-1,NaN,1.400000000E1,4.000000000E0
9.983283162E0,5.238121579E1,4.860674618E0,1.902187347E0,0.000000000E0,NaN,1.400000000E1,4.000000000E0
1.098328578E1,5.238121793E1,4.860668750E0,2.472438812E0,0.000000000E0,NaN,1.400000000E1,4.000000000E0
1.198329592E1,5.238121918E1,4.860666404E0,3.268459320E0,2.099999934E-1,1.863281250E2,1.400000000E1,4.000000000E0
1.298328733E1,5.238121290E1,4.860664476E0,4.066127777E0,2.099999934E-1,1.778906250E2,1.400000000E1,3.000000000E0
1.398329294E1,5.238121290E1,4.860664476E0,4.066127846E0,2.099999934E-1,NaN,4.911157316E0,3.000000000E0
1.498329353E1,5.238119962E1,4.860661258E0,5.129116154E0,5.899999738E-1,1.863281242E2,4.748651530E0,3.061120499E0
1.598328233E1,5.238120280E1,4.860661374E0,6.080898353E0,0.000000000E0,NaN,4.748651530E0,3.449383893E0
1.698328793E1,5.238120372E1,4.860660871E0,6.163356849E0,1.599999964E-1,NaN,4.748651530E0,3.465253513E0
1.798329866E1,5.238120313E1,4.860660033E0,6.402553626E0,2.000000030E-1,NaN,4.748651530E0,3.483352222E0
1.898328614E1,5.238120313E1,4.860658692E0,7.436367102E0,2.000000030E-1,NaN,4.748651530E0,3.811113572E0
1.998328841E1,5.238120456E1,4.860658441E0,7.667995522E0,0.000000000E0,NaN,4.748651530E0,3.982235278E0
2.098329365E1,5.238120904E1,4.860658692E0,8.632167884E0,2.500000000E-1,NaN,4.748651530E0,4.029364438E0
2.198328316E1,5.238121143E1,4.860657854E0,7.973537513E0,2.399999946E-1,NaN,4.748651530E0,4.029364438E0
2.298327315E1,5.238121030E1,4.860656010E0,7.894130774E0,2.199999988E-1,NaN,4.748651530E0,4.029364438E0
2.398326242E1,5.238120774E1,4.860656764E0,7.401821204E0,0.000000000E0,NaN,4.748651530E0,4.029364438E0
2.498325217E1,5.238120628E1,4.860658189E0,7.837795326E0,0.000000000E0,NaN,4.748651530E0,4.029364438E0
2.598324168E1,5.238120180E1,4.860654027E0,7.665859299E0,3.199999928E-1,2.235937474E2,4.748651530E0,4.029364438E0
2.698323202E1,5.238120020E1,4.860655004E0,7.351100991E0,2.099999934E-1,NaN,4.748651530E0,4.029364438E0
2.798322165E1,5.238119701E1,4.860651484E0,7.557033606E0,2.800000012E-1,NaN,4.748651530E0,4.029364438E0
2.898321199E1,5.238119395E1,4.860649053E0,6.981227943E0,0.000000000E0,NaN,4.748651530E0,4.029364438E0
2.998320186E1,5.238119085E1,4.860647041E0,6.428859779E0,0.000000000E0,NaN,4.748651530E0,4.029364438E0
3.098319209E1,5.238118926E1,4.860648634E0,6.773342200E0,2.500000000E-1,NaN,4.748651530E0,4.029364438E0
3.198318231E1,5.238118721E1,4.860649304E0,6.983242101E0,1.899999976E-1,NaN,4.748651530E0,4.029364438E0
3.298317230E1,5.238118662E1,4.860648466E0,7.261440346E0,2.300000042E-1,NaN,4.748651530E0,4.029364438E0
3.398316205E1,5.238110820E1,4.860686560E0,5.793660544E-1,2.036726509E-1,NaN,2.344951257E1,7.614844996E0
3.498315263E1,5.238110398E1,4.860679621E0,5.720165288E-1,1.924274397E-1,NaN,1.952204900E1,5.689409481E0
3.598314297E1,5.238110559E1,4.860662309E0,5.820964472E-1,1.901392102E-1,NaN,1.636939482E1,4.654629397E0
3.698313332E1,5.238113535E1,4.860669644E0,8.257023571E-1,5.727844871E-1,NaN,1.898972930E1,6.046562118E0
3.798312294E1,5.238115766E1,4.860657329E0,8.614325747E-1,6.047621462E-1,NaN,2.158476864E1,7.326365250E0
3.898311377E1,5.238116562E1,4.860653922E0,8.648439348E-1,3.511488448E-1,NaN,2.158476864E1,7.596595136E0
3.998310387E1,5.238117829E1,4.860645967E0,9.052238530E-1,4.834091085E-1,NaN,2.136425312E1,7.245143890E0
4.098309445E1,5.238117796E1,4.860638153E0,9.397960091E-1,1.814447398E-1,NaN,2.052641667E1,7.085167205E0
4.198308539E1,5.238117304E1,4.860640955E0,9.243712919E-1,8.432399422E-2,NaN,2.052641667E1,7.207329807E0
4.298307562E1,5.238117607E1,4.860654302E0,9.094905639E-1,6.080194448E-1,NaN,2.183833497E1,6.066670851E0
4.398306572E1,5.238117555E1,4.860652485E0,7.886468554E-1,8.945257366E-2,NaN,2.145979931E1,4.340512405E0
4.498305726E1,5.238116851E1,4.860672972E0,6.357139004E-1,5.619634643E-1,NaN,2.286391120E1,4.124131562E0
4.598304772E1,5.238114398E1,4.860663897E0,5.330464067E-1,9.080790627E-1,NaN,2.302378651E1,3.583453555E0
4.698303831E1,5.238113674E1,4.860650517E0,4.536761167E-1,9.107182368E-1,NaN,2.302378651E1,3.000000000E0
4.798302913E1,5.238112766E1,4.860688337E0,3.248256417E-1,8.359288820E-1,1.212174802E2,2.302378652E1,3.435179146E0
4.898301852E1,5.238111336E1,4.860723170E0,3.215282299E-1,5.442454464E-1,NaN,2.404118374E1,4.458622408E0
4.998301005E1,5.238110253E1,4.860770828E0,4.304815158E-1,1.187870585E0,4.170772245E1,2.532627712E1,5.368831880E0
5.098300016E1,5.238108335E1,4.860818135E0,3.165072734E-1,1.006218019E0,9.479663149E1,2.436834966E1,5.513122663E0
