"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
9.161624941E-3,8.548817564E0,2.514476685E0,-4.102587181E0
1.918462489E-2,8.558315781E0,2.530189615E0,-4.073016642E0
2.920762496E-2,8.567012930E0,2.545942599E0,-4.044821660E0
3.923062491E-2,8.572720397E0,2.558525807E0,-4.024737936E0
4.925362498E-2,8.575099044E0,2.565485163E0,-4.015226271E0
5.927662493E-2,8.575528815E0,2.566316345E0,-4.013774992E0
6.929862499E-2,8.574220793E0,2.563287195E0,-4.018508020E0
7.932162494E-2,8.571366767E0,2.560709450E0,-4.026229853E0
8.934462490E-2,8.566951534E0,2.561544432E0,-4.035088093E0
9.936762496E-2,8.561423576E0,2.565703849E0,-4.044164433E0
1.093906249E-1,8.555962277E0,2.570327827E0,-4.052775920E0
1.194119999E-1,8.551362273E0,2.572818741E0,-4.060903257E0
1.294349999E-1,8.548269680E0,2.572938901E0,-4.067334025E0
1.394580000E-1,8.545777012E0,2.570613464E0,-4.074030257E0
1.494809999E-1,8.542480937E0,2.566501409E0,-4.083531397E0
1.595040000E-1,8.538987225E0,2.561854919E0,-4.093740928E0
1.695259999E-1,8.536509760E0,2.558127027E0,-4.101228873E0
1.795490000E-1,8.534827516E0,2.556110615E0,-4.105984413E0
1.895719999E-1,8.532898520E0,2.555935783E0,-4.110099976E0
1.995949999E-1,8.530483620E0,2.556829822E0,-4.114556139E0
2.096180000E-1,8.528442941E0,2.557146157E0,-4.118590133E0
2.196399999E-1,8.528119006E0,2.556583947E0,-4.119607256E0
2.296630000E-1,8.529324701E0,2.555751011E0,-4.117626512E0
2.396859999E-1,8.530581268E0,2.555296975E0,-4.115300782E0
2.497090000E-1,8.530614597E0,2.555495488E0,-4.115112794E0
2.597319999E-1,8.530534490E0,2.556885663E0,-4.114418145E0
2.697539999E-1,8.531632013E0,2.560314763E0,-4.110005836E0
2.797770000E-1,8.533863895E0,2.567073852E0,-4.101149935E0
2.897999999E-1,8.538889577E0,2.577530428E0,-4.084089806E0
2.998230000E-1,8.547796640E0,2.588630489E0,-4.058361473E0
3.098459999E-1,8.556906018E0,2.596216667E0,-4.034242585E0
3.198680000E-1,8.565095043E0,2.596842027E0,-4.016427873E0
3.298909999E-1,8.574337152E0,2.592302541E0,-3.999606896E0
3.399139999E-1,8.585927503E0,2.586734530E0,-3.978285024E0
3.499370000E-1,8.598831723E0,2.584071708E0,-3.952057923E0
3.599599999E-1,8.610620295E0,2.585212207E0,-3.925556295E0
3.699820000E-1,8.619722071E0,2.588789826E0,-3.903160874E0
3.800049999E-1,8.625851122E0,2.592642264E0,-3.887031622E0
3.900280000E-1,8.629229643E0,2.595331106E0,-3.877727240E0
4.000509999E-1,8.630322488E0,2.596490317E0,-3.874514780E0
4.100739999E-1,8.629731919E0,2.596313731E0,-3.875952610E0
4.200970000E-1,8.628121596E0,2.595045177E0,-3.880383923E0
4.301189999E-1,8.626280308E0,2.593006546E0,-3.885831774E0
4.401420000E-1,8.624750676E0,2.591100061E0,-3.890496098E0
4.501649999E-1,8.623515744E0,2.590164506E0,-3.893858247E0
4.601880000E-1,8.621918285E0,2.590488442E0,-3.897180634E0
4.702109999E-1,8.619031515E0,2.591635958E0,-3.902795716E0
4.802329999E-1,8.614167216E0,2.593470815E0,-3.912300657E0
4.902560000E-1,8.606552387E0,2.596244734E0,-3.927200240E0
5.002789999E-1,8.595600552E0,2.599112501E0,-3.949223777E0
5.103020000E-1,8.580989529E0,2.600482211E0,-3.979981593E0
5.203249999E-1,8.562270838E0,2.599416848E0,-4.020780541E0
5.303470000E-1,8.539422258E0,2.597179996E0,-4.070504678E0
5.403699999E-1,8.513450680E0,2.595826658E0,-4.125404478E0
5.503929999E-1,8.486126642E0,2.596362555E0,-4.180992495E0
5.604160000E-1,8.460206519E0,2.598181624E0,-4.232072894E0
5.704389999E-1,8.437581303E0,2.600831874E0,-4.275391699E0
5.804610000E-1,8.417892559E0,2.604360377E0,-4.311902591E0
5.904839999E-1,8.398689133E0,2.608650479E0,-4.346614879E0
6.005070000E-1,8.377761948E0,2.612924209E0,-4.384276210E0
6.105299999E-1,8.355677015E0,2.615508678E0,-4.424693042E0
6.205529999E-1,8.335324026E0,2.614368763E0,-4.463584335E0
6.305750000E-1,8.321132249E0,2.609158894E0,-4.493007232E0
6.405979999E-1,8.317562524E0,2.601975590E0,-4.503776926E0
6.506210000E-1,8.325921704E0,2.596495579E0,-4.491470583E0
6.606439999E-1,8.342873951E0,2.595688079E0,-4.460374213E0
6.706670000E-1,8.362333485E0,2.599693129E0,-4.421431172E0
6.806900000E-1,8.378771762E0,2.604749216E0,-4.387201280E0
6.907119999E-1,8.387895758E0,2.607476358E0,-4.368111290E0
7.007350000E-1,8.388219109E0,2.607152422E0,-4.367678888E0
7.107579999E-1,8.381141639E0,2.604921125E0,-4.382572624E0
7.207810000E-1,8.369883994E0,2.601941091E0,-4.405795718E0
7.308039999E-1,8.357884338E0,2.599378841E0,-4.430027749E0
7.408260000E-1,8.348233509E0,2.597926100E0,-4.449032954E0
7.508489999E-1,8.342702628E0,2.598266701E0,-4.459192784E0
7.608719999E-1,8.341023307E0,2.599239677E0,-4.461765558E0
7.708950000E-1,8.341720296E0,2.598157943E0,-4.461101022E0
7.809179999E-1,8.344352712E0,2.592510702E0,-4.459456493E0
7.909400000E-1,8.351115017E0,2.580358433E0,-4.453847259E0
8.009629999E-1,8.364864160E0,2.561982974E0,-4.438629296E0
8.109860000E-1,8.386733331E0,2.539262448E0,-4.410325556E0
8.210089999E-1,8.415295225E0,2.515341488E0,-4.369438900E0
8.310319999E-1,8.448278784E0,2.494867170E0,-4.317212447E0
8.410540000E-1,8.483602983E0,2.480159377E0,-4.255985083E0
8.510769999E-1,8.518862863E0,2.469470374E0,-4.191279794E0
8.611000000E-1,8.552039380E0,2.457629762E0,-4.130231939E0
8.711229999E-1,8.583060029E0,2.438199172E0,-4.077049466E0
8.811460000E-1,8.612317742E0,2.407279096E0,-4.033493557E0
8.911690000E-1,8.639348835E0,2.364828456E0,-4.000666996E0
9.011909999E-1,8.662483928E0,2.314761088E0,-3.979867865E0
9.112140000E-1,8.678914604E0,2.264231789E0,-3.973132165E0
9.212369999E-1,8.685758185E0,2.218737381E0,-3.983832277E0
9.312600000E-1,8.681962173E0,2.177255187E0,-4.014875145E0
9.412829999E-1,8.668257469E0,2.134734089E0,-4.066977930E0
9.513050000E-1,8.644876792E0,2.086941141E0,-4.140880596E0
9.613279999E-1,8.612314818E0,2.032390419E0,-4.234795358E0
9.713509999E-1,8.575565652E0,1.973065446E0,-4.336218237E0
9.813740000E-1,8.543990103E0,1.911378929E0,-4.425266946E0
9.913969999E-1,8.525843269E0,1.851134482E0,-4.485467539E0
1.001419000E0,8.525021735E0,1.796929184E0,-4.509009599E0
1.011442000E0,8.541887444E0,1.754094529E0,-4.493933138E0
1.021465000E0,8.572702271E0,1.724547671E0,-4.446440883E0
1.031488000E0,8.610641930E0,1.706513104E0,-4.379584112E0
1.041511000E0,8.647318590E0,1.695891052E0,-4.310910611E0
1.051533000E0,8.674871255E0,1.687830081E0,-4.258401445E0
1.061556000E0,8.689219737E0,1.678598935E0,-4.232711995E0
1.071579000E0,8.689843050E0,1.666153137E0,-4.236350133E0
1.081602000E0,8.678688317E0,1.649084091E0,-4.265797003E0
1.091625000E0,8.659487815E0,1.626917443E0,-4.313063263E0
1.101648000E0,8.637117537E0,1.600632600E0,-4.367414887E0
1.111670000E0,8.616309051E0,1.571433213E0,-4.418815713E0
1.121693750E0,8.600279494E0,1.540653616E0,-4.460682069E0
1.131716750E0,8.590375480E0,1.509038452E0,-4.490476264E0
1.141739750E0,8.586674777E0,1.477431766E0,-4.508029313E0
1.151762750E0,8.587432576E0,1.448744449E0,-4.515886217E0
1.161784750E0,8.588272237E0,1.425117605E0,-4.521801553E0
1.171807750E0,8.584827057E0,1.406093835E0,-4.534289451E0
1.181830750E0,8.575253996E0,1.390336905E0,-4.557202643E0
1.191853750E0,8.559357170E0,1.375276085E0,-4.591525799E0
1.201876750E0,8.537431281E0,1.357581241E0,-4.637383757E0
1.211898750E0,8.510400188E0,1.336952995E0,-4.692731161E0
1.221921750E0,8.478991869E0,1.315090548E0,-4.755350456E0
1.231944750E0,8.442912210E0,1.295019834E0,-4.824550499E0
1.241967750E0,8.402116771E0,1.278981214E0,-4.899464149E0
1.251990750E0,8.357649865E0,1.265566678E0,-4.978363261E0
1.262012750E0,8.312353824E0,1.252142640E0,-5.056976736E0
1.272035750E0,8.271527980E0,1.237673705E0,-5.126993635E0
1.282058750E0,8.240468740E0,1.220847100E0,-5.180760537E0
1.292081750E0,8.223097247E0,1.200351878E0,-5.213052371E0
1.302104750E0,8.221043120E0,1.176497723E0,-5.221725546E0
1.312126750E0,8.231956363E0,1.151615847E0,-5.210069121E0
1.322149750E0,8.251274394E0,1.128234805E0,-5.184557719E0
1.332172750E0,8.275004150E0,1.108192158E0,-5.150952601E0
1.342195750E0,8.301071622E0,1.091513048E0,-5.112426467E0
1.352218750E0,8.329413661E0,1.076783912E0,-5.069269338E0
1.362240750E0,8.360018572E0,1.062496387E0,-5.021679434E0
1.372263750E0,8.391045653E0,1.046686027E0,-4.973019490E0
1.382286750E0,8.418945057E0,1.025750656E0,-4.930041286E0
1.392309750E0,8.439994449E0,9.960328406E-1,-4.900051794E0
1.402332750E0,8.451724548E0,9.571497336E-1,-4.887571789E0
1.412355750E0,8.455213582E0,9.122258681E-1,-4.890127315E0
1.422377750E0,8.455874317E0,8.648450026E-1,-4.897589531E0
1.432400750E0,8.459758623E0,8.180466659E-1,-4.898916849E0
1.442423750E0,8.471568829E0,7.741345880E-1,-4.885628467E0
1.452446750E0,8.493576579E0,7.338708803E-1,-4.853523452E0
1.462469750E0,8.525193059E0,6.942850111E-1,-4.803664244E0
1.472491750E0,8.564309177E0,6.506042636E-1,-4.739771134E0
1.482514750E0,8.609182464E0,5.993450496E-1,-4.664635875E0
1.492537750E0,8.658041214E0,5.405234123E-1,-4.580637698E0
1.502560750E0,8.709179792E0,4.777713863E-1,-4.489771090E0
1.512583750E0,8.761040502E0,4.174812939E-1,-4.393862135E0
1.522605750E0,8.809909192E0,3.656550827E-1,-4.299762017E0
1.532628750E0,8.848863927E0,3.248810592E-1,-4.222342543E0
1.542651750E0,8.870488100E0,2.933117226E-1,-4.179057067E0
