"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.161624941E-3,-1.910329424E-2,3.245098293E-1,-1.644709259E-1
1.918462489E-2,-1.932966337E-2,3.462332189E-1,-1.800450981E-1
2.920762496E-2,-8.466961794E-3,2.925658226E-1,-1.679601520E-1
3.923062491E-2,2.753202105E-3,1.692790687E-1,-1.183244288E-1
4.925362498E-2,-2.103923820E-3,5.764597282E-2,-4.184740409E-2
5.927662493E-2,-6.249933038E-3,-2.553467080E-2,2.565467358E-2
6.929862499E-2,-1.132176444E-2,-8.402672410E-2,4.626336694E-2
7.932162494E-2,-1.489146426E-2,-1.036382392E-1,2.148238569E-2
8.934462490E-2,-2.175070159E-2,-1.121257320E-1,-2.206482552E-2
9.936762496E-2,-2.273314260E-2,-1.106815040E-1,-4.723595455E-2
1.093906249E-1,-9.852286428E-3,-1.010261551E-1,-3.887789696E-2
1.194119999E-1,-1.336029265E-3,-8.933913708E-2,-1.492249966E-2
1.294349999E-1,-1.541956794E-3,-6.687857956E-2,1.260300726E-2
1.394580000E-1,1.240501739E-2,-9.169524163E-2,3.367873281E-2
1.494809999E-1,2.868566662E-2,-1.151198149E-1,4.063277692E-2
1.595040000E-1,3.837823868E-2,-9.744495153E-2,3.441988677E-2
1.695259999E-1,3.019133769E-2,-5.880688503E-2,2.036780491E-2
1.795490000E-1,1.807901636E-2,-4.224389046E-2,4.451422952E-3
1.895719999E-1,2.647340996E-3,-4.987547174E-2,-1.040373743E-2
1.995949999E-1,-7.362150121E-3,-5.825324357E-2,-4.215882160E-3
2.096180000E-1,-1.269575581E-2,-3.860348836E-2,8.083797991E-3
2.196399999E-1,-8.943627588E-3,7.081707008E-3,1.468843594E-2
2.296630000E-1,-1.038766466E-3,3.059972450E-2,9.461676702E-3
2.396859999E-1,9.253552184E-3,1.865651272E-2,-3.449328709E-3
2.497090000E-1,8.073039353E-3,-3.626513528E-3,-1.119597256E-2
2.597319999E-1,-7.652394008E-3,2.297553606E-2,-2.164222300E-2
2.697539999E-1,-1.799054816E-2,7.021947950E-2,-4.840043560E-2
2.797770000E-1,-1.877857745E-2,1.332791299E-1,-9.327656776E-2
2.897999999E-1,-9.276003577E-3,2.574641407E-1,-1.304343641E-1
2.998230000E-1,-6.918040104E-3,3.162049651E-1,-1.160061434E-1
3.098459999E-1,1.935920864E-2,2.420718670E-1,-5.848035216E-2
3.198680000E-1,4.249462485E-2,1.986612827E-1,1.090750843E-2
3.298909999E-1,4.254927114E-2,2.256782800E-1,4.990967363E-2
3.399139999E-1,2.372871153E-2,2.892937660E-1,4.230448604E-2
3.499370000E-1,2.918970771E-3,3.187513351E-1,6.385676563E-3
3.599599999E-1,3.577304306E-3,2.893542945E-1,-3.225785494E-2
3.699820000E-1,1.762111112E-2,2.306241393E-1,-5.518944934E-2
3.800049999E-1,2.783513069E-2,1.542595923E-1,-5.107220262E-2
3.900280000E-1,2.068174817E-2,7.575582713E-2,-3.163094446E-2
4.000509999E-1,1.142060664E-2,1.024179440E-2,-8.363705128E-3
4.100739999E-1,3.759384388E-3,-3.779069334E-2,6.253673229E-3
4.200970000E-1,1.143754460E-2,-5.904617906E-2,1.489909366E-2
4.301189999E-1,2.230549045E-2,-5.414717644E-2,1.451236755E-2
4.401420000E-1,2.153264172E-2,-3.995812684E-2,8.155668154E-3
4.501649999E-1,1.704308577E-2,-3.033292666E-2,-3.042391501E-3
4.601880000E-1,1.690167189E-2,-4.113230854E-2,-1.810549758E-2
4.702109999E-1,2.293301187E-2,-7.910928130E-2,-2.703846060E-2
4.802329999E-1,1.408306137E-2,-1.327629089E-1,-3.201697394E-2
4.902560000E-1,-1.629106328E-2,-2.170386463E-1,-2.801760100E-2
5.002789999E-1,-4.876911268E-2,-3.178488910E-1,-5.656636320E-3
5.103020000E-1,-6.846620888E-2,-4.353598058E-1,3.094349243E-2
5.203249999E-1,-8.436394483E-2,-5.587803125E-1,6.358478963E-2
5.303470000E-1,-9.870577604E-2,-6.515703201E-1,7.286763191E-2
5.403699999E-1,-1.132892445E-1,-6.916136146E-1,5.915634334E-2
5.503929999E-1,-1.094670445E-1,-6.721500754E-1,3.827659041E-2
5.604160000E-1,-9.646841884E-2,-5.907311440E-1,2.170639858E-2
5.704389999E-1,-8.391164988E-2,-4.913532138E-1,5.922421813E-3
5.804610000E-1,-7.268243283E-2,-4.311135709E-1,-1.051993482E-2
5.904839999E-1,-5.343269184E-2,-4.397868812E-1,-2.652087063E-2
6.005070000E-1,-3.396338597E-2,-4.817029238E-1,-2.771849371E-2
6.105299999E-1,-1.597527787E-2,-4.924170375E-1,-3.248664318E-3
6.205529999E-1,4.495642148E-3,-4.304184020E-1,3.776241839E-2
6.305750000E-1,2.233943343E-2,-2.521640658E-1,6.910160929E-2
6.405979999E-1,3.679773584E-2,1.974493638E-2,6.619317085E-2
6.506210000E-1,4.611644149E-2,2.927829325E-1,1.748817042E-2
6.606439999E-1,3.863162547E-2,4.593772590E-1,-4.412885383E-2
6.706670000E-1,2.232381515E-2,4.696159661E-1,-7.693313807E-2
6.806900000E-1,7.914515212E-3,3.391493261E-1,-5.497856438E-2
6.907119999E-1,-9.134523571E-4,1.132476181E-1,-1.213039830E-2
