"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.161624941E-3,1.064192079E0,-1.446048591E-1,1.728097808E-1
1.918462489E-2,8.765636998E-1,-4.905311072E-1,2.085026470E-1
2.920762496E-2,5.969317210E-1,-6.089702609E-1,1.512680537E-1
3.923062491E-2,1.726934212E-1,-4.905761307E-1,4.047325730E-2
4.925362498E-2,-2.248646182E-1,-2.626741764E-1,-1.221483350E-3
5.927662493E-2,-3.954910487E-1,5.877416521E-2,-6.045143902E-2
6.929862499E-2,-3.425386637E-1,2.769065917E-1,3.154923677E-2
7.932162494E-2,-1.356594962E-1,3.240912831E-1,8.223202497E-2
8.934462490E-2,4.658652127E-2,2.710152295E-1,1.121952045E-1
9.936762496E-2,1.371365029E-1,1.590796414E-1,1.200754970E-1
1.093906249E-1,1.430474532E-1,2.871743023E-2,1.274918130E-1
1.194119999E-1,9.750349045E-2,-8.499191076E-2,9.968976438E-2
1.294349999E-1,5.239631474E-2,-1.137026167E-1,3.352150261E-2
1.394580000E-1,3.827119589E-2,-5.479571968E-2,-1.112432778E-2
1.494809999E-1,-1.154532731E-1,-2.912732005E-2,2.921181232E-2
1.595040000E-1,-1.980311608E-1,-3.855186224E-2,4.121760786E-2
1.695259999E-1,-1.790896904E-1,1.771618634E-2,-1.910256118E-2
1.795490000E-1,-8.355261862E-2,1.126890019E-1,-6.868344158E-2
1.895719999E-1,5.309622645E-2,1.216957605E-1,-9.031463116E-2
1.995949999E-1,1.770589525E-1,1.240951654E-1,-6.250790477E-2
2.096180000E-1,2.183192450E-1,1.772179967E-1,4.121877730E-2
2.196399999E-1,2.863013130E-1,1.411061776E-1,3.549961567E-2
2.296630000E-1,3.464674079E-1,4.913181424E-2,-1.557785958E-2
2.396859999E-1,2.901242226E-1,-5.759156585E-2,-2.254364759E-2
2.497090000E-1,1.561206579E-1,-1.513452369E-1,3.729266435E-2
2.597319999E-1,-2.028048277E-2,-1.187554881E-1,1.009632879E-1
2.697539999E-1,-3.365364969E-2,-1.231335908E-2,9.236027956E-2
2.797770000E-1,1.449396122E-1,1.221278697E-2,8.529976666E-2
2.897999999E-1,3.945326900E-1,-2.743367404E-2,1.230268791E-1
2.998230000E-1,6.133039248E-1,-3.988034964E-2,1.890574390E-1
3.098459999E-1,6.109293705E-1,2.978279293E-3,1.634425414E-1
3.198680000E-1,4.773023665E-1,2.353211939E-3,1.659843260E-1
3.298909999E-1,3.228627831E-1,6.003248602E-2,1.963147107E-1
3.399139999E-1,1.262554193E-1,4.404473662E-2,4.641168952E-2
3.499370000E-1,-2.825491548E-2,1.841609806E-2,-9.791951984E-2
3.599599999E-1,-1.205760187E-1,5.379964650E-2,-3.460820764E-2
3.699820000E-1,-2.251786137E-1,1.068046564E-1,6.574141502E-2
3.800049999E-1,-3.106415176E-1,1.233101767E-1,6.862116873E-2
3.900280000E-1,-3.692563462E-1,1.120887852E-1,9.171942472E-3
4.000509999E-1,-3.356219923E-1,4.806001961E-2,-9.927139610E-2
4.100739999E-1,-2.366841799E-1,-7.746391296E-3,-1.592074031E-1
4.200970000E-1,-1.256514019E-1,-7.802904636E-2,-2.140519470E-1
4.301189999E-1,-4.687245011E-2,-1.202988607E-1,-2.623417622E-1
4.401420000E-1,-3.396589100E-2,-1.228830376E-1,-2.816273412E-1
4.501649999E-1,-6.132091999E-2,-7.479524374E-2,-2.483277404E-1
4.601880000E-1,-1.335188305E-1,-4.024141520E-2,-1.794422776E-1
4.702109999E-1,-2.011372018E-1,-8.457997441E-3,-8.161865205E-2
4.802329999E-1,-2.450725955E-1,2.712903410E-2,-2.361398041E-2
4.902560000E-1,-2.489808744E-1,2.914603114E-2,-8.864963651E-3
5.002789999E-1,-1.902795070E-1,2.028399110E-3,1.345795155E-2
5.103020000E-1,-8.330937445E-2,-1.416020215E-2,4.098313451E-3
5.203249999E-1,1.346450043E-1,-3.270406187E-2,-5.778861701E-2
5.303470000E-1,3.757374001E-1,-1.669643193E-2,-4.847984970E-2
5.403699999E-1,5.419696480E-1,7.566823304E-2,1.061094224E-2
5.503929999E-1,5.874066067E-1,1.845550829E-1,1.533177951E-1
5.604160000E-1,4.435767961E-1,2.354255667E-1,4.377640790E-1
5.704389999E-1,2.660681927E-1,2.380144215E-1,6.306216234E-1
5.804610000E-1,1.501401258E-1,1.488642633E-1,6.916811728E-1
