"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.339954495E0,5.238113356E1,4.860742763E0,9.913722992E0,6.700000167E-1,8.507812500E1,1.400000000E1,6.000000000E0
3.339947462E0,5.238113725E1,4.860748714E0,5.358791351E0,5.000000000E-1,8.121093750E1,1.400000000E1,4.000000000E0
4.339941859E0,5.238114496E1,4.860745193E0,5.771938324E0,5.000000000E-1,5.238281250E1,1.400000000E1,4.000000000E0
5.339934826E0,5.238115179E1,4.860735722E0,5.223781586E0,2.199999988E-1,NaN,1.400000000E1,4.000000000E0
6.339929223E0,5.238116202E1,4.860723987E0,4.724391937E0,2.300000042E-1,NaN,1.400000000E1,4.000000000E0
7.339922667E0,5.238117149E1,4.860712001E0,4.495143890E0,2.300000042E-1,NaN,1.400000000E1,4.000000000E0
8.340027571E0,5.238117585E1,4.860700099E0,4.678798676E0,2.300000042E-1,NaN,1.400000000E1,4.000000000E0
9.340035915E0,5.238117459E1,4.860689454E0,5.168239594E0,3.899999857E-1,2.524218750E2,1.400000000E1,4.000000000E0
1.034003222E1,5.238117170E1,4.860676797E0,5.874416351E0,0.000000000E0,NaN,1.400000000E1,4.000000000E0
1.134003913E1,5.238116981E1,4.860666320E0,6.397914886E0,0.000000000E0,NaN,1.400000000E1,3.000000000E0
1.234004354E1,5.238116868E1,4.860659363E0,6.607570648E0,0.000000000E0,2.373046875E2,1.400000000E1,3.000000000E0
1.334003913E1,5.238116784E1,4.860651735E0,6.695766449E0,1.700000018E-1,2.900390625E2,1.400000000E1,3.000000000E0
1.434004343E1,5.238116784E1,4.860651735E0,6.695766516E0,1.700000018E-1,NaN,4.748651530E0,3.531836265E0
1.534004962E1,5.238116759E1,4.860645700E0,6.634975500E0,0.000000000E0,NaN,5.021912938E0,3.000000000E0
1.634004319E1,5.238116315E1,4.860661207E0,7.228542393E0,1.700000018E-1,NaN,4.748651530E0,3.154251660E0
1.734004307E1,5.238115705E1,4.860688785E0,7.389858364E0,8.100000024E-1,1.079296965E2,4.748651530E0,3.261991866E0
1.834004819E1,5.238116133E1,4.860693977E0,7.235012147E0,5.699999928E-1,9.773438157E1,4.748651530E0,3.027315616E0
1.934004486E1,5.238116240E1,4.860689454E0,7.369167397E0,1.700000018E-1,NaN,4.748651530E0,3.559204415E0
2.034005177E1,5.238116231E1,4.860688196E0,7.015041420E0,1.700000018E-1,NaN,4.748651530E0,3.446951314E0
2.134005630E1,5.238116261E1,4.860684592E0,6.677883217E0,0.000000000E0,NaN,4.748651530E0,3.466156716E0
2.234005058E1,5.238116332E1,4.860684844E0,6.287685461E0,2.399999946E-1,NaN,4.748651530E0,3.295649997E0
2.334004676E1,5.238116437E1,4.860681826E0,6.139370034E0,0.000000000E0,NaN,5.055054016E0,4.000000000E0
2.434004164E1,5.238116374E1,4.860677635E0,5.758815834E0,2.399999946E-1,NaN,6.324944711E0,4.000000000E0
2.534003675E1,5.238115917E1,4.860676294E0,6.334438392E0,3.000000119E-1,NaN,6.024488331E0,4.000000000E0
2.634003210E1,5.238115586E1,4.860669170E0,5.861232825E0,4.600000083E-1,NaN,6.294352409E0,4.000000000E0
2.734002686E1,5.238115439E1,4.860662380E0,5.799648351E0,1.500000060E-1,NaN,6.927622915E0,4.000000000E0
2.834002137E1,5.238115950E1,4.860654082E0,5.813564369E0,4.699999988E-1,NaN,7.382426733E0,4.000000000E0
2.934001660E1,5.238116399E1,4.860649556E0,5.638759682E0,2.099999934E-1,NaN,7.528807314E0,4.000000000E0
3.034001160E1,5.238117174E1,4.860630948E0,5.737819740E0,4.699999988E-1,NaN,7.012669578E0,4.000000000E0
3.134000504E1,5.238117514E1,4.860615190E0,5.580959387E0,2.899999917E-1,NaN,6.480017615E0,4.000000000E0
3.233999979E1,5.238117824E1,4.860609742E0,5.850551672E0,0.000000000E0,NaN,5.922101873E0,4.000000000E0
3.333999419E1,5.238118686E1,4.860591703E0,5.601711386E0,7.599999905E-1,3.009374924E2,5.759430834E0,3.000000000E0
3.433998907E1,5.238114501E1,4.860682233E0,3.149001589E-1,3.702746023E-1,NaN,1.090922513E1,3.000000000E0
3.533998275E1,5.238113924E1,4.860709885E0,3.176119002E-1,3.931790278E-1,NaN,1.698209530E1,3.000000000E0
3.633997631E1,5.238113655E1,4.860710267E0,3.262166409E-1,3.530451381E-1,NaN,3.105257769E1,3.594860219E0
3.733997047E1,5.238114146E1,4.860723559E0,3.244389957E-1,7.419443033E-2,NaN,2.646726355E1,3.000000000E0
3.833996499E1,5.238114815E1,4.860803696E0,3.738519056E-1,1.868477339E0,8.535892208E1,2.646726356E1,3.000000000E0
3.933995867E1,5.238115050E1,4.860827985E0,3.787660291E-1,1.072165709E0,6.698434492E1,2.646726356E1,3.103484157E0
4.033995271E1,5.238115873E1,4.860829958E0,3.879739624E-1,5.980398919E-1,NaN,2.509931118E1,3.278726949E0
