"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.569662499E-2,1.238106787E-1,-2.485677451E-1,6.532973796E-2
2.571862494E-2,9.621546417E-2,-1.180547401E-1,6.896468997E-2
3.574062500E-2,7.152742893E-2,1.005875133E-2,7.144143432E-2
4.576262494E-2,5.803692341E-2,1.156000793E-1,8.015600592E-2
5.578462500E-2,5.482195690E-2,2.021485567E-1,9.128376096E-2
6.580662495E-2,5.537429824E-2,2.657056749E-1,9.800202399E-2
7.582862501E-2,5.447814614E-2,3.160229027E-1,9.872001410E-2
8.585162496E-2,5.142256618E-2,3.457524478E-1,1.026650891E-1
9.587362502E-2,5.111816525E-2,3.655557036E-1,1.047902927E-1
1.058956250E-1,5.428759381E-2,3.664223254E-1,1.081959382E-1
1.159176249E-1,5.786874518E-2,3.751713336E-1,1.060813889E-1
1.259396250E-1,6.160536036E-2,3.714434206E-1,1.027430445E-1
1.359616249E-1,6.693753600E-2,3.439172506E-1,9.684947133E-2
1.459836250E-1,7.183263451E-2,3.083327711E-1,8.155851811E-2
1.560066249E-1,7.918509096E-2,2.819874585E-1,5.909529328E-2
1.660286250E-1,9.112989902E-2,2.693081498E-1,4.025998712E-2
1.760506249E-1,9.458854049E-2,2.667349875E-1,2.765977383E-2
1.860726250E-1,9.562677145E-2,2.606101632E-1,2.302795276E-2
1.960946249E-1,8.976675570E-2,2.370736748E-1,3.113301843E-2
2.061166250E-1,7.972563803E-2,1.931550056E-1,3.465387225E-2
2.161386249E-1,7.263044268E-2,1.327518523E-1,3.928884119E-2
2.261606250E-1,6.433097273E-2,6.342816353E-2,4.491263628E-2
2.361836249E-1,5.724084005E-2,-7.940820418E-3,4.928501695E-2
2.462056250E-1,4.765711725E-2,-7.667438686E-2,4.466249421E-2
2.562276250E-1,3.134339303E-2,-1.272888333E-1,3.245403245E-2
2.662496250E-1,1.824090257E-2,-1.571849138E-1,1.636160724E-2
2.762716250E-1,1.201949082E-2,-1.631304175E-1,5.030921195E-3
2.862936250E-1,4.033944104E-3,-1.610980183E-1,-2.883423585E-3
2.963156250E-1,8.235035930E-4,-1.546497047E-1,-1.344392262E-2
3.063386249E-1,5.660392344E-4,-1.408709586E-1,-2.122810483E-2
3.163606250E-1,-1.655037049E-3,-1.218027174E-1,-2.703672647E-2
3.263826249E-1,-6.027882919E-3,-9.647358954E-2,-3.230492771E-2
3.364046250E-1,-1.497983187E-2,-6.685790420E-2,-4.408515245E-2
3.464266249E-1,-2.366885915E-2,-1.448332425E-2,-6.099367142E-2
3.564486250E-1,-2.423131838E-2,2.914857492E-2,-5.974198505E-2
3.664706249E-1,-2.753810026E-2,5.159028992E-2,-6.559199095E-2
3.764926250E-1,-3.183324262E-2,3.298890591E-2,-3.393127024E-2
3.865156249E-1,-3.073635697E-2,-9.874181822E-3,-2.180357091E-2
3.965376250E-1,-3.228924796E-2,-4.064967111E-2,-2.910729125E-2
4.065596249E-1,-3.335397318E-2,-4.938166216E-2,-3.163320571E-2
4.165816250E-1,-2.820928022E-2,-5.037315935E-2,-2.486051805E-2
4.266036249E-1,-1.646121405E-2,-5.933088437E-2,-1.398961153E-2
4.366256250E-1,-4.999767523E-3,-7.366694510E-2,3.651167266E-3
4.466476250E-1,5.584895145E-3,-7.978267968E-2,2.113181725E-2
4.566706250E-1,9.979110211E-3,-6.568789482E-2,3.384628147E-2
4.666926250E-1,1.270319615E-2,-3.621291742E-2,3.905172646E-2
4.767146249E-1,1.230558660E-2,-7.071811706E-3,4.126135260E-2
4.867366250E-1,9.424309246E-3,9.630488232E-3,3.899037838E-2
4.967586249E-1,7.042111829E-3,1.967806183E-2,3.128265589E-2
5.067806250E-1,3.524607047E-3,2.215853892E-2,2.426611260E-2
5.168026249E-1,3.881736891E-3,2.017554827E-2,2.023754828E-2
5.268246250E-1,4.248256329E-3,8.948517032E-3,2.007738501E-2
5.368476249E-1,7.719420828E-3,-6.061858032E-3,1.831251010E-2
5.468696250E-1,1.225697622E-2,-2.401893027E-2,2.110560238E-2
5.568916249E-1,1.809968427E-2,-4.212922230E-2,2.531659417E-2
5.669136250E-1,2.513948269E-2,-5.326335877E-2,2.517446689E-2
5.769356249E-1,3.082240187E-2,-5.736435950E-2,2.419016138E-2
5.869576250E-1,3.561776876E-2,-5.519599468E-2,2.975731343E-2
5.969796249E-1,3.544945270E-2,-4.417743534E-2,3.515793756E-2
6.070016250E-1,3.478738666E-2,-2.366280183E-2,3.899616748E-2
6.170246250E-1,3.248827904E-2,1.144011971E-3,4.090139270E-2
6.270466250E-1,3.407265991E-2,2.120833285E-2,4.097886384E-2
6.370686250E-1,3.698296100E-2,3.995112330E-2,3.828800842E-2
6.470906250E-1,3.849668801E-2,5.108904466E-2,3.163133562E-2
6.571126250E-1,3.866633773E-2,5.889983103E-2,3.031573445E-2
6.671346249E-1,4.261241108E-2,6.266932935E-2,2.840302698E-2
6.771566250E-1,4.245794564E-2,6.441396475E-2,3.016497754E-2
6.871786249E-1,4.104401171E-2,5.531518534E-2,3.195092082E-2
6.972016250E-1,4.004506022E-2,3.701900318E-2,3.696991503E-2
7.072236249E-1,4.371489584E-2,1.185853221E-2,4.096261412E-2
7.172456250E-1,5.114112049E-2,-1.069497969E-2,4.561275989E-2
7.272676249E-1,5.658274889E-2,-2.273936570E-2,4.870681092E-2
7.372896250E-1,5.732496828E-2,-2.690188959E-2,4.784474522E-2
7.473116249E-1,6.204961985E-2,-2.575760148E-2,4.577194154E-2
7.573336250E-1,6.437616050E-2,-2.651047707E-2,5.032781139E-2
7.673556249E-1,6.736182421E-2,-2.614082955E-2,5.384504795E-2
7.773786250E-1,6.860871613E-2,-2.352107875E-2,5.777454376E-2
7.874006249E-1,6.938731670E-2,-2.137982845E-2,6.063865870E-2
7.974226250E-1,6.722696126E-2,-2.476150915E-2,6.321366876E-2
8.074446250E-1,5.988073722E-2,-3.292682394E-2,5.850060657E-2
8.174666250E-1,4.397793859E-2,-3.859642521E-2,4.140284657E-2
8.274886250E-1,3.954221960E-3,-5.912473425E-2,3.026155382E-2
8.375106250E-1,-7.289128751E-2,-7.681557536E-2,8.810324594E-3
8.475326250E-1,-1.229334846E-1,-1.041479483E-1,-2.884186432E-2
8.575546249E-1,-1.428376734E-1,-1.508627236E-1,-8.201533556E-2
8.675776250E-1,-1.521760523E-1,-1.968264878E-1,-1.274909377E-1
8.775996249E-1,-1.539545059E-1,-2.061206549E-1,-1.557018012E-1
8.876216250E-1,-1.427225769E-1,-1.542802602E-1,-1.725808680E-1
8.976436249E-1,-1.272951514E-1,-5.837024003E-2,-1.837512404E-1
9.076656250E-1,-1.055202112E-1,3.660992533E-2,-1.929125488E-1
9.176876249E-1,-9.013859183E-2,1.036582068E-1,-2.023204267E-1
