"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.569662499E-2,6.465038119E-1,3.411264766E-2,-5.039032532E-1,5.717959414E-1,9.944296004E1,-4.737101605E1,-4.367458836E1,1.029217244E2
2.571862494E-2,6.458269730E-1,3.483032420E-2,-5.041970589E-1,5.722583371E-1,9.954458517E1,-4.740712233E1,-4.371819848E1,1.030655639E2
3.574062500E-2,6.454785925E-1,3.507408050E-2,-5.041389173E-1,5.726875554E-1,9.959686365E1,-4.740633613E1,-4.370890254E1,1.031339456E2
4.576262494E-2,6.454122454E-1,3.490570384E-2,-5.037599329E-1,5.731061658E-1,9.960681749E1,-4.737166452E1,-4.365188200E1,1.031371220E2
5.578462500E-2,6.455626807E-1,3.441292288E-2,-5.030929168E-1,5.735522770E-1,9.958424710E1,-4.730616253E1,-4.355347233E1,1.030892840E2
6.580662495E-2,6.458743830E-1,3.367743930E-2,-5.021842519E-1,5.740409434E-1,9.953746921E1,-4.721460080E1,-4.342151887E1,1.030031095E2
7.582862501E-2,6.463147912E-1,3.276335845E-2,-5.010961467E-1,5.745487549E-1,9.947134856E1,-4.710350577E1,-4.326549905E1,1.028870664E2
8.585162496E-2,6.468487496E-1,3.172258417E-2,-4.998842562E-1,5.750618928E-1,9.939113940E1,-4.697940265E1,-4.309294887E1,1.027497888E2
9.587362502E-2,6.474333949E-1,3.060234202E-2,-4.985957217E-1,5.755830965E-1,9.930326161E1,-4.684833448E1,-4.290958631E1,1.026010196E2
1.058956250E-1,6.480296727E-1,2.944909887E-2,-4.972663890E-1,5.761218334E-1,9.921357632E1,-4.671454519E1,-4.272024380E1,1.024494974E2
1.159176249E-1,6.486341007E-1,2.829596110E-2,-4.959120422E-1,5.766665814E-1,9.912260419E1,-4.657820903E1,-4.252917902E1,1.022965825E2
1.259396250E-1,6.492548658E-1,2.715424512E-2,-4.945295412E-1,5.772099965E-1,9.902910904E1,-4.643770419E1,-4.233768359E1,1.021407558E2
1.359616249E-1,6.498472819E-1,2.607629732E-2,-4.931865319E-1,5.777418897E-1,9.893982286E1,-4.630097129E1,-4.215376630E1,1.019923103E2
1.459836250E-1,6.503838508E-1,2.513975220E-2,-4.919347284E-1,5.782466009E-1,9.885890234E1,-4.617097614E1,-4.198736873E1,1.018580788E2
1.560066249E-1,6.508963591E-1,2.436056234E-2,-4.907639521E-1,5.786979910E-1,9.878156471E1,-4.604316510E1,-4.184115422E1,1.017318310E2
1.660286250E-1,6.514163485E-1,2.372351272E-2,-4.896294433E-1,5.791002590E-1,9.870305242E1,-4.591077154E1,-4.171162523E1,1.016064909E2
1.760506249E-1,6.519664939E-1,2.317176833E-2,-4.884894132E-1,5.794659645E-1,9.861993661E1,-4.577082998E1,-4.159124680E1,1.014764111E2
1.860726250E-1,6.525321626E-1,2.266016881E-2,-4.873502471E-1,5.798086448E-1,9.853442148E1,-4.562804237E1,-4.147556232E1,1.013441652E2
1.960946249E-1,6.530537351E-1,2.216873655E-2,-4.862604560E-1,5.801552130E-1,9.845552386E1,-4.549337123E1,-4.136328271E1,1.012217133E2
2.061166250E-1,6.534765865E-1,2.173521407E-2,-4.853054927E-1,5.804949667E-1,9.839152527E1,-4.537811975E1,-4.126220220E1,1.011212094E2
2.161386249E-1,6.537618180E-1,2.142178903E-2,-4.845490200E-1,5.808173242E-1,9.834833804E1,-4.528813962E1,-4.118127978E1,1.010515353E2
2.261606250E-1,6.538713629E-1,2.126257931E-2,-4.840281482E-1,5.811340525E-1,9.833174797E1,-4.522778412E1,-4.112447672E1,1.010206913E2
2.361836249E-1,6.537931304E-1,2.127414862E-2,-4.837678703E-1,5.814383607E-1,9.834359612E1,-4.519958155E1,-4.109484417E1,1.010314378E2
2.462056250E-1,6.535490001E-1,2.145320951E-2,-4.837583240E-1,5.817141854E-1,9.838056238E1,-4.520113016E1,-4.109266813E1,1.010793389E2
2.562276250E-1,6.531797805E-1,2.178785548E-2,-4.839858327E-1,5.819270402E-1,9.843645011E1,-4.522910329E1,-4.111841467E1,1.011562688E2
2.662496250E-1,6.527566946E-1,2.223248366E-2,-4.843858274E-1,5.820523164E-1,9.850046253E1,-4.527441012E1,-4.116678152E1,1.012473366E2
2.762716250E-1,6.523315278E-1,2.272810953E-2,-4.848706637E-1,5.821061696E-1,9.856475879E1,-4.532709825E1,-4.122770338E1,1.013407023E2
2.862936250E-1,6.519345150E-1,2.322754968E-2,-4.853793761E-1,5.821071706E-1,9.862476940E1,-4.538097941E1,-4.129323670E1,1.014292139E2
2.963156250E-1,6.515760982E-1,2.372001453E-2,-4.858867610E-1,5.820653609E-1,9.867892282E1,-4.543302316E1,-4.136073050E1,1.015104085E2
3.063386249E-1,6.512678203E-1,2.420192160E-2,-4.863711547E-1,5.819859720E-1,9.872548313E1,-4.548003847E1,-4.142859311E1,1.015816467E2
3.163606250E-1,6.510160535E-1,2.464347306E-2,-4.867994299E-1,5.818910389E-1,9.876349635E1,-4.551945088E1,-4.149143793E1,1.016408685E2
3.263826249E-1,6.508361444E-1,2.502275255E-2,-4.871631151E-1,5.817716210E-1,9.879065344E1,-4.555066070E1,-4.154758064E1,1.016847699E2
3.364046250E-1,6.507405396E-1,2.532401822E-2,-4.874571315E-1,5.816193181E-1,9.880508265E1,-4.557327310E1,-4.159600805E1,1.017107682E2
3.464266249E-1,6.507929650E-1,2.551915813E-2,-4.876517235E-1,5.813889487E-1,9.879717051E1,-4.558145362E1,-4.163583119E1,1.017058634E2
3.564486250E-1,6.509894272E-1,2.555843899E-2,-4.876853567E-1,5.811389600E-1,9.876751590E1,-4.557099577E1,-4.165640258E1,1.016692765E2
3.664706249E-1,6.512832303E-1,2.550910611E-2,-4.876136438E-1,5.808720466E-1,9.872315610E1,-4.554725130E1,-4.166577435E1,1.016114693E2
3.764926250E-1,6.515495430E-1,2.540321215E-2,-4.875463985E-1,5.806345623E-1,9.868293418E1,-4.552952755E1,-4.166861228E1,1.015585217E2
3.865156249E-1,6.516547284E-1,2.532880189E-2,-4.875926125E-1,5.804808238E-1,9.866704441E1,-4.553379960E1,-4.167387405E1,1.015385878E2
3.965376250E-1,6.516678888E-1,2.536919964E-2,-4.877664050E-1,5.803182950E-1,9.866505622E1,-4.555204599E1,-4.169520200E1,1.015394647E2
4.065596249E-1,6.516510590E-1,2.547285982E-2,-4.880053145E-1,5.801318083E-1,9.866759876E1,-4.557608092E1,-4.172634489E1,1.015477513E2
4.165816250E-1,6.516178973E-1,2.558693026E-2,-4.882533276E-1,5.799554159E-1,9.867260849E1,-4.560159196E1,-4.175814917E1,1.015594276E2
4.266036249E-1,6.515472302E-1,2.572186340E-2,-4.884943865E-1,5.798256326E-1,9.868328354E1,-4.562716392E1,-4.178849157E1,1.015783024E2
4.366256250E-1,6.514016287E-1,2.589559271E-2,-4.887399762E-1,5.797745769E-1,9.870527557E1,-4.565538975E1,-4.181743186E1,1.016119822E2
4.466476250E-1,6.511749682E-1,2.609296640E-2,-4.889912135E-1,5.798086263E-1,9.873950375E1,-4.568780383E1,-4.184329025E1,1.016615144E2
4.566706250E-1,6.509123512E-1,2.626229136E-2,-4.892144443E-1,5.799073764E-1,9.877915078E1,-4.572081546E1,-4.186139061E1,1.017171703E2
4.666926250E-1,6.506783229E-1,2.635882872E-2,-4.893538872E-1,5.800479229E-1,9.881447189E1,-4.574639595E1,-4.186691913E1,1.017652673E2
4.767146249E-1,6.505082894E-1,2.636352809E-2,-4.893914611E-1,5.802066611E-1,9.884012864E1,-4.576130981E1,-4.185894055E1,1.017985061E2
4.867366250E-1,6.503984046E-1,2.629444941E-2,-4.893565635E-1,5.803625702E-1,9.885670678E1,-4.576829154E1,-4.184164094E1,1.018183312E2
4.967586249E-1,6.503335459E-1,2.619038884E-2,-4.892882856E-1,5.804974770E-1,9.886649095E1,-4.577059933E1,-4.182118637E1,1.018286074E2
5.067806250E-1,6.503064455E-1,2.607846788E-2,-4.892061625E-1,5.806020434E-1,9.887057893E1,-4.576935738E1,-4.180136766E1,1.018313443E2
5.168026249E-1,6.502958166E-1,2.597286895E-2,-4.891285069E-1,5.806840690E-1,9.887218223E1,-4.576724499E1,-4.178371093E1,1.018310670E2
5.268246250E-1,6.502736315E-1,2.589304282E-2,-4.890707657E-1,5.807612136E-1,9.887552861E1,-4.576664656E1,-4.176945819E1,1.018335956E2
5.368476249E-1,6.502235426E-1,2.585976789E-2,-4.890478589E-1,5.808380236E-1,9.888308370E1,-4.576904824E1,-4.176074262E1,1.018424537E2
5.468696250E-1,6.501286832E-1,2.588404447E-2,-4.890722619E-1,5.809225991E-1,9.889739052E1,-4.577633663E1,-4.175855573E1,1.018612127E2
5.568916249E-1,6.499809427E-1,2.598361640E-2,-4.891373156E-1,5.810286986E-1,9.891966990E1,-4.578699623E1,-4.176326092E1,1.018914390E2
5.669136250E-1,6.497902625E-1,2.613892754E-2,-4.892329468E-1,5.811545569E-1,9.894841914E1,-4.580046041E1,-4.177284823E1,1.019309016E2
5.769356249E-1,6.495744364E-1,2.633446784E-2,-4.893404845E-1,5.812962889E-1,9.898095224E1,-4.581430740E1,-4.178539291E1,1.019756869E2
5.869576250E-1,6.493525016E-1,2.654638220E-2,-4.894305944E-1,5.814587966E-1,9.901439792E1,-4.582528042E1,-4.179729053E1,1.020214936E2
5.969796249E-1,6.491306854E-1,2.672942596E-2,-4.894944891E-1,5.816442822E-1,9.904781740E1,-4.583486033E1,-4.180410063E1,1.020665328E2
6.070016250E-1,6.489349159E-1,2.686183028E-2,-4.895094723E-1,5.818440135E-1,9.907730570E1,-4.584002322E1,-4.180352761E1,1.021052616E2
6.170246250E-1,6.487888349E-1,2.690593696E-2,-4.894519629E-1,5.820533148E-1,9.909930532E1,-4.583881934E1,-4.179161126E1,1.021324184E2
6.270466250E-1,6.486943865E-1,2.688104925E-2,-4.893222560E-1,5.822687247E-1,9.911352723E1,-4.582988027E1,-4.177024131E1,1.021477796E2
6.370686250E-1,6.486514652E-1,2.681194949E-2,-4.891219952E-1,5.824879041E-1,9.911998975E1,-4.581180103E1,-4.174178345E1,1.021516366E2
6.470906250E-1,6.486565992E-1,2.672264032E-2,-4.888713479E-1,5.826967075E-1,9.911921676E1,-4.578577781E1,-4.171007548E1,1.021452600E2
6.571126250E-1,6.486993519E-1,2.661000286E-2,-4.885811458E-1,5.828976479E-1,9.911277958E1,-4.575403324E1,-4.167514209E1,1.021308061E2
6.671346249E-1,6.487583812E-1,2.648944180E-2,-4.882637589E-1,5.831032165E-1,9.910389116E1,-4.571842175E1,-4.163804171E1,1.021126864E2
6.771566250E-1,6.488231424E-1,2.637151492E-2,-4.879331169E-1,5.833132527E-1,9.909413897E1,-4.568066752E1,-4.160031353E1,1.020933045E2
6.871786249E-1,6.488710423E-1,2.625499996E-2,-4.876188489E-1,5.835280119E-1,9.908692542E1,-4.564594683E1,-4.156310645E1,1.020774626E2
6.972016250E-1,6.488815896E-1,2.616480570E-2,-4.873510900E-1,5.837439619E-1,9.908533699E1,-4.561763159E1,-4.153009835E1,1.020697996E2
7.072236249E-1,6.488236719E-1,2.613254229E-2,-4.871522622E-1,5.839756931E-1,9.909405924E1,-4.559832116E1,-4.150407991E1,1.020768988E2
7.172456250E-1,6.486897872E-1,2.618162229E-2,-4.870173291E-1,5.842347540E-1,9.911421974E1,-4.558627280E1,-4.148613296E1,1.021002820E2
7.272676249E-1,6.485018465E-1,2.628667331E-2,-4.869234892E-1,5.845168508E-1,9.914251495E1,-4.557895945E1,-4.147334664E1,1.021351349E2
7.372896250E-1,6.482945446E-1,2.643102627E-2,-4.868420193E-1,5.848081092E-1,9.917371816E1,-4.557177295E1,-4.146391380E1,1.021742063E2
7.473116249E-1,6.480861363E-1,2.658981452E-2,-4.867582524E-1,5.851015698E-1,9.920508061E1,-4.556340813E1,-4.145549074E1,1.022135477E2
7.573336250E-1,6.478734159E-1,2.675924485E-2,-4.866628320E-1,5.854086991E-1,9.923708445E1,-4.555313460E1,-4.144662161E1,1.022535586E2
7.673556249E-1,6.476465737E-1,2.692165773E-2,-4.865623328E-1,5.857356823E-1,9.927120455E1,-4.554353608E1,-4.143567619E1,1.022960632E2
7.773786250E-1,6.474118816E-1,2.708099390E-2,-4.864476302E-1,5.860829908E-1,9.930649628E1,-4.553282765E1,-4.142257554E1,1.023397449E2
