"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.769304171E-2,6.426610888E-1,3.538132575E-1,-6.261008861E-1,2.641981521E-1,1.000189248E2,1.055009299E2,-8.261059942E1,-5.355968394E1
2.771704167E-2,6.436967844E-1,3.539992094E-1,-6.248959077E-1,2.642806967E-1,9.986392996E1,1.041481995E2,-8.256720865E1,-5.218132600E1
3.774004173E-2,6.445825004E-1,3.542501412E-1,-6.238840567E-1,2.641757932E-1,9.973124000E1,1.030494794E2,-8.250581983E1,-5.106747925E1
4.776404169E-2,6.450515948E-1,3.546405369E-1,-6.233143682E-1,2.638517682E-1,9.966091204E1,1.025305737E2,-8.243011590E1,-5.054014052E1
5.778704165E-2,6.448268468E-1,3.551250782E-1,-6.234788885E-1,2.633601042E-1,9.969461145E1,1.028998099E2,-8.236018970E1,-5.090775946E1
6.781104172E-2,6.437466230E-1,3.556257617E-1,-6.245637694E-1,2.627562241E-1,9.985646702E1,1.043215209E2,-8.231035536E1,-5.233715495E1
7.783404167E-2,6.420719391E-1,3.560331742E-1,-6.263301228E-1,2.620966470E-1,1.001070143E2,1.064681811E2,-8.227651432E1,-5.450549108E1
8.785804175E-2,6.402293210E-1,3.562877938E-1,-6.283228574E-1,2.614879201E-1,1.003821570E2,1.088071709E2,-8.225231325E1,-5.687567255E1
9.788104170E-2,6.384915643E-1,3.564989601E-1,-6.302043665E-1,2.609204128E-1,1.006411380E2,1.109947046E2,-8.222038152E1,-5.909434284E1
1.079050417E-1,6.370390575E-1,3.568229640E-1,-6.317262259E-1,2.603470892E-1,1.008572357E2,1.127878139E2,-8.216476775E1,-6.090812398E1
1.179280417E-1,6.359065506E-1,3.573503053E-1,-6.328086413E-1,2.597629549E-1,1.010254918E2,1.141203987E2,-8.208234445E1,-6.224307820E1
1.279510417E-1,6.349924908E-1,3.580919740E-1,-6.335430396E-1,2.591869550E-1,1.011611449E2,1.151082891E2,-8.197846192E1,-6.321248353E1
1.379750418E-1,6.341386378E-1,3.589739600E-1,-6.341388907E-1,2.585996387E-1,1.012877438E2,1.159634022E2,-8.185998723E1,-6.403690223E1
1.479980417E-1,6.332154954E-1,3.599063747E-1,-6.347965079E-1,2.579512937E-1,1.014244872E2,1.168667361E2,-8.173054266E1,-6.491004333E1
1.580220417E-1,6.321249246E-1,3.608048191E-1,-6.356561772E-1,2.572534894E-1,1.015858596E2,1.179429549E2,-8.159705523E1,-6.596339269E1
1.680450417E-1,6.309064381E-1,3.615204304E-1,-6.367173927E-1,2.566148172E-1,1.017659408E2,1.191659452E2,-8.147883798E1,-6.717516488E1
1.780690417E-1,6.297011858E-1,3.619686622E-1,-6.378728486E-1,2.560729983E-1,1.019438400E2,1.204054815E2,-8.138583410E1,-6.841976119E1
1.880920418E-1,6.286041454E-1,3.622023138E-1,-6.390091381E-1,2.556047047E-1,1.021055723E2,1.215586152E2,-8.131324126E1,-6.959143450E1
1.981160417E-1,6.276392566E-1,3.622290454E-1,-6.400904471E-1,2.552319369E-1,1.022476697E2,1.226065154E2,-8.126323604E1,-7.066875492E1
2.081390417E-1,6.267393581E-1,3.620603316E-1,-6.411918707E-1,2.549176689E-1,1.023800682E2,1.236299113E2,-8.123118956E1,-7.173460508E1
2.181630417E-1,6.259251232E-1,3.617360326E-1,-6.422776789E-1,2.546451896E-1,1.024997574E2,1.246029075E2,-8.121340672E1,-7.276087064E1
2.281860417E-1,6.253569626E-1,3.613056290E-1,-6.431744796E-1,2.543887892E-1,1.025832153E2,1.253514310E2,-8.120865535E1,-7.357127672E1
2.382100417E-1,6.251440156E-1,3.608518866E-1,-6.437555898E-1,2.540860273E-1,1.026144828E2,1.257444387E2,-8.120988231E1,-7.403265433E1
2.482330417E-1,6.252786327E-1,3.603824023E-1,-6.440235278E-1,2.537416876E-1,1.025947175E2,1.257883899E2,-8.121799438E1,-7.415038323E1
2.582570417E-1,6.256947274E-1,3.599186711E-1,-6.440086395E-1,2.534117410E-1,1.025336064E2,1.255394891E2,-8.123470053E1,-7.397374242E1
2.682800418E-1,6.261880984E-1,3.594433811E-1,-6.439301199E-1,2.530672326E-1,1.024611121E2,1.252145364E2,-8.125298634E1,-7.372344895E1
2.783030417E-1,6.264369966E-1,3.587841833E-1,-6.442125248E-1,2.526675330E-1,1.024245258E2,1.252067252E2,-8.127332112E1,-7.381189828E1
2.883270417E-1,6.259970678E-1,3.578893951E-1,-6.453661789E-1,2.520821976E-1,1.024891859E2,1.260044039E2,-8.127574376E1,-7.474311320E1
2.983500417E-1,6.247484042E-1,3.569104082E-1,-6.474241252E-1,2.512896893E-1,1.026725532E2,1.276684660E2,-8.123821108E1,-7.656542311E1
3.083740417E-1,6.239263299E-1,3.557595147E-1,-6.489204542E-1,2.511043696E-1,1.027931475E2,1.289227301E2,-8.127305859E1,-7.794128326E1
3.183970418E-1,6.245610615E-1,3.544810427E-1,-6.488289008E-1,2.515705137E-1,1.027000444E2,1.287202278E2,-8.142459883E1,-7.781735205E1
3.284210417E-1,6.263744086E-1,3.533504957E-1,-6.474828147E-1,2.521201719E-1,1.024337267E2,1.272004509E2,-8.161357076E1,-7.635650791E1
3.384440417E-1,6.287642192E-1,3.524754955E-1,-6.454383870E-1,2.526379037E-1,1.020819848E2,1.248844813E2,-8.179126198E1,-7.407879500E1
3.484680417E-1,6.316489391E-1,3.516907106E-1,-6.427173970E-1,2.534711259E-1,1.016562334E2,1.218313597E2,-8.198450911E1,-7.102782228E1
3.584910417E-1,6.349034766E-1,3.508782774E-1,-6.394168878E-1,2.548100048E-1,1.011743482E2,1.181117641E2,-8.220116565E1,-6.726800402E1
