"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.979291660E-2,-5.409972277E-3,3.731915727E-2,1.067522913E-1
2.981391666E-2,2.129833773E-2,1.176004112E-1,1.268738061E-1
3.983491659E-2,3.876813874E-2,1.387468725E-1,1.209440902E-1
4.985591664E-2,4.322973266E-2,1.486096233E-1,9.059150517E-2
5.987691670E-2,3.896895424E-2,1.498430669E-1,4.198391736E-2
6.989891664E-2,3.270759806E-2,1.382556558E-1,1.018630899E-2
7.991991669E-2,2.801775932E-2,1.485848576E-1,9.209406562E-3
8.994091663E-2,3.361732140E-2,1.478524804E-1,2.350605279E-2
9.996191668E-2,3.486980498E-2,1.033022478E-1,2.786163986E-2
1.099829166E-1,1.556907874E-2,5.742290616E-2,2.892370895E-2
1.200049167E-1,-1.473554410E-3,1.528457180E-2,3.134025633E-2
1.300259166E-1,-1.073283330E-2,2.318111062E-2,2.823394537E-2
1.400469167E-1,3.124933224E-3,3.841552138E-2,3.912803531E-2
1.500679166E-1,-3.357604146E-5,-5.036476068E-4,3.880765662E-2
1.600899167E-1,-6.400136277E-3,-5.644799769E-2,3.467533737E-2
1.701109166E-1,-8.602304384E-3,-8.609563857E-2,4.953710735E-2
1.801319167E-1,-8.003625087E-3,-1.080963388E-1,8.813910186E-2
1.901529166E-1,-1.747888699E-2,-1.832699180E-1,9.713499248E-2
2.001739166E-1,-5.493490770E-2,-3.259052038E-1,1.108651608E-1
2.101959167E-1,-8.920312673E-2,-4.967296720E-1,1.483691335E-1
2.202169166E-1,-1.048271060E-1,-7.554939985E-1,2.051225007E-1
2.302379167E-1,-1.435090005E-1,-1.111338973E0,2.717849016E-1
2.402589166E-1,-1.830385625E-1,-1.460794687E0,3.247978091E-1
2.502809167E-1,-2.088043839E-1,-1.830407023E0,3.261309862E-1
2.603019166E-1,-2.358056158E-1,-2.267472506E0,3.138957620E-1
2.703229167E-1,-3.041743040E-1,-2.547314167E0,3.090698719E-1
2.803439166E-1,-3.754524589E-1,-2.728359222E0,3.033294380E-1
2.903649167E-1,-4.489543736E-1,-3.099403858E0,3.189874887E-1
3.003869166E-1,-5.244824290E-1,-3.509630680E0,4.241734743E-1
3.104079167E-1,-5.791073442E-1,-3.712893248E0,5.651913285E-1
3.204289166E-1,-5.924833417E-1,-3.701808453E0,6.578982472E-1
3.304499167E-1,-5.352389216E-1,-3.486679316E0,7.057653666E-1
3.404709166E-1,-4.422085881E-1,-3.146830082E0,7.505896091E-1
3.504929167E-1,-3.579363227E-1,-2.792006731E0,8.177169561E-1
3.605139167E-1,-2.997140288E-1,-2.446617603E0,8.651430607E-1
3.705349166E-1,-2.363800853E-1,-2.035072565E0,8.440744877E-1
3.805559167E-1,-1.388745606E-1,-1.548853159E0,7.560505271E-1
3.905779166E-1,-2.123898361E-3,-1.060262442E0,6.169366241E-1
4.005989167E-1,1.157848984E-1,-6.722244024E-1,4.706337452E-1
4.106199166E-1,1.980448812E-1,-4.435731769E-1,3.727005124E-1
4.206409167E-1,2.273084819E-1,-3.421513438E-1,3.718992472E-1
4.306619166E-1,2.161684781E-1,-3.077792525E-1,4.351634383E-1
4.406839167E-1,1.957905293E-1,-3.173296452E-1,5.134996176E-1
