"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.270073056E0,5.238127248E1,4.860698966E0,2.447713574E0,3.700000048E-1,NaN,1.120760439E1,3.000000000E1
5.303636909E0,5.238128030E1,4.860710841E0,5.327846527E0,0.000000000E0,2.288671875E2,1.023982807E1,4.000000000E0
6.303599358E0,5.238127945E1,4.860710246E0,5.181179047E0,0.000000000E0,2.288671875E2,1.027108881E1,4.000000000E0
7.303563356E0,5.238128075E1,4.860713073E0,5.943325043E0,0.000000000E0,2.288671875E2,1.030738493E1,4.000000000E0
8.303528547E0,5.238127938E1,4.860722349E0,6.456569672E0,0.000000000E0,2.288671875E2,1.034611853E1,4.000000000E0
9.303497791E0,5.238128012E1,4.860791964E0,6.599208832E0,6.999999881E-1,9.492187500E1,1.400000000E1,4.000000000E0
1.030354798E1,5.238127438E1,4.860799341E0,7.350368500E0,6.999999881E-1,8.683593750E1,1.400000000E1,4.000000000E0
1.130353546E1,5.238126419E1,4.860809650E0,7.982021332E0,6.999999881E-1,1.195312500E2,1.400000000E1,4.000000000E0
1.230350935E1,5.238125200E1,4.860822558E0,8.667751312E0,4.600000083E-1,1.413281250E2,1.400000000E1,4.000000000E0
1.330349481E1,5.238124378E1,4.860828845E0,9.209438324E0,0.000000000E0,NaN,1.400000000E1,4.000000000E0
1.430348015E1,5.238123343E1,4.860830354E0,1.116048813E1,2.599999905E-1,2.362500000E2,1.400000000E1,3.000000000E0
1.530345345E1,5.238121315E1,4.860839993E0,1.014901352E1,0.000000000E0,1.891406250E2,1.400000000E1,3.000000000E0
1.630344033E1,5.238121315E1,4.860839993E0,1.014901359E1,0.000000000E0,NaN,4.748651530E0,4.029364438E0
1.730342960E1,5.238120137E1,4.860842256E0,1.178908927E1,0.000000000E0,NaN,4.748651530E0,4.029364438E0
1.830340934E1,5.238119592E1,4.860836472E0,1.156863029E1,0.000000000E0,NaN,4.748651530E0,4.029364438E0
1.930340540E1,5.238119266E1,4.860832617E0,1.160598380E1,0.000000000E0,NaN,4.748651530E0,4.029364438E0
2.030339527E1,5.238119165E1,4.860832533E0,1.145888908E1,0.000000000E0,NaN,4.748651530E0,4.029364438E0
2.130337405E1,5.238119282E1,4.860834628E0,1.084200675E1,0.000000000E0,NaN,4.748651530E0,4.029364438E0
2.230336487E1,5.238119358E1,4.860836137E0,9.666835851E0,0.000000000E0,NaN,4.748651530E0,5.240662659E0
2.330335867E1,5.238119404E1,4.860836724E0,8.300502845E0,0.000000000E0,NaN,4.748651530E0,4.021896677E0
2.430334198E1,5.238119395E1,4.860836221E0,8.309902259E0,0.000000000E0,NaN,4.748651530E0,4.179255334E0
2.530332553E1,5.238119366E1,4.860837143E0,8.778469154E0,0.000000000E0,NaN,4.748651530E0,4.531010249E0
2.630331051E1,5.238119379E1,4.860834880E0,8.707302162E0,0.000000000E0,NaN,4.748651530E0,4.853719141E0
2.730329573E1,5.238119370E1,4.860832533E0,8.464565345E0,0.000000000E0,NaN,4.748651530E0,4.758404108E0
2.830328035E1,5.238119337E1,4.860832198E0,8.264370034E0,0.000000000E0,NaN,4.748651530E0,4.466174936E0
2.930326581E1,5.238119345E1,4.860831946E0,8.206325600E0,0.000000000E0,NaN,4.748651530E0,4.267398058E0
3.030325198E1,5.238119333E1,4.860832365E0,8.022609780E0,0.000000000E0,NaN,4.870687773E0,4.000000000E0
3.130323899E1,5.238119379E1,4.860832281E0,7.689785073E0,0.000000000E0,NaN,5.591653662E0,4.000000000E0
3.230322528E1,5.238119421E1,4.860834377E0,7.891628333E0,0.000000000E0,NaN,5.138466413E0,4.000000000E0
3.330321276E1,5.238119387E1,4.860834964E0,8.548915931E0,0.000000000E0,NaN,4.748651530E0,4.027113182E0
3.430319870E1,5.238119354E1,4.860835215E0,9.607143470E0,0.000000000E0,NaN,4.748651530E0,4.567742055E0
3.530318701E1,5.238119358E1,4.860835299E0,1.029989249E1,0.000000000E0,NaN,4.748651530E0,4.900478827E0
3.630317450E1,5.238117525E1,4.860911874E0,9.269570364E-1,1.161902513E-1,NaN,2.630695617E1,6.521362131E0
3.730316186E1,5.238116161E1,4.860917883E0,9.884156026E-1,4.246132281E-1,NaN,2.295846068E1,5.685112271E0
3.830314958E1,5.238115406E1,4.860910979E0,1.215644567E0,3.912459215E-1,NaN,2.119208104E1,5.393530565E0
3.930313826E1,5.238115755E1,4.860907581E0,1.380165685E0,2.967580687E-1,NaN,1.939304195E1,5.303487151E0
4.030312634E1,5.238114547E1,4.860876178E0,1.497789012E0,5.648578519E-1,NaN,1.930791284E1,5.302573174E0
4.130311477E1,5.238114830E1,4.860861826E0,1.361441304E0,3.414574538E-1,NaN,2.074220340E1,5.235576464E0
4.230310404E1,5.238114439E1,4.860851031E0,1.269259391E0,2.827418224E-1,NaN,2.097824441E1,5.350486152E0
4.330309212E1,5.238114079E1,4.860847095E0,1.323212842E0,1.905404522E-1,NaN,2.479181109E1,5.644697863E0
4.430308127E1,5.238114129E1,4.860864619E0,1.226997958E0,2.911553526E-1,NaN,2.394757680E1,5.718005433E0
4.530307019E1,5.238113299E1,4.860853961E0,1.265835382E0,2.491677733E-1,NaN,2.352085616E1,5.616425615E0
4.630305898E1,5.238112628E1,4.860834718E0,1.338547307E0,4.728322736E-1,NaN,2.300571154E1,5.121080037E0
4.730304801E1,5.238113367E1,4.860850681E0,1.295584513E0,2.434810746E-1,NaN,2.224463095E1,4.855965629E0
4.830303848E1,5.238114059E1,4.860864374E0,1.190006438E0,4.541915968E-1,NaN,2.216650550E1,5.435868097E0
4.930302775E1,5.238114520E1,4.860842670E0,1.149306541E0,2.880239888E-1,NaN,2.421886079E1,6.119799223E0
5.030301642E1,5.238115579E1,4.860851900E0,1.155911887E0,2.017453623E-1,NaN,2.394542788E1,5.503297431E0
5.130303371E1,5.238115386E1,4.860836528E0,1.126869977E0,1.265390749E-1,NaN,2.329519061E1,5.385839082E0
5.230299592E1,5.238115038E1,4.860843851E0,1.539636431E0,5.226718472E-1,NaN,2.307934897E1,5.572617228E0
5.330298626E1,5.238114233E1,4.860862369E0,1.321364639E0,1.292482185E-1,NaN,2.294926625E1,6.100658027E0
5.430297577E1,5.238114356E1,4.860882969E0,1.323086720E0,4.597984504E-1,NaN,2.370180974E1,5.568972321E0
5.530296600E1,5.238114670E1,4.860918245E0,1.078559814E0,1.214033445E0,7.960800866E1,2.338609930E1,4.470710677E0
5.630295610E1,5.238112976E1,4.860906569E0,9.718203982E-1,4.450869992E-1,NaN,2.309398475E1,4.154626516E0
5.730294597E1,5.238115451E1,4.860924637E0,-1.955574565E-1,1.094376412E0,8.114828369E0,2.496757132E1,3.783499078E0
5.830293584E1,5.238113761E1,4.860912687E0,-3.971827058E-1,5.444286485E-1,NaN,2.535199938E1,3.383765905E0
5.930292618E1,5.238114129E1,4.860924446E0,-3.727482650E-1,4.376925676E-1,NaN,2.588346283E1,3.462770737E0
