"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.178091671E-2,4.679508135E-2,-8.928520232E-2,3.813300654E-2
2.180291677E-2,3.533356637E-2,-1.991986036E-1,6.574833393E-2
3.182391671E-2,1.971545629E-2,-2.401071489E-1,1.014520004E-1
4.184591677E-2,-1.133145578E-2,6.789459288E-2,8.707188070E-2
5.186791671E-2,-8.895700425E-2,3.310673833E-1,-2.352919802E-2
6.188891677E-2,-1.351461262E-1,2.364670932E-1,-6.863765419E-2
7.191091671E-2,-9.876255691E-2,1.548105776E-1,-1.576324925E-2
8.193291677E-2,2.063800581E-3,1.302601397E-1,1.239496656E-2
9.195491672E-2,7.739503682E-2,2.792392299E-2,3.488456458E-2
1.019759168E-1,8.260136843E-2,-4.400448501E-2,7.037271559E-2
1.119979167E-1,5.596096441E-2,-2.288482152E-2,9.607382119E-2
1.220199168E-1,2.459916845E-2,8.431528695E-3,1.128742769E-1
1.320419167E-1,2.586656623E-2,1.179741230E-3,1.158730015E-1
1.420629168E-1,3.159675002E-2,-3.647021949E-2,1.184870452E-1
1.520849167E-1,1.476610545E-2,-1.057645977E-1,1.254355013E-1
1.621069168E-1,-7.223791908E-3,-2.088063806E-1,1.184926257E-1
1.721279167E-1,-1.883251034E-2,-3.544165790E-1,1.052396670E-1
1.821499168E-1,-2.149999328E-2,-5.264742374E-1,1.035687327E-1
1.921719167E-1,-1.696702652E-2,-7.047121525E-1,1.211205646E-1
2.021929168E-1,-1.947246119E-2,-8.859057426E-1,1.160502210E-1
2.122149167E-1,-1.973132044E-2,-1.068714023E0,9.331294894E-2
2.222369168E-1,-1.030576974E-2,-1.282352567E0,1.071350053E-1
2.322589167E-1,-1.506776921E-2,-1.502093673E0,1.800108105E-1
2.422799168E-1,-2.382837795E-2,-1.642778516E0,2.242543250E-1
2.523019167E-1,-2.002777904E-2,-1.824206829E0,2.312667072E-1
2.623239168E-1,-1.184033975E-2,-1.986988187E0,2.744764984E-1
2.723449167E-1,8.522989228E-3,-2.128487825E0,3.129703701E-1
2.823643751E-1,2.126366459E-2,-2.314257622E0,3.412474692E-1
2.923863750E-1,1.234953199E-2,-2.482857466E0,3.753428459E-1
3.024083751E-1,-6.641919166E-2,-2.783144474E0,4.447354376E-1
3.124293750E-1,-1.630464047E-1,-3.197566748E0,4.810300767E-1
3.224513751E-1,-2.671087980E-1,-3.681845903E0,4.752747118E-1
3.324733750E-1,-4.328905940E-1,-4.207729340E0,3.884175718E-1
3.424943751E-1,-7.127342224E-1,-5.089029789E0,-1.236429662E-1
3.525163750E-1,-9.344676733E-1,-5.918501854E0,-5.197786093E-1
3.625383751E-1,-9.317073822E-1,-6.292481899E0,-9.365143180E-1
3.725603750E-1,-7.270392179E-1,-6.529530048E0,-1.245333195E0
3.825813751E-1,-6.532709002E-1,-6.409930229E0,-1.005616426E0
3.926033750E-1,-6.047238708E-1,-6.163101673E0,-4.103242755E-1
4.026253751E-1,-5.339645147E-1,-5.806249619E0,2.231102586E-1
4.126463750E-1,-4.443896115E-1,-5.310230732E0,5.094669461E-1
4.226683751E-1,-3.184520900E-1,-4.673285961E0,2.854389846E-1
4.326903750E-1,-1.423271000E-1,-3.933607101E0,-2.805764973E-1
4.427123751E-1,3.544605523E-2,-3.124649763E0,-8.172600269E-1
4.527333750E-1,1.871375740E-1,-2.312866688E0,-1.055438876E0
4.627553751E-1,3.024336100E-1,-1.599106669E0,-1.001614690E0
4.727773750E-1,3.780652583E-1,-1.011296988E0,-8.063362837E-1
4.827983751E-1,4.249840379E-1,-5.639377832E-1,-6.182127595E-1
4.928203750E-1,4.471293092E-1,-2.681252956E-1,-4.991513193E-1
5.028423751E-1,4.387926161E-1,-1.106169969E-1,-4.515140653E-1
5.128643750E-1,3.943508565E-1,-8.418485522E-2,-4.284287095E-1
5.228853751E-1,3.134766221E-1,-1.719622165E-1,-4.082113206E-1
5.329073750E-1,2.055858374E-1,-3.560353816E-1,-3.814977109E-1
5.429293751E-1,8.108954877E-2,-5.908800960E-1,-3.602808416E-1
5.529503750E-1,-4.056871310E-2,-8.199388385E-1,-3.399406672E-1
5.629723751E-1,-1.516363025E-1,-1.007602334E0,-3.104970157E-1
5.729943750E-1,-2.523831725E-1,-1.147195935E0,-2.800954282E-1
5.830163751E-1,-3.356516659E-1,-1.245135546E0,-2.626728117E-1
5.930373750E-1,-4.002192020E-1,-1.293112636E0,-2.556926906E-1
6.030593751E-1,-4.529194236E-1,-1.280957699E0,-2.528790534E-1
6.130813750E-1,-4.997920990E-1,-1.218034148E0,-2.387602925E-1
6.231033751E-1,-5.351527333E-1,-1.124786139E0,-2.167046815E-1
6.331243750E-1,-5.627561212E-1,-9.999669194E-1,-1.787583679E-1
6.431463751E-1,-5.854619145E-1,-8.472164273E-1,-1.257931143E-1
6.531683750E-1,-6.049575806E-1,-6.675651670E-1,-6.901371479E-2
6.631893751E-1,-6.204128861E-1,-4.847869277E-1,-1.807422936E-2
