"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.178091671E-2,8.240588067E-1,3.743585080E-1,2.754337011E-1,3.239123550E-1,6.901363108E1,5.447056965E1,1.220607575E1,4.921664329E1
2.180291677E-2,8.240973500E-1,3.748269808E-1,2.748117295E-1,3.238007290E-1,6.900583422E1,5.448287024E1,1.213435061E1,4.916579592E1
3.182391671E-2,8.242288903E-1,3.754361977E-1,2.737389395E-1,3.236686830E-1,6.897921933E1,5.448176854E1,1.201766203E1,4.908294870E1
4.184591677E-2,8.241970062E-1,3.757774818E-1,2.731172102E-1,3.238790168E-1,6.898567135E1,5.448233845E1,1.193441481E1,4.906666291E1
5.186791671E-2,8.239260231E-1,3.752562517E-1,2.739025325E-1,3.245088382E-1,6.904048576E1,5.447886678E1,1.199362803E1,4.918561012E1
6.188891677E-2,8.238350280E-1,3.742165996E-1,2.750231487E-1,3.249923047E-1,6.905888367E1,5.443638540E1,1.211721733E1,4.930658780E1
7.191091671E-2,8.238719697E-1,3.733518095E-1,2.756817564E-1,3.253351904E-1,6.905141510E1,5.438272144E1,1.219995210E1,4.938177831E1
8.193291677E-2,8.237676352E-1,3.729016284E-1,2.761961271E-1,3.256792562E-1,6.907250678E1,5.436768948E1,1.224838993E1,4.945119610E1
9.195491672E-2,8.235324136E-1,3.729817391E-1,2.765669877E-1,3.258676948E-1,6.912003716E1,5.440325034E1,1.226528470E1,4.949862550E1
1.019759168E-1,8.233140508E-1,3.734227057E-1,2.765337918E-1,3.259425897E-1,6.916413536E1,5.445277657E1,1.223486860E1,4.950896127E1
1.119979167E-1,8.230934753E-1,3.738902513E-1,2.763472815E-1,3.261217771E-1,6.920865543E1,5.449611472E1,1.218399649E1,4.952047280E1
1.220199168E-1,8.228570947E-1,3.742085285E-1,2.761824610E-1,3.264925218E-1,6.925633773E1,5.452526671E1,1.213201144E1,4.955327122E1
1.320419167E-1,8.226130223E-1,3.744525324E-1,2.760407896E-1,3.269475813E-1,6.930554147E1,5.454807046E1,1.208114594E1,4.959630312E1
1.420629168E-1,8.223904659E-1,3.747672376E-1,2.758004735E-1,3.273494305E-1,6.935038107E1,5.457203330E1,1.202108726E1,4.962725762E1
