"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.959858334E-2,7.076975736E0,5.569216801E0,-3.890545799E0
2.962158329E-2,7.066233816E0,5.575177453E0,-3.901522777E0
3.964458324E-2,7.056215782E0,5.568000580E0,-3.929797573E0
4.966758331E-2,7.047134471E0,5.550737845E0,-3.970305621E0
5.969158327E-2,7.042136856E0,5.528662267E0,-4.009776666E0
6.971458334E-2,7.041452731E0,5.506771461E0,-4.040979455E0
7.973758329E-2,7.040403741E0,5.490599817E0,-4.064739616E0
8.976058324E-2,7.036504818E0,5.482913652E0,-4.081834535E0
9.978358331E-2,7.032389547E0,5.479972503E0,-4.092858291E0
1.098075833E-1,7.029227373E0,5.476530247E0,-4.102890944E0
1.198305833E-1,7.026176881E0,5.471344351E0,-4.115013683E0
1.298535833E-1,7.022662119E0,5.466044435E0,-4.128033679E0
1.398765832E-1,7.017760398E0,5.462662405E0,-4.140830602E0
1.499005833E-1,7.011051303E0,5.461597043E0,-4.153578702E0
1.599235833E-1,7.004490727E0,5.461949630E0,-4.164171518E0
1.699465833E-1,7.000306460E0,5.462703336E0,-4.170215785E0
1.799695833E-1,6.998768642E0,5.463314955E0,-4.171997431E0
1.899935832E-1,6.997293389E0,5.464340556E0,-4.173123897E0
2.000165833E-1,6.993637125E0,5.466034495E0,-4.177036562E0
2.100395833E-1,6.988174072E0,5.467513840E0,-4.184234484E0
2.200625833E-1,6.983384033E0,5.467888647E0,-4.191731492E0
2.300855833E-1,6.981130516E0,5.466603429E0,-4.197165017E0
2.401095832E-1,6.981983040E0,5.463445932E0,-4.199855028E0
2.501325833E-1,6.985699530E0,5.459034208E0,-4.199415902E0
2.601555833E-1,6.992136145E0,5.454449406E0,-4.194651884E0
2.701785833E-1,7.000613438E0,5.450118958E0,-4.186131613E0
2.802025833E-1,7.009968399E0,5.445987900E0,-4.175838175E0
2.902255832E-1,7.020105132E0,5.441760364E0,-4.164308050E0
3.002485833E-1,7.031334125E0,5.436064006E0,-4.152786112E0
3.102715833E-1,7.042376592E0,5.428121148E0,-4.144457045E0
3.202955833E-1,7.050527025E0,5.420016323E0,-4.141205409E0
3.303185833E-1,7.052286453E0,5.415694061E0,-4.143868816E0
3.403415832E-1,7.043585796E0,5.417290936E0,-4.156554935E0
3.503645833E-1,7.022239950E0,5.424334491E0,-4.183400671E0
3.603875833E-1,6.993995560E0,5.437301277E0,-4.213772279E0
