"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.309816667E-2,4.843777021E0,-8.576038107E-2,8.530332177E0
2.312016662E-2,4.828948482E0,-7.924360441E-2,8.538798360E0
3.314216656E-2,4.822836972E0,-7.382796352E-2,8.542300258E0
4.316416662E-2,4.826539137E0,-6.978450883E-2,8.540242622E0
5.318516667E-2,4.835871585E0,-6.780508929E-2,8.534978374E0
6.320716662E-2,4.845927627E0,-6.751028912E-2,8.529275000E0
7.322916656E-2,4.852968259E0,-6.747557128E-2,8.525270827E0
8.325016662E-2,4.855857368E0,-6.686662031E-2,8.523630683E0
9.327216656E-2,4.853409724E0,-6.399674292E-2,8.525046294E0
1.032941666E-1,4.845585565E0,-5.744176292E-2,8.529542803E0
1.133161666E-1,4.836935779E0,-4.830468904E-2,8.534507089E0
1.233371666E-1,4.830230776E0,-3.762499862E-2,8.538358065E0
1.333591666E-1,4.826955166E0,-2.668234109E-2,8.540251393E0
1.433811666E-1,4.828270205E0,-1.699405864E-2,8.539532771E0
1.534031666E-1,4.833739690E0,-8.989700635E-3,8.536450118E0
1.634241666E-1,4.841970816E0,-2.488346289E-3,8.531788133E0
1.734461666E-1,4.853165018E0,3.576219048E-3,8.525425193E0
1.834681666E-1,4.867925729E0,1.021621636E-2,8.517000525E0
1.934891667E-1,4.886033094E0,1.730870850E-2,8.506613531E0
2.035111666E-1,4.906126174E0,2.442490471E-2,8.495023765E0
2.135331666E-1,4.923633907E0,3.129988500E-2,8.484865982E0
2.235551666E-1,4.936538712E0,3.689736059E-2,8.477341785E0
2.335761666E-1,4.947285894E0,4.031294310E-2,8.471058952E0
2.435981666E-1,4.955701792E0,4.111108346E-2,8.466134427E0
2.536201666E-1,4.961940771E0,3.903728164E-2,8.462489272E0
2.636411666E-1,4.967586842E0,3.526066098E-2,8.459192612E0
2.736631666E-1,4.973383187E0,3.108473259E-2,8.455802397E0
2.836851666E-1,4.978232283E0,2.613826224E-2,8.452964743E0
2.937071666E-1,4.982090276E0,2.018856043E-2,8.450708302E0
3.037281666E-1,4.988687105E0,1.219170045E-2,8.446831014E0
3.137501666E-1,5.004561710E0,-1.210295304E-4,8.437443894E0
3.237721666E-1,5.039779490E0,-1.717890603E-2,8.416437771E0
3.337931667E-1,5.103351588E0,-3.768324237E-2,8.377975956E0
3.438151666E-1,5.207192876E0,-6.138618497E-2,8.313691667E0
3.538371666E-1,5.346030334E0,-8.609902622E-2,8.224879478E0
3.638591666E-1,5.491071687E0,-1.068651020E-1,8.128518534E0
3.738801666E-1,5.616631288E0,-1.202933880E-1,8.042081484E0
3.839021666E-1,5.724329399E0,-1.286239436E-1,7.965651943E0
3.939241666E-1,5.828525612E0,-1.336580400E-1,7.889646326E0
4.039451666E-1,5.928187895E0,-1.327038931E-1,7.815053980E0
4.139671666E-1,6.011954522E0,-1.237645511E-1,7.750947447E0
4.239891666E-1,6.073201767E0,-1.069037484E-1,7.703303749E0
4.340111666E-1,6.113552232E0,-8.191901620E-2,7.671627043E0
4.440321666E-1,6.140288626E0,-4.772323370E-2,7.650534967E0
4.540541666E-1,6.163182814E0,-5.106030248E-3,7.632251308E0
4.640761666E-1,6.188666734E0,4.407824391E-2,7.611475566E0
4.740981666E-1,6.219321347E0,9.628194314E-2,7.585965334E0
4.841191666E-1,6.256740603E0,1.476931665E-1,7.554302076E0
4.941411666E-1,6.300157934E0,1.961570917E-1,7.517023153E0
5.041631666E-1,6.347439104E0,2.406593181E-1,7.475840628E0
5.141841666E-1,6.398633816E0,2.806095054E-1,7.430668548E0
5.242061666E-1,6.459844809E0,3.148029079E-1,7.376137415E0
5.342281666E-1,6.534665195E0,3.422884760E-1,7.308699138E0
5.442501666E-1,6.617904403E0,3.620786697E-1,7.232450277E0
5.542711666E-1,6.699252622E0,3.746495987E-1,7.156518334E0
5.642931666E-1,6.771829432E0,3.817493976E-1,7.087502478E0
5.743151666E-1,6.833431018E0,3.857402319E-1,7.027910580E0
5.843371666E-1,6.883742800E0,3.905038488E-1,6.978373554E0
5.943581666E-1,6.923942993E0,3.987300773E-1,6.938020749E0
6.043801666E-1,6.956411996E0,4.107432915E-1,6.904761202E0
6.144021666E-1,6.984646447E0,4.236014649E-1,6.875418704E0
6.244231666E-1,7.013214188E0,4.337476996E-1,6.845640004E0
6.344451666E-1,7.043910316E0,4.401904177E-1,6.813637024E0
6.444671666E-1,7.073635222E0,4.456016137E-1,6.782419909E0
6.544891666E-1,7.100223681E0,4.540431293E-1,6.754018813E0
6.645101666E-1,7.125028154E0,4.674237515E-1,6.726930417E0
6.745321666E-1,7.149854262E0,4.849854982E-1,6.699289459E0
6.845541666E-1,7.175314794E0,5.030344277E-1,6.670675524E0
6.945751666E-1,7.203708873E0,5.178551459E-1,6.638863163E0
7.045971666E-1,7.238199259E0,5.290990493E-1,6.600351062E0
7.146191666E-1,7.278701168E0,5.382299516E-1,6.554915857E0
7.246411666E-1,7.321465364E0,5.475956927E-1,6.506333681E0
7.346621666E-1,7.365945718E0,5.561077769E-1,6.455205628E0
7.446841666E-1,7.414154842E0,5.608496495E-1,6.399362964E0
7.547061666E-1,7.467300770E0,5.609836970E-1,6.337256178E0
7.647281666E-1,7.522520120E0,5.570921557E-1,6.271955643E0
7.747491666E-1,7.571911551E0,5.504604629E-1,6.212828599E0
7.847711666E-1,7.610711335E0,5.410010933E-1,6.166076601E0
7.947931666E-1,7.639508287E0,5.294635501E-1,6.131368114E0
8.048141666E-1,7.664054314E0,5.185381007E-1,6.101597015E0
8.148362499E-1,7.689890236E0,5.107770548E-1,6.069662447E0
8.248582500E-1,7.720062454E0,5.093210981E-1,6.031362600E0
8.348802499E-1,7.755004245E0,5.157161979E-1,5.985820976E0
8.449012500E-1,7.791234178E0,5.296912991E-1,5.937356914E0
8.549232499E-1,7.828525965E0,5.498591864E-1,5.886250495E0
8.649452500E-1,7.869719015E0,5.743816780E-1,5.828698105E0
8.749662499E-1,7.918821593E0,6.014686487E-1,5.759044903E0
8.849882500E-1,7.977427651E0,6.269837782E-1,5.674825117E0
8.950102499E-1,8.043042766E0,6.469542123E-1,5.579158822E0
9.050322500E-1,8.114941299E0,6.608751903E-1,5.472392757E0
9.150532499E-1,8.192811009E0,6.700279100E-1,5.353972022E0
9.250752500E-1,8.272954116E0,6.777607796E-1,5.228286121E0
9.350972499E-1,8.350531465E0,6.864420676E-1,5.102306106E0
9.451182500E-1,8.421801422E0,6.961836751E-1,4.982439939E0
9.551402499E-1,8.485021518E0,7.056750217E-1,4.872631276E0
9.651622500E-1,8.538168615E0,7.143992867E-1,4.777594433E0
9.751842499E-1,8.577761866E0,7.247296357E-1,4.704559202E0
9.852052500E-1,8.602431269E0,7.401187033E-1,4.656877789E0
9.952272499E-1,8.612642262E0,7.627452352E-1,4.634299058E0
1.005249250E0,8.608522314E0,7.937791130E-1,4.636739978E0
1.015271250E0,8.592096900E0,8.326595888E-1,4.660326477E0
1.025292250E0,8.566234081E0,8.787662729E-1,4.699310156E0
1.035314250E0,8.534552697E0,9.316079262E-1,4.746538409E0
1.045336250E0,8.502026390E0,9.912607086E-1,4.792603067E0
1.055357250E0,8.476678126E0,1.057248803E0,4.823302703E0
1.065379250E0,8.464959136E0,1.125980338E0,4.828326923E0
1.075401250E0,8.470808691E0,1.191975961E0,4.802155955E0
1.085423250E0,8.494523828E0,1.251635394E0,4.744740683E0
1.095444250E0,8.531912094E0,1.305276435E0,4.662490239E0
1.105466250E0,8.574837674E0,1.355905429E0,4.568345682E0
1.115488250E0,8.616418979E0,1.407338853E0,4.473570794E0
1.125510250E0,8.652215633E0,1.463808339E0,4.385492431E0
1.135531250E0,8.678670191E0,1.528207818E0,4.310611525E0
1.145553250E0,8.693717415E0,1.598983832E0,4.254247875E0
1.155575250E0,8.696397194E0,1.673917508E0,4.219806313E0
1.165596250E0,8.685694451E0,1.756613071E0,4.208221517E0
1.175618250E0,8.658997818E0,1.853393553E0,4.221704319E0
1.185640250E0,8.617655080E0,1.961551986E0,4.257278779E0
1.195662250E0,8.564455943E0,2.071320304E0,4.312289092E0
1.205683250E0,8.507160830E0,2.175064966E0,4.374176607E0
1.215705250E0,8.461367192E0,2.268834279E0,4.415174067E0
1.225727250E0,8.433788799E0,2.345943996E0,4.427624543E0
1.235748250E0,8.425807934E0,2.405381382E0,4.410895952E0
1.245770250E0,8.438393481E0,2.451798334E0,4.360999322E0
1.255792250E0,8.470130998E0,2.490358090E0,4.276810234E0
1.265814250E0,8.514595565E0,2.525552189E0,4.166455733E0
1.275835250E0,8.564366480E0,2.559237413E0,4.042032831E0
1.285857250E0,8.614081846E0,2.589765434E0,3.914946522E0
1.295879250E0,8.660330983E0,2.612671024E0,3.795882593E0
1.305901250E0,8.699872779E0,2.623844176E0,3.696449814E0
1.315922250E0,8.729594761E0,2.622166318E0,3.626914433E0
1.325944250E0,8.746988474E0,2.605809901E0,3.596671757E0
1.335966250E0,8.749999790E0,2.578356639E0,3.609109369E0
1.345987250E0,8.738056852E0,2.547904925E0,3.659321457E0
1.356009250E0,8.714251083E0,2.520352260E0,3.734401167E0
1.366031250E0,8.684447824E0,2.499238549E0,3.817101847E0
1.376053250E0,8.654770866E0,2.483159875E0,3.894220482E0
1.386074250E0,8.632553201E0,2.464357861E0,3.955005504E0
1.396096250E0,8.627888292E0,2.435007762E0,3.983262466E0
1.406118250E0,8.651245580E0,2.390552258E0,3.959459036E0
1.416140250E0,8.703367075E0,2.329032679E0,3.881122718E0
1.426161250E0,8.776293549E0,2.253406108E0,3.759645644E0
1.436183250E0,8.861598578E0,2.168154581E0,3.606559691E0
1.446205250E0,8.951748610E0,2.077689237E0,3.433002051E0
1.456226250E0,9.038941705E0,1.984542215E0,3.255028302E0
1.466248250E0,9.115285292E0,1.891608616E0,3.093460962E0
1.476270250E0,9.177032474E0,1.802236117E0,2.961439896E0
1.486292250E0,9.224031808E0,1.715028404E0,2.865662504E0
1.496313250E0,9.258080730E0,1.622033409E0,2.809460236E0
1.506335250E0,9.282987530E0,1.515071024E0,2.786899632E0
1.516357250E0,9.298142928E0,1.392976045E0,2.800043588E0
1.526378250E0,9.297188662E0,1.264529674E0,2.863449625E0
1.536400250E0,9.277557220E0,1.140357764E0,2.977015709E0
1.546422250E0,9.243873750E0,1.025263729E0,3.120212559E0
1.556444250E0,9.202828050E0,9.195859046E-1,3.270843558E0
1.566465250E0,9.161231543E0,8.214019445E-1,3.410753396E0
1.576487250E0,9.125029092E0,7.263154006E-1,3.527378743E0
1.586509250E0,9.099056929E0,6.310193802E-1,3.611794703E0
1.596531250E0,9.086320524E0,5.334982751E-1,3.659268832E0
1.606552250E0,9.086108855E0,4.351961646E-1,3.672781747E0
1.616574250E0,9.096095899E0,3.382354419E-1,3.658241768E0
1.626596250E0,9.112005588E0,2.427433754E-1,3.626089391E0
1.636617250E0,9.129496365E0,1.483959927E-1,3.586972980E0
1.646639250E0,9.145299050E0,5.615831279E-2,3.549148512E0
1.656661250E0,9.156324559E0,-3.267227677E-2,3.520903536E0
1.666683250E0,9.162323218E0,-1.198031721E-1,3.503368614E0
1.676704250E0,9.161331530E0,-2.073576160E-1,3.501872896E0
