"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.905750018E-3,-1.950144653E0,-1.486708374E0,9.730814667E0
1.192674995E-2,-2.289938049E0,-1.431173859E0,9.541308746E0
2.194875001E-2,-1.888323212E0,-1.888023834E0,9.753267975E0
3.197074996E-2,-1.895208893E0,-1.916913757E0,9.700727234E0
4.199175001E-2,-2.265389099E0,-1.739682312E0,9.387428741E0
5.201374996E-2,-2.272723846E0,-1.835034027E0,9.345964966E0
6.203575002E-2,-2.107916565E0,-1.780098267E0,9.405541077E0
7.205674995E-2,-2.170336761E0,-1.913171539E0,9.339378662E0
8.207875001E-2,-2.228715363E0,-2.014061737E0,9.118138733E0
9.210074996E-2,-2.315834198E0,-1.968107300E0,8.908424835E0
1.021217500E-1,-2.342628479E0,-1.231040039E0,9.029972076E0
1.121437500E-1,-1.634451141E0,-8.653504944E-1,1.008243347E1
1.221657500E-1,-1.244212646E0,-3.600462799E0,1.007180557E1
1.321877500E-1,-2.736908569E0,-4.273163910E0,8.648116150E0
1.422087500E-1,-3.664529572E0,-1.341959381E0,8.359216919E0
1.522307500E-1,-3.113226013E0,5.673202515E-2,9.139843597E0
1.622527500E-1,-2.386187897E0,-1.456022186E0,9.401200104E0
1.722737500E-1,-2.031575317E0,-2.349514160E0,9.195228424E0
1.822957500E-1,-1.717229004E0,-2.356998596E0,9.109157410E0
1.923177500E-1,-1.625769196E0,-2.105072479E0,9.102571106E0
2.023387500E-1,-1.755249939E0,-2.134112091E0,9.144483948E0
2.123607500E-1,-2.129471741E0,-2.439177704E0,9.217532043E0
2.223827500E-1,-2.669099579E0,-2.414928131E0,8.925788727E0
2.324037499E-1,-2.994522858E0,-2.241438904E0,8.964558105E0
2.424257500E-1,-3.009491730E0,-2.118095398E0,9.110504608E0
2.524477500E-1,-2.925067291E0,-2.490371246E0,9.139993286E0
2.624687500E-1,-2.981499939E0,-2.985840912E0,8.861721954E0
2.724907500E-1,-3.119512939E0,-3.265010376E0,8.525670776E0
2.825127500E-1,-3.119363251E0,-2.992576904E0,8.559051361E0
2.925347500E-1,-2.750979309E0,-2.098186798E0,8.832832031E0
3.025557500E-1,-2.379601593E0,-2.239492950E0,8.836274872E0
3.125777500E-1,-2.257305908E0,-3.078049164E0,8.767268372E0
3.225997500E-1,-1.992656250E0,-3.451821899E0,8.702153778E0
3.326207499E-1,-1.624421997E0,-3.237018585E0,8.606652374E0
3.426427500E-1,-1.406325531E0,-3.313958588E0,8.748108215E0
3.526647500E-1,-1.131047974E0,-3.268303528E0,8.839418335E0
3.626857500E-1,-6.044430542E-1,-2.876418457E0,8.486302643E0
3.727077499E-1,-4.519102478E-1,-2.453398132E0,8.181536407E0
3.827297500E-1,-6.053411865E-1,-2.479593658E0,7.982450409E0
3.927507499E-1,-5.035528564E-1,-2.855462036E0,7.657326508E0
4.027727500E-1,-7.649093628E-2,-2.718496857E0,7.442223816E0
4.127947500E-1,2.372566223E-1,-2.341131592E0,6.992259521E0
4.228167500E-1,3.929328918E-1,-2.570903778E0,7.748486938E0
4.328377499E-1,8.819659424E-1,-2.613115997E0,7.510631561E0
4.428597500E-1,1.360670471E0,-2.683170319E0,7.264992371E0
4.528817500E-1,2.662064209E0,-2.523751831E0,6.920408936E0
4.629027500E-1,4.412075043E0,-2.295775909E0,6.558311920E0
4.729247499E-1,6.262676697E0,-2.140698395E0,6.697971497E0
4.829467500E-1,8.185578003E0,-2.156116333E0,6.788533173E0
4.929677499E-1,9.704020386E0,-2.438429260E0,7.169940033E0
5.029897500E-1,1.046728317E1,-2.828518066E0,7.828121338E0
5.130117500E-1,1.043974045E1,-3.219055939E0,8.344098358E0
5.230327500E-1,9.890831909E0,-3.408861237E0,8.409063263E0
5.330547499E-1,9.074579315E0,-3.377426605E0,8.103847961E0
5.430767500E-1,8.308322754E0,-3.174299011E0,7.662116547E0
5.530987500E-1,7.499404907E0,-3.004102936E0,7.482190704E0
5.631197500E-1,6.745123444E0,-2.990331573E0,7.435188446E0
5.731417499E-1,6.298152924E0,-3.070115662E0,7.264094238E0
5.831637500E-1,6.100863190E0,-3.221900024E0,7.195985870E0
5.931847499E-1,5.874982910E0,-3.347339172E0,7.158563690E0
6.032067500E-1,5.608087921E0,-3.376678162E0,7.146438904E0
6.132287499E-1,5.454058228E0,-3.264710999E0,7.125332794E0
6.232497500E-1,5.472170563E0,-3.001258850E0,7.075486450E0
6.332717499E-1,5.657185822E0,-2.712808685E0,7.114106140E0
6.432937500E-1,5.904621277E0,-2.536325684E0,7.282056885E0
6.533147499E-1,6.303242340E0,-2.449206848E0,7.469167786E0
6.633367500E-1,6.829547882E0,-2.407743073E0,7.683222656E0
6.733592916E-1,7.311545563E0,-2.269879761E0,7.616461487E0
6.833812917E-1,7.922574921E0,-2.150278473E0,7.389832764E0
6.934022916E-1,8.416098633E0,-2.160906372E0,7.190746765E0
7.034242917E-1,8.748557281E0,-2.115850067E0,6.971901855E0
7.134462916E-1,9.031768341E0,-2.106269989E0,6.931485901E0
7.234672917E-1,8.856333160E0,-2.036515045E0,6.863377533E0
7.334892916E-1,8.367000732E0,-1.963616638E0,6.915020142E0
