"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.443274994E-2,3.478541970E-2,1.650548726E-1,-2.993398905E-2
2.445475000E-2,9.949052706E-3,2.166377157E-1,-2.330038138E-2
3.447674995E-2,-1.343243755E-2,1.327337623E-1,-1.346372999E-2
4.449775000E-2,-2.139697596E-2,-1.320354640E-4,1.688568480E-2
5.451974995E-2,-2.303748205E-2,-4.470855743E-2,2.133449540E-2
6.454175001E-2,-3.096759692E-2,-2.428177558E-2,2.086596005E-2
7.456274994E-2,-4.115631804E-2,-4.122001305E-2,2.813106403E-2
8.458475000E-2,-5.165326968E-2,-1.308164001E-1,4.942633584E-2
9.460674995E-2,-6.046859920E-2,-1.785836518E-1,7.282673568E-2
1.046277500E-1,-4.576168209E-2,1.359384805E-1,9.734861553E-2
1.146497499E-1,-8.147387952E-2,4.330188930E-1,4.948104732E-3
1.246717500E-1,-1.198438182E-1,2.434359193E-1,-7.677411288E-2
1.346937499E-1,-7.556237280E-2,-1.034589335E-1,-1.742476970E-2
1.447147500E-1,3.233448416E-2,-2.527564764E-1,2.668026276E-2
1.547367499E-1,9.162017703E-2,-2.644171417E-1,5.147162825E-2
1.647587500E-1,6.311986595E-2,-1.698127836E-1,8.067768067E-2
1.747797499E-1,2.262276970E-2,-7.845544815E-2,1.063327119E-1
1.848017500E-1,2.436735854E-2,-4.867403954E-2,1.082751080E-1
1.948237499E-1,3.422957659E-2,-6.734413654E-2,9.812979400E-2
2.048447500E-1,2.599652298E-2,-7.652992010E-2,1.079037040E-1
2.148667499E-1,7.689421996E-3,-2.238727808E-1,1.174362227E-1
2.248887500E-1,3.515585558E-3,-4.214675128E-1,1.340975612E-1
2.349097499E-1,1.306914352E-2,-5.633644462E-1,1.253658533E-1
2.449317500E-1,1.188669261E-2,-7.184827328E-1,1.074793339E-1
2.549537499E-1,-1.095497329E-2,-9.524958134E-1,1.102061421E-1
2.649747500E-1,-5.890939012E-2,-1.294145226E0,1.555592418E-1
2.749967499E-1,-1.139017940E-1,-1.635510802E0,2.086104751E-1
2.850187500E-1,-1.203444749E-1,-1.847941637E0,1.985526234E-1
2.950407499E-1,-1.201010570E-1,-2.054795980E0,1.860522777E-1
3.050617500E-1,-1.522305459E-1,-2.275568724E0,2.329564989E-1
3.150837499E-1,-1.894772500E-1,-2.445386648E0,2.891361415E-1
3.251057500E-1,-2.414495349E-1,-2.557921410E0,3.146291673E-1
3.351267499E-1,-2.472038269E-1,-2.631078243E0,3.854793608E-1
3.451487500E-1,-2.426265180E-1,-2.668540478E0,4.722260833E-1
3.551707499E-1,-2.384626567E-1,-2.819176674E0,4.655687213E-1
3.651917500E-1,-2.559963763E-1,-3.125291348E0,3.199235797E-1
3.752137499E-1,-2.295924723E-1,-3.514052391E0,1.731413305E-1
3.852357500E-1,-2.092197388E-1,-3.946459293E0,1.148155853E-1
3.952567499E-1,-1.542494297E-1,-4.308221817E0,6.229991466E-2
4.052787500E-1,-3.074361980E-1,-4.764964581E0,-4.737902060E-2
4.153007499E-1,-4.228965044E-1,-5.152729511E0,-1.756365895E-1
4.253227500E-1,-5.207545161E-1,-5.591064453E0,-3.371141553E-1
4.353437499E-1,-5.369752645E-1,-5.913955688E0,-4.136395752E-1
4.453657500E-1,-4.506258070E-1,-5.935136318E0,-2.695195377E-1
