"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.984166668E-2,3.282977700E0,-7.221379158E0,5.771468482E0
2.986366663E-2,3.271130072E0,-7.229029071E0,5.768617380E0
3.988566669E-2,3.249050986E0,-7.233928453E0,5.774950499E0
4.990766663E-2,3.224249728E0,-7.237591149E0,5.784253419E0
5.992966669E-2,3.205355035E0,-7.241591229E0,5.789745124E0
6.995166664E-2,3.195780220E0,-7.247940136E0,5.787093996E0
7.997366670E-2,3.194037749E0,-7.257304451E0,5.776309977E0
8.999566664E-2,3.197191153E0,-7.269017594E0,5.759813812E0
1.000176667E-1,3.203556724E0,-7.282914671E0,5.738681974E0
1.100396666E-1,3.210477489E0,-7.298222097E0,5.715320009E0
1.200616667E-1,3.214903246E0,-7.314038231E0,5.692569078E0
1.300836666E-1,3.214455349E0,-7.330369504E0,5.671776963E0
1.401056667E-1,3.207284617E0,-7.347452145E0,5.653704389E0
1.501276667E-1,3.192746100E0,-7.362924462E0,5.641791272E0
1.601496667E-1,3.173904909E0,-7.375473756E0,5.636027672E0
1.701716667E-1,3.154309427E0,-7.384329949E0,5.635431840E0
1.801936666E-1,3.137436410E0,-7.388727055E0,5.639086350E0
1.902156667E-1,3.124096864E0,-7.388822365E0,5.646363210E0
2.002376666E-1,3.110430459E0,-7.386158373E0,5.657384627E0
2.102596667E-1,3.093218011E0,-7.382331371E0,5.671797429E0
2.202816666E-1,3.072847188E0,-7.375346872E0,5.691921791E0
2.303036667E-1,3.052467888E0,-7.364657577E0,5.716674224E0
2.403256666E-1,3.035165977E0,-7.351614777E0,5.742614812E0
2.503476667E-1,3.021001974E0,-7.336459379E0,5.769403245E0
2.603696666E-1,3.010800921E0,-7.321911507E0,5.793167499E0
2.703916667E-1,3.008839765E0,-7.311442067E0,5.807391436E0
2.804136666E-1,3.019319730E0,-7.305119473E0,5.809908078E0
2.904356667E-1,3.039035372E0,-7.300096130E0,5.805942496E0
3.004576666E-1,3.057818967E0,-7.297123990E0,5.799813445E0
3.104796667E-1,3.067882025E0,-7.297138608E0,5.794477276E0
3.205016666E-1,3.068661459E0,-7.297849045E0,5.793170423E0
3.305236667E-1,3.066372859E0,-7.295964487E0,5.796754181E0
3.405456666E-1,3.068184911E0,-7.287995902E0,5.805813273E0
3.505676667E-1,3.076763069E0,-7.274508129E0,5.818174871E0
3.605896666E-1,3.087021132E0,-7.259036981E0,5.832047975E0
3.706106667E-1,3.090372171E0,-7.243824281E0,5.849163360E0
3.806326666E-1,3.078338601E0,-7.231075011E0,5.871242446E0
3.906546667E-1,3.049207188E0,-7.223367212E0,5.895880274E0
4.006766666E-1,3.008860523E0,-7.218615180E0,5.922369331E0
4.106986667E-1,2.960071355E0,-7.214014590E0,5.952484830E0
4.207206666E-1,2.906057993E0,-7.208664388E0,5.985490023E0
4.307426667E-1,2.852904756E0,-7.203111872E0,6.017657311E0
4.407646667E-1,2.806312680E0,-7.199787145E0,6.043489725E0
4.507866667E-1,2.770262549E0,-7.198984907E0,6.061053007E0
4.608086667E-1,2.742330108E0,-7.201116802E0,6.071214298E0
4.708306666E-1,2.722251061E0,-7.205499290E0,6.075050656E0
4.808526667E-1,2.710487341E0,-7.211403224E0,6.073304093E0
4.908746666E-1,2.700045091E0,-7.220124346E0,6.067590778E0
5.008966667E-1,2.687850138E0,-7.229263544E0,6.062121878E0
5.109186666E-1,2.674748866E0,-7.232967170E0,6.063497728E0
5.209406667E-1,2.658238668E0,-7.232392974E0,6.071438831E0
5.309626666E-1,2.635636548E0,-7.230028945E0,6.084094545E0
5.409846667E-1,2.604743077E0,-7.227543878E0,6.100329924E0
5.510066666E-1,2.562129739E0,-7.227671932E0,6.118198430E0
5.610286667E-1,2.510606706E0,-7.229193377E0,6.137728715E0
5.710506666E-1,2.460136756E0,-7.230430064E0,6.156680126E0
5.810726667E-1,2.415242565E0,-7.233272395E0,6.171100529E0
5.910946666E-1,2.378230567E0,-7.236642730E0,6.181515005E0
6.011166667E-1,2.348753291E0,-7.240206608E0,6.188608847E0
6.111386666E-1,2.324225245E0,-7.244345267E0,6.193022910E0
6.211606667E-1,2.302870921E0,-7.249597237E0,6.194853673E0
6.311826666E-1,2.279326669E0,-7.259156265E0,6.192367437E0
6.412046667E-1,2.253468673E0,-7.270917354E0,6.188032311E0
6.512266666E-1,2.225293426E0,-7.281678570E0,6.185574142E0
6.612486667E-1,2.192121002E0,-7.288972971E0,6.188827533E0
6.712706666E-1,2.153236287E0,-7.290122534E0,6.201111363E0
6.812926667E-1,2.107966705E0,-7.285620178E0,6.221922188E0
6.913146666E-1,2.050097104E0,-7.282276155E0,6.245131541E0
7.013366667E-1,1.983711472E0,-7.283650251E0,6.264937230E0
7.113576666E-1,1.923751345E0,-7.288170149E0,6.278365361E0
