"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
2.125008334E-2,-1.638111352E-1,7.618034973E0,6.178577363E0
3.127108328E-2,-1.524917388E-1,7.630891830E0,6.162981670E0
4.129308334E-2,-1.601109441E-1,7.639428765E0,6.152202913E0
5.131508328E-2,-1.763874728E-1,7.643530002E0,6.146661506E0
6.133708335E-2,-1.885992365E-1,7.648370327E0,6.140274593E0
7.135808328E-2,-1.976169770E-1,7.660716138E0,6.124579496E0
8.138008334E-2,-2.002213268E-1,7.677644413E0,6.103259963E0
9.140208329E-2,-1.972406721E-1,7.693338339E0,6.083563033E0
1.014240833E-1,-1.945826375E-1,7.707098007E0,6.066207327E0
1.114450833E-1,-1.944729839E-1,7.719845522E0,6.049980719E0
1.214670833E-1,-1.954986404E-1,7.732234603E0,6.034105529E0
1.314890833E-1,-1.959570986E-1,7.743556566E0,6.019554732E0
1.415100833E-1,-1.948466576E-1,7.753363516E0,6.006953983E0
1.515320833E-1,-1.938481358E-1,7.762848285E0,5.994723946E0
1.615540833E-1,-1.941713955E-1,7.773279133E0,5.981181795E0
1.715760833E-1,-1.958135129E-1,7.784897550E0,5.965996576E0
1.815970833E-1,-1.963218370E-1,7.796361601E0,5.950991451E0
1.916190833E-1,-1.953687408E-1,7.806732808E0,5.937410708E0
2.016410833E-1,-1.947054656E-1,7.816080751E0,5.925121030E0
2.116630833E-1,-1.937160801E-1,7.824424728E0,5.914131773E0
2.216840833E-1,-1.905508178E-1,7.831885191E0,5.904351135E0
2.317060833E-1,-1.850986547E-1,7.838656266E0,5.895531780E0
2.417280833E-1,-1.775326135E-1,7.844537981E0,5.887937416E0
2.517490833E-1,-1.676776066E-1,7.849924436E0,5.881042380E0
2.617710833E-1,-1.548917742E-1,7.854964151E0,5.874661313E0
2.717930833E-1,-1.368921075E-1,7.859182917E0,5.869463723E0
2.818150833E-1,-1.123487761E-1,7.862526355E0,5.865505743E0
2.918360833E-1,-7.912876144E-2,7.864762330E0,5.863049328E0
3.018580833E-1,-3.340032592E-2,7.864492189E0,5.863850981E0
3.118800833E-1,3.069801922E-2,7.860731844E0,5.868905314E0
3.219020833E-1,1.189936525E-1,7.852973174E0,5.878159118E0
3.319230833E-1,2.343567688E-1,7.840354882E0,5.891520005E0
3.419450833E-1,3.725750431E-1,7.823267564E0,5.907095234E0
3.519670833E-1,5.276940364E-1,7.801310100E0,5.924288971E0
3.619880833E-1,7.196440199E-1,7.773418297E0,5.940722571E0
3.720100833E-1,9.661344190E-1,7.735723051E0,5.954937152E0
3.820320833E-1,1.259540391E0,7.689134776E0,5.960441721E0
3.920540833E-1,1.594213234E0,7.630812893E0,5.955272782E0
4.020750833E-1,1.964195220E0,7.557611015E0,5.938059749E0
4.120970833E-1,2.359681591E0,7.469785252E0,5.905108935E0
4.221190833E-1,2.763270156E0,7.382616715E0,5.839298522E0
4.321400833E-1,3.152258224E0,7.312592799E0,5.729342217E0
4.421620833E-1,3.507413133E0,7.260988197E0,5.586789438E0
4.521840833E-1,3.827252028E0,7.217470880E0,5.431055281E0
4.622060833E-1,4.112245319E0,7.174412568E0,5.277626681E0
4.722270833E-1,4.351107295E0,7.135085365E0,5.137560139E0
4.822490833E-1,4.525284739E0,7.111283104E0,5.018721328E0
4.922710833E-1,4.625719731E0,7.111428115E0,4.926096169E0
5.022930834E-1,4.663604134E0,7.132543581E0,4.859396396E0
5.123140833E-1,4.660615329E0,7.165312546E0,4.813841616E0
5.223360833E-1,4.637271198E0,7.201358877E0,4.782493815E0
5.323580833E-1,4.608858115E0,7.235172155E0,4.758866679E0
5.423790833E-1,4.584623161E0,7.263997759E0,4.738318978E0
5.524010833E-1,4.568744754E0,7.287257398E0,4.717896116E0
5.624230833E-1,4.562347900E0,7.304775656E0,4.696948758E0
5.724450833E-1,4.566405283E0,7.315428699E0,4.676381177E0
5.824660833E-1,4.581822929E0,7.317814947E0,4.657530631E0
5.924880833E-1,4.608811338E0,7.311658999E0,4.640539792E0
6.025100834E-1,4.646870280E0,7.297634452E0,4.624634488E0
6.125320833E-1,4.694736464E0,7.276126639E0,4.610156782E0
6.225530833E-1,4.750028320E0,7.248212616E0,4.597470663E0
6.325750833E-1,4.809429599E0,7.215431371E0,4.587267856E0
6.425970834E-1,4.869520850E0,7.178954685E0,4.581098751E0
6.526180833E-1,4.927818174E0,7.139785942E0,4.579973455E0
6.626400833E-1,4.982872049E0,7.098453144E0,4.584654736E0
6.726620833E-1,5.034369646E0,7.055136970E0,4.595244043E0
6.826840834E-1,5.081579481E0,7.009987110E0,4.612345687E0
6.927050833E-1,5.122564954E0,6.963677747E0,4.637091104E0
7.027270833E-1,5.155240949E0,6.917335054E0,4.670124656E0
7.127490833E-1,5.179864159E0,6.871877630E0,4.709819064E0
7.227710834E-1,5.199986182E0,6.826740634E0,4.753089337E0
7.327920833E-1,5.221094046E0,6.779869353E0,4.796837620E0
