"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.125008334E-2,2.314625680E-1,-4.755288959E-1,-1.527412832E-1
3.127108328E-2,1.842833459E-1,-2.140546739E-1,-1.392435879E-1
4.129308334E-2,1.009124666E-1,-4.029558972E-2,-2.417337894E-1
5.131508328E-2,5.856075510E-2,-9.246851504E-2,-2.642601430E-1
6.133708335E-2,1.322416514E-1,-1.363449395E-1,-2.482777387E-1
7.135808328E-2,2.741748095E-1,-1.853353828E-1,-2.344103903E-1
8.138008334E-2,2.807570994E-1,-2.961565852E-1,-2.206826508E-1
9.140208329E-2,2.473914325E-1,-2.831023037E-1,-1.737276614E-1
1.014240833E-1,2.176738530E-1,-1.985132992E-1,-1.402123719E-1
1.114450833E-1,2.123792171E-1,-1.591424495E-1,-1.375087351E-1
1.214670833E-1,2.037615180E-1,-1.550770551E-1,-1.325702369E-1
1.314890833E-1,1.778353751E-1,-1.608497202E-1,-1.222054735E-1
1.415100833E-1,1.594276130E-1,-1.768429726E-1,-1.162155345E-1
1.515320833E-1,1.676096469E-1,-1.952986717E-1,-1.482802629E-1
1.615540833E-1,1.918670535E-1,-2.085380554E-1,-1.752908528E-1
1.715760833E-1,2.047341168E-1,-2.188455462E-1,-1.897725761E-1
1.815970833E-1,1.892357022E-1,-2.601723373E-1,-1.927878559E-1
1.916190833E-1,1.707879752E-1,-2.652256787E-1,-1.888532937E-1
2.016410833E-1,1.555097550E-1,-2.507407665E-1,-1.858225465E-1
2.116630833E-1,1.388120055E-1,-2.681690454E-1,-1.777542233E-1
2.216840833E-1,1.269185394E-1,-2.970618010E-1,-1.695787162E-1
2.317060833E-1,1.119249389E-1,-3.271938860E-1,-1.635314822E-1
2.417280833E-1,9.870041907E-2,-3.694905639E-1,-1.684096456E-1
2.517490833E-1,9.427903593E-2,-4.176535904E-1,-1.718243510E-1
2.617710833E-1,8.642827719E-2,-5.055057406E-1,-1.912501752E-1
2.717930833E-1,6.576454639E-2,-6.135531068E-1,-1.878210902E-1
2.818150833E-1,5.544028059E-2,-7.254217863E-1,-1.845228076E-1
2.918360833E-1,2.429727465E-2,-9.019318223E-1,-1.822343618E-1
3.018580833E-1,-3.165080771E-2,-1.161032081E0,-1.855216473E-1
3.118800833E-1,-9.641994536E-2,-1.512421966E0,-1.745994985E-1
3.219020833E-1,-1.736897826E-1,-1.921181083E0,-1.438005865E-1
3.319230833E-1,-2.581924200E-1,-2.336955309E0,-1.258514225E-1
3.419450833E-1,-3.346367180E-1,-2.635660172E0,-1.205654368E-1
3.519670833E-1,-4.094693959E-1,-2.854735613E0,-3.316042712E-3
3.619880833E-1,-5.105081201E-1,-3.317361116E0,2.584971488E-1
3.720100833E-1,-6.133929491E-1,-3.808738708E0,5.777662396E-1
3.820320833E-1,-7.008459568E-1,-4.268239975E0,7.720461488E-1
