"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.398295828E-2,9.000371132E0,1.974577244E0,3.366078037E0
2.400495834E-2,8.996002677E0,1.974136802E0,3.377993493E0
3.402695828E-2,8.987792017E0,1.979457184E0,3.396682071E0
4.404995823E-2,8.977734806E0,1.986802018E0,3.418916401E0
5.407195829E-2,8.968825403E0,1.992062465E0,3.439180219E0
6.409395824E-2,8.963210322E0,1.992610934E0,3.453471984E0
7.411595830E-2,8.960611235E0,1.990407703E0,3.461478868E0
8.413795824E-2,8.958686916E0,1.989444228E0,3.467008288E0
9.415995830E-2,8.955969130E0,1.991516335E0,3.472835623E0
1.041819582E-1,8.952923316E0,1.995249052E0,3.478541336E0
1.142039583E-1,8.950700204E0,1.999482143E0,3.481830395E0
1.242269583E-1,8.949784530E0,2.004611759E0,3.481236318E0
1.342489583E-1,8.950114898E0,2.010305340E0,3.477099120E0
1.442709583E-1,8.952068453E0,2.014890726E0,3.469405646E0
1.542929583E-1,8.955797807E0,2.017831876E0,3.458054739E0
1.643149583E-1,8.961045098E0,2.020599363E0,3.442811048E0
1.743369583E-1,8.968245944E0,2.023871172E0,3.422076236E0
1.843589583E-1,8.977552958E0,2.028316079E0,3.394931707E0
1.943819583E-1,8.988808848E0,2.033772116E0,3.361725954E0
2.044039583E-1,9.002001336E0,2.039677366E0,3.322617729E0
2.144259582E-1,9.015998400E0,2.046080944E0,3.280458720E0
2.244479583E-1,9.029963890E0,2.052760803E0,3.237595121E0
2.344699582E-1,9.044191335E0,2.059779654E0,3.193118275E0
2.444919583E-1,9.062176201E0,2.067494909E0,3.136642942E0
2.545139582E-1,9.092948343E0,2.078540300E0,3.038762307E0
2.645359583E-1,9.141367967E0,2.094229403E0,2.878488079E0
2.745589582E-1,9.209728934E0,2.103599419E0,2.644212952E0
2.845809583E-1,9.286332137E0,2.098835254E0,2.365376633E0
2.946029583E-1,9.358004383E0,2.088014689E0,2.074621496E0
3.046249583E-1,9.417951792E0,2.083056835E0,1.788617075E0
3.146469583E-1,9.463103991E0,2.093048557E0,1.518190514E0
3.246689583E-1,9.492866904E0,2.119016919E0,1.277247661E0
3.346909583E-1,9.509310443E0,2.153175768E0,1.083037436E0
3.447129583E-1,9.515829504E0,2.186500658E0,9.509570937E-1
3.547359583E-1,9.515369913E0,2.215034194E0,8.873980057E-1
3.647579583E-1,9.509042641E0,2.240974489E0,8.900888213E-1
3.747799583E-1,9.496014460E0,2.270586543E0,9.519778714E-1
3.848019583E-1,9.474881453E0,2.309662462E0,1.062152936E0
3.948239583E-1,9.446100873E0,2.358326791E0,1.202317566E0
4.048459582E-1,9.413569304E0,2.408583317E0,1.348906750E0
4.148679583E-1,9.384110447E0,2.447781736E0,1.477481322E0
4.248909582E-1,9.364397728E0,2.465412991E0,1.570325897E0
4.349129583E-1,9.357132563E0,2.461287780E0,1.619337697E0
4.449349582E-1,9.359821697E0,2.446209565E0,1.626615580E0
4.549569583E-1,9.367434772E0,2.434900319E0,1.599542533E0
4.649789582E-1,9.376350607E0,2.437071829E0,1.542993087E0
4.750009583E-1,9.384947183E0,2.455184749E0,1.459771275E0
4.850229583E-1,9.393682339E0,2.482447100E0,1.353615367E0
4.950459583E-1,9.404203818E0,2.507100130E0,1.229427231E0
5.050679583E-1,9.416599331E0,2.522451410E0,1.095901237E0
5.150899583E-1,9.428573259E0,2.530307437E0,9.672963338E-1
5.251119583E-1,9.436331345E0,2.540076965E0,8.600934090E-1
5.351340832E-1,9.437389106E0,2.561248856E0,7.821664696E-1
5.451560833E-1,9.432162865E0,2.594273053E0,7.349503494E-1
5.551780832E-1,9.422895028E0,2.631863633E0,7.200169992E-1
5.652000833E-1,9.412231461E0,2.666104050E0,7.333938206E-1
5.752230833E-1,9.401636306E0,2.693492993E0,7.683834860E-1
5.852450833E-1,9.390226634E0,2.717214562E0,8.224927425E-1
5.952670833E-1,9.375934285E0,2.743584628E0,8.948078167E-1
6.052890833E-1,9.358258152E0,2.775205493E0,9.784302364E-1
6.153110833E-1,9.339057065E0,2.808545732E0,1.063095069E0
6.253330833E-1,9.321492029E0,2.836826960E0,1.139430030E0
6.353550833E-1,9.308826376E0,2.854068060E0,1.198396204E0
6.453780833E-1,9.302937060E0,2.857834836E0,1.234602894E0
6.554000833E-1,9.303615922E0,2.851801387E0,1.243408654E0
6.654220832E-1,9.308512380E0,2.843168558E0,1.226417669E0
6.754440833E-1,9.314015779E0,2.838860621E0,1.194193006E0
6.854660832E-1,9.317908856E0,2.841775166E0,1.156290769E0
6.954880833E-1,9.319378846E0,2.851912192E0,1.118877140E0
7.055100832E-1,9.318724542E0,2.866860598E0,1.085628045E0
7.155320833E-1,9.317430553E0,2.882633463E0,1.054519250E0
7.255550832E-1,9.317304254E0,2.895154983E0,1.020806616E0
7.355770833E-1,9.319601040E0,2.901529909E0,9.809601805E-1
7.455990833E-1,9.324966445E0,2.900794914E0,9.308561935E-1
7.556210833E-1,9.333113955E0,2.893211660E0,8.708842993E-1
7.656430833E-1,9.342469500E0,2.880448066E0,8.107893211E-1
7.756650833E-1,9.350870780E0,2.866133497E0,7.632758700E-1
7.856870833E-1,9.357043685E0,2.853644137E0,7.338659102E-1
7.957100833E-1,9.361519729E0,2.843136106E0,7.173671872E-1
8.057320833E-1,9.366024424E0,2.832285135E0,7.013150454E-1
8.157540833E-1,9.372222472E0,2.818594757E0,6.731130472E-1
8.257760833E-1,9.380353026E0,2.801850962E0,6.282640991E-1
8.357980833E-1,9.389467666E0,2.783797099E0,5.696375396E-1
8.458200833E-1,9.398405135E0,2.766815616E0,5.008396387E-1
8.558420832E-1,9.406292444E0,2.752514788E0,4.259562117E-1
8.658650833E-1,9.412996277E0,2.740225987E0,3.503953847E-1
8.758870832E-1,9.419193156E0,2.727232889E0,2.776637695E-1
8.859090833E-1,9.425980604E0,2.709681010E0,2.112083547E-1
8.959310832E-1,9.433644549E0,2.686567551E0,1.575387174E-1
9.059530833E-1,9.441271657E0,2.661380669E0,1.246597872E-1
9.159750832E-1,9.447519992E0,2.639458581E0,1.171278425E-1
9.259970833E-1,9.451613628E0,2.623953519E0,1.340262135E-1
9.360190833E-1,9.453666000E0,2.614545349E0,1.686232292E-1
9.460420833E-1,9.454636638E0,2.607992375E0,2.104606785E-1
9.560640833E-1,9.455851105E0,2.600281944E0,2.480092499E-1
9.660860833E-1,9.458260742E0,2.588952086E0,2.733170591E-1
9.761080833E-1,9.462105287E0,2.573656647E0,2.845129604E-1
9.861300833E-1,9.466688334E0,2.556807895E0,2.839518835E-1
9.961520833E-1,9.471171979E0,2.541082394E0,2.754761252E-1
1.006174083E0,9.475367941E0,2.526961075E0,2.606836015E-1
1.016197083E0,9.479807732E0,2.512399754E0,2.391027893E-1
1.026219083E0,9.485207636E0,2.494357586E0,2.124162798E-1
1.036241083E0,9.491746577E0,2.471648462E0,1.838832378E-1
1.046263083E0,9.498660910E0,2.446799111E0,1.572405094E-1
1.056285083E0,9.505138455E0,2.422881221E0,1.344530786E-1
1.066307083E0,9.510989179E0,2.400661802E0,1.184210730E-1
1.076329083E0,9.516613616E0,2.378591048E0,1.117593677E-1
1.086352083E0,9.522583623E0,2.354406087E0,1.151906234E-1
1.096374083E0,9.528916157E0,2.327823621E0,1.308275125E-1
1.106396083E0,9.534949899E0,2.301272292E0,1.580747608E-1
1.116418083E0,9.540403013E0,2.276084534E0,1.904761014E-1
1.126440083E0,9.545342156E0,2.252736017E0,2.184830949E-1
1.136462083E0,9.550002387E0,2.231903265E0,2.284056737E-1
1.146484083E0,9.554472583E0,2.213333677E0,2.220317701E-1
1.156507083E0,9.559171990E0,2.193526380E0,2.162251561E-1
1.166529083E0,9.564170775E0,2.170716538E0,2.251949493E-1
1.176551083E0,9.568574898E0,2.148633359E0,2.487090703E-1
1.186573083E0,9.572387867E0,2.128706048E0,2.721749882E-1
1.196595083E0,9.576575058E0,2.109405266E0,2.751973592E-1
1.206617083E0,9.581605418E0,2.089639046E0,2.497358779E-1
1.216639083E0,9.586424108E0,2.072701562E0,2.012403138E-1
1.226661083E0,9.589276380E0,2.064798612E0,1.359319033E-1
1.236684083E0,9.588888125E0,2.070269413E0,5.767026572E-2
1.246706083E0,9.585255834E0,2.087490340E0,-3.689841355E-2
1.256728083E0,9.579281734E0,2.109806677E0,-1.489734966E-1
1.266750083E0,9.571927691E0,2.130507867E0,-2.743261058E-1
1.276772083E0,9.563284337E0,2.147686548E0,-4.088142219E-1
1.286794083E0,9.552905529E0,2.163367757E0,-5.458351326E-1
1.296816083E0,9.540601233E0,2.180354942E0,-6.775436287E-1
1.306839083E0,9.527011135E0,2.197803326E0,-8.011287707E-1
1.316861083E0,9.513418112E0,2.211865295E0,-9.157581711E-1
1.326883083E0,9.500861217E0,2.220350336E0,-1.019699373E0
1.336905083E0,9.489084924E0,2.224976799E0,-1.114841538E0
1.346927083E0,9.477305709E0,2.228259572E0,-1.204837058E0
1.356949083E0,9.465024217E0,2.232158642E0,-1.291080273E0
1.366971083E0,9.452217645E0,2.237202450E0,-1.373544578E0
1.376994083E0,9.439919781E0,2.241448990E0,-1.449122472E0
1.387016083E0,9.429476654E0,2.241666653E0,-1.515260182E0
1.397038083E0,9.421738449E0,2.236503708E0,-1.570039529E0
1.407060083E0,9.417500972E0,2.226781396E0,-1.608802038E0
1.417082083E0,9.417444838E0,2.217292827E0,-1.622170819E0
1.427104083E0,9.420670747E0,2.216193258E0,-1.604855752E0
1.437126083E0,9.426819094E0,2.224317818E0,-1.556791054E0
1.447148083E0,9.436072313E0,2.236134164E0,-1.482007651E0
1.457171083E0,9.447789549E0,2.247121520E0,-1.387737963E0
1.467193083E0,9.460755165E0,2.256859035E0,-1.279361722E0
1.477215083E0,9.473077587E0,2.269161284E0,-1.160955678E0
1.487237083E0,9.482196904E0,2.287957305E0,-1.043687721E0
1.497259083E0,9.487091609E0,2.313162167E0,-9.383247690E-1
1.507281083E0,9.488400800E0,2.340874607E0,-8.524214966E-1
1.517303083E0,9.486836085E0,2.368696682E0,-7.907729132E-1
1.527326083E0,9.481669486E0,2.400717351E0,-7.553865143E-1
1.537348250E0,9.471389496E0,2.443372789E0,-7.475543882E-1
1.547370250E0,9.455010275E0,2.499486471E0,-7.690539423E-1
1.557392250E0,9.432409617E0,2.567468247E0,-8.208957949E-1
1.567414250E0,9.403786327E0,2.644654709E0,-9.003997283E-1
1.577436250E0,9.368815300E0,2.733542912E0,-9.945553223E-1
1.587458250E0,9.326979641E0,2.840285003E0,-1.084581320E0
1.597481250E0,9.277591719E0,2.968379079E0,-1.162376478E0
1.607503250E0,9.222178241E0,3.114182033E0,-1.220416087E0
1.617525250E0,9.163858112E0,3.271304611E0,-1.248336980E0
1.627547250E0,9.104982498E0,3.437224910E0,-1.233230698E0
1.637569250E0,9.044377277E0,3.614177151E0,-1.171778947E0
1.647591250E0,8.978901325E0,3.801787112E0,-1.077891302E0
1.657613250E0,8.906831469E0,3.996168441E0,-9.670139133E-1
1.667635250E0,8.828481118E0,4.190695657E0,-8.556104949E-1
1.677658250E0,8.746441174E0,4.377092321E0,-7.595515591E-1
1.687680250E0,8.659895366E0,4.557668081E0,-6.855591381E-1
1.697702250E0,8.560537723E0,4.748117450E0,-6.392772567E-1
1.707724250E0,8.441443974E0,4.958778012E0,-6.234089367E-1
1.717746250E0,8.303891734E0,5.184398675E0,-6.352127840E-1
1.727768250E0,8.158679641E0,5.407467613E0,-6.567726376E-1
1.737790250E0,8.018665724E0,5.612904857E0,-6.575825500E-1
1.747813250E0,7.890967212E0,5.793617150E0,-6.346274047E-1
1.757835250E0,7.772279259E0,5.954865816E0,-6.060975970E-1
1.767857250E0,7.656464628E0,6.105363792E0,-5.823728849E-1
1.777879250E0,7.541589060E0,6.248038777E0,-5.679086275E-1
1.787901250E0,7.427239156E0,6.382639343E0,-5.780633042E-1
1.797923250E0,7.311511649E0,6.511624242E0,-6.137255821E-1
1.807945250E0,7.191105784E0,6.639383565E0,-6.653467754E-1
1.817968250E0,7.068082706E0,6.764123971E0,-7.245148967E-1
1.827990250E0,6.951910225E0,6.878300212E0,-7.720210388E-1
1.838012250E0,6.851210647E0,6.975665123E0,-7.981800199E-1
1.848034250E0,6.768318763E0,7.055253330E0,-8.058080781E-1
1.858056250E0,6.698922839E0,7.119945754E0,-8.166331016E-1
1.868078250E0,6.634973010E0,7.175734039E0,-8.497532659E-1
1.878100250E0,6.566587484E0,7.232288309E0,-9.000200247E-1
1.888122250E0,6.486415726E0,7.297851968E0,-9.507321952E-1
1.898145250E0,6.393237421E0,7.374510720E0,-9.895623849E-1
1.908167250E0,6.300599399E0,7.451213910E0,-1.008952994E0
1.918189250E0,6.228898501E0,7.512325500E0,-1.000947279E0
1.928211250E0,6.182801977E0,7.554425452E0,-9.693933646E-1
1.938233250E0,6.150977336E0,7.584894124E0,-9.332520171E-1
1.948255250E0,6.117937644E0,7.613695754E0,-9.157416527E-1
1.958277250E0,6.075426632E0,7.647160538E0,-9.199086709E-1
1.968300250E0,6.023978151E0,7.686710520E0,-9.285987297E-1
1.978322250E0,5.970276738E0,7.728409939E0,-9.292887012E-1
1.988344250E0,5.919918178E0,7.769439851E0,-9.091013353E-1
1.998366250E0,5.870684622E0,7.811174353E0,-8.698956813E-1
2.008388250E0,5.821462176E0,7.853195368E0,-8.209601873E-1
2.018410250E0,5.773879874E0,7.894319420E0,-7.603595712E-1
2.028432250E0,5.733475029E0,7.930726524E0,-6.833280598E-1
2.038455250E0,5.704110897E0,7.958925891E0,-5.955901139E-1
2.048477250E0,5.680855350E0,7.982454502E0,-4.943715950E-1
2.058499250E0,5.654166319E0,8.006905219E0,-3.948955463E-1
2.068521250E0,5.620872858E0,8.033919940E0,-3.130832053E-1
2.078543250E0,5.580383813E0,8.064167002E0,-2.541850243E-1
2.088565250E0,5.544384261E0,8.089992984E0,-2.188717520E-1
2.098587250E0,5.520711808E0,8.107039956E0,-1.836923080E-1
2.108609250E0,5.499677619E0,8.122325163E0,-1.322580155E-1
2.118632250E0,5.469249294E0,8.143593825E0,-7.296452163E-2
2.128654250E0,5.432163329E0,8.168700015E0,-6.155928653E-3
2.138676250E0,5.397960041E0,8.191039302E0,7.069132518E-2
2.148698250E0,5.374806236E0,8.205195411E0,1.494661611E-1
2.158720250E0,5.365695689E0,8.209806526E0,2.109316717E-1
2.168742250E0,5.369014569E0,8.206612192E0,2.475963451E-1
2.178764250E0,5.383679971E0,8.196959608E0,2.489303143E-1
2.188787250E0,5.401337392E0,8.186315337E0,2.142659003E-1
2.198809250E0,5.419577197E0,8.175632474E0,1.527864842E-1
2.208831250E0,5.447273118E0,8.158212449E0,8.313329103E-2
2.218853250E0,5.487242346E0,8.131784788E0,1.910113706E-2
2.228875250E0,5.528839438E0,8.103518178E0,-3.213423700E-2
2.238897250E0,5.560130228E0,8.081905115E0,-6.226991852E-2
2.248919250E0,5.576552718E0,8.070686647E0,-4.675825125E-2
2.258941250E0,5.586803471E0,8.063729630E0,1.114335122E-3
2.268964250E0,5.605090054E0,8.050934168E0,3.933798841E-2
2.278986250E0,5.638839013E0,8.027257038E0,5.241587550E-2
