"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.398295828E-2,2.617293372E-1,5.696858015E-1,-6.240574277E-2,7.765703298E-1,1.496546007E2,3.039633937E1,-6.655882879E1,1.225290426E2
2.400495834E-2,2.618061288E-1,5.691656040E-1,-6.228631968E-2,7.769354058E-1,1.496454831E2,3.030248771E1,-6.649477390E1,1.226233255E2
3.402695828E-2,2.620883862E-1,5.683772894E-1,-6.183694998E-2,7.774530113E-1,1.496119685E2,3.023200618E1,-6.637482930E1,1.227019943E2
4.404995823E-2,2.624114207E-1,5.674455068E-1,-6.122830734E-2,7.780725489E-1,1.495736089E2,3.016174457E1,-6.622868085E1,1.227891784E2
5.407195829E-2,2.626172870E-1,5.665916328E-1,-6.069930117E-2,7.786666298E-1,1.495491609E2,3.008053609E1,-6.609991666E1,1.228913933E2
6.409395824E-2,2.626054227E-1,5.659792391E-1,-6.041164893E-2,7.791382320E-1,1.495505699E2,2.998441956E1,-6.601909785E1,1.230089111E2
7.411595830E-2,2.624516921E-1,5.656302632E-1,-6.030227786E-2,7.794518677E-1,1.495688265E2,2.989961527E1,-6.598177018E1,1.231142260E2
8.413795824E-2,2.623206786E-1,5.653947887E-1,-6.017360353E-2,7.796767001E-1,1.495843847E2,2.984813373E1,-6.595417339E1,1.231864146E2
9.415995830E-2,2.623400029E-1,5.651550574E-1,-5.995734805E-2,7.798606922E-1,1.495820899E2,2.983234748E1,-6.591525323E1,1.232170044E2
1.041819582E-1,2.625003927E-1,5.649206788E-1,-5.974058681E-2,7.799931386E-1,1.495630430E2,2.983805835E1,-6.587169744E1,1.232138610E2
1.142039583E-1,2.626906225E-1,5.647918780E-1,-5.955505638E-2,7.800365710E-1,1.495404515E2,2.986710457E1,-6.583995454E1,1.231827919E2
1.242269583E-1,2.628222682E-1,5.648416535E-1,-5.933682000E-2,7.799728660E-1,1.495248166E2,2.993476957E1,-6.582689020E1,1.231218513E2
1.342489583E-1,2.628546792E-1,5.650560756E-1,-5.907156881E-2,7.798266586E-1,1.495209673E2,3.003460727E1,-6.583159990E1,1.230420658E2
1.442709583E-1,2.627517987E-1,5.654272207E-1,-5.883874962E-2,7.796098130E-1,1.495331860E2,3.014628843E1,-6.585948274E1,1.229603924E2
1.542929583E-1,2.624735031E-1,5.659587557E-1,-5.864443157E-2,7.793325289E-1,1.495662363E2,3.026426565E1,-6.591279707E1,1.228854169E2
1.643149583E-1,2.619941037E-1,5.666720068E-1,-5.838033942E-2,7.789952909E-1,1.496231637E2,3.040883974E1,-6.598800114E1,1.228079808E2
1.743369583E-1,2.612643310E-1,5.676433863E-1,-5.799345242E-2,7.785618949E-1,1.497098074E2,3.060075696E1,-6.609155949E1,1.227163421E2
1.843589583E-1,2.603155001E-1,5.689131023E-1,-5.747736426E-2,7.779909947E-1,1.498224328E2,3.085638261E1,-6.622604856E1,1.225920933E2
1.943819583E-1,2.591745006E-1,5.704611771E-1,-5.685293763E-2,7.772840235E-1,1.499578288E2,3.117303938E1,-6.638964806E1,1.224336943E2
2.044039583E-1,2.578312384E-1,5.722757675E-1,-5.614217317E-2,7.764480408E-1,1.501171713E2,3.154479177E1,-6.658277796E1,1.222458963E2
2.144259582E-1,2.563016028E-1,5.742315709E-1,-5.530254473E-2,7.755701641E-1,1.502985502E2,3.195252910E1,-6.678933701E1,1.220492270E2
2.244479583E-1,2.546688550E-1,5.762195956E-1,-5.436852842E-2,7.746991362E-1,1.504920717E2,3.237628159E1,-6.699717509E1,1.218530696E2
2.344699582E-1,2.529597582E-1,5.782763829E-1,-5.336937416E-2,7.737954656E-1,1.506945504E2,3.282478244E1,-6.721075765E1,1.216440424E2
2.444919583E-1,2.509488266E-1,5.808591839E-1,-5.227747575E-2,7.725894125E-1,1.509326681E2,3.339057672E1,-6.748349467E1,1.213534192E2
2.545139582E-1,2.485897411E-1,5.852205398E-1,-5.134261651E-2,7.701195650E-1,1.512118480E2,3.437247163E1,-6.795755208E1,1.206710259E2
2.645359583E-1,2.460629322E-1,5.921960540E-1,-5.091073775E-2,7.656140880E-1,1.515106832E2,3.603757229E1,-6.872375845E1,1.192880552E2
2.745589582E-1,2.428204908E-1,6.021523829E-1,-5.139266589E-2,7.588211118E-1,1.518938640E2,3.850394810E1,-6.985270650E1,1.170992398E2
2.845809583E-1,2.385351889E-1,6.137449790E-1,-5.251320308E-2,7.507731500E-1,1.523997957E2,4.158313855E1,-7.119462007E1,1.143356023E2
2.946029583E-1,2.336922631E-1,6.256108341E-1,-5.358124637E-2,7.423800266E-1,1.529709026E2,4.518434750E1,-7.253968878E1,1.110964746E2
3.046249583E-1,2.289101974E-1,6.371151957E-1,-5.404882350E-2,7.340047735E-1,1.535341620E2,4.934895604E1,-7.374713149E1,1.073300704E2
3.146469583E-1,2.250251009E-1,6.478558565E-1,-5.387994108E-2,7.257708808E-1,1.539912916E2,5.404478669E1,-7.471761753E1,1.030002465E2
3.246689583E-1,2.224866173E-1,6.573160959E-1,-5.325675778E-2,7.180522545E-1,1.542897478E2,5.892032624E1,-7.539165367E1,9.840619034E1
3.346909583E-1,2.209026755E-1,6.648884516E-1,-5.217914716E-2,7.116198657E-1,1.544758860E2,6.329781584E1,-7.577744044E1,9.426012644E1
3.447129583E-1,2.197315200E-1,6.700525785E-1,-5.060416157E-2,7.072389326E-1,1.546134713E2,6.649472102E1,-7.593324351E1,9.129555821E1
3.547359583E-1,2.187307641E-1,6.726184997E-1,-4.852933544E-2,7.052561131E-1,1.547310088E2,6.816772757E1,-7.592220008E1,8.987811607E1
3.647579583E-1,2.179971139E-1,6.726971458E-1,-4.595812480E-2,7.055804331E-1,1.548171579E2,6.833760438E1,-7.577106981E1,8.997943891E1
3.747799583E-1,2.176848690E-1,6.705624922E-1,-4.272183689E-2,7.079083089E-1,1.548538190E2,6.725339307E1,-7.546472680E1,9.135130503E1
3.848019583E-1,2.178231950E-1,6.666130585E-1,-3.861081221E-2,7.118210537E-1,1.548375783E2,6.530354403E1,-7.498080872E1,9.361957005E1
3.948239583E-1,2.185689834E-1,6.614849250E-1,-3.402194764E-2,7.165945636E-1,1.547500072E2,6.298669306E1,-7.434527790E1,9.624016216E1
4.048459582E-1,2.198314712E-1,6.560214080E-1,-2.973710936E-2,7.214054367E-1,1.546017306E2,6.074936207E1,-7.365592939E1,9.871125269E1
4.148679583E-1,2.209003364E-1,6.511556175E-1,-2.629651460E-2,7.256087208E-1,1.544761609E2,5.888481496E1,-7.305524284E1,1.007573281E2
4.248909582E-1,2.210227940E-1,6.476017320E-1,-2.397913336E-2,7.288251365E-1,1.544617726E2,5.750521297E1,-7.266456662E1,1.023091283E2
4.349129583E-1,2.199100751E-1,6.457182526E-1,-2.264697684E-2,7.308725883E-1,1.545924973E2,5.665816332E1,-7.252272393E1,1.033558526E2
4.449349582E-1,2.181040194E-1,6.454533386E-1,-2.199987521E-2,7.316669510E-1,1.548046054E2,5.637794147E1,-7.257509919E1,1.038415712E2
4.549569583E-1,2.162270938E-1,6.465393786E-1,-2.146418876E-2,7.312810966E-1,1.550249437E2,5.669816079E1,-7.272420258E1,1.037260658E2
4.649789582E-1,2.148475010E-1,6.487862271E-1,-2.079776279E-2,7.297152990E-1,1.551868386E2,5.766070955E1,-7.290041920E1,1.029381788E2
4.750009583E-1,2.143187477E-1,6.520687711E-1,-2.010252945E-2,7.269592112E-1,1.552488744E2,5.926569110E1,-7.307201792E1,1.014393122E2
4.850229583E-1,2.143345949E-1,6.562217319E-1,-1.953015418E-2,7.232234832E-1,1.552470152E2,6.139748517E1,-7.324812096E1,9.935814380E1
4.950459583E-1,2.141519305E-1,6.610375573E-1,-1.916790201E-2,7.188885955E-1,1.552684446E2,6.387767506E1,-7.346265435E1,9.692852861E1
5.050679583E-1,2.132669520E-1,6.661727925E-1,-1.890711839E-2,7.144043183E-1,1.553722539E2,6.651703971E1,-7.371892943E1,9.439054500E1
5.150899583E-1,2.119409068E-1,6.710809616E-1,-1.867615366E-2,7.101990112E-1,1.555277627E2,6.907893980E1,-7.397027219E1,9.196384455E1
5.251119583E-1,2.106764803E-1,6.751559929E-1,-1.807764734E-2,7.067198942E-1,1.556760027E2,7.129342705E1,-7.413519527E1,8.990769999E1
5.351340832E-1,2.100758666E-1,6.781208551E-1,-1.692139069E-2,7.040837142E-1,1.557464035E2,7.301812503E1,-7.415781301E1,8.832917915E1
5.451560833E-1,2.103412864E-1,6.799298821E-1,-1.536591910E-2,7.022932528E-1,1.557152935E2,7.418272091E1,-7.404638140E1,8.726900769E1
5.551780832E-1,2.112084578E-1,6.805255014E-1,-1.367212156E-2,7.014905661E-1,1.556136393E2,7.469958274E1,-7.385061554E1,8.681613531E1
5.652000833E-1,2.122643207E-1,6.800548265E-1,-1.206331313E-2,7.016578048E-1,1.554898394E2,7.461944920E1,-7.362819052E1,8.693695594E1
5.752230833E-1,2.130855942E-1,6.787689050E-1,-1.046402989E-2,7.026789386E-1,1.553935250E2,7.407792913E1,-7.341005493E1,8.753787649E1
5.852450833E-1,2.136116500E-1,6.767603548E-1,-8.618883007E-3,7.044793888E-1,1.553318228E2,7.315909257E1,-7.317823425E1,8.856069807E1
5.952670833E-1,2.141991771E-1,6.740561709E-1,-6.430997953E-3,7.069126949E-1,1.552629019E2,7.193649677E1,-7.289215734E1,8.990920425E1
6.052890833E-1,2.151383564E-1,6.709056518E-1,-4.072165283E-3,7.096368354E-1,1.551527110E2,7.057931813E1,-7.254462844E1,9.137579230E1
6.153110833E-1,2.164987513E-1,6.676914278E-1,-1.975802111E-3,7.122587277E-1,1.549930588E2,6.926726584E1,-7.217456832E1,9.273985165E1
6.253330833E-1,2.179202802E-1,6.647743390E-1,-3.908487997E-4,7.145527806E-1,1.548261793E2,6.811681681E1,-7.184242340E1,9.389556886E1
6.353550833E-1,2.188969702E-1,6.625098310E-1,6.224457322E-4,7.163550009E-1,1.547114900E2,6.722292607E1,-7.160652605E1,9.478650748E1
6.453780833E-1,2.190963670E-1,6.611149600E-1,1.130715652E-3,7.175810106E-1,1.546880723E2,6.663534781E1,-7.149782527E1,9.539694947E1
6.554000833E-1,2.185865376E-1,6.607751721E-1,1.274562846E-3,7.180491146E-1,1.547479458E2,6.644240683E1,-7.151033045E1,9.564456275E1
6.654220832E-1,2.177127913E-1,6.614301552E-1,1.267840423E-3,7.177114762E-1,1.548505407E2,6.666676149E1,-7.160071961E1,9.549457263E1
6.754440833E-1,2.168002699E-1,6.626702419E-1,1.430021497E-3,7.168429561E-1,1.549576667E2,6.718549410E1,-7.170282027E1,9.506770353E1
6.854660832E-1,2.161439170E-1,6.641253197E-1,1.808163021E-3,7.156928107E-1,1.550347059E2,6.785906946E1,-7.177538606E1,9.448187661E1
6.954880833E-1,2.157356616E-1,6.655572589E-1,2.481458926E-3,7.144827115E-1,1.550826190E2,6.857866869E1,-7.180285828E1,9.385275243E1
7.055100832E-1,2.154147765E-1,6.668247411E-1,3.469886818E-3,7.133927729E-1,1.551202751E2,6.925923273E1,-7.179063219E1,9.328060081E1
7.155320833E-1,2.149902524E-1,6.680054429E-1,4.644182311E-3,7.124088337E-1,1.551700891E2,6.990656966E1,-7.176645925E1,9.276538260E1
7.255550832E-1,2.142193444E-1,6.692805536E-1,5.887514342E-3,7.114345250E-1,1.552605360E2,7.057779168E1,-7.176409674E1,9.226134155E1
7.355770833E-1,2.130677450E-1,6.707855122E-1,6.987483868E-3,7.103521728E-1,1.553956184E2,7.132043811E1,-7.180701358E1,9.170655515E1
7.455990833E-1,2.115476135E-1,6.726771682E-1,7.821675367E-3,7.090076673E-1,1.555738764E2,7.220872448E1,-7.190765409E1,9.101591830E1
7.556210833E-1,2.096147590E-1,6.749376512E-1,8.460937692E-3,7.074244631E-1,1.558004458E2,7.324770404E1,-7.206151411E1,9.019382561E1
7.656430833E-1,2.073927350E-1,6.771957107E-1,9.018624791E-3,7.059127820E-1,1.560607931E2,7.427913675E1,-7.223978314E1,8.939673776E1
7.756650833E-1,2.051358556E-1,6.789727272E-1,9.648193341E-3,7.048561605E-1,1.563250960E2,7.508774139E1,-7.240135881E1,8.883079550E1
7.856870833E-1,2.030016656E-1,6.800631715E-1,1.049346946E-2,7.044106262E-1,1.565749132E2,7.557787629E1,-7.252099321E1,8.858993422E1
7.957100833E-1,2.010880933E-1,6.806664194E-1,1.140915189E-2,7.043625156E-1,1.567988100E2,7.583896237E1,-7.260824162E1,8.856477672E1
8.057320833E-1,1.992766218E-1,6.812532721E-1,1.220960484E-2,7.042965979E-1,1.570106779E2,7.609246394E1,-7.269648343E1,8.852918272E1
8.157540833E-1,1.973386886E-1,6.822964277E-1,1.280975489E-2,7.038217083E-1,1.572372485E2,7.656866754E1,-7.281860898E1,8.826536665E1
8.257760833E-1,1.952097459E-1,6.839617340E-1,1.321853717E-2,7.027907332E-1,1.574860468E2,7.736151663E1,-7.298010211E1,8.768546823E1
8.357980833E-1,1.929891128E-1,6.861371435E-1,1.350205902E-2,7.012765655E-1,1.577454459E2,7.843543338E1,-7.316293053E1,8.682199769E1
8.458200833E-1,1.907687536E-1,6.886820546E-1,1.378524370E-2,6.993814535E-1,1.580046977E2,7.973961552E1,-7.334408710E1,8.572798337E1
8.558420832E-1,1.886922626E-1,6.914414298E-1,1.408699406E-2,6.972127453E-1,1.582470480E2,8.120316360E1,-7.350557011E1,8.446368239E1
8.658650833E-1,1.868499818E-1,6.942160201E-1,1.431869636E-2,6.949433482E-1,1.584619810E2,8.271307674E1,-7.364404071E1,8.312738233E1
8.758870832E-1,1.851419807E-1,6.968789844E-1,1.440842700E-2,6.927297536E-1,1.586611794E2,8.418665977E1,-7.377306095E1,8.180431276E1
8.859090833E-1,1.833886718E-1,6.993076333E-1,1.427872007E-2,6.907485145E-1,1.588655941E2,8.554304389E1,-7.391553453E1,8.058425709E1
8.959310832E-1,1.815645562E-1,7.012676514E-1,1.393503360E-2,6.892487611E-1,1.590781919E2,8.664405305E1,-7.407788672E1,7.960806795E1
9.059530833E-1,1.798035134E-1,7.024686891E-1,1.356580613E-2,6.884943114E-1,1.592833695E2,8.731821055E1,-7.424109425E1,7.905130094E1
9.159750832E-1,1.782807267E-1,7.027446245E-1,1.342288617E-2,6.886115007E-1,1.594607340E2,8.745912606E1,-7.437602974E1,7.902625395E1
9.259970833E-1,1.772012194E-1,7.021297441E-1,1.351742155E-2,6.895149184E-1,1.595864380E2,8.707598906E1,-7.446504975E1,7.950751038E1
9.360190833E-1,1.765576160E-1,7.008679518E-1,1.377165134E-2,6.909571204E-1,1.596613710E2,8.630986072E1,-7.450985909E1,8.034823029E1
9.460420833E-1,1.760721475E-1,6.993377683E-1,1.413655875E-2,6.926220262E-1,1.597178870E2,8.538632305E1,-7.453110176E1,8.134209306E1
9.560640833E-1,1.755428674E-1,6.979623270E-1,1.442064959E-2,6.941363625E-1,1.597794977E2,8.455173347E1,-7.455771916E1,8.224411165E1
9.660860833E-1,1.748295952E-1,6.970356864E-1,1.451615434E-2,6.952445507E-1,1.598625165E2,8.397357608E1,-7.461066508E1,8.288961778E1
9.761080833E-1,1.738984449E-1,6.966282949E-1,1.441694066E-2,6.958882595E-1,1.599708784E2,8.369167233E1,-7.469550983E1,8.324135662E1
9.861300833E-1,1.729362323E-1,6.966545946E-1,1.413514683E-2,6.961074231E-1,1.600828362E2,8.366285999E1,-7.479725043E1,8.332768819E1
9.961520833E-1,1.722354145E-1,6.969750581E-1,1.360850089E-2,6.959708673E-1,1.601643674E2,8.381278680E1,-7.489742886E1,8.319360771E1
1.006174083E0,1.717463636E-1,6.975285305E-1,1.293533142E-2,6.955499678E-1,1.602212563E2,8.411014962E1,-7.499178378E1,8.288253522E1
1.016197083E0,1.713021568E-1,6.983310276E-1,1.212802961E-2,6.948684322E-1,1.602729243E2,8.456358632E1,-7.509224275E1,8.240070858E1
1.026219083E0,1.706730941E-1,6.993195819E-1,1.120733171E-2,6.940441031E-1,1.603460871E2,8.513250900E1,-7.521532624E1,8.180968905E1
1.036241083E0,1.698284501E-1,7.003747915E-1,1.014478858E-2,6.932031259E-1,1.604443101E2,8.574520393E1,-7.536573308E1,8.118131549E1
1.046263083E0,1.689296265E-1,7.013592365E-1,8.995802273E-3,6.924428811E-1,1.605488178E2,8.632301408E1,-7.552644616E1,8.058530082E1
1.056285083E0,1.680767850E-1,7.021998976E-1,7.902260141E-3,6.918113948E-1,1.606479639E2,8.682373990E1,-7.567859969E1,8.006694250E1
1.066307083E0,1.672865105E-1,7.027917658E-1,6.928288619E-3,6.914123695E-1,1.607398233E2,8.717597339E1,-7.581740462E1,7.970167676E1
1.076329083E0,1.664537309E-1,7.030410644E-1,6.088175488E-3,6.913678203E-1,1.608366099E2,8.730990573E1,-7.595210001E1,7.956906154E1
1.086352083E0,1.655355829E-1,7.029233272E-1,5.264436407E-3,6.917145414E-1,1.609433021E2,8.719900564E1,-7.609646794E1,7.968967930E1
1.096374083E0,1.645496206E-1,7.023619101E-1,4.436019026E-3,6.925255100E-1,1.610578560E2,8.678326690E1,-7.625123416E1,8.012058231E1
1.106396083E0,1.634814930E-1,7.013763692E-1,3.790982583E-3,6.937800109E-1,1.611819347E2,8.607051637E1,-7.640031643E1,8.087013355E1
1.116418083E0,1.623017606E-1,7.002000928E-1,3.401208528E-3,6.952456676E-1,1.613189521E2,8.521629968E1,-7.653642109E1,8.179109694E1
1.126440083E0,1.609072056E-1,6.991803920E-1,3.323574033E-3,6.965950411E-1,1.614808848E2,8.446045635E1,-7.666088980E1,8.265668407E1
1.136462083E0,1.592853106E-1,6.988177394E-1,3.506428135E-3,6.973304193E-1,1.616691689E2,8.415687871E1,-7.677938755E1,8.310996075E1
1.146484083E0,1.573947927E-1,6.990475451E-1,3.990716498E-3,6.975266339E-1,1.618885742E2,8.427150715E1,-7.689402505E1,8.319161827E1
1.156507083E0,1.552126817E-1,6.992549076E-1,4.682261988E-3,6.978033701E-1,1.621417374E2,8.437030017E1,-7.701562370E1,8.333005864E1
1.166529083E0,1.528804016E-1,6.989226008E-1,5.419600030E-3,6.986453377E-1,1.624122257E2,8.407719600E1,-7.714620990E1,8.387648867E1
1.176551083E0,1.507297111E-1,6.980587800E-1,6.134853122E-3,6.999691913E-1,1.626615665E2,8.339727126E1,-7.726235038E1,8.479278200E1
1.186573083E0,1.487074632E-1,6.971947064E-1,6.871516814E-3,7.012547966E-1,1.628959408E2,8.271373211E1,-7.736375553E1,8.570350917E1
1.196595083E0,1.465081774E-1,6.970758523E-1,7.673824222E-3,7.018274669E-1,1.631507517E2,8.256705564E1,-7.747603803E1,8.609744607E1
