"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.581970824E-2,7.139421076E-1,2.862414522E-1,3.671314681E-1
3.584070830E-2,6.095839262E-1,4.005079597E-1,2.376665121E-1
4.586170835E-2,2.966485459E-1,4.915895263E-1,-1.046593130E-2
5.588270829E-2,1.291421896E-1,3.755808409E-1,-1.781705081E-1
6.590470835E-2,1.344894683E-1,3.263898236E-1,-3.392308939E-1
7.592570828E-2,-1.423785317E-1,3.014299603E-1,-3.338274819E-1
8.594670834E-2,-3.743521947E-1,2.301805412E-1,-1.805678666E-1
9.596770827E-2,-3.734926540E-1,2.565704142E-1,-1.084740365E-1
1.059887083E-1,-1.173524487E-1,3.811863472E-1,-2.196208352E-1
1.160107083E-1,1.106644034E-1,5.140623495E-1,-3.110309422E-1
1.260317083E-1,6.359548688E-2,4.683978610E-1,-2.575786203E-1
1.360527083E-1,3.456347644E-2,2.872122362E-1,-2.216229218E-1
1.460737083E-1,1.143896645E-1,1.588863178E-1,-1.275815678E-1
1.560947082E-1,1.986269921E-1,1.756388830E-1,2.668552279E-2
1.661167083E-1,2.533996153E-1,2.315697666E-1,2.360170126E-1
1.761377082E-1,2.598362303E-1,2.258164718E-1,3.648481303E-1
1.861587083E-1,2.694478834E-1,1.717898802E-1,4.575212359E-1
1.961797083E-1,3.323352724E-1,1.477949537E-1,5.194911969E-1
2.062007083E-1,5.776019955E-1,2.867791767E-1,6.005979252E-1
2.162227083E-1,7.031615961E-1,3.316842581E-1,7.862142777E-1
2.262437083E-1,5.858348751E-1,2.105772391E-2,9.040046829E-1
2.362647083E-1,4.600162429E-1,-4.242829578E-1,8.885218406E-1
2.462857083E-1,3.111741990E-1,-7.525456446E-1,7.348061424E-1
2.563067083E-1,1.801258171E-1,-7.016307950E-1,4.759557527E-1
2.663287083E-1,3.102433223E-1,-3.170139594E-1,1.378872854E-1
2.763497083E-1,7.347675508E-1,1.362251412E-1,-1.727787906E-1
2.863707083E-1,1.125167429E0,4.870271632E-1,-2.209113157E-1
2.963917083E-1,1.294316853E0,6.455728807E-1,-3.238708431E-1
3.064127082E-1,1.325806448E0,9.017474384E-1,-2.722264802E-1
3.164347083E-1,8.709743464E-1,7.958431801E-1,1.064251721E-2
3.264557082E-1,7.244934082E-2,2.222562484E-1,2.960176313E-1
3.364762083E-1,-1.117479510E0,-2.583081336E-1,4.135618687E-1
3.464972083E-1,-2.214855123E0,-3.287944910E-1,3.267546898E-1
3.565182083E-1,-2.904395045E0,-7.582669258E-3,3.558059961E-1
3.665392083E-1,-2.527988724E0,1.054608931E-1,5.849998927E-1
3.765612083E-1,-1.663620561E0,2.077851936E-2,3.711853427E-1
3.865822083E-1,-5.945875722E-1,-1.325639802E-1,1.744996262E-1
3.966032083E-1,3.237194002E-1,-3.032007895E-1,1.766911626E-1
4.066242083E-1,7.058881527E-1,-5.261563649E-1,-1.047236323E-2
4.166452083E-1,6.147493565E-1,-6.930168231E-1,-5.524040043E-2
4.266672083E-1,2.969917774E-1,-8.859603216E-1,-2.135870934E-2
4.366882083E-1,-9.295026362E-2,-1.131859494E0,-4.069486678E-2
4.467092083E-1,-3.300975430E-1,-1.307599095E0,-2.537188733E-1
4.567302082E-1,-5.368106496E-1,-1.425143187E0,-3.150707835E-1
4.667512083E-1,-7.752788150E-1,-1.433625011E0,-5.070038831E-1
4.767732084E-1,-9.292582226E-1,-1.258665063E0,-5.289683640E-1
4.867942083E-1,-1.096558172E0,-1.054093426E0,-5.048813438E-1
4.968152083E-1,-1.306604192E0,-8.594578166E-1,-5.375298572E-1
5.068362083E-1,-1.355524921E0,-7.286880545E-1,-3.524976414E-1
5.168572083E-1,-1.319142376E0,-5.603068087E-1,-2.275291944E-1
5.268792083E-1,-1.124365776E0,-3.519173784E-1,-4.334599435E-2
5.369002083E-1,-8.303233337E-1,-2.034768920E-1,1.611843467E-1
5.469212083E-1,-4.697565347E-1,-1.564366451E-1,2.269339478E-1
5.569422083E-1,-2.516875505E-2,-1.403167760E-1,2.270707726E-1
5.669632083E-1,4.637812650E-1,-8.225861153E-2,4.999310911E-2
5.769852083E-1,7.550568044E-1,-1.095956535E-2,-1.263495594E-1
5.870062083E-1,7.347593647E-1,-2.845526027E-2,-2.349563277E-1
5.970272083E-1,5.991419685E-1,-1.640236450E-1,-3.230978411E-1
6.070482082E-1,6.288066477E-1,-2.384553198E-1,-2.264573997E-1
6.170692083E-1,7.937092388E-1,-2.516669574E-1,-1.318903810E-1
6.270902083E-1,8.816162789E-1,-1.833727211E-1,7.456135511E-2
6.371122083E-1,8.655042762E-1,-4.163809575E-2,2.488662690E-1
6.471332083E-1,8.026508009E-1,8.222446013E-2,1.575070328E-1
6.571542083E-1,9.011290222E-1,8.305458203E-2,-9.025177360E-2
6.671752083E-1,1.021761759E0,2.187370285E-2,-4.675959885E-1
6.771962083E-1,9.441230142E-1,2.434700198E-2,-8.523006785E-1
6.872182083E-1,4.747459638E-1,1.836835554E-1,-1.150211053E0
6.972392083E-1,-2.726188284E-1,4.616455330E-1,-1.398925295E0
7.072602083E-1,-1.082599114E0,8.086601306E-1,-1.422367952E0
7.172812083E-1,-1.762070131E0,1.082461266E0,-7.874918944E-1
7.273022083E-1,-2.089856855E0,1.018989886E0,1.254227757E-3
7.373242083E-1,-1.925152484E0,8.774559850E-1,3.565006453E-1
7.473452083E-1,-1.075687121E0,7.250212656E-1,4.445310616E-1
7.573662082E-1,3.769512820E-1,2.662218283E-1,6.164918268E-1
7.673872083E-1,1.903051178E0,-3.621928366E-1,7.980712616E-1
7.774082083E-1,2.994916375E0,-8.207542922E-1,7.032013571E-1
7.874302083E-1,3.422381169E0,-8.974821138E-1,5.239532071E-1
7.974512083E-1,2.900007879E0,-5.471170250E-1,7.482526919E-1
8.074722083E-1,1.901787595E0,2.011342782E-1,8.799650252E-1
8.174932083E-1,1.337871593E0,1.179092644E0,8.835502455E-1
8.275142083E-1,1.308269479E0,1.911038621E0,1.057660739E0
8.375362083E-1,1.343640456E0,1.927530254E0,1.367912832E0
8.475572083E-1,1.104988103E0,1.403908000E0,1.669705759E0
8.575782083E-1,5.432191980E-1,7.441682656E-1,1.466260076E0
8.675992083E-1,-1.130769646E-1,1.849866074E-1,1.062332080E0
8.776202083E-1,-6.213450158E-1,-1.599463449E-1,6.363767454E-1
8.876422083E-1,-9.642520541E-1,-3.030247883E-1,4.238810349E-1
8.976632083E-1,-1.244223171E0,-2.975086713E-1,4.953369337E-1
9.076842082E-1,-1.430870973E0,-1.537192065E-1,5.114150226E-1
9.177052083E-1,-1.340809819E0,1.848758027E-1,2.224953264E-1
9.277262083E-1,-9.339248854E-1,7.193542904E-1,-1.290445411E-1
9.377472083E-1,-3.133967257E-1,1.249291538E0,-3.961248869E-1
9.477692083E-1,1.907104468E-1,1.610063428E0,-6.180641431E-1
9.577902083E-1,4.940248185E-1,1.665035441E0,-7.748952377E-1
9.678112083E-1,6.344047719E-1,1.326110211E0,-9.556379360E-1
9.778322083E-1,6.427376390E-1,7.764207762E-1,-1.013144132E0
9.878532083E-1,6.467991149E-1,2.219945124E-1,-7.290168142E-1
9.978752083E-1,6.590706664E-1,-2.389409128E-1,-2.727995074E-1
1.007896208E0,6.120216304E-1,-5.910150696E-1,2.264737719E-1
1.017917208E0,5.883076626E-1,-8.213864493E-1,8.258496290E-1
1.027938208E0,5.960265720E-1,-9.109600921E-1,5.361914295E-1
1.037959208E0,2.904557598E-1,-8.299874112E-1,-2.896652162E-1
1.047981208E0,-2.356316811E-1,-5.445491472E-1,-1.091431333E0
1.058002208E0,-7.034726679E-1,-2.377963203E-1,-1.541273421E0
1.068023208E0,-1.124622468E0,2.967651978E-2,-1.321749650E0
1.078044208E0,-1.285009255E0,1.747564651E-1,-9.592690569E-1
1.088065208E0,-1.202664086E0,3.100388159E-1,-1.563969973E0
1.098087208E0,-1.068179880E0,5.461525999E-1,-1.553489424E0
1.108108208E0,-7.509503049E-1,5.905125014E-1,-9.084222543E-1
1.118129208E0,-3.192673302E-1,4.720265700E-1,-9.813808876E-1
1.128150208E0,1.405237949E-1,4.660887225E-1,-1.121308267E0
1.138171208E0,5.175961143E-1,4.832394831E-1,-1.524041092E0
1.148193208E0,6.521674436E-1,4.040208207E-1,-1.903927091E0
1.158214208E0,4.807826293E-1,1.789341545E-1,-1.834881122E0
1.168235208E0,1.435473901E-1,-3.689783111E-2,-1.665778769E0
1.178256208E0,-2.316409564E-1,-4.692419797E-2,-1.158866102E0
1.188277208E0,-5.446406561E-1,-2.472655937E-2,-9.598964632E-2
1.198299208E0,-9.377647519E-1,-1.186870757E-1,1.118270053E0
1.208320208E0,-1.339971913E0,-2.053781873E-1,1.855156050E0
1.218341208E0,-1.193946472E0,-8.219416425E-2,2.071242244E0
1.228362208E0,-6.346415842E-1,8.111649317E-1,1.803949644E0
1.238383208E0,1.049744779E-1,2.096426786E0,1.626802399E0
1.248405208E0,8.421797329E-1,2.890767524E0,1.285451304E0
1.258426208E0,1.227682568E0,3.035320343E0,1.161662533E0
1.268447208E0,1.160959990E0,2.693091289E0,2.051683307E0
1.278468208E0,8.283194929E-1,2.142943726E0,3.358362051E0
1.288489208E0,3.212852043E-1,1.747754978E0,4.032794522E0
1.298510208E0,1.729571307E-1,1.319472013E0,3.508749222E0
1.308532208E0,6.006248224E-1,9.160030232E-1,2.345046887E0
1.318553208E0,1.133308507E0,7.385384202E-1,1.278972589E0
1.328574208E0,1.585981817E0,5.444159769E-1,6.066834149E-1
1.338595208E0,1.977541782E0,6.342620999E-3,2.972429153E-1
1.348616208E0,2.232524239E0,-6.213955942E-1,1.199418882E-1
1.358638208E0,2.324544210E0,-1.228605843E0,2.639053077E-2
1.368659208E0,2.150055694E0,-1.715090531E0,-6.288505018E-2
1.378680208E0,1.856006235E0,-1.946914651E0,-2.957369649E-1
1.388701208E0,1.590213447E0,-2.021893059E0,-6.053973198E-1
1.398722208E0,1.110114357E0,-1.932585757E0,-8.052867258E-1
1.408744208E0,4.347539324E-1,-1.602348758E0,-1.049575794E0
1.418765208E0,-2.961018312E-1,-1.143829110E0,-1.166866263E0
1.428786208E0,-1.010801153E0,-7.416706274E-1,-1.214745018E0
1.438807208E0,-1.555430700E0,-5.301091558E-1,-1.119735366E0
1.448828208E0,-1.782698523E0,-6.685253218E-1,-9.011021250E-1
1.458850208E0,-1.822401118E0,-9.635065341E-1,-6.391345847E-1
1.468871208E0,-1.711023939E0,-1.219867910E0,-3.614614230E-1
1.478892208E0,-1.283864955E0,-1.355640550E0,-1.119925985E-1
1.488913208E0,-6.364115363E-1,-1.256820413E0,5.855460227E-2
1.498934208E0,8.974774361E-2,-1.002254717E0,1.983179668E-1
1.508956208E0,6.125671756E-1,-8.242603558E-1,2.361263555E-1
1.518977208E0,7.572617894E-1,-6.703335732E-1,1.657942915E-1
1.528998208E0,6.542660093E-1,-5.941013762E-1,8.679373026E-2
1.539019208E0,4.035473424E-1,-5.290499327E-1,9.246552944E-2
1.549040208E0,1.875687379E-1,-4.254299623E-1,2.204797912E-1
1.559062208E0,1.780015236E-1,-3.961728340E-1,3.242532510E-1
1.569083208E0,2.697174400E-1,-3.157019904E-1,3.844953597E-1
1.579104208E0,2.708102846E-1,-1.745639455E-1,4.913456243E-1
1.589125208E0,1.705305362E-1,-1.204564431E-1,5.328754735E-1
1.599146208E0,5.865634382E-2,-1.090789309E-1,4.938517410E-1
1.609167208E0,9.302920103E-3,-3.573408902E-2,4.465372413E-1
1.619189208E0,5.513573527E-2,-4.430903077E-2,5.506571487E-1
1.629210208E0,7.393804193E-3,-1.494428453E-1,7.611522344E-1
1.639231208E0,-1.098130488E-1,-2.596622756E-1,9.000920185E-1
1.649252208E0,-1.185598987E-1,-3.500760171E-1,8.449682701E-1
1.659273208E0,-1.258291572E-1,-3.647446346E-1,7.992050368E-1
1.669295208E0,-8.387772381E-2,-4.408943859E-1,6.978087625E-1
1.679316208E0,-1.657726568E-1,-5.388510355E-1,5.465611741E-1
1.689337208E0,-4.240196139E-1,-5.271627438E-1,3.732806924E-1
1.699358208E0,-5.606900936E-1,-4.177408737E-1,2.374706304E-1
1.709379208E0,-4.263041210E-1,-2.845719990E-1,2.050501585E-1
1.719401208E0,-1.707702720E-1,-1.360658777E-1,2.130672759E-1
1.729422208E0,-1.868126929E-2,-5.322866589E-2,1.769384998E-1
1.739443208E0,-5.041995585E-2,-8.182652056E-2,1.519934008E-1
1.749464208E0,-2.903002238E-1,-8.809239686E-2,1.052785331E-1
1.759485208E0,-5.971550846E-1,-5.430367649E-2,9.762979031E-2
1.769507208E0,-7.968766755E-1,5.917002171E-2,1.326353163E-1
1.779528208E0,-7.734813809E-1,1.807234025E-1,1.416145930E-1
1.789549208E0,-5.488752097E-1,2.872485620E-1,1.669546714E-1
1.799570208E0,-2.647496456E-1,3.571403307E-1,2.270111310E-1
1.809591208E0,-1.119408506E-1,3.686879969E-1,2.642350906E-1
1.819613208E0,-5.992694378E-2,3.011453471E-1,3.037415108E-1
1.829634208E0,-5.348097324E-2,2.050612682E-1,3.336862716E-1
1.839655208E0,-3.971896648E-2,2.044706994E-1,3.779619732E-1
1.849676208E0,-7.296798885E-2,2.807838804E-1,4.158878911E-1
1.859697208E0,-1.508020306E-1,3.991613460E-1,3.890696365E-1
1.869718208E0,-2.607682765E-1,5.208828342E-1,3.751129174E-1
1.879740208E0,-3.597136903E-1,6.145645845E-1,3.892307273E-1
1.889761208E0,-5.415018708E-1,6.365235105E-1,4.005114681E-1
1.899782208E0,-7.861183834E-1,6.505492267E-1,4.110253465E-1
1.909803208E0,-9.499421632E-1,6.711612466E-1,3.011544102E-1
1.919824208E0,-9.519518512E-1,6.192215994E-1,1.660632634E-1
1.929846208E0,-7.163915062E-1,4.950223535E-1,7.349599242E-2
1.939867208E0,-5.013917255E-1,3.154224935E-1,4.398918808E-2
1.949888208E0,-4.487866652E-1,2.311416042E-1,4.858714610E-2
1.959909208E0,-4.075392365E-1,3.156338704E-1,-5.990706325E-2
1.969930208E0,-2.905346972E-1,4.241891831E-1,-1.413371426E-1
1.979952208E0,-1.889024878E-1,5.483767346E-1,-9.346072555E-2
1.989973208E0,1.021040797E-2,6.513938570E-1,-6.967249811E-2
1.999994208E0,1.996414840E-1,7.267150578E-1,3.307360590E-2
2.010015208E0,3.285509545E-1,8.160479414E-1,1.859525675E-1
2.020036208E0,3.361365473E-1,9.113850385E-1,3.287784111E-1
2.030058208E0,2.312304819E-1,9.780140609E-1,4.497812766E-1
2.040079208E0,1.985737824E-1,9.097314459E-1,4.865456450E-1
2.050100208E0,2.736818522E-1,7.335095224E-1,4.842488587E-1
2.060121208E0,3.818810695E-1,5.399432954E-1,4.100415525E-1
2.070142208E0,4.684157681E-1,4.301664993E-1,2.839384532E-1
2.080164208E0,4.500397235E-1,5.052160969E-1,1.216250092E-1
2.090185208E0,3.830510974E-1,5.827849674E-1,-7.720078826E-2
2.100206208E0,1.983030564E-1,5.339449292E-1,-2.615003479E-1
2.110227208E0,-1.013287389E-1,4.334365547E-1,-3.945157331E-1
2.120248208E0,-2.990804029E-1,3.506323797E-1,-6.518394148E-1
2.130269208E0,-3.368007910E-1,1.992672622E-1,-8.996192712E-1
2.140291208E0,-3.650247163E-1,7.092467934E-2,-9.246491548E-1
2.150312208E0,-3.445495212E-1,-6.993576899E-2,-8.603236431E-1
2.160333208E0,-2.457222211E-1,-2.091939341E-1,-8.325142854E-1
2.170354208E0,-2.880747736E-2,-3.131496808E-1,-8.363816339E-1
2.180375208E0,3.336777931E-1,-3.851629655E-1,-8.599693018E-1
2.190397208E0,6.136588508E-1,-4.292689517E-1,-8.140060937E-1
2.200418208E0,8.350051993E-1,-4.572376460E-1,-6.982815099E-1
2.210439208E0,9.488048798E-1,-4.224860354E-1,-5.938110620E-1
2.220460208E0,8.948900431E-1,-2.840844874E-1,-3.001083434E-1
2.230481208E0,8.521743786E-1,-5.171262905E-2,2.460090271E-1
2.240503208E0,9.532645512E-1,2.874964839E-1,6.840645897E-1
2.250524208E0,1.185152845E0,7.708485259E-1,9.951086882E-1
2.260545208E0,1.358230428E0,1.120871187E0,1.245425359E0
2.270566208E0,1.387154265E0,1.035424802E0,1.605641325E0
2.280587208E0,1.138161696E0,8.279746534E-1,1.691403022E0
