"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-8.829166181E-4,6.655609589E0,-1.273551636E0,7.770042114E0
9.138083318E-3,6.242319031E0,-8.860075378E-1,7.751480713E0
1.916008338E-2,5.696254578E0,-1.147962799E0,8.098309479E0
2.918108332E-2,5.368585968E0,-1.220412140E0,7.985444183E0
3.920208337E-2,5.028942261E0,-1.114881592E0,7.796087952E0
4.922408331E-2,5.042563934E0,-1.133592682E0,7.707621918E0
5.924508336E-2,5.149142303E0,-1.035247192E0,7.858957214E0
6.926708331E-2,5.451962585E0,-1.013542328E0,7.946375427E0
7.928808336E-2,5.975723419E0,-1.160536652E0,7.911198578E0
8.930908330E-2,6.397695923E0,-1.125958557E0,7.831264801E0
9.933108336E-2,6.525979156E0,-9.936337280E-1,7.738308105E0
1.093520833E-1,6.262527008E0,-8.475375366E-1,7.682025146E0
1.193730833E-1,5.841153259E0,-8.993298340E-1,7.585475922E0
1.293950833E-1,5.643863525E0,-1.025966492E0,7.643854523E0
1.394160833E-1,5.602399750E0,-1.086590424E0,7.774832153E0
1.494380833E-1,5.746250610E0,-1.140628052E0,7.846982117E0
1.594590833E-1,5.887556763E0,-1.029708710E0,7.953859863E0
1.694800834E-1,6.068081360E0,-9.892927551E-1,8.035739594E0
1.795020833E-1,5.958060150E0,-8.505313110E-1,8.092621307E0
1.895230834E-1,5.809718628E0,-7.990383911E-1,8.114176483E0
1.995450833E-1,5.854176178E0,-8.156538391E-1,8.106841736E0
2.095660834E-1,5.927074585E0,-7.717950439E-1,8.052804108E0
2.195870833E-1,5.901477814E0,-7.250921631E-1,7.929310913E0
2.296090834E-1,5.891897736E0,-7.188052368E-1,7.930807800E0
2.396300833E-1,5.891149292E0,-7.798782349E-1,8.037685547E0
2.496520834E-1,5.781277771E0,-7.827223206E-1,8.032446442E0
2.596730833E-1,5.853727112E0,-8.590635681E-1,7.989785156E0
2.696940834E-1,5.784570923E0,-7.665559387E-1,8.051007843E0
2.797160833E-1,5.738766174E0,-7.393125916E-1,8.132288818E0
2.897370834E-1,5.884263611E0,-9.669891357E-1,8.182584229E0
2.997590833E-1,5.879024506E0,-1.241218872E0,8.203241272E0
3.097800834E-1,5.650599518E0,-1.483564911E0,8.198900299E0
3.198010833E-1,5.414091339E0,-1.723815308E0,8.361312561E0
3.298230834E-1,5.316045227E0,-1.907932434E0,8.435109100E0
