"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.164408331E-2,-1.544542983E-2,3.993985802E-2,-3.276933730E-2
2.166608337E-2,-1.444291137E-2,-3.388332203E-2,-1.994718611E-2
3.168708330E-2,-1.777239516E-2,-1.522507071E-1,-8.289997466E-3
4.170808336E-2,-3.336260840E-2,-2.092965990E-1,7.586298976E-3
5.173008330E-2,-3.698024526E-2,-2.060262412E-1,4.215839133E-2
6.175108335E-2,-3.496547043E-2,-1.786250621E-1,7.903547585E-2
7.177308330E-2,-1.581574418E-2,-1.176863387E-1,9.697186947E-2
8.179408335E-2,9.630032815E-3,-5.105165765E-2,8.660835773E-2
9.181508329E-2,4.440825433E-2,2.639492974E-2,5.701185390E-2
1.018370833E-1,7.813791931E-2,9.028291702E-2,3.012736887E-2
1.118580833E-1,9.857740998E-2,1.087860316E-1,1.986833848E-2
1.218790833E-1,1.004877314E-1,7.589546591E-2,2.370744571E-2
1.319010834E-1,8.466695994E-2,2.203036845E-2,3.412866220E-2
1.419220833E-1,6.734043360E-2,-1.775610819E-2,3.773755580E-2
1.519440834E-1,4.541942477E-2,-3.370737657E-2,4.536138475E-2
1.619650833E-1,3.428514302E-2,-3.445936739E-2,3.455935046E-2
1.719860834E-1,4.535856843E-2,-5.207351595E-2,3.626031056E-2
1.820080833E-1,5.849018320E-2,-4.137461260E-2,4.546049610E-2
1.920290834E-1,6.574410200E-2,-1.126891188E-2,5.680716038E-2
2.020510833E-1,7.114569098E-2,1.306776330E-2,5.798768625E-2
2.120720834E-1,6.124965101E-2,5.918773822E-3,5.156493932E-2
2.220930833E-1,3.971616179E-2,-3.268108517E-2,3.850236163E-2
2.321150834E-1,1.226323284E-2,-8.703620732E-2,2.542011440E-2
2.421360833E-1,-1.990016364E-2,-1.544949561E-1,1.581594720E-2
2.521580834E-1,-5.504829437E-2,-2.350031137E-1,4.643985536E-3
2.621790833E-1,-1.066892892E-1,-3.360064328E-1,-2.907881513E-2
2.722000834E-1,-1.678104401E-1,-4.735317826E-1,-6.949574500E-2
2.822220833E-1,-2.177382112E-1,-6.344310641E-1,-1.005481035E-1
2.922430834E-1,-2.628066242E-1,-7.775996327E-1,-1.225988120E-1
3.022650833E-1,-3.242939413E-1,-8.875889182E-1,-1.261444986E-1
3.122860834E-1,-3.770354688E-1,-9.265501499E-1,-8.122497052E-2
3.223070833E-1,-4.204104841E-1,-9.437816739E-1,-2.510445006E-2
3.323290834E-1,-4.510760009E-1,-9.374052882E-1,1.357636601E-2
3.423500833E-1,-5.187278986E-1,-1.083921790E0,-4.610131308E-2
3.523720833E-1,-6.502611637E-1,-1.652384758E0,-3.026225865E-1
3.623930833E-1,-7.614663839E-1,-2.393089294E0,-6.313927174E-1
3.724144583E-1,-8.131663799E-1,-3.163539171E0,-8.314157724E-1
3.824364584E-1,-7.522810698E-1,-3.734296083E0,-9.448059201E-1
3.924574583E-1,-5.549842715E-1,-3.660644531E0,-8.995473981E-1
4.024784584E-1,-4.015204310E-1,-3.180552721E0,-5.955690145E-1
4.125004583E-1,-2.948677540E-1,-2.826093435E0,-1.461533904E-1
4.225214584E-1,-2.488986999E-1,-2.724083185E0,1.992775947E-1
4.325434583E-1,-1.958264261E-1,-2.564875364E0,2.850870192E-1
4.425644584E-1,-8.360693604E-2,-2.092489004E0,1.985961199E-1
4.525854583E-1,3.507896140E-2,-1.371314049E0,4.792086035E-2
4.626074584E-1,1.580534279E-1,-6.629222035E-1,-4.675787687E-2
4.726284583E-1,2.684904635E-1,-1.825436503E-1,-4.757599905E-2
4.826504583E-1,3.162954748E-1,5.632655323E-2,1.445198432E-3
4.926714583E-1,3.067259192E-1,1.128891632E-1,2.787068114E-2
5.026924583E-1,2.712101042E-1,7.673522830E-2,1.183137577E-2
5.127144584E-1,2.295675725E-1,-5.263502244E-3,-2.769366279E-2
5.227354583E-1,1.854391098E-1,-6.101560593E-2,-7.119800895E-2
5.327574584E-1,1.266852468E-1,-6.842266023E-2,-1.161585525E-1
5.427784583E-1,6.525164843E-2,-6.396612525E-2,-1.665097326E-1
5.527994584E-1,-5.464064423E-3,-2.767948806E-2,-2.071860582E-1
5.628214583E-1,-6.403629482E-2,7.195496559E-2,-2.457768619E-1
5.728424584E-1,-1.096834093E-1,1.379369050E-1,-2.715629041E-1
5.828644583E-1,-1.417531222E-1,1.374371201E-1,-2.738640010E-1
5.928854584E-1,-1.452669054E-1,1.779528558E-1,-2.591891885E-1
6.029064583E-1,-1.267933995E-1,2.950313687E-1,-2.410886586E-1
6.129284584E-1,-1.147364676E-1,4.095619321E-1,-2.482797205E-1
6.229494583E-1,-1.117537543E-1,4.315430522E-1,-2.770929933E-1
6.329714584E-1,-1.280587018E-1,3.415849507E-1,-3.079606295E-1
6.429924583E-1,-1.515351534E-1,2.090987712E-1,-3.224547505E-1
6.530134584E-1,-1.804978251E-1,1.104291901E-1,-2.883700132E-1
6.630354583E-1,-2.216957957E-1,4.050542414E-2,-2.181141376E-1
6.730564584E-1,-2.652262151E-1,-8.275099844E-2,-1.590532064E-1
6.830784583E-1,-3.203049004E-1,-2.086353302E-1,-1.402833313E-1
6.930994584E-1,-3.499485552E-1,-2.177438736E-1,-1.833620816E-1
7.031204583E-1,-3.487533629E-1,-1.813906729E-1,-2.522025108E-1
7.131424583E-1,-3.192319572E-1,-4.057362676E-2,-3.459261060E-1
7.231634583E-1,-2.648340762E-1,1.351181269E-1,-4.425384998E-1
7.331854583E-1,-2.170580029E-1,2.925775051E-1,-4.750112295E-1
7.432064583E-1,-2.098158300E-1,3.918647766E-1,-4.396475852E-1
7.532274583E-1,-1.970803291E-1,4.782923460E-1,-4.130218327E-1
7.632494584E-1,-1.957181990E-1,5.521442890E-1,-4.575130343E-1
7.732704583E-1,-2.316623479E-1,6.190420985E-1,-5.466173887E-1
7.832924584E-1,-2.950963378E-1,6.365545988E-1,-6.138775945E-1
7.933134583E-1,-3.377937376E-1,5.173531175E-1,-5.978690386E-1
8.033344584E-1,-3.549327850E-1,3.113794327E-1,-5.102671981E-1
8.133564583E-1,-3.834616542E-1,1.666243970E-1,-4.142157733E-1
8.233774584E-1,-4.417692125E-1,1.049548090E-1,-3.949874043E-1
8.333994583E-1,-5.483084321E-1,2.350442670E-2,-4.763083458E-1
8.434204584E-1,-6.961266994E-1,5.437163636E-4,-6.077160239E-1
8.534414583E-1,-8.649892211E-1,6.284437329E-2,-7.179355025E-1
8.634634584E-1,-1.006801128E0,2.241411805E-1,-7.694015503E-1
8.734844583E-1,-1.121978045E0,5.213134885E-1,-7.645316720E-1
8.835064584E-1,-1.175694227E0,9.130148292E-1,-7.496255636E-1
8.935274583E-1,-1.173914433E0,1.277748823E0,-7.417750955E-1
9.035484584E-1,-1.105185032E0,1.627319574E0,-7.345265746E-1
9.135704583E-1,-1.021602511E0,1.860098243E0,-7.770338058E-1
9.235914584E-1,-1.025655150E0,1.906528234E0,-8.791753054E-1
9.336134583E-1,-1.062943578E0,1.795355439E0,-1.006073236E0
9.436344584E-1,-1.056470871E0,1.540169597E0,-1.119630098E0
9.536554583E-1,-1.037019134E0,1.247985601E0,-1.151487589E0
9.636774583E-1,-9.283476472E-1,9.846854210E-1,-1.051466942E0
9.736984583E-1,-7.441008687E-1,6.904907823E-1,-8.576254845E-1
9.837204583E-1,-5.484990478E-1,3.473751545E-1,-6.497127414E-1
9.937414584E-1,-3.270782530E-1,7.695462555E-4,-4.968544543E-1
1.003762458E0,-1.359463185E-1,-2.827773690E-1,-4.217835963E-1
1.013784458E0,2.301312285E-3,-4.590536356E-1,-4.011978805E-1
1.023805458E0,1.043241471E-1,-5.209231377E-1,-3.744358718E-1
1.033827458E0,1.833686382E-1,-5.805563927E-1,-3.059705198E-1
1.043848458E0,3.014734983E-1,-5.422623754E-1,-1.897759140E-1
1.053869458E0,4.002685249E-1,-4.648251534E-1,-5.243908241E-2
1.063891458E0,5.199680328E-1,-4.106903672E-1,3.539203107E-2
1.073912458E0,6.755224466E-1,-4.167016447E-1,6.032215059E-2
1.083934458E0,8.088376522E-1,-4.068477452E-1,5.106151849E-2
1.093955458E0,8.877487183E-1,-2.881682515E-1,4.281450808E-2
1.103976458E0,9.138591290E-1,-1.592485309E-1,4.520430043E-2
1.113998458E0,8.966870904E-1,-1.034369245E-1,5.457409844E-2
1.124019458E0,8.695732355E-1,-1.590157747E-1,7.377449423E-2
1.134041458E0,7.694625854E-1,-4.113324285E-1,1.058346927E-1
1.144062458E0,5.779718161E-1,-8.201606274E-1,1.824491322E-1
1.154083458E0,4.924915135E-1,-1.212611198E0,3.614178300E-1
1.164105458E0,4.485477507E-1,-1.503870249E0,6.283621192E-1
1.174126458E0,4.559321702E-1,-1.683368921E0,8.790543079E-1
1.184148458E0,4.974200726E-1,-1.831019402E0,1.080986142E0
1.194169458E0,4.742516279E-1,-1.812483788E0,1.202652931E0
1.204190458E0,4.237059355E-1,-1.535751700E0,1.152993917E0
1.214212458E0,3.984136283E-1,-1.131338716E0,9.484586120E-1
1.224233458E0,3.921943903E-1,-7.618773580E-1,7.103407383E-1
1.234255458E0,3.804242909E-1,-4.825133979E-1,5.562015176E-1
1.244276458E0,3.832533062E-1,-2.980650961E-1,5.214194059E-1
1.254297458E0,4.027931988E-1,-2.140442282E-1,5.719992518E-1
1.264319458E0,4.135612249E-1,-2.330617607E-1,6.467308402E-1
1.274340458E0,4.034063220E-1,-2.474713176E-1,7.138260007E-1
1.284362458E0,3.840422034E-1,-2.539831102E-1,7.609162927E-1
1.294383458E0,3.260103166E-1,-3.105574548E-1,7.982658148E-1
1.304404458E0,3.028084636E-1,-4.122168720E-1,8.476033211E-1
1.314426458E0,3.129521608E-1,-4.704127908E-1,8.908962011E-1
1.324447458E0,3.018707335E-1,-4.866895080E-1,9.287336469E-1
1.334469458E0,2.291762680E-1,-7.513067722E-1,9.596654773E-1
1.344490458E0,1.624179780E-1,-1.095856071E0,1.020072937E0
1.354511458E0,2.021510154E-1,-1.122455478E0,1.114933133E0
1.364533458E0,1.565304995E-1,-1.012273550E0,1.211348295E0
1.374554333E0,1.353370696E-1,-8.656257391E-1,1.273168445E0
1.384576333E0,2.554125190E-1,-6.976133585E-1,1.266122699E0
1.394597333E0,3.334490061E-1,-3.882073164E-1,1.206406832E0
1.404618333E0,3.494715095E-1,6.701532751E-2,1.088747978E0
1.414640333E0,3.181988001E-1,2.511846125E-1,9.673939943E-1
1.424661333E0,3.185616136E-1,1.398979723E-1,9.066438675E-1
1.434683333E0,3.246690333E-1,-1.409725845E-1,9.034792185E-1
1.444704333E0,3.628582358E-1,-3.804220259E-1,9.266355634E-1
1.454725333E0,3.133372962E-1,-4.268063009E-1,9.617471695E-1
1.464747333E0,1.324008256E-1,-6.017721891E-1,1.023216009E0
1.474768333E0,-5.622714385E-2,-9.792011976E-1,1.133398652E0
1.484790333E0,-6.939031184E-2,-1.272594929E0,1.268498182E0
1.494811333E0,-9.390817583E-2,-1.373291969E0,1.393045425E0
1.504832333E0,-1.967363507E-1,-1.099170327E0,1.426721454E0
1.514854333E0,-2.602122724E-1,-6.138437986E-1,1.370727897E0
1.524875333E0,-3.064245284E-1,-2.215480208E-1,1.213343978E0
1.534897333E0,-2.990143001E-1,2.308530062E-1,1.049227118E0
1.544918333E0,-2.810709774E-1,7.648887634E-1,9.291964173E-1
1.554939333E0,-2.649157047E-1,1.170831800E0,8.430170417E-1
1.564961333E0,-2.502318919E-1,1.368310094E0,7.828529477E-1
1.574982333E0,-2.838018239E-1,1.413196087E0,7.407550216E-1
1.585004333E0,-3.518657684E-1,1.214692712E0,6.739872098E-1
1.595025333E0,-3.953948617E-1,8.682115674E-1,6.316623688E-1
1.605046333E0,-4.094154835E-1,6.043302417E-1,6.767215133E-1
1.615068333E0,-4.169098735E-1,4.346006215E-1,8.068718314E-1
1.625089333E0,-4.352955520E-1,3.185015321E-1,9.662635922E-1
1.635111333E0,-4.321522117E-1,2.815006375E-1,1.051741242E0
1.645132333E0,-4.580084980E-1,2.665462792E-1,1.058553219E0
1.655153333E0,-4.505540431E-1,2.296521813E-1,1.005399942E0
1.665175333E0,-4.267068803E-1,8.027635515E-2,9.000272751E-1
1.675196333E0,-4.211328924E-1,6.783646345E-2,8.105144501E-1
1.685218333E0,-4.375725985E-1,3.608316779E-1,8.066338301E-1
1.695239333E0,-5.122758150E-1,6.900995970E-1,8.581804037E-1
1.705260333E0,-5.189074874E-1,8.070793748E-1,9.211198688E-1
1.715282333E0,-4.617653787E-1,6.893473864E-1,9.177714586E-1
1.725303333E0,-4.182598591E-1,4.843317866E-1,8.368177414E-1
1.735325333E0,-4.138693810E-1,3.882332146E-1,7.681851387E-1
1.745346333E0,-4.239895046E-1,3.885629773E-1,7.320061326E-1
1.755367333E0,-4.182104468E-1,4.192330241E-1,7.028881907E-1
1.765389333E0,-3.987273276E-1,4.240115285E-1,6.428715587E-1
1.775410333E0,-3.986940384E-1,2.869575322E-1,5.295867920E-1
1.785432333E0,-3.826380968E-1,1.406989694E-1,4.501344860E-1
1.795453333E0,-3.545364439E-1,8.022895455E-2,4.299336374E-1
1.805474333E0,-3.452241421E-1,6.072831899E-2,4.127634764E-1
1.815496333E0,-3.363776803E-1,9.812416136E-2,3.652406931E-1
1.825517333E0,-3.251990378E-1,1.721860319E-1,2.717219591E-1
1.835539333E0,-3.110664487E-1,1.991414875E-1,1.669785082E-1
1.845560333E0,-2.904395759E-1,2.062407732E-1,1.171048582E-1
1.855581333E0,-2.833968699E-1,2.026577592E-1,9.428422898E-2
1.865603333E0,-2.846246958E-1,1.572887599E-1,4.279974476E-2
1.875624333E0,-2.881461978E-1,8.891344070E-2,-8.670371026E-3
1.885646333E0,-3.130344152E-1,1.421079412E-2,-3.004245274E-2
1.895667333E0,-3.240005076E-1,-9.360462427E-2,-3.549101204E-2
1.905688333E0,-3.179068863E-1,-2.059892118E-1,-4.656687751E-2
1.915710333E0,-3.260015845E-1,-2.396520972E-1,-4.013480991E-2
1.925731333E0,-3.496730924E-1,-2.070549428E-1,-1.865983568E-2
1.935752333E0,-3.866103292E-1,-1.869600564E-1,-5.937493406E-4
1.945774333E0,-4.289463460E-1,-1.727059186E-1,3.245898709E-2
1.955795333E0,-4.534412920E-1,-1.163843274E-1,7.352652401E-2
1.965817333E0,-4.702950418E-1,-8.794214576E-3,8.385272324E-2
