"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.706870832E-2,1.057640603E-1,-3.349667568E-1,2.116420435E-1,-9.120410273E-1,1.678576218E2,-3.366504958E1,-3.448834662E1,-1.560411369E2
2.709170827E-2,1.058518522E-1,-3.342841992E-1,2.116096642E-1,-9.122888087E-1,1.678475048E2,-3.362651693E1,-3.441124407E1,-1.560720780E2
3.711470834E-2,1.059567135E-1,-3.337104752E-1,2.115711631E-1,-9.124955811E-1,1.678354206E2,-3.359383134E1,-3.434563889E1,-1.560945166E2
4.713670828E-2,1.060676440E-1,-3.333370910E-1,2.115143122E-1,-9.126323898E-1,1.678226368E2,-3.356991943E1,-3.430227171E1,-1.561049447E2
5.715970835E-2,1.061303586E-1,-3.331481414E-1,2.114659329E-1,-9.127052195E-1,1.678154095E2,-3.355546924E1,-3.428059166E1,-1.561101368E2
6.718170829E-2,1.060863151E-1,-3.329534019E-1,2.114301713E-1,-9.127896397E-1,1.678204852E2,-3.353857748E1,-3.426166030E1,-1.561286317E2
7.720470836E-2,1.060037073E-1,-3.328288896E-1,2.113526738E-1,-9.128625537E-1,1.678300050E2,-3.351862116E1,-3.425282803E1,-1.561494489E2
8.722770831E-2,1.060017685E-1,-3.329109547E-1,2.112396728E-1,-9.128591820E-1,1.678302284E2,-3.350807218E1,-3.426477654E1,-1.561492673E2
9.724970825E-2,1.060689085E-1,-3.330966590E-1,2.110974641E-1,-9.128164872E-1,1.678224911E2,-3.350175141E1,-3.428643764E1,-1.561353605E2
1.072727083E-1,1.061175459E-1,-3.333163969E-1,2.109369847E-1,-9.127676811E-1,1.678168861E2,-3.349421267E1,-3.431294234E1,-1.561224835E2
1.172947083E-1,1.061158600E-1,-3.335457653E-1,2.107431882E-1,-9.127289060E-1,1.678170803E2,-3.348100169E1,-3.434310157E1,-1.561166968E2
1.273177083E-1,1.060161827E-1,-3.336396843E-1,2.104867088E-1,-9.127653631E-1,1.678285673E2,-3.344861394E1,-3.436337826E1,-1.561337722E2
1.373407083E-1,1.058133721E-1,-3.335837870E-1,2.101640431E-1,-9.128836271E-1,1.678519392E2,-3.339561188E1,-3.437243825E1,-1.561753499E2
1.473627083E-1,1.055402605E-1,-3.334646590E-1,2.098587103E-1,-9.130290338E-1,1.678834117E2,-3.333894778E1,-3.437651466E1,-1.562288760E2
1.573857083E-1,1.052577081E-1,-3.333756079E-1,2.096276138E-1,-9.131472135E-1,1.679159712E2,-3.329339945E1,-3.438230631E1,-1.562788946E2
1.674077084E-1,1.050091259E-1,-3.333969079E-1,2.094762065E-1,-9.132027631E-1,1.679446153E2,-3.326558629E1,-3.439702281E1,-1.563149863E2
1.774307083E-1,1.048312662E-1,-3.335356659E-1,2.094127229E-1,-9.131870844E-1,1.679651096E2,-3.325829851E1,-3.441999547E1,-1.563317715E2
1.874527083E-1,1.046958063E-1,-3.338316685E-1,2.094326530E-1,-9.130898938E-1,1.679807181E2,-3.327209098E1,-3.445669611E1,-1.563306382E2
1.974757083E-1,1.044689719E-1,-3.342588953E-1,2.095402276E-1,-9.129349620E-1,1.680068547E2,-3.330133561E1,-3.450876888E1,-1.563298257E2
2.074987083E-1,1.040822325E-1,-3.347049512E-1,2.097092628E-1,-9.127768270E-1,1.680514147E2,-3.333400450E1,-3.456687975E1,-1.563456287E2
2.175207083E-1,1.035799685E-1,-3.352594456E-1,2.099109671E-1,-9.125840895E-1,1.681092827E2,-3.337275300E1,-3.464010202E1,-1.563682719E2
2.275437083E-1,1.028765376E-1,-3.358074706E-1,2.101789894E-1,-9.124004135E-1,1.681903229E2,-3.341267981E1,-3.471793009E1,-1.564140459E2
2.375657083E-1,1.018229928E-1,-3.359565440E-1,2.105830091E-1,-9.123706157E-1,1.683116876E2,-3.343619331E1,-3.476064266E1,-1.565224091E2
2.475887083E-1,1.009322613E-1,-3.368523752E-1,2.112015984E-1,-9.119962674E-1,1.684142865E2,-3.353488911E1,-3.487459128E1,-1.565570165E2
2.576117082E-1,1.011209527E-1,-3.405721086E-1,2.121470576E-1,-9.103729815E-1,1.683925529E2,-3.387327116E1,-3.525316265E1,-1.562705933E2
2.676337083E-1,1.022005443E-1,-3.465104678E-1,2.133049211E-1,-9.077370755E-1,1.682681965E2,-3.440563469E1,-3.583698050E1,-1.557187482E2
2.776567083E-1,1.031385645E-1,-3.520935502E-1,2.144485179E-1,-9.052095289E-1,1.681601363E2,-3.492274121E1,-3.638449492E1,-1.551957446E2
2.876787083E-1,1.034410103E-1,-3.559076345E-1,2.154689721E-1,-9.034394456E-1,1.681252922E2,-3.530215672E1,-3.676292504E1,-1.548648227E2
2.977017083E-1,1.031339284E-1,-3.583439068E-1,2.163543773E-1,-9.022992048E-1,1.681606704E2,-3.555960694E1,-3.701613417E1,-1.547045154E2
3.077247083E-1,1.023883506E-1,-3.599017491E-1,2.172548763E-1,-9.015473050E-1,1.682465620E2,-3.574923414E1,-3.718914284E1,-1.546566726E2
3.177467083E-1,1.012966629E-1,-3.604512387E-1,2.182823111E-1,-9.012028809E-1,1.683723140E2,-3.588021919E1,-3.726172363E1,-1.547148695E2
3.277697084E-1,9.994303261E-2,-3.594873613E-1,2.195144953E-1,-9.014397041E-1,1.685282199E2,-3.593457014E1,-3.717377519E1,-1.548995401E2
3.377917083E-1,9.844601870E-2,-3.566236515E-1,2.209088395E-1,-9.024007787E-1,1.687006153E2,-3.588908624E1,-3.687990574E1,-1.552220502E2
3.478147082E-1,9.688696462E-2,-3.520393125E-1,2.223327971E-1,-9.040185012E-1,1.688801280E2,-3.574496071E1,-3.639992290E1,-1.556617835E2
3.578377083E-1,9.526287796E-2,-3.465372153E-1,2.237412974E-1,-9.059672871E-1,1.690670995E2,-3.554986872E1,-3.582236913E1,-1.561636416E2
3.678597083E-1,9.347222696E-2,-3.410823225E-1,2.252058108E-1,-9.078590906E-1,1.692732129E2,-3.536854798E1,-3.525443473E1,-1.566736073E2
3.778827083E-1,9.144538501E-2,-3.361994468E-1,2.267581583E-1,-9.094990245E-1,1.695064710E2,-3.523137084E1,-3.475539757E1,-1.571674164E2
3.879047083E-1,8.927558096E-2,-3.318722035E-1,2.284065057E-1,-9.108902919E-1,1.697561337E2,-3.513949519E1,-3.432011880E1,-1.576361667E2
3.979277083E-1,8.725518748E-2,-3.279754376E-1,2.302219338E-1,-9.120396786E-1,1.699885609E2,-3.510380936E1,-3.392292109E1,-1.580498644E2
4.079497083E-1,8.576268328E-2,-3.244498010E-1,2.322680474E-1,-9.129231609E-1,1.701602329E2,-3.514067916E1,-3.354251603E1,-1.583641304E2
4.179727084E-1,8.495691983E-2,-3.211441895E-1,2.345063743E-1,-9.135948130E-1,1.702529048E2,-3.524051637E1,-3.315770960E1,-1.585713385E2
4.279957083E-1,8.462172594E-2,-3.178734254E-1,2.368244088E-1,-9.141716770E-1,1.702914540E2,-3.537019410E1,-3.275860549E1,-1.587146978E2
4.380177082E-1,8.429732165E-2,-3.145419937E-1,2.390737624E-1,-9.147682656E-1,1.703287613E2,-3.548957589E1,-3.235472979E1,-1.588625641E2
4.480407083E-1,8.372884496E-2,-3.112862286E-1,2.410079287E-1,-9.154264308E-1,1.703941351E2,-3.556500754E1,-3.197577462E1,-1.590472684E2
4.580637083E-1,8.289779340E-2,-3.083736338E-1,2.425408465E-1,-9.160827415E-1,1.704896988E2,-3.559806156E1,-3.165338876E1,-1.592584369E2
4.680857083E-1,8.186894668E-2,-3.059534933E-1,2.437046737E-1,-9.166776443E-1,1.706079981E2,-3.560204833E1,-3.140054595E1,-1.594783946E2
4.781087083E-1,8.073995905E-2,-3.038532473E-1,2.445801744E-1,-9.172430443E-1,1.707378003E2,-3.558189106E1,-3.119281685E1,-1.597021135E2
4.881307083E-1,7.956511565E-2,-3.017586569E-1,2.452400018E-1,-9.178607906E-1,1.708728620E2,-3.553370340E1,-3.099209317E1,-1.599378789E2
4.981537083E-1,7.843305130E-2,-2.994601865E-1,2.458279424E-1,-9.185534319E-1,1.710029937E2,-3.546938014E1,-3.076901633E1,-1.601811989E2
5.081757084E-1,7.751677881E-2,-2.970650759E-1,2.465287075E-1,-9.192209537E-1,1.711083115E2,-3.542345083E1,-3.052515903E1,-1.603985799E2
5.181987083E-1,7.697928005E-2,-2.949302458E-1,2.473935266E-1,-9.197210261E-1,1.711700889E2,-3.542340418E1,-3.029277499E1,-1.605494080E2
5.282217083E-1,7.679109437E-2,-2.932614361E-1,2.483449127E-1,-9.200139888E-1,1.711917174E2,-3.546672827E1,-3.009716256E1,-1.606295030E2
5.382437083E-1,7.684082765E-2,-2.920492440E-1,2.491886149E-1,-9.201673190E-1,1.711860015E2,-3.552375437E1,-2.994527612E1,-1.606599298E2
5.482667083E-1,7.703533536E-2,-2.912448147E-1,2.498329282E-1,-9.202312558E-1,1.711636463E2,-3.557732314E1,-2.983693399E1,-1.606578165E2
5.582887083E-1,7.735282757E-2,-2.908833081E-1,2.502366661E-1,-9.202092130E-1,1.711271555E2,-3.562289567E1,-2.977755417E1,-1.606253087E2
5.683117083E-1,7.794094469E-2,-2.913655154E-1,2.503354530E-1,-9.199801027E-1,1.710595581E2,-3.567429652E1,-2.980688216E1,-1.605251861E2
5.783347083E-1,7.897341604E-2,-2.931306834E-1,2.501120168E-1,-9.193920278E-1,1.709408798E2,-3.575466991E1,-2.996690105E1,-1.603129527E2
5.883567083E-1,8.047788995E-2,-2.960804728E-1,2.495219872E-1,-9.184761767E-1,1.707679292E2,-3.585656789E1,-3.024666634E1,-1.599906813E2
5.983797084E-1,8.238983958E-2,-2.995708825E-1,2.485485030E-1,-9.174381842E-1,1.705481058E2,-3.594866495E1,-3.057859319E1,-1.596004197E2
6.084027083E-1,8.471031862E-2,-3.032135293E-1,2.472823063E-1,-9.163717425E-1,1.702812655E2,-3.602601842E1,-3.091847409E1,-1.591596321E2
6.184247083E-1,8.738390395E-2,-3.073755964E-1,2.458562862E-1,-9.151169043E-1,1.699737545E2,-3.612318562E1,-3.130552097E1,-1.586490029E2
6.284477083E-1,9.031589162E-2,-3.125788751E-1,2.441882851E-1,-9.135149869E-1,1.696364393E2,-3.625511102E1,-3.180182112E1,-1.580511171E2
6.384697083E-1,9.323805907E-2,-3.186837592E-1,2.422277007E-1,-9.116320765E-1,1.693001642E2,-3.640421689E1,-3.240327075E1,-1.574054260E2
6.484927083E-1,9.601785446E-2,-3.250000334E-1,2.399734975E-1,-9.097077778E-1,1.689801872E2,-3.653316055E1,-3.304015248E1,-1.567671171E2
6.585147083E-1,9.861485897E-2,-3.308874319E-1,2.374334018E-1,-9.079725077E-1,1.686811730E2,-3.660662837E1,-3.364492473E1,-1.561804178E2
6.685377083E-1,1.011696323E-1,-3.361809707E-1,2.348533193E-1,-9.064166147E-1,1.683869458E2,-3.665008198E1,-3.418868189E1,-1.556309136E2
6.785607083E-1,1.039541060E-1,-3.410234276E-1,2.324009258E-1,-9.049234361E-1,1.680661770E2,-3.670115815E1,-3.467230951E1,-1.550707018E2
6.885827084E-1,1.071932178E-1,-3.457182388E-1,2.300258350E-1,-9.033695240E-1,1.676929160E2,-3.677818572E1,-3.512122008E1,-1.544543787E2
6.986057083E-1,1.107954246E-1,-3.504327326E-1,2.277708627E-1,-9.016882862E-1,1.672776593E2,-3.689431164E1,-3.555542667E1,-1.537800638E2
7.086287083E-1,1.146623980E-1,-3.549785915E-1,2.255975341E-1,-8.999713922E-1,1.668316939E2,-3.702982133E1,-3.595899041E1,-1.530735888E2
7.186507083E-1,1.185690315E-1,-3.591293923E-1,2.235509991E-1,-8.983275386E-1,1.663809510E2,-3.716744969E1,-3.631464768E1,-1.523773771E2
7.286737083E-1,1.223730375E-1,-3.629502096E-1,2.216651858E-1,-8.967477905E-1,1.659418456E2,-3.730907449E1,-3.663376734E1,-1.517046515E2
7.386957083E-1,1.260376638E-1,-3.664755775E-1,2.199144109E-1,-8.952361937E-1,1.655186330E2,-3.745072153E1,-3.692215531E1,-1.510597012E2
7.487187083E-1,1.296820597E-1,-3.694880340E-1,2.183468748E-1,-8.938600570E-1,1.650975597E2,-3.758704746E1,-3.715043592E1,-1.504420993E2
7.587417084E-1,1.335081084E-1,-3.718658591E-1,2.169833979E-1,-8.926419709E-1,1.646552803E2,-3.771810093E1,-3.729709451E1,-1.498356019E2
7.687637083E-1,1.376870106E-1,-3.739219562E-1,2.158556694E-1,-8.914207660E-1,1.641719489E2,-3.787499502E1,-3.738750279E1,-1.491951045E2
7.787867083E-1,1.420935479E-1,-3.760753125E-1,2.150886495E-1,-8.900076665E-1,1.636619820E2,-3.809893483E1,-3.746627918E1,-1.485004524E2
7.888087083E-1,1.464846173E-1,-3.785777869E-1,2.146984487E-1,-8.883274823E-1,1.631534809E2,-3.840146803E1,-3.756796340E1,-1.477625218E2
7.988317083E-1,1.506832442E-1,-3.814443890E-1,2.145903578E-1,-8.864229927E-1,1.626669527E2,-3.876546113E1,-3.770324211E1,-1.470056660E2
8.088547083E-1,1.546608109E-1,-3.845184115E-1,2.147463855E-1,-8.843696825E-1,1.622057501E2,-3.917677299E1,-3.785658815E1,-1.462454337E2
8.188767083E-1,1.586219403E-1,-3.875737103E-1,2.151797499E-1,-8.822263467E-1,1.617461645E2,-3.962811019E1,-3.799487728E1,-1.454725050E2
8.288997083E-1,1.628353607E-1,-3.903229440E-1,2.157380745E-1,-8.801077932E-1,1.612569816E2,-4.008631560E1,-3.808231545E1,-1.446827000E2
