"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.190916614E-3,1.036332920E-1,2.219215333E-1,-1.428024769E-1
1.321391668E-2,1.202036142E-1,1.606586725E-1,-6.740664691E-2
2.323691663E-2,1.246172711E-1,3.565416113E-2,-2.987418696E-2
3.325891669E-2,1.068595424E-1,-5.849060416E-2,-1.816763729E-2
4.328191665E-2,1.028264537E-1,-9.213244915E-2,5.477237981E-3
5.330491660E-2,1.215137690E-1,-9.318870306E-2,1.173451729E-2
6.332791667E-2,1.325131655E-1,-5.770208687E-2,1.663819514E-2
7.335091662E-2,1.544896513E-1,1.451201737E-2,3.496568277E-2
8.337391668E-2,1.756298244E-1,7.468028367E-2,5.228421837E-2
9.339591663E-2,1.887035221E-1,9.765103459E-2,8.859726787E-2
1.034189167E-1,2.138775736E-1,1.117378250E-1,1.145407185E-1
1.134419166E-1,2.453473955E-1,1.362843364E-1,1.175164357E-1
1.234649166E-1,2.171645015E-1,1.105440855E-1,1.265147328E-1
1.334879167E-1,1.833791137E-1,4.311493039E-2,1.355023086E-1
1.435109166E-1,1.724026203E-1,-1.584026590E-2,1.617003530E-1
1.535329167E-1,1.488429904E-1,-9.126000851E-2,1.509393901E-1
1.635559166E-1,1.482344568E-1,-1.148676053E-1,1.233202815E-1
1.735789167E-1,1.641307622E-1,-4.547507316E-2,1.261165589E-1
1.836019167E-1,2.038805783E-1,1.398692373E-3,1.304159760E-1
1.936249166E-1,2.376292050E-1,7.182931993E-3,1.454996616E-1
2.036479167E-1,2.443776578E-1,-3.130720183E-2,1.585968137E-1
2.136699166E-1,2.611155808E-1,-1.010634378E-1,1.364917457E-1
2.236929167E-1,2.975979447E-1,-1.693050861E-1,1.181670651E-1
2.337159166E-1,2.961115837E-1,-2.256282866E-1,1.489415616E-1
2.437389167E-1,2.816258669E-1,-2.630938888E-1,1.486811042E-1
2.537619167E-1,3.124817312E-1,-2.627099752E-1,1.007845700E-1
2.637849166E-1,3.533359468E-1,-2.449030280E-1,6.199589372E-2
2.738069167E-1,4.066094458E-1,-1.854250878E-1,1.473771967E-2
2.838294583E-1,4.406957924E-1,-8.940294385E-2,-3.696329147E-2
2.938524584E-1,4.581224918E-1,-1.275976896E-1,-5.810737610E-2
3.038754583E-1,4.318315089E-1,-2.496889830E-1,-9.440770373E-3
3.138984583E-1,3.726158142E-1,-3.529499471E-1,1.042893063E-2
3.239214583E-1,3.325988650E-1,-3.084098995E-1,-2.424542606E-2
3.339434583E-1,3.040960133E-1,-2.158955485E-1,-4.231421649E-2
3.439664583E-1,2.749058902E-1,-1.322528422E-1,-8.196468651E-2
3.539894583E-1,2.503112853E-1,-1.848305911E-1,-2.027610838E-1
3.640124584E-1,2.503972948E-1,-1.896690279E-1,-2.879039049E-1
3.740354583E-1,3.379092813E-1,2.506154962E-2,-3.003076911E-1
3.840584583E-1,4.257011712E-1,3.414810300E-1,-3.648273051E-1
3.940804583E-1,3.724470735E-1,1.928856969E-1,-3.605912626E-1
4.041034583E-1,2.322031707E-1,-4.519692063E-1,-2.639925480E-1
4.141264583E-1,1.493495107E-1,-8.041399121E-1,-1.512736380E-1
4.241494583E-1,1.453188211E-1,-7.510103583E-1,-9.037087858E-2
4.341724584E-1,1.687341928E-1,-5.129362345E-1,-1.618842930E-1
4.441954583E-1,2.235697508E-1,-2.464318871E-1,-2.913573086E-1
4.542174583E-1,2.460085899E-1,-7.968264818E-2,-3.471529484E-1
4.642404583E-1,2.562806606E-1,-3.191866679E-3,-2.892486453E-1
4.742634583E-1,2.717220783E-1,1.217365563E-1,-2.193587720E-1
4.842864583E-1,2.035648823E-1,2.029379308E-1,-2.309986502E-1
4.943094583E-1,1.369625330E-1,1.829766631E-1,-2.224656194E-1
5.043324584E-1,1.460817307E-1,2.265350670E-1,-1.468510181E-1
5.143544583E-1,1.015625745E-1,2.274955362E-1,-9.276350588E-2
