"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.149074554E-3,5.238116633E1,4.860927217E0,2.421946910E0,NaN,NaN,3.202852548E1,3.000110193E1
4.011309147E-2,5.238116712E1,4.860924612E0,2.421946910E0,NaN,NaN,3.897109515E1,3.000171642E1
8.765330315E-1,5.238111918E1,4.860634746E0,2.435009691E0,NaN,NaN,2.048381069E1,3.000000000E1
4.248411059E0,5.238110639E1,4.860659957E0,2.435009691E0,NaN,NaN,1.938333356E1,3.000000000E1
5.790752530E0,5.238116680E1,4.860892128E0,4.020412445E0,2.559999943E0,8.437500000E1,1.400000000E1,2.400000000E1
6.790743709E0,5.238116022E1,4.860902438E0,2.975368500E0,5.799999833E-1,NaN,1.400000000E1,1.600000000E1
7.790736079E0,5.238114433E1,4.860907886E0,1.756984711E0,5.799999833E-1,1.265625000E2,1.400000000E1,1.600000000E1
8.790728688E0,5.238113264E1,4.860906210E0,6.548610687E0,0.000000000E0,NaN,1.400000000E1,1.200000000E1
9.790956497E0,5.238112438E1,4.860886512E0,1.404452133E1,1.500000060E-1,NaN,1.400000000E1,1.200000000E1
1.079096234E1,5.238112187E1,4.860871006E0,1.389486313E1,3.899999857E-1,3.030468750E2,1.400000000E1,1.200000000E1
1.179095554E1,5.238111923E1,4.860856505E0,1.547945786E1,2.500000000E-1,2.977734375E2,1.400000000E1,1.200000000E1
1.279095399E1,5.238111500E1,4.860843262E0,1.697182846E1,1.800000072E-1,NaN,1.400000000E1,8.000000000E0
1.379095531E1,5.238110733E1,4.860831527E0,1.877254868E1,2.500000000E-1,2.025000000E2,1.400000000E1,8.000000000E0
1.479094946E1,5.238109647E1,4.860829012E0,1.985134506E1,1.190000057E0,1.553906250E2,1.400000000E1,8.000000000E0
1.579095709E1,5.238108675E1,4.860836290E0,1.985134524E1,1.190000057E0,1.553906308E2,5.175235958E0,8.000000000E0
1.679096377E1,5.238106532E1,4.860846323E0,2.503713642E1,1.860000014E0,1.532812597E2,4.748651530E0,6.004970914E0
1.779095972E1,5.238107175E1,4.860834964E0,2.820071037E1,0.000000000E0,NaN,4.748651530E0,7.295053837E0
1.879096270E1,5.238107120E1,4.860839490E0,2.670406730E1,0.000000000E0,NaN,4.748651530E0,8.058728876E0
1.979096234E1,5.238107141E1,4.860847788E0,2.534182365E1,1.700000018E-1,NaN,4.748651530E0,5.372485918E0
2.079095662E1,5.238107158E1,4.860852733E0,2.522329337E1,1.899999976E-1,NaN,4.748651530E0,5.372485918E0
2.179096508E1,5.238107288E1,4.860856589E0,2.653213126E1,0.000000000E0,NaN,4.748651530E0,4.029364438E0
2.279096925E1,5.238107439E1,4.860861450E0,2.621053703E1,0.000000000E0,NaN,4.748651530E0,4.029364438E0
2.379096353E1,5.238107707E1,4.860867653E0,2.517104728E1,1.500000060E-1,NaN,4.748651530E0,4.029364438E0
2.479095542E1,5.238108051E1,4.860872179E0,2.533065421E1,0.000000000E0,NaN,4.748651530E0,4.029364438E0
2.579094756E1,5.238108407E1,4.860876706E0,2.525747306E1,2.099999934E-1,NaN,4.748651530E0,4.029364438E0
2.679093969E1,5.238108763E1,4.860881399E0,2.527138908E1,0.000000000E0,NaN,4.748651530E0,4.029364438E0
2.779093170E1,5.238109090E1,4.860886261E0,2.554427726E1,0.000000000E0,NaN,4.748651530E0,4.029364438E0
2.879092371E1,5.238109413E1,4.860891625E0,2.550197990E1,0.000000000E0,NaN,4.748651530E0,4.029364438E0
2.979091585E1,5.238109823E1,4.860895816E0,2.614181144E1,0.000000000E0,NaN,4.748651530E0,4.029364438E0
3.079090798E1,5.238110301E1,4.860896738E0,2.679836661E1,0.000000000E0,NaN,4.748651530E0,4.029364438E0
3.179090059E1,5.238110682E1,4.860897493E0,2.654165275E1,0.000000000E0,NaN,4.748651530E0,4.029364438E0
3.279089308E1,5.238111055E1,4.860898415E0,2.635049064E1,0.000000000E0,NaN,4.748651530E0,4.029364438E0
3.379088485E1,5.238111345E1,4.860899672E0,2.637258536E1,0.000000000E0,NaN,4.748651530E0,4.029364438E0
3.479087746E1,5.238111630E1,4.860901600E0,2.659542472E1,0.000000000E0,NaN,4.748651530E0,4.029364438E0
3.579086936E1,5.238110682E1,4.860928574E0,3.195113223E1,1.411832247E-1,NaN,6.346073434E0,4.758761819E0
3.679086244E1,5.238111203E1,4.860923222E0,3.242320904E1,8.370209213E-2,NaN,9.888238334E0,7.449806197E0
3.779085350E1,5.238110924E1,4.860920300E0,3.268040122E1,9.361830529E-2,NaN,1.384419825E1,9.941909394E0
3.879084623E1,5.238111218E1,4.860921521E0,3.273322884E1,2.670227227E-1,NaN,1.367123129E1,9.338212272E0
3.979084003E1,5.238111343E1,4.860920150E0,3.247841942E1,1.885206887E-1,NaN,1.574087714E1,1.017889243E1
4.079083025E1,5.238110935E1,4.860920592E0,3.234304651E1,8.830757742E-2,NaN,1.462411160E1,9.274339002E0
4.179082346E1,5.238110578E1,4.860903908E0,3.191117169E1,2.092963371E-1,NaN,1.536468145E1,9.508980002E0
4.279081571E1,5.238110616E1,4.860895527E0,3.165863129E1,3.731438766E-1,NaN,1.688193185E1,1.062095574E1
4.379080844E1,5.238110249E1,4.860898360E0,3.126960020E1,3.656843977E-2,NaN,1.634474961E1,1.035428922E1
4.479080033E1,5.238109442E1,4.860903291E0,3.089361254E1,1.396881144E-1,NaN,1.777579487E1,1.050017295E1
4.579079175E1,5.238109175E1,4.860896626E0,3.062314018E1,1.532461742E-1,NaN,1.733137579E1,1.024505124E1
4.679078496E1,5.238109357E1,4.860899399E0,3.062169216E1,1.195320773E-1,NaN,1.747404020E1,1.086210473E1
4.779077709E1,5.238109283E1,4.860902571E0,3.041913072E1,2.066919790E-2,NaN,1.701021123E1,1.096469615E1
4.879076910E1,5.238109109E1,4.860913115E0,3.039419456E1,3.686113370E-1,6.974633885E1,1.695940846E1,1.097907743E1
4.979076123E1,5.238108801E1,4.860909962E0,3.059997533E1,9.653496887E-2,NaN,1.662171872E1,1.074950765E1
5.079075313E1,5.238108823E1,4.860907283E0,3.079600127E1,1.183473019E-1,NaN,1.649931729E1,1.066640437E1
5.179074633E1,5.238108162E1,4.860895181E0,3.116906150E1,1.598590449E-1,NaN,1.653745131E1,1.048022259E1
5.279073822E1,5.238108376E1,4.860918487E0,3.098535213E1,8.892848381E-2,NaN,1.659214955E1,1.080407483E1
5.379073060E1,5.238108417E1,4.860917977E0,3.095372204E1,4.494408388E-2,NaN,1.648003377E1,1.101646450E1
5.479072285E1,5.238108863E1,4.860929051E0,3.079087020E1,4.058661870E-2,NaN,1.632116890E1,1.120874271E1
5.579071486E1,5.238108571E1,4.860932317E0,3.059639539E1,5.642794299E-2,NaN,1.598429600E1,1.103508293E1
5.679070699E1,5.238108318E1,4.860936291E0,3.034842051E1,1.916605262E-1,NaN,1.583500900E1,1.114689706E1
5.779069960E1,5.238107970E1,4.860924778E0,2.995805547E1,2.778426084E-1,NaN,1.580268337E1,1.091917057E1
5.879069161E1,5.238108522E1,4.860906017E0,2.957859606E1,3.128036447E-1,NaN,1.607474844E1,1.083701515E1
5.979068422E1,5.238108842E1,4.860892963E0,2.959123101E1,2.168385210E-1,NaN,1.621215105E1,9.786795993E0
6.079067564E1,5.238109027E1,4.860902419E0,2.991389900E1,8.738057166E-2,NaN,1.617643110E1,9.970820135E0
6.179066885E1,5.238108939E1,4.860915318E0,3.034254973E1,1.132761607E-1,NaN,1.625807629E1,1.036590949E1
6.279066110E1,5.238108661E1,4.860914680E0,3.096654743E1,3.390776029E-1,NaN,1.630557357E1,1.078499475E1
6.379065251E1,5.238110231E1,4.860918383E0,3.120480018E1,2.126277298E-1,NaN,1.623165573E1,1.086952124E1
6.479064465E1,5.238111410E1,4.860907042E0,3.126700698E1,1.582574506E-1,NaN,1.589724340E1,1.106166428E1
6.579063737E1,5.238113319E1,4.860893952E0,3.103794232E1,1.034990563E0,3.246155394E2,1.597416355E1,1.138435162E1
6.679063022E1,5.238110506E1,4.860879723E0,2.859786612E1,0.000000000E0,NaN,2.176776651E1,3.000000000E0
