"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
3.190916614E-3,7.353472349E-1,1.415710534E-1,-6.505858764E-1,1.263331975E-1,8.532686971E1,2.113188485E1,-8.301748589E1,7.490694953E-1
1.321391668E-2,7.359835259E-1,1.422080398E-1,-6.497037640E-1,1.264516723E-1,8.521922357E1,2.132174534E1,-8.288864502E1,6.231974037E-1
2.323691663E-2,7.362448785E-1,1.427463604E-1,-6.492288322E-1,1.267633482E-1,8.517497673E1,2.141602942E1,-8.282661708E1,5.999931477E-1
3.325891669E-2,7.361219572E-1,1.432623854E-1,-6.492010364E-1,1.270367338E-1,8.519578954E1,2.161440962E1,-8.283057675E1,4.668425065E-1
4.328191665E-2,7.358017465E-1,1.437163280E-1,-6.494130982E-1,1.272949886E-1,8.524998777E1,2.183260686E1,-8.287010900E1,3.070792858E-1
5.330491660E-2,7.354063880E-1,1.441582166E-1,-6.496975684E-1,1.276278855E-1,8.531686696E1,2.201794652E1,-8.292264009E1,1.851929895E-1
6.332791667E-2,7.350505000E-1,1.446335066E-1,-6.499148354E-1,1.280331696E-1,8.537703308E1,2.217119373E1,-8.296719966E1,1.042468464E-1
7.335091662E-2,7.348556130E-1,1.450867960E-1,-6.499265101E-1,1.285787184E-1,8.540996600E1,2.217862672E1,-8.298510515E1,1.792513175E-1
8.337391668E-2,7.348602070E-1,1.455234163E-1,-6.496794663E-1,1.293060465E-1,8.540918980E1,2.200662137E1,-8.296957142E1,4.477964993E-1
9.339591663E-2,7.349678500E-1,1.459130428E-1,-6.492882382E-1,1.302167556E-1,8.539100091E1,2.166253948E1,-8.293749287E1,8.998918564E-1
1.034189167E-1,7.350949228E-1,1.462418093E-1,-6.488471082E-1,1.313249227E-1,8.536952487E1,2.115336650E1,-8.290319019E1,1.528462215E0
1.134419166E-1,7.352522148E-1,1.466318573E-1,-6.483216845E-1,1.325982633E-1,8.534293555E1,2.058046217E1,-8.286035136E1,2.239652557E0
1.234649166E-1,7.354071677E-1,1.470198401E-1,-6.477896438E-1,1.339031930E-1,8.531673510E1,1.999459943E1,-8.281668001E1,2.966298916E0
1.334879167E-1,7.354283043E-1,1.472768938E-1,-6.474617834E-1,1.350849274E-1,8.531316068E1,1.943095887E1,-8.279932287E1,3.649363017E0
1.435109166E-1,7.352323636E-1,1.474405500E-1,-6.474106593E-1,1.362130721E-1,8.534629165E1,1.887893719E1,-8.282128766E1,4.308143709E0
1.535329167E-1,7.348375741E-1,1.475465282E-1,-6.476051881E-1,1.373000814E-1,8.541301377E1,1.834197541E1,-8.287852976E1,4.943272400E0
1.635559166E-1,7.343075143E-1,1.477295509E-1,-6.479751320E-1,1.381904968E-1,8.550253137E1,1.799175835E1,-8.295758269E1,5.381444646E0
1.735789167E-1,7.338335308E-1,1.479520652E-1,-6.482685795E-1,1.390909221E-1,8.558251466E1,1.764521157E1,-8.302537127E1,5.820223216E0
1.836019167E-1,7.335462368E-1,1.482200138E-1,-6.483056898E-1,1.401446987E-1,8.563096531E1,1.719912530E1,-8.305794603E1,6.375522008E0
1.936249166E-1,7.333032602E-1,1.485847737E-1,-6.482303944E-1,1.413731529E-1,8.567192481E1,1.669865054E1,-8.307780014E1,7.007890914E0
2.036479167E-1,7.329905306E-1,1.489832511E-1,-6.481973302E-1,1.427205033E-1,8.572461962E1,1.614964007E1,-8.310648788E1,7.701349669E0
2.136699166E-1,7.324812070E-1,1.494665490E-1,-6.483720289E-1,1.440301113E-1,8.581038459E1,1.569768062E1,-8.316645702E1,8.301292353E0
2.236929167E-1,7.317455549E-1,1.501841202E-1,-6.487555863E-1,1.452908289E-1,8.593413926E1,1.545539830E1,-8.325991584E1,8.706610182E0
2.337159166E-1,7.307811507E-1,1.510022959E-1,-6.493569165E-1,1.466047990E-1,8.609615860E1,1.526009459E1,-8.338911486E1,9.077321082E0
2.437389167E-1,7.296495499E-1,1.517360725E-1,-6.501606569E-1,1.479147652E-1,8.628595473E1,1.500484747E1,-8.354826950E1,9.500272948E0
2.537619167E-1,7.284595758E-1,1.526096713E-1,-6.510135616E-1,1.491250541E-1,8.648518032E1,1.491433301E1,-8.371517118E1,9.761858802E0
2.637849166E-1,7.273240765E-1,1.537507129E-1,-6.517396253E-1,1.503188847E-1,8.667494294E1,1.503384040E1,-8.386621605E1,9.834513302E0
2.738069167E-1,7.262749572E-1,1.551711671E-1,-6.522930767E-1,1.515270663E-1,8.684997436E1,1.536259696E1,-8.399540875E1,9.722750955E0
2.838294583E-1,7.255158292E-1,1.568580104E-1,-6.524450161E-1,1.527675112E-1,8.697644866E1,1.586801132E1,-8.406730017E1,9.459867927E0
2.938524584E-1,7.248755975E-1,1.587477697E-1,-6.524170516E-1,1.539692233E-1,8.708300001E1,1.656535847E1,-8.411346223E1,9.019121031E0
3.038754583E-1,7.239409701E-1,1.606353374E-1,-6.527101619E-1,1.551621266E-1,8.723835964E1,1.731371613E1,-8.420884452E1,8.526025598E0
3.138984583E-1,7.225986351E-1,1.623167648E-1,-6.535241650E-1,1.562390207E-1,8.746110512E1,1.806211058E1,-8.437911520E1,8.005297014E0
3.239214583E-1,7.212033426E-1,1.638791064E-1,-6.544697296E-1,1.570949178E-1,8.769215960E1,1.893817740E1,-8.456280540E1,7.328592094E0
3.339434583E-1,7.201121396E-1,1.653508111E-1,-6.551300653E-1,1.578043547E-1,8.787252067E1,1.984765925E1,-8.469732356E1,6.599330992E0
3.439664583E-1,7.193452145E-1,1.667266107E-1,-6.554800949E-1,1.583999950E-1,8.799910688E1,2.073341703E1,-8.477951279E1,5.876980839E0
3.539894583E-1,7.187672758E-1,1.682367323E-1,-6.556715259E-1,1.586348583E-1,8.809440398E1,2.203056211E1,-8.482693375E1,4.724832627E0
3.640124584E-1,7.180671534E-1,1.701291047E-1,-6.560148752E-1,1.583670362E-1,8.820973850E1,2.417824556E1,-8.488075603E1,2.711983275E0
3.740354583E-1,7.177506728E-1,1.722048581E-1,-6.558666658E-1,1.581719384E-1,8.826183458E1,2.630009352E1,-8.485659297E1,7.472595970E-1
3.840584583E-1,7.182921122E-1,1.745832258E-1,-6.545715564E-1,1.584717500E-1,8.817269302E1,2.782606166E1,-8.467246391E1,-5.531659342E-1
3.940804583E-1,7.192634074E-1,1.770266683E-1,-6.527752366E-1,1.587647760E-1,8.801260113E1,2.911055114E1,-8.441086140E1,-1.606145473E0
4.041034583E-1,7.188248484E-1,1.792519586E-1,-6.527103094E-1,1.585208089E-1,8.808491443E1,3.124467667E1,-8.438341367E1,-3.574440850E0
4.141264583E-1,7.166794895E-1,1.811071786E-1,-6.547348754E-1,1.577753155E-1,8.843798193E1,3.451925379E1,-8.463458988E1,-6.759244601E0
4.241494583E-1,7.140103296E-1,1.826206509E-1,-6.573880406E-1,1.570983528E-1,8.887569862E1,3.817637410E1,-8.496580839E1,-1.035022334E1
4.341724584E-1,7.118612618E-1,1.840735370E-1,-6.594244077E-1,1.566207447E-1,8.922688962E1,4.158648096E1,-8.520273387E1,-1.368131493E1
4.441954583E-1,7.105949176E-1,1.858599734E-1,-6.604001916E-1,1.561493744E-1,8.943331981E1,4.462878571E1,-8.527245285E1,-1.661444330E1
4.542174583E-1,7.101082058E-1,1.879470853E-1,-6.604441929E-1,1.556781726E-1,8.951256014E1,4.708864541E1,-8.519954809E1,-1.893849173E1
4.642404583E-1,7.099707649E-1,1.899950428E-1,-6.600789061E-1,1.553679296E-1,8.953492654E1,4.891069096E1,-8.507753236E1,-2.061392820E1
4.742634583E-1,7.100765324E-1,1.918004874E-1,-6.594126909E-1,1.554956557E-1,8.951771488E1,4.985474173E1,-8.494803338E1,-2.139479167E1
4.842864583E-1,7.105716525E-1,1.933069632E-1,-6.583834017E-1,1.557294232E-1,8.943710880E1,5.005903765E1,-8.478732671E1,-2.145163691E1
4.943094583E-1,7.112126218E-1,1.945662268E-1,-6.573282132E-1,1.556930083E-1,8.933267318E1,5.016334151E1,-8.461431507E1,-2.145149720E1
5.043324584E-1,7.118676470E-1,1.955905849E-1,-6.562973645E-1,1.557649319E-1,8.922584779E1,5.003094489E1,-8.445821188E1,-2.122536906E1
5.143544583E-1,7.125909291E-1,1.962986730E-1,-6.552341470E-1,1.560423846E-1,8.910777328E1,4.950831084E1,-8.431969131E1,-2.061847007E1
5.243774583E-1,7.131643370E-1,1.966457734E-1,-6.544629650E-1,1.562219723E-1,8.901407759E1,4.902026023E1,-8.422236190E1,-2.008503798E1
5.344004583E-1,7.133870831E-1,1.967456403E-1,-6.542090092E-1,1.561430313E-1,8.897765952E1,4.892313916E1,-8.418229559E1,-1.998563051E1
5.444234583E-1,7.135622032E-1,1.966495034E-1,-6.541186885E-1,1.558423135E-1,8.894901983E1,4.892144098E1,-8.415519108E1,-2.001681029E1
5.544464584E-1,7.141977566E-1,1.962726684E-1,-6.536262026E-1,1.554716109E-1,8.884501813E1,4.838574373E1,-8.407973103E1,-1.954276675E1
5.644694583E-1,7.153467851E-1,1.956130281E-1,-6.526617562E-1,1.550716162E-1,8.865674666E1,4.727069053E1,-8.394822619E1,-1.851470968E1
5.744924584E-1,7.168388257E-1,1.947810914E-1,-6.513456366E-1,1.547621319E-1,8.841179803E1,4.575796205E1,-8.377785965E1,-1.709525431E1
