"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-5.323749501E-4,1.000728973E1,1.203796692E0,-1.976489868E0
9.490625001E-3,9.580676880E0,1.070274353E0,-2.139949951E0
1.951262506E-2,9.233548737E0,8.060737610E-1,-2.272723846E0
2.953562501E-2,9.151219940E0,5.965095520E-1,-2.376607819E0
3.955862508E-2,9.409133606E0,5.090913391E-1,-2.263592834E0
4.958062503E-2,9.707762604E0,6.105802917E-1,-2.131118317E0
5.960362498E-2,9.842482452E0,8.966354370E-1,-2.011367340E0
6.962662505E-2,9.880802765E0,1.199006653E0,-1.842069397E0
7.964862499E-2,9.863289185E0,1.397194519E0,-1.722318420E0
8.967162506E-2,9.702972565E0,1.469194794E0,-1.769919434E0
9.969462501E-2,9.480535126E0,1.315015411E0,-1.917512512E0
1.097166251E-1,9.157357178E0,1.031954041E0,-2.067650299E0
1.197396250E-1,8.801696777E0,8.216413879E-1,-2.093696136E0
1.297626250E-1,8.566984863E0,7.375163269E-1,-2.097887421E0
1.397846250E-1,8.577014008E0,6.632707214E-1,-2.187101898E0
1.498076250E-1,8.854387207E0,5.830375671E-1,-2.217638397E0
1.598306251E-1,9.298214264E0,4.893324280E-1,-2.168839874E0
1.698526250E-1,9.803862762E0,3.716770935E-1,-2.126328278E0
1.798756251E-1,1.015368530E1,3.128494263E-1,-2.129771118E0
1.898976250E-1,1.024604324E1,3.528163147E-1,-2.143841858E0
1.999206251E-1,1.010922775E1,5.297483826E-1,-2.113005981E0
2.099436250E-1,9.952353973E0,7.134164429E-1,-2.036065979E0
2.199656250E-1,9.859696655E0,8.397537231E-1,-1.966011658E0
2.299886250E-1,9.782457275E0,8.644523621E-1,-1.848206635E0
2.400116250E-1,9.782756653E0,8.370593262E-1,-1.781894531E0
2.500336251E-1,9.774823151E0,8.577163696E-1,-1.703607330E0
2.600566250E-1,9.689201202E0,9.580078125E-1,-1.650168457E0
2.700796251E-1,9.569150848E0,1.002615051E0,-1.743125153E0
2.801016250E-1,9.452992401E0,9.526190186E-1,-1.983525238E0
2.901246250E-1,9.323361969E0,8.478369141E-1,-2.189646606E0
3.001476250E-1,9.251661072E0,7.520361328E-1,-2.300715637E0
3.101696250E-1,9.354646912E0,7.496411133E-1,-2.428100739E0
3.201926250E-1,9.681866455E0,7.556286621E-1,-2.554887085E0
3.302156250E-1,1.023676254E1,5.456153870E-1,-2.446213074E0
3.402376251E-1,1.086156326E1,2.610571289E-1,-2.349214783E0
3.502606250E-1,1.111947693E1,2.097138977E-1,-2.224374390E0
3.602836251E-1,1.075184143E1,5.158273315E-1,-2.080224152E0
3.703056250E-1,9.918374634E0,9.830058289E-1,-2.051034851E0
3.803286250E-1,9.279652863E0,1.437760162E0,-2.206112366E0
3.903516250E-1,8.932524719E0,1.661694489E0,-2.474953308E0
4.003736250E-1,8.780890045E0,1.686692505E0,-2.518662415E0
4.103966251E-1,8.622818756E0,1.521585846E0,-2.446662140E0
4.204196250E-1,8.444689178E0,1.260977783E0,-2.401456146E0
4.304416251E-1,8.325986023E0,1.019529877E0,-2.382595367E0
4.404646250E-1,8.287665710E0,8.554710388E-1,-2.360890503E0
4.504866251E-1,8.472082214E0,8.107141113E-1,-2.304158478E0
4.605096250E-1,8.896449738E0,8.888516235E-1,-2.218386841E0
4.705326250E-1,9.423952789E0,9.406439209E-1,-2.211950226E0
4.805546250E-1,9.884395294E0,9.301657104E-1,-2.134860535E0
4.905776250E-1,1.018931122E1,8.852590942E-1,-2.003433838E0
5.006006251E-1,1.039842636E1,8.237370300E-1,-1.905986481E0
5.106226250E-1,1.052072205E1,7.608677673E-1,-1.787133636E0
5.206456251E-1,1.053958282E1,7.402107239E-1,-1.681902466E0
5.306686250E-1,1.042566971E1,7.843688965E-1,-1.640738068E0
5.406906250E-1,1.024275009E1,8.840615845E-1,-1.647024994E0
5.507136250E-1,1.002151016E1,9.874964905E-1,-1.678908691E0
5.607366250E-1,9.836794281E0,1.045725403E0,-1.801653442E0
5.707586251E-1,9.710007935E0,1.086141357E0,-1.931732941E0
5.807816250E-1,9.632169800E0,1.080453186E0,-2.080822906E0
5.908046251E-1,9.566456451E0,1.084644470E0,-2.253264313E0
6.008266250E-1,9.591903534E0,1.086141357E0,-2.364183655E0
6.108496251E-1,9.558373260E0,1.113085327E0,-2.306852875E0
6.208726250E-1,9.538015594E0,1.118025055E0,-2.220931549E0
6.308946250E-1,9.568252716E0,1.083147583E0,-2.108066254E0
6.409176250E-1,9.702822876E0,1.005758514E0,-2.064656525E0
6.509406250E-1,9.899813232E0,9.288185120E-1,-2.111359406E0
6.609626251E-1,1.017748581E1,9.593550110E-1,-2.190544739E0
6.709856250E-1,1.039094193E1,1.007854156E0,-2.356848907E0
6.810086251E-1,1.047297134E1,9.707313538E-1,-2.489622803E0
6.910306250E-1,1.035801041E1,7.316784668E-1,-2.482737122E0
7.010536250E-1,1.008827133E1,4.111949158E-1,-2.300116882E0
7.110766250E-1,9.732461243E0,1.080752563E-1,-1.980830841E0
7.210986250E-1,9.319919128E0,-9.535171509E-2,-1.544338531E0
7.311216251E-1,8.933422852E0,-1.610650635E-1,-1.200054474E0
7.411436250E-1,8.649014282E0,-9.175918579E-2,-1.146016846E0
7.511666251E-1,8.526119843E0,8.307723999E-2,-1.493594055E0
7.611896250E-1,8.638835449E0,3.730242920E-1,-2.084864502E0
7.712116251E-1,8.947792969E0,6.629713440E-1,-2.609373779E0
7.812346250E-1,9.220675507E0,8.845106506E-1,-2.871329041E0
