"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.731625017E-3,1.282196492E-1,3.244712651E-1,-3.553656638E-1
1.575462497E-2,6.916725636E-2,1.308139265E-1,-3.290626705E-1
2.577762504E-2,1.722664014E-2,-6.188179180E-2,-2.303596735E-1
3.579962498E-2,-1.478588954E-2,-1.592080742E-1,-1.056582332E-1
4.582262505E-2,-4.333313555E-2,-1.783669442E-1,-1.363505237E-2
5.584562500E-2,-5.466808006E-2,-1.511654109E-1,3.054652177E-2
6.586762506E-2,-4.734460637E-2,-9.449504316E-2,2.049725503E-2
7.589062501E-2,-1.529985294E-2,-3.232488409E-2,-2.425290644E-2
8.591362508E-2,1.829411834E-2,-1.250016410E-2,-7.902599871E-2
9.593562502E-2,3.926065564E-2,-3.349839151E-2,-1.518501341E-1
1.059586250E-1,4.328859597E-2,-7.258795947E-2,-2.078700811E-1
1.159816250E-1,3.912501037E-2,-1.437684000E-1,-2.036841214E-1
1.260036250E-1,3.175754100E-2,-2.735821307E-1,-1.319487542E-1
1.360266251E-1,2.591749653E-2,-3.889603913E-1,-4.308173433E-2
1.460496250E-1,1.550861262E-2,-4.385820329E-1,3.145145625E-2
1.560716251E-1,1.116659492E-2,-4.307675064E-1,8.149544895E-2
1.660946250E-1,1.959796995E-2,-3.844226599E-1,9.673498571E-2
1.761166251E-1,2.740635723E-2,-3.252637386E-1,5.160319060E-2
1.861396250E-1,3.974630311E-2,-2.872920930E-1,-1.487075910E-2
1.961626250E-1,3.128730506E-2,-2.914394438E-1,-5.734258890E-2
2.061846250E-1,2.706400864E-2,-3.215351701E-1,-5.822956935E-2
2.162076250E-1,3.357064724E-2,-3.161412179E-1,-5.095275119E-2
2.262306251E-1,4.735679179E-2,-2.452733517E-1,-3.088348731E-2
2.362526250E-1,5.473401397E-2,-1.503231376E-1,7.996000350E-3
2.462756251E-1,6.190012768E-2,-4.965141416E-2,4.303291440E-2
2.562986250E-1,7.256822288E-2,4.949647188E-2,5.137420073E-2
2.663206250E-1,7.179792225E-2,1.421158314E-1,2.132836170E-2
2.763436250E-1,5.476701260E-2,1.845815331E-1,-2.120551653E-2
2.863666250E-1,3.029460832E-2,1.561741680E-1,-3.898114711E-2
2.963886251E-1,1.595881209E-2,8.576764166E-2,-5.685771350E-3
3.064116250E-1,-8.197814226E-3,-8.493294939E-3,5.566658452E-2
3.164346251E-1,-3.923695534E-2,-4.552960768E-2,8.557654917E-2
3.264566250E-1,-1.171281282E-2,9.848407656E-2,6.508649886E-2
3.364796251E-1,1.290944312E-2,3.392513990E-1,-3.034894355E-2
3.465026250E-1,8.001375198E-2,6.551386118E-1,-1.428810209E-1
3.565246250E-1,1.566195786E-1,8.143311739E-1,-1.783993393E-1
3.665476250E-1,2.213674784E-1,8.083685040E-1,-1.180397049E-1
3.765706250E-1,2.419925928E-1,7.844901085E-1,-3.852117434E-2
3.865926251E-1,2.253050953E-1,7.277590036E-1,-3.950828686E-4
3.966156250E-1,1.916640401E-1,6.026445031E-1,-1.992537454E-2
4.066386251E-1,1.549179554E-1,4.059281051E-1,-5.950384587E-2
4.166606250E-1,1.064063460E-1,1.638387591E-1,-9.595266730E-2
4.266836250E-1,5.699429289E-2,-7.579521090E-2,-1.071546674E-1
4.367056250E-1,1.531022787E-2,-2.751599848E-1,-9.542903304E-2
4.467286250E-1,-2.712977491E-2,-4.188900888E-1,-7.684335858E-2
4.567516251E-1,-6.020011008E-2,-5.204747915E-1,-6.977453083E-2
4.667736250E-1,-8.424341679E-2,-6.006424427E-1,-7.798661292E-2
4.767966251E-1,-8.900648355E-2,-6.304436922E-1,-8.706586063E-2
4.868196250E-1,-7.898224145E-2,-5.995603204E-1,-9.009674191E-2
4.968416251E-1,-5.181799456E-2,-5.170774460E-1,-9.081713110E-2
5.068646250E-1,-9.182859212E-3,-3.910210729E-1,-9.540774673E-2
5.168876250E-1,3.273103386E-2,-2.384347320E-1,-1.080319285E-1
5.269096250E-1,7.021880150E-2,-8.441091329E-2,-1.246951520E-1
5.369326250E-1,9.593348950E-2,4.378673434E-2,-1.342926472E-1
5.469556251E-1,1.102840379E-1,1.296606809E-1,-1.338276118E-1
5.569776250E-1,1.202525124E-1,1.769624203E-1,-1.195008606E-1
5.670006251E-1,1.166682541E-1,1.948716044E-1,-9.776618332E-2
5.770236250E-1,9.391207248E-2,1.677185446E-1,-8.280134946E-2
5.870456250E-1,5.161968991E-2,7.574079931E-2,-7.116083056E-2
5.970686250E-1,1.418256853E-2,-7.241697609E-2,-6.837915629E-2
6.070916250E-1,-1.640922017E-2,-2.340249270E-1,-7.385528833E-2
6.171136250E-1,-2.764402889E-2,-3.717002273E-1,-7.719063014E-2
6.271366250E-1,-8.440610021E-3,-4.647948146E-1,-7.412940264E-2
6.371596251E-1,3.760331124E-2,-4.855445623E-1,-7.223722339E-2
6.471816250E-1,1.019753665E-1,-4.406628311E-1,-7.900722325E-2
6.572046251E-1,1.504387856E-1,-3.637837470E-1,-1.055488214E-1
6.672276250E-1,1.651374102E-1,-2.954789400E-1,-1.553983539E-1
6.772496250E-1,1.451692879E-1,-2.528547943E-1,-2.195895910E-1
6.872726250E-1,9.090914577E-2,-2.338966280E-1,-2.820743322E-1
6.972956250E-1,2.594292723E-2,-2.343496233E-1,-3.314991593E-1
7.073176251E-1,-2.588259056E-2,-2.271371037E-1,-3.594604433E-1
7.173406250E-1,-3.827667609E-2,-1.936443895E-1,-3.664278090E-1
7.273636251E-1,7.337949239E-3,-1.528248042E-1,-3.600362539E-1
7.373856250E-1,9.453463554E-2,-1.047776490E-1,-3.434487581E-1
7.474086250E-1,1.747009307E-1,-4.445974529E-2,-3.188245296E-1
7.574306250E-1,2.067462206E-1,2.379600704E-2,-2.879363894E-1
7.674536250E-1,1.860946268E-1,7.404607534E-2,-2.576440573E-1
7.774766251E-1,1.497304887E-1,1.094440147E-1,-2.285396904E-1
7.874986250E-1,1.366919428E-1,1.684435159E-1,-2.016756237E-1
7.975216251E-1,1.370080560E-1,2.646424770E-1,-1.764874458E-1
8.075446250E-1,1.201412976E-1,3.625248969E-1,-1.602804661E-1
8.175666251E-1,8.600383997E-2,3.675031364E-1,-1.763190776E-1
8.275896250E-1,4.622998089E-2,2.631376088E-1,-2.382858843E-1
8.376126250E-1,-8.922223002E-3,1.320493668E-1,-3.398244977E-1
8.476346250E-1,-7.252603769E-2,4.404734820E-2,-4.401251376E-1
8.576576250E-1,-9.761754423E-2,3.809225187E-2,-5.124286413E-1
8.676806251E-1,-8.647328615E-2,1.135143116E-1,-5.370098352E-1
8.777026250E-1,-5.036694556E-2,1.971980333E-1,-5.115068555E-1
8.877249584E-1,-1.908677630E-3,2.357542217E-1,-4.595247507E-1
8.977479583E-1,3.676894307E-2,2.579658031E-1,-4.216186702E-1
9.077699584E-1,6.574022025E-2,2.942609191E-1,-4.001566768E-1
9.177929583E-1,1.039105132E-1,3.556696773E-1,-3.704067767E-1
9.278159584E-1,1.607034951E-1,4.180167019E-1,-3.130909801E-1
9.378379583E-1,2.069932222E-1,4.160712659E-1,-2.436770350E-1
9.478609584E-1,2.321873605E-1,3.480312824E-1,-1.907671690E-1
9.578839584E-1,2.295787930E-1,2.253333032E-1,-1.697492301E-1
9.679059584E-1,2.103144825E-1,8.347553015E-2,-1.658670008E-1
9.779289584E-1,1.770143211E-1,-1.045815740E-2,-1.595363915E-1
9.879519583E-1,1.831988096E-1,-3.868867457E-2,-1.636514515E-1
9.979739584E-1,2.286997139E-1,-4.755993187E-2,-1.802240312E-1
1.007996958E0,2.974175811E-1,-5.914851278E-2,-1.974483877E-1
1.018019958E0,3.332533538E-1,-1.009532139E-1,-2.039379776E-1
1.028041958E0,3.262681961E-1,-2.048263699E-1,-1.997093111E-1
1.038064958E0,3.012952209E-1,-3.601845503E-1,-1.895765066E-1
1.048086958E0,2.774610817E-1,-5.296478868E-1,-1.721734405E-1
1.058109958E0,2.159881294E-1,-6.733108163E-1,-1.478374749E-1
1.068132958E0,1.676733643E-1,-7.471094728E-1,-1.270880997E-1
1.078154958E0,1.710534543E-1,-7.377876043E-1,-1.132298112E-1
1.088177958E0,1.909958273E-1,-6.833441257E-1,-1.075284258E-1
1.098200958E0,2.291898131E-1,-6.006148458E-1,-1.086101979E-1
1.108222958E0,2.662858367E-1,-4.800835252E-1,-1.193175390E-1
1.118245958E0,2.629001439E-1,-3.577959538E-1,-1.320463717E-1
1.128268958E0,2.412118763E-1,-3.079943955E-1,-1.212224513E-1
1.138290958E0,2.374754697E-1,-3.406498134E-1,-7.387597859E-2
1.148313958E0,2.355018407E-1,-3.751966953E-1,-1.623087749E-2
1.158336958E0,2.198445946E-1,-3.720450997E-1,1.361197326E-2
1.168358958E0,2.091819942E-1,-3.274526596E-1,1.116180886E-2
1.178381958E0,1.763433516E-1,-2.444075793E-1,-1.075174473E-2
1.188404958E0,1.414154023E-1,-1.548198014E-1,-3.815690055E-2
1.198426958E0,1.380811185E-1,-9.377961606E-2,-6.107659638E-2
1.208449958E0,1.437575966E-1,-5.446140841E-2,-7.527541369E-2
1.218472958E0,1.399367601E-1,-2.420683205E-2,-8.431391418E-2
1.228494958E0,1.444396973E-1,7.726221811E-3,-8.186551183E-2
1.238517958E0,1.462836713E-1,4.989524558E-2,-7.906786352E-2
1.248540958E0,1.540213674E-1,5.885381252E-2,-8.012677729E-2
1.258562958E0,1.575540453E-1,2.213041857E-2,-7.520978153E-2
1.268585958E0,1.402377635E-1,-1.232764125E-2,-3.312379867E-2
1.278608958E0,1.525559425E-1,-5.003148690E-3,5.191066489E-2
1.288630958E0,1.761121154E-1,1.989573613E-2,1.302191168E-1
1.298653958E0,1.572497338E-1,2.352535911E-2,1.552014351E-1
1.308676958E0,1.731776148E-1,-5.820689350E-2,1.210060641E-1
1.318698958E0,2.055209130E-1,-4.232513532E-2,3.666402772E-2
1.328721958E0,1.972236782E-1,1.440005898E-1,-7.629550248E-2
1.338743958E0,1.832844317E-1,3.090401292E-1,-1.528347433E-1
1.348766958E0,1.289452910E-1,3.083820939E-1,-1.476956457E-1
1.358789958E0,7.637874782E-2,2.886814252E-2,-6.533019245E-2
1.368811958E0,3.846252803E-3,-4.016940594E-1,5.000352859E-2
1.378834958E0,-6.573148817E-2,-6.893381476E-1,1.642254442E-1
1.388857958E0,-1.143081114E-1,-7.310318351E-1,2.501822114E-1
1.398879958E0,-1.305118352E-1,-6.154232025E-1,3.042829931E-1
1.408902958E0,-1.214292496E-1,-4.510846734E-1,3.439203799E-1
1.418925958E0,-1.074953228E-1,-2.954322398E-1,3.618487716E-1
1.428947958E0,-9.047098458E-2,-1.479637027E-1,3.603452444E-1
1.438970958E0,-8.530658484E-2,-3.402792150E-3,3.567228317E-1
1.448993958E0,-7.366982102E-2,9.775735438E-2,3.576241434E-1
1.459015958E0,-6.443051249E-2,1.621389985E-1,3.525375128E-1
1.469038958E0,-5.320781469E-2,2.014204860E-1,3.412550390E-1
1.479061958E0,-5.415190756E-2,1.828603745E-1,3.313803077E-1
1.489083958E0,-6.082499400E-2,1.012566090E-1,3.289685249E-1
1.499106958E0,-7.269762456E-2,1.492225006E-2,3.343558311E-1
1.509129958E0,-1.333839297E-1,-3.721940890E-2,3.433276117E-1
1.519151958E0,-2.084674984E-1,-1.270361096E-1,3.594871163E-1
1.529174958E0,-2.679286301E-1,-2.369275689E-1,3.946245015E-1
1.539197958E0,-2.995983958E-1,-3.168692589E-1,4.260948002E-1
1.549219958E0,-2.979807258E-1,-3.450875580E-1,4.288743734E-1
1.559242958E0,-2.747630179E-1,-3.185891211E-1,3.931145072E-1
1.569265958E0,-2.439643443E-1,-2.415331900E-1,3.356589675E-1
1.579287958E0,-2.008237988E-1,-1.443467289E-1,2.739465833E-1
1.589310958E0,-1.648390889E-1,-6.565938890E-2,2.111669481E-1
1.599333958E0,-1.426815838E-1,-2.084530890E-2,1.568539143E-1
1.609355958E0,-1.323214471E-1,-1.896801591E-2,1.148578972E-1
1.619378958E0,-1.432553232E-1,-5.710421503E-2,6.676120311E-2
1.629400958E0,-1.689480245E-1,-1.522593647E-1,1.129981223E-2
1.639423958E0,-1.648156047E-1,-2.785411179E-1,-3.723390028E-2
1.649446958E0,-1.564885527E-1,-3.456582725E-1,-8.714447916E-2
1.659468958E0,-1.502484977E-1,-3.689374924E-1,-1.487966627E-1
1.669491958E0,-1.606377065E-1,-4.018209577E-1,-2.120428383E-1
1.679514958E0,-1.741013229E-1,-4.616028070E-1,-2.520733476E-1
1.689536958E0,-1.792659611E-1,-4.888005257E-1,-2.565217018E-1
1.699559958E0,-1.492199153E-1,-4.951633513E-1,-2.364851236E-1
1.709582958E0,-1.091403216E-1,-4.880636632E-1,-1.920464635E-1
1.719604958E0,-7.410456985E-2,-4.641290307E-1,-1.346356422E-1
1.729627958E0,-4.683018476E-2,-4.523621798E-1,-8.044274151E-2
1.739650958E0,8.704916108E-4,-4.097369313E-1,-5.948898941E-2
1.749672958E0,5.217711627E-2,-2.979056537E-1,-8.123588562E-2
1.759695958E0,7.192604989E-2,-1.915432811E-1,-1.440782249E-1
1.769718958E0,1.385041699E-2,-1.574481279E-1,-2.060199976E-1
1.779740958E0,-6.130292267E-2,-2.216215283E-1,-2.157594413E-1
1.789763958E0,-1.038052365E-1,-3.370228112E-1,-1.740450263E-1
