"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.261799992E-2,2.748150426E-1,-3.137136447E-1,2.731188750E-1
2.263999998E-2,-2.449924886E-2,-1.716596335E-2,2.019125791E-1
3.266199993E-2,-2.377694231E-1,2.206218785E-1,2.227368164E-1
4.268399999E-2,-3.063175017E-1,3.290093762E-1,3.880528057E-1
5.270599993E-2,-3.485987180E-1,2.833893996E-1,5.140438577E-1
6.272799999E-2,-3.962734061E-1,1.403527638E-1,4.722141194E-1
7.274999993E-2,-3.471836919E-1,7.021628916E-3,3.549200698E-1
8.277199999E-2,-2.929203612E-1,1.948847741E-2,2.997996104E-1
9.279399994E-2,-1.930616122E-1,6.900620788E-2,3.024519439E-1
1.028160000E-1,-1.054264677E-1,1.009884310E-1,2.681533829E-1
1.128379999E-1,-5.645603657E-2,1.389748675E-1,2.492458264E-1
1.228600000E-1,-7.445668995E-2,1.884446508E-1,2.162465532E-1
1.328819999E-1,-1.336673498E-1,7.308814913E-2,1.465019882E-1
1.429040000E-1,-2.423700124E-1,-2.261524674E-1,1.803171672E-2
1.529260000E-1,-4.289786375E-1,-2.990938514E-1,-1.032560543E-1
1.629480000E-1,-4.255211788E-1,-1.879277569E-1,-9.539849281E-2
1.729700000E-1,-3.713011175E-1,-7.978554994E-2,4.368103981E-2
1.829920000E-1,-4.508092171E-1,9.199629039E-2,4.886752009E-2
1.930140000E-1,-3.889813435E-1,-7.228620350E-3,-4.491838373E-2
2.030359999E-1,-1.728390169E-1,-5.604608828E-1,-4.260040127E-2
2.130580000E-1,2.581393683E-1,-9.649736005E-1,8.681719221E-2
2.230799999E-1,5.778358841E-1,-1.003639191E0,1.626647886E-1
2.331020000E-1,4.206299829E-1,-6.794192693E-1,7.789068662E-2
2.431229999E-1,-1.244778657E-1,-3.463682976E-1,3.828764118E-2
2.531445833E-1,-5.749871206E-1,-2.726214597E-1,-4.496260330E-2
2.631665833E-1,-9.326010758E-1,-4.539833781E-1,-2.327589440E-1
2.731885833E-1,-1.205376025E0,-4.669454858E-1,-4.362807135E-1
2.832105833E-1,-1.309240701E0,-3.331635305E-1,-5.258366684E-1
2.932325833E-1,-1.060173873E0,-7.429706097E-2,-5.677132574E-1
3.032545833E-1,-9.754757845E-1,-2.847830835E-1,-5.123821521E-1
3.132765833E-1,-1.828814929E0,-1.058147812E0,-5.906425289E-1
3.232985833E-1,-9.020657462E-1,-3.570385891E-1,-8.910431600E-1
3.333205833E-1,9.983237797E-1,1.069749273E0,-5.553229344E-1
3.433425833E-1,1.630811834E0,1.395577764E0,-2.274275990E-1
3.533645833E-1,1.603421137E0,6.717009446E-1,-3.406134680E-2
3.633865833E-1,1.677605932E0,-3.652749771E-1,3.418926195E-1
3.734085833E-1,2.159198985E0,-9.077074322E-1,4.461144876E-1
3.834305833E-1,2.689045016E0,-6.812959331E-1,2.451328218E-1
3.934525833E-1,2.628317589E0,-7.117581725E-2,2.707727163E-1
4.034745833E-1,1.808591748E0,3.820585325E-1,5.257126343E-1
4.134965834E-1,7.471361661E-1,4.926425368E-1,7.606351943E-1
4.235185833E-1,-1.901684099E-1,5.373146796E-1,9.136191134E-1
4.335405832E-1,-8.233394194E-1,6.844484594E-1,5.984696849E-1
4.435625833E-1,-1.059469283E0,9.329133171E-1,3.195034115E-1
4.535845832E-1,-7.900009346E-1,1.104890162E0,3.038716114E-1
4.636065833E-1,-2.242518300E-1,9.703460222E-1,6.721292531E-1
4.736285832E-1,5.823932040E-1,6.833386579E-1,1.025880099E0
4.836505833E-1,1.251579553E0,4.928299400E-1,7.746030231E-1
4.936725833E-1,1.340850749E0,3.142469108E-1,8.311770272E-1
5.036945833E-1,9.953966635E-1,4.657389128E-1,1.164748986E0
5.137165833E-1,5.140959710E-1,1.013392347E0,1.165481057E0
5.237385833E-1,-2.425074220E-2,1.447772642E0,6.893821207E-1
5.337605833E-1,-7.076598591E-1,1.616800444E0,8.495653510E-2
5.437825833E-1,-1.522908486E0,1.374806407E0,-4.410133036E-1
5.538045833E-1,-2.299615191E0,4.976562318E-1,-5.173078465E-1
5.638265833E-1,-2.635129595E0,-7.181675979E-1,-7.463022801E-1
5.738485833E-1,-2.541495207E0,-1.505249310E0,-1.714270313E0
5.838705833E-1,-2.539921136E0,-1.740334861E0,-2.462268358E0
5.938925833E-1,-3.069997548E0,-1.855133831E0,-2.674937439E0
6.039145833E-1,-3.864686195E0,-1.822662196E0,-2.626668674E0
6.139365833E-1,-4.336158888E0,-1.546080417E0,-2.769389852E0
6.239585833E-1,-4.121260849E0,-1.361140295E0,-2.847284705E0
6.339805833E-1,-3.550553890E0,-1.285815001E0,-2.831918807E0
6.440025833E-1,-2.798439989E0,-1.444150584E0,-2.038329436E0
6.540245833E-1,-1.924084783E0,-2.064653016E0,-3.910553509E-1
6.640465833E-1,-8.021075946E-1,-2.870749581E0,1.437422778E0
6.740685833E-1,6.703879523E-1,-3.202947444E0,2.507269115E0
6.840905832E-1,1.626540443E0,-2.030118191E0,2.900824735E0
6.941125833E-1,1.589018860E0,3.031307691E-1,2.958350812E0
7.041345832E-1,1.080591765E0,2.526254439E0,2.497703655E0
7.141565833E-1,1.505632887E0,3.710360048E0,1.749762912E0
7.241785832E-1,2.712383008E0,3.762461663E0,1.270030442E0
7.342005833E-1,3.654059547E0,2.792906769E0,2.098162825E0
7.442225832E-1,4.817426836E0,1.088474396E0,2.646167384E0
7.542445833E-1,6.166487076E0,-5.480636162E-1,2.620876422E0
7.642665833E-1,6.340368066E0,-1.429096343E0,2.430968798E0
7.742885833E-1,5.166400360E0,-1.555745865E0,2.036898623E0
7.843105833E-1,3.147029352E0,-1.223356798E0,1.250232355E0
7.943325833E-1,7.814371026E-1,-6.182231873E-1,8.936818622E-2
8.043545833E-1,-1.144143398E0,5.696357489E-3,-1.093901782E0
8.143765833E-1,-2.334331865E0,4.492322230E-1,-2.189909731E0
8.243985833E-1,-3.040119445E0,4.394083160E-1,-2.735588268E0
8.344205833E-1,-3.496481178E0,-1.430731809E-1,-2.334182322E0
8.444425833E-1,-3.055171348E0,-5.989741534E-1,-1.353713454E0
8.544645833E-1,-1.678181298E0,-3.382052922E-1,-7.271842968E-1
8.644865833E-1,-9.716902971E-3,1.790668863E-1,-5.056531763E-1
8.745085833E-1,1.752026369E0,2.121042395E-1,-2.000408489E-1
8.845305833E-1,3.112902662E0,-2.389084607E-1,6.898843235E-1
8.945525833E-1,3.354572178E0,-7.674932474E-1,1.504220785E0
9.045745833E-1,2.962983561E0,-5.907383502E-1,1.723703041E0
9.145965833E-1,1.988360885E0,2.518746614E-1,1.265324603E0
9.246185833E-1,6.591864413E-1,9.477108657E-1,9.448971856E-1
9.346405833E-1,-3.821401012E-1,1.199375027E0,6.706861603E-1
9.446625833E-1,-8.820472187E-1,1.019400069E0,3.988087589E-1
9.546845832E-1,-8.009504306E-1,5.930175948E-1,-1.213145220E-1
9.647065833E-1,-5.077774698E-1,1.028262109E-1,-2.299142005E-1
9.747285832E-1,-2.747957468E-1,-3.050621045E-1,1.007732169E-1
9.847505833E-1,1.133453518E-1,-4.242447317E-1,2.243037971E-1
9.947725832E-1,8.121963805E-1,-4.679281104E-1,2.761032208E-1
1.004794583E0,1.268845212E0,-5.020126998E-1,2.932799649E-1
1.014815583E0,1.309503241E0,-2.343271673E-1,3.729119889E-1
1.024837583E0,1.116590733E0,2.941821903E-1,2.876847643E-1
1.034859583E0,6.957362169E-1,7.845612699E-1,1.782149470E-1
1.044881583E0,6.148043203E-1,9.828391832E-1,2.495053514E-1
1.054903583E0,7.348944354E-1,9.046794516E-1,7.580737850E-2
1.064925583E0,7.572354770E-1,8.250158161E-1,-1.066298246E-2
1.074947583E0,8.679840803E-1,7.646930158E-1,2.472442331E-1
1.084969583E0,1.187800464E0,4.916485101E-1,5.263412100E-1
1.094991583E0,1.465271897E0,-4.739519119E-2,6.773975945E-1
1.105013583E0,1.495875054E0,-2.611729038E-1,5.383952451E-1
1.115035583E0,1.199396662E0,1.395783001E-1,-1.598566633E-2
1.125057583E0,6.322565049E-1,6.839564162E-1,-6.502407861E-1
1.135079583E0,5.105788708E-2,9.952621776E-1,-1.176056331E0
1.145101583E0,-3.793808001E-1,7.611004865E-1,-1.179224938E0
1.155123583E0,-4.831788182E-1,5.189345419E-2,-9.703062612E-1
1.165145583E0,-6.108901942E-1,-6.922559541E-1,-1.196339738E0
1.175167583E0,-9.005443007E-1,-1.178776456E0,-1.165324352E0
1.185189583E0,-1.119799685E0,-1.338736396E0,-9.264680044E-1
1.195211583E0,-1.299036725E0,-1.031994971E0,-7.734023704E-1
1.205233583E0,-1.500441145E0,-4.606500810E-1,-6.282803982E-1
1.215255583E0,-1.412558663E0,-1.132190520E-1,-1.126308952E-1
1.225277583E0,-1.037163910E0,-3.683465195E-1,6.646782193E-1
1.235299583E0,-7.009846777E-1,-8.271547276E-1,1.158450950E0
1.245321583E0,-7.717377412E-1,-1.080181875E0,1.038652684E0
1.255344208E0,-1.043668352E0,-8.174290538E-1,6.540765595E-1
1.265366208E0,-1.326535011E0,-3.357763588E-2,2.204434653E-1
1.275388208E0,-1.581080680E0,4.367636204E-1,1.934411696E-1
1.285410208E0,-1.101758101E0,1.686506563E-1,4.916928758E-1
1.295432208E0,-8.481444776E-2,-2.946031898E-1,3.750959605E-1
1.305454208E0,6.448502380E-1,-6.042495114E-1,1.009230153E-1
1.315476208E0,9.254996324E-1,-4.081338984E-1,-4.952047136E-1
1.325498208E0,7.934326655E-1,1.572819149E-1,-6.077735551E-1
1.335520208E0,2.862024951E-1,2.350832123E-1,-1.787955024E-1
1.345542208E0,-2.050951821E-1,-1.875406712E-1,4.882476964E-1
1.355564208E0,-7.653923428E-1,-4.234793311E-1,7.632137433E-1
1.365586208E0,-1.597186836E0,-4.433037311E-1,1.094987610E0
1.375608208E0,-2.145621166E0,-1.940439445E-1,1.246536330E0
1.385630208E0,-2.493055703E0,4.129917651E-1,1.273767398E0
1.395652208E0,-2.810842518E0,8.612469184E-1,1.073231363E0
1.405674208E0,-2.636921766E0,1.115137115E0,7.477969015E-1
1.415696208E0,-1.586507481E0,1.110152948E0,1.721402381E-1
1.425718208E0,1.191077828E-3,4.495830560E-1,-3.426427442E-1
1.435740208E0,1.359723807E0,-1.399338108E-1,-5.233427944E-1
1.445762208E0,1.653866236E0,2.101331431E-1,-8.053019285E-1
1.455784208E0,1.846592803E0,1.165942402E0,-1.393935866E0
1.465806208E0,3.071623074E0,1.325652081E0,-2.371147104E0
1.475828208E0,4.048251345E0,2.020634007E-1,-1.374016741E0
1.485850208E0,4.150113350E0,-7.731042355E-1,4.077175766E-1
1.495872208E0,3.917260850E0,-2.467092311E-1,2.651390702E-1
1.505894208E0,3.342435113E0,4.511582959E-1,1.617515266E-2
1.515916208E0,2.010792559E0,-2.939290059E-1,9.151284260E-1
