"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.404016495E-3,5.238119505E1,4.860420926E0,2.462185695E0,NaN,NaN,1.948085873E1,3.000000000E1
1.288592815E-2,5.238118101E1,4.860444681E0,2.462185695E0,NaN,NaN,2.007014654E1,3.000000000E1
5.076396465E-2,5.238118101E1,4.860444681E0,2.462021663E0,NaN,NaN,2.007101246E1,3.000000000E1
2.318172932E0,5.238116657E1,4.860439758E0,2.425150755E0,NaN,NaN,2.096820864E1,3.000000000E1
4.005275965E0,5.238116929E1,4.860449230E0,3.500637054E0,NaN,NaN,2.118276777E1,6.400000000E1
5.005282879E0,5.238115659E1,4.860471162E0,8.426170349E-1,1.800000072E-1,1.230468750E1,1.748277452E1,2.400000000E1
6.008305073E0,5.238114850E1,4.860494978E0,4.437522888E-1,4.499999881E-1,1.230468750E1,1.296380401E1,3.000000000E0
7.008008003E0,5.238115833E1,4.860518966E0,1.002468109E0,4.499999881E-1,7.171875000E1,1.022932950E1,3.000000000E0
8.007104874E0,5.238115473E1,4.860528475E0,1.242580414E0,9.499999881E-1,2.742187500E2,8.788082291E0,3.000000000E0
9.007513046E0,5.238114506E1,4.860531975E0,3.041038513E-1,6.000000238E-1,2.742187500E2,8.056812647E0,3.000000000E0
9.989460707E0,5.238113237E1,4.860505627E0,5.468406677E-1,6.000000238E-1,2.742187500E2,7.818053503E0,3.000000000E0
1.098944545E1,5.238112235E1,4.860511947E0,6.584129333E-1,0.000000000E0,2.742187500E2,7.794962136E0,3.000000000E0
1.198943341E1,5.238112134E1,4.860508855E0,3.792381287E-1,1.800000072E-1,2.742187500E2,7.954978444E0,3.000000000E0
1.298942280E1,5.238111342E1,4.860532052E0,3.779563904E-1,0.000000000E0,2.742187500E2,8.045435574E0,3.000000000E0
1.398939145E1,5.238110113E1,4.860541731E0,7.455062866E-2,2.480000019E0,2.155078125E2,7.578528870E0,3.000000000E0
1.498937118E1,5.238108486E1,4.860512267E0,-1.163063049E-1,2.480000019E0,2.155078125E2,7.834936305E0,3.000000000E0
1.598935139E1,5.238106669E1,4.860491189E0,-1.163057555E-1,2.480000019E0,2.155077957E2,7.945992963E0,3.000000000E0
1.698931837E1,5.238110011E1,4.860514879E0,5.748558845E-1,4.099999964E-1,2.155078097E2,7.538492915E0,3.426401573E0
1.798929918E1,5.238108768E1,4.860502135E0,4.703026637E-1,4.099999964E-1,2.155078097E2,7.673898136E0,3.556685373E0
1.898928308E1,5.238108798E1,4.860494949E0,1.189232748E-1,5.099999905E-1,2.155078091E2,7.792202831E0,3.831531316E0
