"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.492791650E-3,1.152299196E-1,-1.876689345E-1,-1.738782600E-2
1.551579172E-2,1.306264549E-1,-1.950671971E-1,-3.667550534E-2
2.553779166E-2,1.247915253E-1,-1.811056435E-1,-5.569382757E-2
3.556079173E-2,1.169349328E-1,-1.630805731E-1,-3.583649546E-2
4.558279167E-2,1.202248782E-1,-1.428996623E-1,1.965860836E-3
5.560579163E-2,1.121384501E-1,-1.223206222E-1,4.748594016E-2
6.562879169E-2,8.163764328E-2,-1.384960487E-2,6.443928927E-2
7.565079164E-2,2.992385067E-2,1.476468742E-1,4.895034805E-2
8.567379171E-2,-6.719932426E-3,3.216324747E-1,3.399142623E-2
9.569579165E-2,-1.263907366E-2,4.639214277E-1,1.478497125E-2
1.057187917E-1,5.958066322E-4,6.097445488E-1,6.445708126E-2
1.157407917E-1,2.474082261E-2,7.514407039E-1,1.056921408E-1
1.257637917E-1,1.057573594E-2,9.084883928E-1,1.791477203E-1
1.357857917E-1,-3.824959323E-2,1.044892788E0,1.957634389E-1
1.458087916E-1,-5.955005437E-2,1.070514083E0,1.941177696E-1
1.558307917E-1,-4.754985124E-2,9.816290140E-1,1.549051255E-1
1.658537916E-1,-2.025928162E-2,8.433693051E-1,8.951704949E-2
1.758757917E-1,-2.285341267E-3,6.955646873E-1,4.627157003E-2
1.858987916E-1,2.029031282E-3,5.858356953E-1,5.029758066E-2
1.959207917E-1,-4.113816191E-3,5.170627236E-1,6.700892001E-2
2.059437917E-1,-2.823538147E-2,4.461510181E-1,7.694327831E-2
2.159667917E-1,-4.768072069E-2,3.690410554E-1,7.926662266E-2
2.259887917E-1,-5.036891624E-2,2.874465883E-1,7.542021573E-2
2.360117916E-1,-5.275670439E-2,1.962439716E-1,7.656404376E-2
2.460337917E-1,-5.134927481E-2,1.384009868E-1,9.063713998E-2
2.560567916E-1,-3.770137578E-2,1.420018375E-1,1.117429584E-1
2.660787917E-1,-2.624099329E-2,2.009482533E-1,1.197745204E-1
2.761017916E-1,-4.510815442E-2,2.773838937E-1,9.340496361E-2
2.861237917E-1,-8.665091544E-2,3.427079320E-1,5.091241002E-2
2.961467917E-1,-1.067236885E-1,3.930051923E-1,2.873786539E-2
3.061687917E-1,-1.013275087E-1,4.514488876E-1,5.065646395E-2
3.161917917E-1,-8.304463327E-2,5.201675296E-1,9.406359494E-2
3.262137917E-1,-7.276131958E-2,5.503394008E-1,1.158712879E-1
3.362367917E-1,-7.555817068E-2,5.136319995E-1,1.135436893E-1
3.462597916E-1,-6.854555756E-2,4.384967685E-1,1.001544073E-1
3.562817917E-1,-6.621209532E-2,3.427971303E-1,9.699376673E-2
3.663047916E-1,-6.413581967E-2,2.588931918E-1,1.060829237E-1
3.763267917E-1,-8.147379756E-2,1.966380477E-1,9.945219010E-2
3.863497917E-1,-1.254312694E-1,1.845861971E-1,7.868128270E-2
3.963717917E-1,-1.643935889E-1,2.016527951E-1,5.836002529E-2
4.063947917E-1,-1.770542711E-1,2.091106325E-1,4.600168020E-2
4.164167917E-1,-1.850898266E-1,1.763806492E-1,3.544437513E-2
