"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-4.005000228E-4,6.080206146E0,6.344855804E0,-3.901486816E0
9.622500045E-3,6.194867706E0,6.384972382E0,-4.075125732E0
1.964449999E-2,5.957910461E0,6.375541992E0,-3.912713470E0
2.966750006E-2,5.636828156E0,6.464906158E0,-3.538341980E0
3.969050001E-2,6.174959106E0,6.561156006E0,-3.472628632E0
4.971349996E-2,6.624174957E0,6.527176666E0,-3.612737274E0
5.973650003E-2,6.709347839E0,6.538103943E0,-3.666625214E0
6.975849997E-2,6.799460449E0,6.449338531E0,-3.706741791E0
7.978150004E-2,6.962770844E0,6.258784790E0,-3.740122375E0
8.980449999E-2,7.001689911E0,6.183341675E0,-3.708687744E0
9.982750006E-2,6.957681427E0,6.148913269E0,-3.709286499E0
1.098505000E-1,6.683601379E0,5.995931396E0,-3.720513153E0
1.198725000E-1,6.404731293E0,5.876479797E0,-3.867357788E0
1.298955000E-1,6.282136230E0,5.965095520E0,-4.095782776E0
1.399185000E-1,6.062842255E0,6.018833771E0,-4.280798035E0
1.499415000E-1,5.831273804E0,6.014343109E0,-4.295617218E0
1.599645000E-1,5.890400848E0,6.197562103E0,-4.224515076E0
1.699865001E-1,6.121819611E0,6.423891449E0,-4.149970093E0
1.800095000E-1,6.093977509E0,6.384223938E0,-4.084406433E0
1.900325000E-1,5.912105713E0,6.100563812E0,-4.067192230E0
2.000555000E-1,5.611979828E0,5.865253143E0,-4.048032074E0
2.100785000E-1,5.286706238E0,5.823639679E0,-4.114493866E0
2.201005000E-1,5.104535065E0,5.874982910E0,-4.320764923E0
2.301235000E-1,5.062322845E0,6.122568054E0,-4.584815826E0
2.401465001E-1,5.119953003E0,6.394552460E0,-4.768334198E0
2.501695000E-1,5.392985229E0,6.575526123E0,-4.860841827E0
2.601925000E-1,5.687722321E0,6.859785004E0,-4.887636108E0
2.702145000E-1,5.786666565E0,6.960824890E0,-4.970863037E0
2.802375000E-1,5.645360413E0,6.847360840E0,-5.037324829E0
2.902605000E-1,5.416186981E0,6.638844452E0,-5.046306152E0
3.002835000E-1,5.337600403E0,6.398444366E0,-4.932093658E0
3.103065001E-1,5.614524536E0,6.344107361E0,-4.936734009E0
3.203285000E-1,6.036497040E0,6.383026428E0,-4.991520081E0
3.303515000E-1,6.366111603E0,6.482569427E0,-5.088668060E0
3.403745000E-1,6.534062347E0,6.599775696E0,-5.248086548E0
3.503975000E-1,6.566245422E0,6.681356049E0,-5.522615662E0
3.604205000E-1,6.101312256E0,6.248605957E0,-5.468877411E0
3.704425000E-1,5.471122742E0,5.819149017E0,-5.509143677E0
3.804655001E-1,5.181325378E0,5.721402283E0,-5.499713287E0
3.904885000E-1,5.218448181E0,5.740562439E0,-5.410798187E0
4.005115000E-1,5.398673401E0,5.886359253E0,-5.394332428E0
4.105345000E-1,5.561834106E0,6.100713501E0,-5.454058228E0
4.205565000E-1,5.575156403E0,6.172713776E0,-5.411396942E0
4.305795000E-1,5.433700562E0,6.051465912E0,-5.298980713E0
4.406025000E-1,5.167404327E0,5.834866333E0,-5.194348297E0
4.506255001E-1,4.809348907E0,5.647755432E0,-4.887187042E0
4.606485000E-1,4.409680023E0,5.609435120E0,-4.471351776E0
4.706705000E-1,4.165837097E0,5.711672516E0,-4.418811035E0
4.806935000E-1,3.957769775E0,5.892646179E0,-4.774022369E0
4.907165000E-1,3.759282532E0,6.075116730E0,-5.358107758E0
5.007395000E-1,3.510200500E0,6.190077667E0,-5.801186371E0
5.107625000E-1,3.257975006E0,6.190826111E0,-5.767805786E0
5.207845001E-1,3.146606598E0,6.136938171E0,-5.459297333E0
5.308075000E-1,3.163820801E0,6.029611359E0,-5.362897797E0
5.408305000E-1,3.143612823E0,5.848188629E0,-5.394182739E0
5.508535000E-1,3.482657776E0,5.797144775E0,-5.619314575E0
5.608765000E-1,4.244723053E0,5.998476105E0,-6.711892548E0
5.708985000E-1,4.628824310E0,6.258784790E0,-7.517517242E0
5.809215000E-1,4.578229523E0,6.327042847E0,-7.205116882E0
5.909445001E-1,4.530927887E0,6.250402222E0,-6.599476318E0
6.009675000E-1,4.390070801E0,6.198759613E0,-6.297554169E0
6.109905000E-1,4.118834839E0,6.250851288E0,-6.366111603E0
6.210125000E-1,3.802392883E0,6.342760162E0,-6.366860046E0
6.310355000E-1,3.603905640E0,6.559958496E0,-6.011199646E0
6.410585000E-1,3.799548798E0,6.996001740E0,-6.204896851E0
6.510815000E-1,3.963158569E0,7.565866699E0,-7.025191040E0
6.611045001E-1,3.990252228E0,8.118367767E0,-7.166497192E0
6.711265000E-1,4.224066010E0,8.487649841E0,-6.978637848E0
6.811495000E-1,4.586013336E0,8.865164795E0,-7.125632172E0
6.911725000E-1,4.968917084E0,9.112450562E0,-7.630532227E0
7.011955000E-1,5.430108032E0,9.146878967E0,-7.799530792E0
7.112185000E-1,6.194268951E0,9.089248810E0,-7.169490967E0
7.212415000E-1,6.862479401E0,9.027577057E0,-6.473887482E0
7.312639584E-1,7.116501160E0,9.301806793E0,-6.799909515E0
7.412869583E-1,6.704557800E0,9.931098175E0,-7.607180786E0
7.513099583E-1,5.728737030E0,1.053763687E1,-7.276518402E0
7.613329584E-1,5.099445648E0,1.067460205E1,-5.692063293E0
7.713559583E-1,4.936284943E0,1.023092468E1,-3.901187439E0
7.813779584E-1,4.761298828E0,9.317075043E0,-3.277434540E0
7.914009583E-1,3.835324402E0,8.510103149E0,-3.681294708E0
8.014239584E-1,2.396666107E0,7.830516357E0,-4.090393982E0
8.114469583E-1,1.799108734E0,6.773863678E0,-3.470383301E0
8.214699583E-1,2.499202881E0,5.602100372E0,-1.959425354E0
8.314919583E-1,3.732937317E0,4.403243408E0,-2.743794250E-1
8.415149583E-1,4.428690491E0,3.744014282E0,-3.209326172E-1
8.515379584E-1,3.810625763E0,4.178261261E0,-7.622149658E-1
8.615609583E-1,3.166365509E0,5.615123291E0,-7.981402588E-1
8.715839584E-1,3.597618713E0,7.201823730E0,-1.320404205E0
8.816059583E-1,4.683610382E0,8.533903656E0,-1.587748260E0
8.916289583E-1,5.509143677E0,9.448202362E0,-1.024469604E0
9.016519584E-1,5.693709869E0,9.764195251E0,-1.115630035E0
9.116749583E-1,5.810766449E0,9.406289520E0,-1.144070892E0
9.216979584E-1,5.852978668E0,8.697513428E0,-9.300160217E-1
9.317199583E-1,5.351820831E0,8.570876770E0,-1.263672180E0
9.417429584E-1,4.921465759E0,9.220974884E0,-1.477427673E0
9.517659583E-1,4.922513580E0,9.898316345E0,-1.088386688E0
9.617889583E-1,5.243745575E0,1.034753220E1,-1.360071716E0
9.718119584E-1,5.584287415E0,1.052835617E1,-1.341809692E0
9.818339583E-1,5.551206207E0,1.031355286E1,-1.160536652E0
9.918569584E-1,5.227279816E0,9.857151947E0,-1.698667603E0
1.001879958E0,4.833149414E0,9.219477997E0,-1.879042511E0
1.011902958E0,4.944368134E0,8.380023651E0,-1.299597473E0
1.021925958E0,5.215005341E0,7.804470520E0,-5.351371765E-1
1.031947958E0,4.748575287E0,7.479496307E0,7.089257812E-1
1.041970958E0,4.186494141E0,7.586673431E0,1.115779724E0
1.051993958E0,3.951183472E0,7.966433716E0,7.677534485E-1
1.062016958E0,3.959116974E0,8.200247498E0,8.966354370E-1
1.072039958E0,4.018693085E0,8.128696289E0,4.336482239E-1
1.082061958E0,3.889511719E0,7.942184143E0,-3.906875610E-2
1.092084958E0,3.641028442E0,7.286547546E0,3.357518005E-1
1.102107958E0,3.526815948E0,6.362369385E0,5.963598633E-1
1.112130958E0,3.676654358E0,5.515430603E0,4.209246826E-1
1.122153958E0,4.058061218E0,5.305267639E0,4.878355408E-1
1.132176958E0,3.658092957E0,5.715863800E0,-8.970845032E-1
1.142198958E0,2.719245300E0,6.040239258E0,-1.524280243E0
1.152221958E0,2.449356537E0,5.892047424E0,-5.818400574E-1
1.162244958E0,2.053878937E0,5.601351929E0,6.117778015E-1
1.172267958E0,7.638615417E-1,5.063670044E0,4.924758911E-1
1.182290958E0,-8.026309204E-1,4.179159393E0,-1.513352966E-1
1.192312958E0,-1.549877014E0,3.901337128E0,-1.029858398E0
1.202335958E0,-2.223476257E0,4.189936981E0,-2.010768585E0
1.212358958E0,-3.074606323E0,4.861290894E0,-2.140698395E0
1.222381958E0,-2.988834686E0,5.853128357E0,-1.621877289E0
1.232404958E0,-2.549797668E0,6.882088623E0,-3.112926636E0
1.242426958E0,-1.918111267E0,8.682394867E0,-3.269351349E0
1.252449958E0,-1.660496979E0,1.085407883E1,-1.651665344E0
1.262472958E0,-2.609373779E0,1.293984146E1,-2.384241943E0
1.272495958E0,-3.091521149E0,1.468596039E1,-3.388353882E0
1.282518958E0,-1.969604187E0,1.550790115E1,-2.972967682E0
1.292540958E0,-5.086422729E-1,1.555490341E1,-2.429148560E0
1.302563958E0,1.141825562E0,1.479089218E1,-2.216291199E0
1.312586958E0,3.668271790E0,1.313129333E1,-2.258952484E0
1.322609958E0,5.191354523E0,1.120734421E1,-1.675765228E0
1.332632958E0,4.492607574E0,9.955347748E0,-4.821473694E-1
1.342654958E0,2.754272461E0,9.280700684E0,-3.896397400E-1
1.352677958E0,1.599723358E0,9.015152893E0,-1.624571686E0
1.362700958E0,2.619552612E-1,8.819360046E0,-3.819756775E0
