"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
9.622500045E-3,6.516846390E0,6.452374406E0,-3.483342192E0
1.964449999E-2,6.510014504E0,6.452811778E0,-3.495288054E0
2.966750006E-2,6.497115546E0,6.450375828E0,-3.523671024E0
3.969050001E-2,6.478574610E0,6.448999978E0,-3.560139523E0
4.971349996E-2,6.460123136E0,6.449306372E0,-3.592959652E0
5.973650003E-2,6.445496911E0,6.449354904E0,-3.619049636E0
6.975849997E-2,6.433878493E0,6.449334438E0,-3.639701417E0
7.978150004E-2,6.424111889E0,6.449582945E0,-3.656469185E0
8.980449999E-2,6.416212885E0,6.449413376E0,-3.670609506E0
9.982750006E-2,6.408454215E0,6.448888296E0,-3.685061485E0
1.098505000E-1,6.398268950E0,6.447716514E0,-3.704753445E0
1.198725000E-1,6.383221141E0,6.446683896E0,-3.732406974E0
1.298955000E-1,6.361668304E0,6.446484506E0,-3.769366932E0
1.399185000E-1,6.334648320E0,6.445378797E0,-3.816464208E0
1.499415000E-1,6.304667891E0,6.440805105E0,-3.873411118E0
1.599645000E-1,6.271969677E0,6.432728346E0,-3.939354847E0
1.699865001E-1,6.235800555E0,6.422377605E0,-4.012975385E0
1.800095000E-1,6.193695924E0,6.410560967E0,-4.096207868E0
1.900325000E-1,6.145838803E0,6.395722488E0,-4.190407390E0
2.000555000E-1,6.093723739E0,6.375075969E0,-4.296627617E0
2.100785000E-1,6.038442408E0,6.347881739E0,-4.413352952E0
2.201005000E-1,5.984700649E0,6.312925329E0,-4.535022107E0
2.301235000E-1,5.930411591E0,6.271273858E0,-4.662346105E0
2.401465001E-1,5.870065987E0,6.228014987E0,-4.794818869E0
2.501695000E-1,5.803575543E0,6.189528614E0,-4.923858440E0
2.601925000E-1,5.736540724E0,6.160314170E0,-5.037732380E0
2.702145000E-1,5.668586138E0,6.142644469E0,-5.135285572E0
2.802375000E-1,5.596793439E0,6.136280360E0,-5.220926231E0
2.902605000E-1,5.525864959E0,6.137719944E0,-5.294272535E0
3.002835000E-1,5.466153778E0,6.143064299E0,-5.349769628E0
3.103065001E-1,5.423406538E0,6.150979675E0,-5.384074073E0
3.203285000E-1,5.397406894E0,6.161633887E0,-5.397996293E0
3.303515000E-1,5.382715180E0,6.176453070E0,-5.395731667E0
3.403745000E-1,5.368165553E0,6.197779620E0,-5.385763918E0
3.503975000E-1,5.340370814E0,6.225600672E0,-5.381305416E0
3.604205000E-1,5.297333552E0,6.251313803E0,-5.394018432E0
3.704425000E-1,5.245935942E0,6.268213425E0,-5.424552593E0
3.804655001E-1,5.198943039E0,6.276219433E0,-5.460419413E0
3.904885000E-1,5.165127422E0,6.276438119E0,-5.492168625E0
4.005115000E-1,5.140759150E0,6.272982414E0,-5.518916128E0
4.105345000E-1,5.115480468E0,6.272401201E0,-5.543009580E0
4.205565000E-1,5.081221046E0,6.279082230E0,-5.566908905E0
4.305795000E-1,5.036317354E0,6.294406028E0,-5.590352731E0
4.406025000E-1,4.984381800E0,6.318328156E0,-5.609881262E0
4.506255001E-1,4.934284025E0,6.346899991E0,-5.621905476E0
4.606485000E-1,4.894276499E0,6.373420622E0,-5.626871517E0
4.706705000E-1,4.864514171E0,6.395903751E0,-5.627165632E0
4.806935000E-1,4.840757811E0,6.418253564E0,-5.622207778E0
4.907165000E-1,4.816604133E0,6.445963519E0,-5.611236062E0
5.007395000E-1,4.785973201E0,6.482750106E0,-5.595044537E0
5.107625000E-1,4.744424056E0,6.530051157E0,-5.575389706E0
5.207845001E-1,4.692280049E0,6.585724837E0,-5.553997083E0
5.308075000E-1,4.636021940E0,6.644210442E0,-5.531531496E0
5.408305000E-1,4.586831069E0,6.697740532E0,-5.507933303E0
5.508535000E-1,4.549277327E0,6.742980439E0,-5.483832250E0
5.608765000E-1,4.514336997E0,6.787879454E0,-5.457249053E0
5.708985000E-1,4.475494236E0,6.839127375E0,-5.425163627E0
5.809215000E-1,4.434218448E0,6.895933660E0,-5.387012299E0
5.909445001E-1,4.394177885E0,6.955995675E0,-5.342421432E0
6.009675000E-1,4.358554601E0,7.017713621E0,-5.290636151E0
