"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
4.514541710E-3,5.776483632E-1,7.452941862E-1,-2.260023599E-1,2.445036357E-1,1.094293791E2,1.058498518E2,-3.872286577E1,-3.998496258E0
1.453754166E-2,5.771816290E-1,7.457503415E-1,-2.254482553E-1,2.447261711E-1,1.094948868E2,1.059105597E2,-3.870115833E1,-3.949524547E0
2.456054173E-2,5.768263838E-1,7.459942242E-1,-2.252401131E-1,2.450117898E-1,1.095447289E2,1.059542334E2,-3.871181968E1,-3.923897044E0
3.458354168E-2,5.765716482E-1,7.460950816E-1,-2.252249823E-1,2.453183659E-1,1.095804597E2,1.059824917E2,-3.873933772E1,-3.910254783E0
4.460654175E-2,5.763931458E-1,7.461537501E-1,-2.252250666E-1,2.455591614E-1,1.096054929E2,1.060010816E2,-3.876195228E1,-3.899457290E0
5.462954170E-2,5.762964504E-1,7.461894063E-1,-2.252340018E-1,2.456695124E-1,1.096190519E2,1.060123549E2,-3.877289706E1,-3.896350978E0
6.465254177E-2,5.762594560E-1,7.462222176E-1,-2.252298503E-1,2.456605667E-1,1.096242391E2,1.060192383E2,-3.877152435E1,-3.899006457E0
7.467554172E-2,5.761263246E-1,7.463428840E-1,-2.253448691E-1,2.455004403E-1,1.096429048E2,1.060528914E2,-3.876364879E1,-3.933631399E0
8.469854167E-2,5.757545789E-1,7.466358257E-1,-2.256992187E-1,2.451558582E-1,1.096950141E2,1.061420163E2,-3.875408035E1,-4.024463330E0
9.472154174E-2,5.752173330E-1,7.469894799E-1,-2.262702663E-1,2.448133308E-1,1.097702928E2,1.062636444E2,-3.875967269E1,-4.147816365E0
1.047445417E-1,5.745908623E-1,7.473184361E-1,-2.271327173E-1,2.444817194E-1,1.098580299E2,1.064052803E2,-3.878708755E1,-4.306092632E0
1.147675418E-1,5.738620590E-1,7.476811519E-1,-2.282255008E-1,2.440664043E-1,1.099600392E2,1.065731400E2,-3.882233849E1,-4.502355519E0
1.247905417E-1,5.730387097E-1,7.481365064E-1,-2.293752668E-1,2.435272302E-1,1.100752055E2,1.067648663E2,-3.884862889E1,-4.721611589E0
1.348135417E-1,5.721956674E-1,7.486516463E-1,-2.304827806E-1,2.428798757E-1,1.101930426E2,1.069646537E2,-3.886056997E1,-4.947337636E0
1.448365417E-1,5.714153396E-1,7.491417087E-1,-2.315701061E-1,2.421705653E-1,1.103020385E2,1.071560487E2,-3.886485467E1,-5.172558992E0
1.548595417E-1,5.706929637E-1,7.495606063E-1,-2.327180598E-1,2.414761328E-1,1.104028753E2,1.073374750E2,-3.887497691E1,-5.399273193E0
1.648825418E-1,5.699721050E-1,7.499046510E-1,-2.339623612E-1,2.409075507E-1,1.105034388E2,1.075140650E2,-3.890414996E1,-5.625077530E0
1.749055417E-1,5.691754559E-1,7.501903223E-1,-2.353618895E-1,2.405381652E-1,1.106145044E2,1.076969886E2,-3.896335576E1,-5.854770046E0
1.849285418E-1,5.682303338E-1,7.504524547E-1,-2.370106953E-1,2.403359657E-1,1.107461730E2,1.079025495E2,-3.905563869E1,-6.105968097E0
1.949515417E-1,5.671854924E-1,7.507135122E-1,-2.387854148E-1,2.402322212E-1,1.108916123E2,1.081235748E2,-3.916548752E1,-6.368899011E0
2.049745417E-1,5.661663500E-1,7.509731790E-1,-2.404489087E-1,2.401652394E-1,1.110333520E2,1.083366946E2,-3.927058205E1,-6.615947844E0
2.149975417E-1,5.652180670E-1,7.512748240E-1,-2.418923961E-1,2.400058189E-1,1.111651287E2,1.085379905E2,-3.935063939E1,-6.843628144E0
2.250205417E-1,5.644046328E-1,7.516047495E-1,-2.430480627E-1,2.397194732E-1,1.112780837E2,1.087163250E2,-3.939799667E1,-7.043280617E0
2.350435418E-1,5.638486843E-1,7.518582628E-1,-2.438911261E-1,2.393764295E-1,1.113552399E2,1.088462694E2,-3.941921861E1,-7.198238288E0
2.450665417E-1,5.635504532E-1,7.519879065E-1,-2.444939104E-1,2.390561977E-1,1.113966148E2,1.089253815E2,-3.942770189E1,-7.309301898E0
2.550895417E-1,5.634167739E-1,7.520536767E-1,-2.449467993E-1,2.387002992E-1,1.114151573E2,1.089744355E2,-3.942333295E1,-7.396963125E0
2.651125417E-1,5.633734048E-1,7.521108910E-1,-2.453196514E-1,2.382393391E-1,1.114211726E2,1.090109980E2,-3.940351647E1,-7.479272920E0
2.751355417E-1,5.633227021E-1,7.522011906E-1,-2.456821775E-1,2.376999859E-1,1.114282047E2,1.090521412E2,-3.937498791E1,-7.567522640E0
2.851585418E-1,5.631188589E-1,7.523508962E-1,-2.461583526E-1,2.372159926E-1,1.114564735E2,1.091195548E2,-3.935861142E1,-7.672803098E0
2.951815417E-1,5.626913845E-1,7.525430437E-1,-2.469172066E-1,2.368318873E-1,1.115157400E2,1.092269576E2,-3.937021674E1,-7.814092505E0
3.052045418E-1,5.620874201E-1,7.527324727E-1,-2.479853553E-1,2.365477332E-1,1.115994399E2,1.093668369E2,-3.941206505E1,-7.991547058E0
3.152275417E-1,5.614145773E-1,7.528768046E-1,-2.492585062E-1,2.363477991E-1,1.116926365E2,1.095192539E2,-3.947609814E1,-8.188741352E0
3.252505417E-1,5.607588145E-1,7.529911279E-1,-2.505909156E-1,2.361317122E-1,1.117834178E2,1.096709217E2,-3.954264034E1,-8.393054268E0
3.352735417E-1,5.601550398E-1,7.531377779E-1,-2.518541620E-1,2.357525381E-1,1.118669591E2,1.098195142E2,-3.958803285E1,-8.600523089E0
