"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.216679171E-2,7.851295023E0,4.414684363E0,-3.886366794E0
2.218879166E-2,7.850945359E0,4.415159449E0,-3.886535194E0
3.221179172E-2,7.849575357E0,4.416366899E0,-3.887930632E0
4.223379167E-2,7.847055792E0,4.417425830E0,-3.891810259E0
5.225579173E-2,7.843763809E0,4.417374959E0,-3.898500351E0
6.227879168E-2,7.840360730E0,4.415849420E0,-3.907058628E0
7.230079174E-2,7.837036003E0,4.413406746E0,-3.916477323E0
8.232379169E-2,7.833569189E0,4.411231582E0,-3.925849240E0
9.234579175E-2,7.830254987E0,4.410014776E0,-3.933822504E0
1.023677917E-1,7.827747116E0,4.409815386E0,-3.939037051E0
1.123907916E-1,7.826129192E0,4.410585465E0,-3.941390847E0
1.224127917E-1,7.825470795E0,4.411804317E0,-3.941328867E0
1.324357917E-1,7.825890040E0,4.412414474E0,-3.939815607E0
1.424577917E-1,7.827277000E0,4.411618668E0,-3.937955316E0
1.524797917E-1,7.829098992E0,4.409972384E0,-3.936173084E0
1.625027917E-1,7.830946712E0,4.408580747E0,-3.934052884E0
1.725247917E-1,7.832499733E0,4.408333702E0,-3.931239789E0
1.825477917E-1,7.833588485E0,4.410038165E0,-3.927161648E0
1.925697917E-1,7.834227000E0,4.413675718E0,-3.921796243E0
2.025917917E-1,7.834372011E0,4.418681227E0,-3.915865412E0
2.126147917E-1,7.834283718E0,4.424376123E0,-3.909602459E0
2.226367918E-1,7.834114149E0,4.429314681E0,-3.904350783E0
2.326596250E-1,7.834123505E0,4.431927217E0,-3.901368703E0
2.426816251E-1,7.834617594E0,4.431555626E0,-3.900790413E0
2.527036250E-1,7.835606359E0,4.428887542E0,-3.901834433E0
2.627266251E-1,7.836826088E0,4.424994758E0,-3.903803483E0
2.727486250E-1,7.837482145E0,4.420678928E0,-3.907380225E0
2.827716251E-1,7.835470703E0,4.417474946E0,-3.915026337E0
2.927936250E-1,7.826734378E0,4.419182041E0,-3.930541631E0
3.028156251E-1,7.815629346E0,4.424536336E0,-3.946584052E0
3.128386250E-1,7.805525358E0,4.431207425E0,-3.959078967E0
3.228606250E-1,7.796156364E0,4.437991364E0,-3.969927306E0
3.328836251E-1,7.786865138E0,4.443129897E0,-3.982392108E0
3.429056250E-1,7.779663708E0,4.444687303E0,-3.994709853E0
3.529276251E-1,7.775420383E0,4.443979205E0,-4.003745847E0
3.629506250E-1,7.772978586E0,4.444244084E0,-4.008192362E0
3.729726251E-1,7.770681215E0,4.447257739E0,-4.009308304E0
3.829956250E-1,7.767922499E0,4.452533390E0,-4.008792287E0
3.930176251E-1,7.765077828E0,4.458886097E0,-4.007244821E0
4.030396250E-1,7.762417930E0,4.465781718E0,-4.004715316E0
4.130626250E-1,7.759511864E0,4.473352693E0,-4.001899881E0
4.230846250E-1,7.755465590E0,4.481910093E0,-4.000169398E0
4.331076250E-1,7.749538268E0,4.491910879E0,-4.000440124E0
4.431296251E-1,7.741929871E0,4.503034329E0,-4.002662358E0
4.531516250E-1,7.733153200E0,4.514716774E0,-4.006468311E0
4.631746251E-1,7.723633933E0,4.526564987E0,-4.011460079E0
4.731966250E-1,7.712974459E0,4.538419047E0,-4.018566492E0
4.832196251E-1,7.700264951E0,4.550138622E0,-4.029676495E0
4.932416250E-1,7.684815438E0,4.561786568E0,-4.045962452E0
5.032636251E-1,7.666085052E0,4.573790317E0,-4.067886002E0
5.132866250E-1,7.644185475E0,4.586213896E0,-4.095017375E0
5.233086250E-1,7.620102548E0,4.598973397E0,-4.125479030E0
5.333316250E-1,7.594273642E0,4.612029353E0,-4.158398269E0
5.433536250E-1,7.566385932E0,4.626256213E0,-4.193283635E0
5.533756251E-1,7.534954224E0,4.642638065E0,-4.231600439E0
5.633986250E-1,7.498014439E0,4.660067445E0,-4.277806892E0
5.734206251E-1,7.455142069E0,4.674553337E0,-4.336534864E0
5.834436250E-1,7.406946394E0,4.682745871E0,-4.409659850E0
5.934656251E-1,7.356842188E0,4.683940457E0,-4.491510929E0
6.034876250E-1,7.312468253E0,4.679901786E0,-4.567534381E0
6.135106251E-1,7.278781859E0,4.673908974E0,-4.627099089E0
6.235326250E-1,7.254209520E0,4.668793245E0,-4.670646520E0
6.335556250E-1,7.233696903E0,4.666661350E0,-4.704468277E0
6.435776250E-1,7.213882443E0,4.667033818E0,-4.734422978E0
6.535996250E-1,7.195057917E0,4.665634579E0,-4.764356337E0
6.636226251E-1,7.179285638E0,4.657223652E0,-4.796269855E0
