"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.216679171E-2,4.134694827E-1,1.252254322E-1,-2.433956140E-1
2.218879166E-2,3.828335810E-1,-1.758246052E-1,-5.357160509E-2
3.221179172E-2,3.105567330E-1,-2.879513973E-1,9.062658012E-2
4.223379167E-2,1.891340375E-1,-2.400621164E-1,1.745890886E-1
5.225579173E-2,3.510317445E-2,-1.076864165E-1,1.725975269E-1
6.227879168E-2,1.410465360E-2,3.679068089E-2,1.194849283E-1
7.230079174E-2,1.094885284E-1,1.098867238E-1,1.065041095E-2
8.232379169E-2,2.630919600E-1,5.562865555E-2,-9.448925078E-2
9.234579175E-2,3.569690073E-1,-3.910442412E-2,-1.613606402E-1
1.023677917E-1,3.534899139E-1,-9.399019092E-2,-1.423761928E-1
1.123907916E-1,2.759236747E-1,-1.049385175E-1,-9.317011893E-2
1.224127917E-1,1.454524130E-1,-9.493188500E-2,1.334743917E-2
1.324357917E-1,2.154114246E-2,-1.067681113E-1,1.272435987E-1
1.424577917E-1,-2.130783856E-2,-1.541709039E-1,1.891507021E-1
1.524797917E-1,-1.235399723E-2,-1.718356347E-1,2.429038632E-1
1.625027917E-1,2.501555800E-2,-1.541285115E-1,2.120440131E-1
1.725247917E-1,7.854915619E-2,-6.406764954E-2,1.905186582E-1
1.825477917E-1,8.285095274E-2,5.008812636E-2,1.758120337E-1
1.925697917E-1,1.170846462E-2,9.464975685E-2,1.840685946E-1
2.025917917E-1,-1.158216476E-1,4.743202865E-2,1.984948450E-1
2.126147917E-1,-2.238097805E-1,-5.885427207E-2,2.338465261E-1
2.226367918E-1,-2.469904822E-1,-1.684246615E-1,2.221573573E-1
2.326596250E-1,-1.757474220E-1,-2.782137367E-1,1.363971224E-1
2.426816251E-1,2.119557202E-2,-2.730535689E-1,3.747509748E-2
2.527036250E-1,1.883072412E-1,-1.715909287E-1,-1.447156638E-2
2.627266251E-1,1.596950608E-1,-2.938547462E-2,4.407981992E-2
2.727486250E-1,-1.070625186E-2,1.361462769E-1,1.307323399E-1
2.827716251E-1,-1.784424037E-1,2.602981603E-1,1.406249517E-1
2.927936250E-1,-2.177573276E-1,4.166617700E-1,-2.629878795E-1
3.028156251E-1,-1.571053290E-1,4.927381387E-1,-2.824216855E-1
3.128386250E-1,2.008764160E-1,3.950568929E-1,-8.296672761E-2
3.228606250E-1,5.771330488E-1,6.567300260E-3,1.308598092E-1
3.328836251E-1,5.901659077E-1,-3.693507788E-1,3.512428290E-1
3.429056250E-1,2.985886520E-1,-5.333204466E-1,3.634108847E-1
3.529276251E-1,1.956536829E-1,-4.155563539E-1,2.440148342E-1
3.629506250E-1,3.365575469E-1,-1.757205248E-1,1.394876683E-1
3.729726251E-1,4.192395151E-1,2.334676266E-2,1.069224778E-1
3.829956250E-1,3.496962404E-1,2.024861544E-1,1.430816594E-1
3.930176251E-1,1.907279885E-1,2.682837027E-1,1.533596027E-1
4.030396250E-1,1.825091422E-2,2.200734097E-1,1.457400960E-1
4.130626250E-1,-6.446379840E-2,7.568752885E-2,1.249620152E-1
4.230846250E-1,-7.583429396E-2,-8.345613956E-2,1.506236905E-1
4.331076250E-1,-8.891743898E-2,-1.621640477E-1,2.163089722E-1
4.431296251E-1,-1.589986575E-1,-1.566726351E-1,2.556543016E-1
4.531516250E-1,-2.412327290E-1,-9.620511621E-2,2.410479569E-1
4.631746251E-1,-3.147895324E-1,-3.186118573E-2,1.506880099E-1
4.731966250E-1,-3.360149252E-1,3.082915217E-2,7.546650410E-2
4.832196251E-1,-3.439612913E-1,4.485662252E-2,2.625107467E-2
4.932416250E-1,-3.271663338E-1,-1.244726032E-2,4.134010702E-2
5.032636251E-1,-3.081359857E-1,-9.884601116E-2,1.062240279E-1
5.132866250E-1,-3.116840762E-1,-1.233946690E-1,2.252642754E-1
5.233086250E-1,-3.667864823E-1,-1.277716023E-1,3.652980736E-1
5.333316250E-1,-3.208998728E-1,-1.908238828E-1,4.239646500E-1
5.433536250E-1,-2.217603314E-1,-3.104318950E-1,3.995735747E-1
5.533756251E-1,-7.491861999E-2,-4.612342179E-1,3.289172825E-1
5.633986250E-1,-4.681046963E-2,-6.367345950E-1,2.311223084E-1
5.734206251E-1,-2.314626163E-1,-8.431202576E-1,1.436035234E-1
5.834436250E-1,-3.982222831E-1,-1.073751692E0,8.964454025E-2
5.934656251E-1,-2.603993171E-1,-1.244692411E0,2.599672079E-2
6.034876250E-1,1.164940774E-2,-1.248738099E0,1.608498859E-1
6.135106251E-1,4.242014623E-1,-1.167150145E0,3.587243414E-1
6.235326250E-1,8.069777405E-1,-1.087490018E0,4.494245964E-1
6.335556250E-1,9.065260023E-1,-1.074730224E0,3.905887431E-1
6.435776250E-1,7.230614251E-1,-1.065224698E0,3.609682104E-1
6.535996250E-1,3.279972231E-1,-1.054544173E0,3.099190941E-1
6.636226251E-1,-3.209887505E-2,-1.031164666E0,1.996292049E-1
6.736446250E-1,-1.333603710E-1,-9.047715452E-1,9.602823794E-2
6.836676251E-1,4.483820379E-2,-7.000146246E-1,-5.317750275E-2
6.936896250E-1,3.147433394E-1,-4.294215640E-1,-1.336883998E-1
7.037116251E-1,4.347767365E-1,-1.452267104E-1,-4.996094942E-2
7.137346250E-1,4.417343384E-1,2.235390544E-3,2.013997418E-1
7.237566251E-1,3.837515938E-1,2.465566188E-2,5.377912277E-1
7.337796250E-1,3.650902051E-1,-1.600292292E-1,8.267173558E-1
7.438016250E-1,4.582018518E-1,-3.446179336E-1,9.758482522E-1
7.538236250E-1,5.306815982E-1,-4.297273734E-1,1.177067900E0
7.638466250E-1,4.551256317E-1,-5.170841905E-1,1.437800508E0
7.738686251E-1,2.741016823E-1,-6.152294129E-1,1.486315441E0
7.838916250E-1,6.981517017E-2,-6.537675342E-1,1.322001080E0
7.939136251E-1,-6.724648833E-2,-6.119342145E-1,1.002639025E0
8.039356250E-1,-1.564399159E-1,-4.288637397E-1,6.638671374E-1
8.139586251E-1,-1.746545774E-1,-2.686079308E-1,4.303410387E-1
8.239806250E-1,-2.401223427E-1,-1.947973582E-1,3.214781624E-1
8.340036251E-1,-3.807531416E-1,-1.981089288E-1,3.332281423E-1
8.440256250E-1,-5.528185719E-1,-3.724234906E-1,3.084610909E-1
8.540476251E-1,-7.770604616E-1,-5.724666783E-1,1.649131161E-1
8.640706250E-1,-1.003918396E0,-7.136900926E-1,-1.014860290E-1
8.740926250E-1,-1.160545422E0,-7.657604250E-1,-3.923370606E-1
8.841156251E-1,-1.183357750E0,-6.448329887E-1,-5.512702292E-1
8.941376250E-1,-1.142887416E0,-4.059195578E-1,-5.127364933E-1
9.041596251E-1,-1.110242996E0,-1.781193450E-1,-3.618040699E-1
9.141826250E-1,-1.073794377E0,5.646890044E-2,-2.111067045E-1
9.242046251E-1,-1.027542901E0,2.378252640E-1,-5.576723456E-2
9.342276250E-1,-8.685676324E-1,3.342318168E-1,9.544527054E-2
9.442496251E-1,-6.383411175E-1,3.989832982E-1,2.598707289E-1
9.542716250E-1,-3.207168549E-1,4.159732604E-1,4.359210366E-1
9.642946250E-1,6.342357874E-2,4.381195897E-1,4.830525184E-1
9.743166250E-1,4.640788883E-1,5.106323728E-1,3.945408762E-1
9.843396250E-1,8.577315724E-1,6.029736489E-1,2.387043929E-1
9.943616251E-1,1.112845007E0,7.338442755E-1,3.153578818E-2
1.004383625E0,1.254596132E0,8.028864437E-1,-2.299446791E-1
1.014406625E0,1.324622971E0,6.957578516E-1,-4.401596832E-1
1.024428625E0,1.421572146E0,5.077111039E-1,-5.723143584E-1
1.034451625E0,1.473736326E0,3.936097071E-1,-5.333999687E-1
1.044473625E0,1.263051791E0,3.374030542E-1,-3.598709804E-1
1.054495625E0,7.923994625E-1,3.462028214E-1,-2.019183898E-1
1.064518625E0,2.299095958E-1,4.263140613E-1,-1.137727833E-1
