"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
3.022624995E-3,7.046870042E-1,2.769284602E-1,-6.024039153E-1,-2.526583450E-1,9.039147373E1,8.013236634E1,-4.515977344E1,-7.800487035E1
1.304462506E-2,7.049820532E-1,2.772646024E-1,-6.020021083E-1,-2.524243246E-1,9.034381165E1,8.008685114E1,-4.513937036E1,-7.790920926E1
2.306762501E-2,7.052918325E-1,2.776540603E-1,-6.014497107E-1,-2.524477582E-1,9.029374884E1,8.002168806E1,-4.508936844E1,-7.781155608E1
3.309062507E-2,7.054989632E-1,2.779624804E-1,-6.009654539E-1,-2.526828323E-1,9.026026272E1,7.996433197E1,-4.503092350E1,-7.774730040E1
4.311262502E-2,7.056172062E-1,2.781761755E-1,-6.005902521E-1,-2.530091543E-1,9.024114241E1,7.991941768E1,-4.497607021E1,-7.771182705E1
5.313562497E-2,7.057242803E-1,2.782735768E-1,-6.002913045E-1,-2.533126748E-1,9.022382541E1,7.987665112E1,-4.493465281E1,-7.768681476E1
6.315762503E-2,7.058371284E-1,2.782302920E-1,-6.000886203E-1,-2.535262118E-1,9.020557175E1,7.983626586E1,-4.491462166E1,-7.766880611E1
7.318062498E-2,7.059099371E-1,2.780398936E-1,-6.000348199E-1,-2.536598384E-1,9.019379311E1,7.980775165E1,-4.491734523E1,-7.766874529E1
8.320262504E-2,7.058677271E-1,2.777240135E-1,-6.001849786E-1,-2.537682190E-1,9.020062180E1,7.980472668E1,-4.493849799E1,-7.770310843E1
9.322562499E-2,7.056565292E-1,2.773022816E-1,-6.005787250E-1,-2.538845865E-1,9.023478304E1,7.983744040E1,-4.497507019E1,-7.778330607E1
1.032486251E-1,7.053437785E-1,2.768851227E-1,-6.010817792E-1,-2.540186345E-1,9.028535182E1,7.989206498E1,-4.501327756E1,-7.788656304E1
1.132706250E-1,7.050345471E-1,2.766037503E-1,-6.014809099E-1,-2.542388518E-1,9.033532975E1,7.994239554E1,-4.503047650E1,-7.798101168E1
1.232936251E-1,7.047701388E-1,2.764286512E-1,-6.017022019E-1,-2.546385514E-1,9.037804619E1,7.997227563E1,-4.501928194E1,-7.806122861E1
1.333156250E-1,7.045665906E-1,2.763159295E-1,-6.017596270E-1,-2.551876195E-1,9.041091961E1,7.997926676E1,-4.498605409E1,-7.812604294E1
1.433386250E-1,7.044340599E-1,2.762520770E-1,-6.016915598E-1,-2.557823326E-1,9.043231856E1,7.996787494E1,-4.494140375E1,-7.817213048E1
1.533606250E-1,7.043367639E-1,2.761768765E-1,-6.015948855E-1,-2.563584168E-1,9.044802583E1,7.994954638E1,-4.489827593E1,-7.821066987E1
1.633836250E-1,7.042106816E-1,2.760180672E-1,-6.015964028E-1,-2.568715758E-1,9.046837713E1,7.994045925E1,-4.486985819E1,-7.826037262E1
1.734066251E-1,7.041119736E-1,2.757534903E-1,-6.016719089E-1,-2.572492958E-1,9.048430735E1,7.993261840E1,-4.486300084E1,-7.830885617E1
1.834286250E-1,7.040426210E-1,2.754582517E-1,-6.017693102E-1,-2.575276125E-1,9.049549868E1,7.992439802E1,-4.486722586E1,-7.835099320E1
1.934516251E-1,7.039286981E-1,2.752084894E-1,-6.019219661E-1,-2.577491785E-1,9.051387990E1,7.993077932E1,-4.487405693E1,-7.839877377E1
2.034736250E-1,7.036818861E-1,2.749681681E-1,-6.022291323E-1,-2.579620201E-1,9.055369247E1,7.996778492E1,-4.488553952E1,-7.847560754E1
2.134966251E-1,7.032656017E-1,2.746552067E-1,-6.027449887E-1,-2.582256486E-1,9.062081117E1,8.003820999E1,-4.490501733E1,-7.859672906E1
2.235186250E-1,7.027325916E-1,2.742717757E-1,-6.033945348E-1,-2.585671435E-1,9.070669314E1,8.012837082E1,-4.492775922E1,-7.875060937E1
2.335416250E-1,7.021998765E-1,2.739159510E-1,-6.040223754E-1,-2.589255392E-1,9.079246411E1,8.021769858E1,-4.494609466E1,-7.890268555E1
2.435646250E-1,7.017558805E-1,2.736317653E-1,-6.045353341E-1,-2.592322207E-1,9.086390230E1,8.029172277E1,-4.495928387E1,-7.902860518E1
2.535866250E-1,7.014548888E-1,2.734060478E-1,-6.048846261E-1,-2.594699079E-1,9.091230642E1,8.033927799E1,-4.496844737E1,-7.911685200E1
