"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.373216673E-2,2.675374680E-1,1.356958986E-1,4.435045539E-1,8.445792011E-1,1.489644315E2,5.526376531E1,4.638890860E-1,1.450895515E2
2.375516668E-2,2.671154516E-1,1.348079910E-1,4.439658512E-1,8.446125393E-1,1.490146175E2,5.528688028E1,5.419825264E-1,1.451839144E2
3.377716674E-2,2.662569624E-1,1.332878806E-1,4.447605300E-1,8.447068218E-1,1.491166898E2,5.532759303E1,6.682450239E-1,1.453599342E2
4.379916668E-2,2.652187380E-1,1.314815404E-1,4.456764337E-1,8.448337470E-1,1.492400987E2,5.537325564E1,8.161141720E-1,1.455709438E2
5.382116674E-2,2.643525360E-1,1.298359483E-1,4.464754642E-1,8.449379340E-1,1.493430321E2,5.541117306E1,9.538587371E-1,1.457546396E2
6.384316669E-2,2.637896438E-1,1.285850615E-1,4.470573120E-1,8.449974243E-1,1.494099087E2,5.543722019E1,1.062902638E0,1.458840527E2
7.386616664E-2,2.634639751E-1,1.277880435E-1,4.474284361E-1,8.450235975E-1,1.494485962E2,5.545404239E1,1.134228231E0,1.459630044E2
8.388816670E-2,2.634335872E-1,1.274807719E-1,4.475929141E-1,8.449923667E-1,1.494522059E2,5.546314658E1,1.167852253E0,1.459833492E2
9.391016664E-2,2.636796405E-1,1.275860337E-1,4.475878776E-1,8.449022567E-1,1.494229768E2,5.546620029E1,1.171446028E0,1.459513864E2
1.039321667E-1,2.640019585E-1,1.279603820E-1,4.475213699E-1,8.447802205E-1,1.493846851E2,5.547150551E1,1.151507073E0,1.458964279E2
1.139541666E-1,2.642396878E-1,1.284549225E-1,4.474738809E-1,8.446561191E-1,1.493564403E2,5.548371768E1,1.116206396E0,1.458438513E2
1.239771667E-1,2.643156786E-1,1.289341217E-1,4.474731328E-1,8.445597293E-1,1.493474114E2,5.550131977E1,1.075115013E0,1.458093317E2
1.339991667E-1,2.643838300E-1,1.293084068E-1,4.475380179E-1,8.444468178E-1,1.493393138E2,5.552320570E1,1.046020364E0,1.457814895E2
