"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.676541637E-3,7.863148499E-1,1.054946228E1,8.467890930E-1
8.346458315E-3,1.125210114E0,1.042686722E1,9.458830261E-1
1.836945838E-2,1.416354675E0,1.002136047E1,1.039288788E0
2.839145833E-2,1.354383545E0,9.805509338E0,1.105451202E0
3.841445839E-2,1.020577698E0,9.765093384E0,1.091081085E0
4.843645834E-2,6.060896301E-1,9.782008209E0,1.026714935E0
5.845945841E-2,2.124082947E-1,9.760003967E0,9.357041931E-1
6.848145835E-2,-1.378633118E-1,9.714498596E0,8.900491333E-1
7.850445842E-2,-3.104544067E-1,9.647288361E0,8.174501038E-1
8.852745837E-2,-2.734812927E-1,9.578431549E0,7.195536804E-1
9.854945831E-2,-1.954934692E-1,9.627230072E0,6.426136780E-1
1.085724584E-1,-6.421646118E-2,9.751771088E0,6.056405640E-1
1.185944583E-1,-2.679428101E-2,9.868677979E0,6.342311096E-1
1.286174584E-1,-8.666976929E-2,9.849218445E0,7.298822021E-1
1.386394583E-1,-1.495390320E-1,9.770931244E0,8.229885864E-1
1.486624584E-1,-2.363584900E-1,9.692644043E0,8.370593262E-1
1.586854584E-1,-2.838098145E-1,9.628726959E0,8.518785095E-1
1.687074584E-1,-3.040177917E-1,9.591304779E0,8.701405334E-1
1.787304584E-1,-2.935395813E-1,9.610914001E0,9.208850098E-1
1.887525833E-1,-2.163002014E-1,9.681716766E0,9.672885132E-1
1.987755834E-1,-4.116439819E-2,9.708211670E0,1.067130890E0
2.087985834E-1,1.826202393E-2,9.735904083E0,1.177301788E0
2.188205833E-1,2.484832764E-2,9.769584045E0,1.206640778E0
2.288435834E-1,6.451583862E-2,9.759554901E0,1.234782257E0
2.388655833E-1,8.292755127E-2,9.703571320E0,1.293609924E0
2.488885834E-1,1.056802368E-1,9.694440308E0,1.288670197E0
2.589105833E-1,2.715353394E-1,9.743388519E0,1.215322723E0
2.689335834E-1,5.665718079E-1,9.780361633E0,1.219214630E0
2.789565834E-1,6.997947693E-1,9.699380035E0,1.276395721E0
2.889785834E-1,6.240522766E-1,9.633666687E0,1.272952881E0
2.990015834E-1,5.098397827E-1,9.613608398E0,1.212328949E0
3.090235833E-1,4.592449951E-1,9.651329956E0,1.191073151E0
3.190465834E-1,4.173321533E-1,9.748028870E0,1.127156067E0
3.290685833E-1,3.613485718E-1,9.896969147E0,1.024918671E0
3.390915834E-1,2.854563904E-1,1.000654129E1,9.779164124E-1
3.491145833E-1,2.154020691E-1,9.946815491E0,1.011446686E0
3.591365834E-1,4.017645264E-1,9.742490387E0,1.154249725E0
3.691595834E-1,6.521937561E-1,9.408684540E0,1.190624084E0
3.791815834E-1,4.475692749E-2,9.520951080E0,1.297501831E0
3.892045834E-1,-4.007167053E-1,9.740245056E0,1.206191711E0
3.992265833E-1,-2.704875183E-1,9.744735718E0,1.109193420E0
4.092495834E-1,-1.935475159E-1,9.713899841E0,1.115330658E0
4.192725833E-1,-2.868035889E-1,9.750423889E0,1.107846222E0
4.292945834E-1,-4.342469788E-1,9.866732025E0,1.067280579E0
4.393175833E-1,-4.803511047E-1,9.953102417E0,1.025218048E0
4.493395834E-1,-4.183799744E-1,9.965227203E0,1.041234741E0
4.593625834E-1,-3.074606323E-1,9.938432922E0,1.109792175E0
4.693855834E-1,-2.408491516E-1,9.896819458E0,1.169967041E0
4.794075834E-1,-2.245330811E-1,9.858199768E0,1.231040039E0
4.894305833E-1,-2.242337036E-1,9.974507904E0,1.256337433E0
4.994525834E-1,-2.505789185E-1,1.026550278E1,1.250798950E0
5.094755833E-1,-3.477268982E-1,1.049632278E1,1.296304321E0
5.194975834E-1,-5.577401733E-1,1.060439804E1,1.416803741E0
5.295205833E-1,-8.261320496E-1,1.060634399E1,1.607058105E0
5.395435834E-1,-1.116228790E0,1.056981995E1,1.734293518E0
5.495655834E-1,-1.435963898E0,1.055574921E1,1.801204376E0
5.595885834E-1,-1.780397644E0,1.068268524E1,1.840123444E0
5.696105834E-1,-2.120939484E0,1.095691498E1,1.922302551E0
5.796335833E-1,-2.548001404E0,1.125060425E1,1.924847260E0
5.896555834E-1,-3.017425232E0,1.143906235E1,1.890269165E0
5.996785833E-1,-3.381318512E0,1.156405243E1,1.857337646E0
6.097015834E-1,-3.541934509E0,1.168859344E1,1.835333405E0
6.197235833E-1,-3.503614197E0,1.183154617E1,1.834135895E0
6.297465834E-1,-3.274889832E0,1.201760925E1,1.838177490E0
6.397685834E-1,-2.934647369E0,1.230261658E1,1.873803406E0
6.497915834E-1,-2.419718170E0,1.254151978E1,1.988464966E0
6.598135834E-1,-1.822909241E0,1.272518784E1,2.200424194E0
6.698365833E-1,-1.207389221E0,1.292951294E1,2.513572998E0
6.798595834E-1,-5.249583435E-1,1.312964676E1,2.891537018E0
6.898815833E-1,1.857637024E-1,1.322425003E1,3.253933411E0
6.999045834E-1,5.670208740E-1,1.311647415E1,3.555107117E0
7.099265833E-1,8.822653198E-1,1.292157944E1,3.794010315E0
7.199495834E-1,1.163081360E0,1.271710464E1,4.125720520E0
7.299725834E-1,1.376238098E0,1.262699203E1,4.421355743E0
