"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
8.346458315E-3,1.483164458E-1,1.251516106E-1,-6.695643916E-1,-7.169539709E-1,1.629412506E2,8.586800545E1,-1.097793179E0,-1.576455067E2
1.836945838E-2,1.480893796E-1,1.251297575E-1,-6.688952050E-1,-7.176289737E-1,1.629675610E2,8.576449725E1,-1.061125384E0,-1.576657615E2
2.839145833E-2,1.484895218E-1,1.258281729E-1,-6.680748166E-1,-7.181880938E-1,1.629211954E2,8.565864603E1,-1.012333236E0,-1.575751303E2
3.841445839E-2,1.493951522E-1,1.271343037E-1,-6.671243209E-1,-7.186535847E-1,1.628162472E2,8.555082617E1,-9.511096580E-1,-1.573929728E2
4.843645834E-2,1.505585949E-1,1.287968705E-1,-6.660840945E-1,-7.190796683E-1,1.626814013E2,8.544040161E1,-8.788915033E-1,-1.571604446E2
5.845945841E-2,1.518371196E-1,1.305872054E-1,-6.649924700E-1,-7.194980600E-1,1.625331893E2,8.532681805E1,-8.036913648E-1,-1.569078775E2
6.848145835E-2,1.531601513E-1,1.323143200E-1,-6.639032901E-1,-7.199078538E-1,1.623797868E2,8.521266424E1,-7.367764439E-1,-1.566564824E2
7.850445842E-2,1.543920615E-1,1.337736125E-1,-6.629089617E-1,-7.202911794E-1,1.622369209E2,8.510564334E1,-6.866408153E-1,-1.564341569E2
8.852745837E-2,1.554270195E-1,1.347698797E-1,-6.620617257E-1,-7.206620717E-1,1.621168744E2,8.500731759E1,-6.622095769E-1,-1.562654703E2
9.854945831E-2,1.562576496E-1,1.352716168E-1,-6.613561664E-1,-7.210361671E-1,1.620205138E2,8.491547934E1,-6.653601300E-1,-1.561535121E2
1.085724584E-1,1.569106940E-1,1.354730788E-1,-6.607042389E-1,-7.214540742E-1,1.619447458E2,8.482257061E1,-6.799972328E-1,-1.560805731E2
1.185944583E-1,1.574331674E-1,1.355839250E-1,-6.600341040E-1,-7.219326727E-1,1.618841213E2,8.472416374E1,-6.908656697E-1,-1.560260119E2
1.286174584E-1,1.578707570E-1,1.357083636E-1,-6.593489438E-1,-7.224396782E-1,1.618333422E2,8.462400047E1,-6.933887211E-1,-1.559776921E2
1.386394583E-1,1.581992285E-1,1.358478486E-1,-6.586839719E-1,-7.229479060E-1,1.617952231E2,8.452747420E1,-6.866924360E-1,-1.559376473E2
1.486624584E-1,1.583718409E-1,1.359145670E-1,-6.580954755E-1,-7.234334588E-1,1.617751907E2,8.444035610E1,-6.759507922E-1,-1.559169201E2
1.586854584E-1,1.583637276E-1,1.358558354E-1,-6.576041064E-1,-7.238928805E-1,1.617761323E2,8.436408839E1,-6.641377684E-1,-1.559218125E2
1.687074584E-1,1.581057889E-1,1.356451222E-1,-6.572308329E-1,-7.243276674E-1,1.618060670E2,8.430099716E1,-6.486575843E-1,-1.559604446E2
1.787304584E-1,1.576008697E-1,1.352141285E-1,-6.569866340E-1,-7.247396950E-1,1.618646611E2,8.425060403E1,-6.356087103E-1,-1.560379173E2
1.887525833E-1,1.569357924E-1,1.345666897E-1,-6.568308382E-1,-7.251456534E-1,1.619418337E2,8.420691539E1,-6.302454186E-1,-1.561463299E2
1.987755834E-1,1.561960520E-1,1.338229243E-1,-6.567048613E-1,-7.255569013E-1,1.620276601E2,8.416486185E1,-6.278093378E-1,-1.562687688E2
2.087985834E-1,1.554378302E-1,1.330906650E-1,-6.565700756E-1,-7.259763467E-1,1.621156203E2,8.412196056E1,-6.228349451E-1,-1.563918884E2
2.188205833E-1,1.547320601E-1,1.324093822E-1,-6.564047125E-1,-7.264011659E-1,1.621974861E2,8.407611465E1,-6.170329069E-1,-1.565064108E2
2.288435834E-1,1.541322683E-1,1.317898446E-1,-6.562000263E-1,-7.268260483E-1,1.622670517E2,8.402630265E1,-6.134554665E-1,-1.566068273E2
2.388655833E-1,1.536359681E-1,1.311980607E-1,-6.559957405E-1,-7.272224605E-1,1.623246091E2,8.397747778E1,-6.158686271E-1,-1.566960543E2
2.488885834E-1,1.532538648E-1,1.306091850E-1,-6.557938571E-1,-7.275911611E-1,1.623689197E2,8.392918011E1,-6.271554628E-1,-1.567750979E2
2.589105833E-1,1.530241012E-1,1.301283737E-1,-6.555363399E-1,-7.279576490E-1,1.623955629E2,8.387579757E1,-6.399973404E-1,-1.568323788E2
2.689335834E-1,1.529074388E-1,1.298802763E-1,-6.551971631E-1,-7.283316601E-1,1.624090906E2,8.381711875E1,-6.404200497E-1,-1.568615902E2
2.789565834E-1,1.528378122E-1,1.299177448E-1,-6.547802886E-1,-7.287144378E-1,1.624171642E2,8.375531520E1,-6.190643393E-1,-1.568644131E2
2.889785834E-1,1.528710871E-1,1.302454366E-1,-6.542915959E-1,-7.290877957E-1,1.624133058E2,8.369143448E1,-5.800619885E-1,-1.568356415E2
2.990015834E-1,1.530743192E-1,1.308414352E-1,-6.537477752E-1,-7.294262349E-1,1.623897398E2,8.362741070E1,-5.308896868E-1,-1.567711691E2
3.090235833E-1,1.534246438E-1,1.316457867E-1,-6.531915000E-1,-7.297061742E-1,1.623491156E2,8.356797521E1,-4.758961803E-1,-1.566776765E2
3.190465834E-1,1.538731074E-1,1.326412320E-1,-6.526220750E-1,-7.299409111E-1,1.622971079E2,8.351261818E1,-4.126162408E-1,-1.565607743E2
3.290685833E-1,1.543765515E-1,1.337888486E-1,-6.520256549E-1,-7.301581781E-1,1.622387198E2,8.345819146E1,-3.403905163E-1,-1.564272485E2
3.390915834E-1,1.548981609E-1,1.349611632E-1,-6.514154950E-1,-7.303765831E-1,1.621782201E2,8.340283968E1,-2.670667867E-1,-1.562902312E2
3.491145833E-1,1.554478822E-1,1.360717958E-1,-6.508035438E-1,-7.305992449E-1,1.621144543E2,8.334566549E1,-2.007741425E-1,-1.561555726E2
3.591365834E-1,1.559216549E-1,1.372216251E-1,-6.501919298E-1,-7.308277230E-1,1.620594938E2,8.329014084E1,-1.253213163E-1,-1.560245318E2
3.691595834E-1,1.563429970E-1,1.386613193E-1,-6.495173695E-1,-7.310658105E-1,1.620106120E2,8.323482307E1,-2.027610298E-2,-1.558755577E2
3.791815834E-1,1.570512326E-1,1.401446776E-1,-6.488757681E-1,-7.312008490E-1,1.619284391E2,8.318641018E1,6.499268687E-2,-1.556980628E2
3.892045834E-1,1.580881083E-1,1.413697601E-1,-6.483104524E-1,-7.312431012E-1,1.618081188E2,8.314157365E1,1.014695894E-1,-1.555118411E2
3.992265833E-1,1.591533910E-1,1.423356605E-1,-6.478026882E-1,-7.312745638E-1,1.616844811E2,8.309723762E1,1.130393185E-1,-1.553432432E2
4.092495834E-1,1.599827145E-1,1.431351230E-1,-6.473514430E-1,-7.313371519E-1,1.615882142E2,8.305611541E1,1.277687849E-1,-1.552082692E2
4.192725833E-1,1.605256713E-1,1.437944683E-1,-6.469614160E-1,-7.314339000E-1,1.615251813E2,8.301967035E1,1.515169291E-1,-1.551093189E2
4.292945834E-1,1.608495066E-1,1.442662390E-1,-6.466268754E-1,-7.315656721E-1,1.614875839E2,8.298538898E1,1.753957448E-1,-1.550442101E2
4.393175833E-1,1.610138161E-1,1.445046637E-1,-6.463437751E-1,-7.317326369E-1,1.614685068E2,8.295106906E1,1.911964738E-1,-1.550112765E2
4.493395834E-1,1.610462692E-1,1.445094474E-1,-6.461082795E-1,-7.319324972E-1,1.614647387E2,8.291608130E1,1.968495264E-1,-1.550081074E2
4.593625834E-1,1.609630291E-1,1.443371722E-1,-6.459190191E-1,-7.321518716E-1,1.614744034E2,8.288209825E1,1.956825219E-1,-1.550288770E2
4.693855834E-1,1.607960012E-1,1.440195324E-1,-6.457740550E-1,-7.323790009E-1,1.614937960E2,8.284989939E1,1.878153925E-1,-1.550683018E2
4.794075834E-1,1.606211128E-1,1.435801937E-1,-6.456557910E-1,-7.326078372E-1,1.615141007E2,8.281767356E1,1.698276329E-1,-1.551178544E2
4.894305833E-1,1.605086440E-1,1.430820812E-1,-6.455200149E-1,-7.328494441E-1,1.615271581E2,8.278094033E1,1.427905555E-1,-1.551664595E2
4.994525834E-1,1.604156680E-1,1.425951375E-1,-6.452961098E-1,-7.331618365E-1,1.615379522E2,8.273149269E1,1.179957440E-1,-1.552124745E2
5.094755833E-1,1.602056714E-1,1.421720675E-1,-6.449494941E-1,-7.335947900E-1,1.615623314E2,8.266590938E1,1.113969646E-1,-1.552638279E2
5.194975834E-1,1.597725071E-1,1.417861499E-1,-6.444942449E-1,-7.341638357E-1,1.616126161E2,8.258541410E1,1.285491814E-1,-1.553319617E2
5.295205833E-1,1.590585184E-1,1.413855441E-1,-6.439497498E-1,-7.348735254E-1,1.616954930E2,8.249121076E1,1.689998831E-1,-1.554260046E2
5.395435834E-1,1.580439806E-1,1.408905083E-1,-6.433008358E-1,-7.357553007E-1,1.618132399E2,8.237846904E1,2.281653993E-1,-1.555539178E2
5.495655834E-1,1.566759571E-1,1.402004800E-1,-6.425229736E-1,-7.368586419E-1,1.619719816E2,8.224033958E1,3.025269596E-1,-1.557281903E2
5.595885834E-1,1.548131717E-1,1.392082800E-1,-6.415906642E-1,-7.382515742E-1,1.621880780E2,8.206970720E1,3.946617412E-1,-1.559696036E2
5.696105834E-1,1.522142917E-1,1.377748868E-1,-6.405084807E-1,-7.399984136E-1,1.624894603E2,8.186305531E1,5.109307616E-1,-1.563102034E2
5.796335833E-1,1.486221790E-1,1.356929378E-1,-6.392972435E-1,-7.421576177E-1,1.629058235E2,8.161741313E1,6.522461060E-1,-1.567886531E2
5.896555834E-1,1.438450023E-1,1.326670470E-1,-6.380262631E-1,-7.447352347E-1,1.634591969E2,8.133489579E1,8.050247472E-1,-1.574443337E2
5.996785833E-1,1.378097422E-1,1.283975712E-1,-6.367392669E-1,-7.477203273E-1,1.641577495E2,8.101501479E1,9.461796431E-1,-1.583060767E2
6.097015834E-1,1.305308129E-1,1.227215498E-1,-6.354248964E-1,-7.510901365E-1,1.649994659E2,8.065511186E1,1.058017221E0,-1.593840966E2
6.197235833E-1,1.220089730E-1,1.155857090E-1,-6.340079615E-1,-7.548428919E-1,1.659838793E2,8.024817788E1,1.133887655E0,-1.606811775E2
6.297465834E-1,1.123683450E-1,1.070428589E-1,-6.323565847E-1,-7.589732409E-1,1.670962833E2,7.978334907E1,1.167287752E0,-1.621809942E2
6.397685834E-1,1.017866622E-1,9.720744926E-2,-6.303070046E-1,-7.634810571E-1,1.683158725E2,7.924759147E1,1.152777179E0,-1.638578317E2
6.497915834E-1,9.050057911E-2,8.631474378E-2,-6.276929095E-1,-7.683495238E-1,1.696151886E2,7.863032730E1,1.090212009E0,-1.656718380E2
