"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.448749194E-4,1.972897339E0,9.493857422E0,1.467548218E0
1.036687498E-2,2.191742249E0,9.704170074E0,1.746567993E0
2.038987493E-2,2.251318359E0,9.276359711E0,1.759590912E0
3.041187499E-2,2.318678284E0,9.081614685E0,1.789378967E0
4.043387494E-2,2.148033142E0,9.217382355E0,1.722168732E0
5.045687489E-2,2.094893646E0,9.466614075E0,1.657802582E0
6.047887495E-2,2.174228668E0,9.593999176E0,1.651964722E0
7.050187490E-2,2.118394775E0,9.506730652E0,1.701362000E0
8.052387496E-2,1.971849518E0,9.358239441E0,1.774559784E0
9.054587490E-2,1.808838501E0,9.336684265E0,1.831740875E0
1.005688750E-1,1.591939545E0,9.373807068E0,1.750459900E0
1.105908749E-1,1.458417206E0,9.475146332E0,1.549128571E0
1.206138750E-1,1.459015961E0,9.539213104E0,1.390608215E0
1.306358749E-1,1.677561493E0,9.473799133E0,1.344354401E0
1.406578750E-1,1.996847534E0,9.433233490E0,1.407972107E0
1.506808749E-1,2.093546448E0,9.444011078E0,1.518292694E0
1.607028750E-1,2.052980804E0,9.365424500E0,1.553768921E0
1.707258750E-1,1.933080139E0,9.321565704E0,1.585203552E0
1.807478749E-1,1.891017609E0,9.367071075E0,1.638343048E0
1.907698750E-1,1.967358856E0,9.470206604E0,1.644779663E0
2.007928749E-1,2.033371582E0,9.569150848E0,1.640438690E0
2.108148750E-1,2.133663025E0,9.708810425E0,1.688339081E0
2.208378749E-1,2.198178864E0,9.822424164E0,1.769919434E0
2.308598750E-1,2.191742249E0,9.828411713E0,1.816772003E0
2.408818749E-1,2.229912872E0,9.901010742E0,1.904788971E0
2.509048750E-1,2.247276764E0,9.989925842E0,2.174528046E0
2.609268749E-1,2.118245087E0,9.886790314E0,2.424208832E0
2.709498749E-1,1.902843018E0,9.740843811E0,2.436183929E0
2.809718749E-1,1.833836517E0,9.590107269E0,2.323767700E0
2.909938749E-1,2.016307068E0,9.480235748E0,2.138003998E0
3.010168750E-1,2.341580658E0,9.463320923E0,1.973945160E0
3.110388749E-1,2.516117706E0,9.504485321E0,1.656754761E0
3.210618750E-1,2.217189331E0,9.685908051E0,1.482966156E0
3.310838749E-1,1.556463318E0,9.980944519E0,1.267264709E0
3.411058750E-1,1.231489105E0,9.895921326E0,9.840536499E-1
3.511288749E-1,9.987231445E-1,9.833650818E0,8.511300659E-1
3.611508750E-1,1.050665131E0,9.764943695E0,8.418493652E-1
3.711738749E-1,1.304237823E0,9.590855713E0,1.025667114E0
3.811958750E-1,1.577419739E0,9.406289520E0,1.365909576E0
3.912178749E-1,1.846410370E0,9.173523560E0,1.560355225E0
4.012408749E-1,2.121837616E0,9.061706085E0,1.642534332E0
4.112628750E-1,2.446362762E0,9.089398499E0,1.756148071E0
4.212858749E-1,2.768492889E0,9.169481964E0,1.742376709E0
4.313078750E-1,3.072510681E0,9.266180878E0,1.744172974E0
4.413298749E-1,3.313509521E0,9.448950806E0,1.785187683E0
4.513528750E-1,3.403622131E0,9.772278442E0,2.107168121E0
4.613748749E-1,3.124752045E0,1.015593063E1,2.558928680E0
4.713978750E-1,2.501148834E0,1.062370789E1,2.779719543E0
4.814198749E-1,1.974094849E0,1.091814560E1,2.724783783E0
4.914428749E-1,1.770667877E0,1.082189575E1,2.912643127E0
5.014648749E-1,1.661395111E0,1.032373169E1,3.412753143E0
5.114868749E-1,1.550775146E0,9.837542725E0,3.729793854E0
5.215098750E-1,1.454824677E0,9.447603607E0,3.660637665E0
5.315318749E-1,1.503323822E0,9.188642120E0,3.426225128E0
5.415548750E-1,1.837878113E0,9.093140717E0,3.124752045E0
5.515768749E-1,2.417173462E0,9.024583282E0,2.702629852E0
