"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.058958338E-3,1.800037175E-1,1.077256054E-1,-8.253081143E-2
1.808195829E-2,1.669963002E-1,1.185979415E-2,-1.206206754E-1
2.810495824E-2,1.681154072E-1,-7.973152399E-2,-1.252995133E-1
3.812795831E-2,1.940383613E-1,-1.936612874E-1,-5.461521447E-2
4.815095826E-2,2.219851762E-1,-3.187585175E-1,3.373178840E-2
5.817395833E-2,2.480268925E-1,-3.950700760E-1,9.642978758E-2
6.819695828E-2,2.301575094E-1,-4.284958541E-1,1.098664254E-1
7.821995835E-2,2.034875453E-1,-4.184530675E-1,8.697948605E-2
8.824295830E-2,2.009595484E-1,-3.973107338E-1,4.756139219E-2
9.826495824E-2,2.094600946E-1,-3.576051295E-1,1.777233370E-2
1.082879583E-1,2.173749804E-1,-2.952805459E-1,5.690346472E-3
1.183109583E-1,2.255311757E-1,-2.036366612E-1,3.304154146E-3
1.283339583E-1,2.058836669E-1,-7.861705869E-2,1.440166868E-2
1.383569583E-1,1.921481490E-1,4.911027849E-2,3.500175476E-2
1.483799584E-1,1.896051615E-1,1.697665155E-1,4.784056172E-2
1.584029583E-1,1.760374308E-1,2.417285889E-1,3.197371215E-2
1.684259583E-1,1.790193319E-1,2.302639037E-1,-1.164595969E-2
1.784489583E-1,2.005448639E-1,1.380540729E-1,-5.285544693E-2
1.884719583E-1,2.160080522E-1,3.087875992E-2,-7.741248608E-2
1.984949583E-1,2.439283729E-1,-5.937443674E-2,-8.316331357E-2
2.085179583E-1,2.733856440E-1,-1.388542801E-1,-7.332876325E-2
2.185399584E-1,2.755598426E-1,-2.072466612E-1,-5.056885630E-2
2.285629583E-1,2.648783028E-1,-2.505435348E-1,-2.662139945E-2
2.385859583E-1,2.350655198E-1,-2.957895696E-1,-1.170899719E-3
2.486089583E-1,1.814776510E-1,-3.275811076E-1,8.069276810E-3
2.586319583E-1,1.570689827E-1,-3.152093887E-1,-8.142290171E-4
2.686549583E-1,1.684209555E-1,-2.870297432E-1,-2.860487252E-2
2.786779583E-1,1.832829863E-1,-2.165286690E-1,-6.254233420E-2
2.887016666E-1,2.017974555E-1,-1.167164743E-1,-9.137148410E-2
2.987246666E-1,2.178850770E-1,-6.003242731E-2,-9.433398396E-2
3.087476667E-1,2.282038778E-1,-4.118448868E-2,-9.067034721E-2
3.187706666E-1,2.160441577E-1,-5.381452665E-2,-8.910733461E-2
3.287936667E-1,1.721847206E-1,-7.256016135E-2,-8.850553632E-2
3.388156666E-1,1.191662401E-1,-7.856638730E-2,-1.050022244E-1
3.488386667E-1,1.003420353E-1,-8.124349266E-2,-1.425782740E-1
3.588616666E-1,1.243323237E-1,-7.073758543E-2,-1.925410330E-1
3.688846666E-1,1.685173512E-1,-9.343443066E-2,-2.395570427E-1
3.789076667E-1,2.063691318E-1,-1.746888161E-1,-2.408862263E-1
3.889306666E-1,2.268320918E-1,-2.891774774E-1,-1.860998124E-1
3.989536667E-1,2.092781365E-1,-4.267427921E-1,-8.066606522E-2
4.089766666E-1,1.654436886E-1,-5.166857839E-1,2.438890934E-2
4.189996666E-1,1.119168103E-1,-4.984814823E-1,7.743641734E-2
4.290226666E-1,7.412220538E-2,-3.913041055E-1,6.262708455E-2
4.390456666E-1,8.935016394E-2,-3.035449386E-1,1.547555253E-2
4.490686667E-1,1.476123482E-1,-2.811659575E-1,-3.370736912E-2
4.590906666E-1,2.045131773E-1,-2.721306384E-1,-5.275057256E-2
4.691136667E-1,2.272009850E-1,-2.807373106E-1,-3.813729808E-2
4.791366666E-1,2.416182756E-1,-3.035448790E-1,-2.483214438E-2
