"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
8.058958338E-3,2.667206094E-1,-5.032017611E-1,-6.863959884E-1,-4.522264017E-1,1.490615664E2,1.418560466E2,-5.521254580E1,1.280051735E2
1.808195829E-2,2.671241128E-1,-5.024856651E-1,-6.869687009E-1,-4.519146941E-1,1.490135876E2,1.418590504E2,-5.520240063E1,1.281224868E2
2.810495824E-2,2.671440271E-1,-5.018947768E-1,-6.877071874E-1,-4.514362220E-1,1.490112195E2,1.418872164E2,-5.514296625E1,1.282040959E2
3.812795831E-2,2.669188892E-1,-5.016341617E-1,-6.885320645E-1,-4.506006924E-1,1.490379905E2,1.419982843E2,-5.504855545E1,1.281948892E2
4.815095826E-2,2.665295682E-1,-5.019036171E-1,-6.893676995E-1,-4.492513715E-1,1.490842804E2,1.422404644E2,-5.492848930E1,1.280444726E2
5.817395833E-2,2.660295064E-1,-5.026320305E-1,-6.902092561E-1,-4.474378243E-1,1.491437296E2,1.425990811E2,-5.478810603E1,1.277717527E2
6.819695828E-2,2.654375434E-1,-5.036020508E-1,-6.910360403E-1,-4.454179471E-1,1.492140934E2,1.430088415E2,-5.463491039E1,1.274394059E2
7.821995835E-2,2.647317312E-1,-5.046082436E-1,-6.918285907E-1,-4.434646303E-1,1.492979743E2,1.434024863E2,-5.447378874E1,1.271081609E2
8.824295830E-2,2.639754165E-1,-5.054783126E-1,-6.926428784E-1,-4.416497765E-1,1.493878384E2,1.437547304E2,-5.430850630E1,1.268165093E2
9.826495824E-2,2.632443373E-1,-5.061525884E-1,-6.935191008E-1,-4.399356642E-1,1.494746858E2,1.440703094E2,-5.414276747E1,1.265725750E2
1.082879583E-1,2.626724362E-1,-5.066340740E-1,-6.943899390E-1,-4.383466542E-1,1.495426113E2,1.443522964E2,-5.399414221E1,1.263755810E2
1.183109583E-1,2.623695689E-1,-5.069056788E-1,-6.951978836E-1,-4.369309837E-1,1.495785789E2,1.445972080E2,-5.387795555E1,1.262302804E2
1.283339583E-1,2.624399436E-1,-5.069611862E-1,-6.958383892E-1,-4.358033553E-1,1.495702217E2,1.447915219E2,-5.381378136E1,1.261436013E2
1.383569583E-1,2.629483294E-1,-5.068168122E-1,-6.962232532E-1,-4.350494220E-1,1.495098445E2,1.449265952E2,-5.381570848E1,1.261165047E2
1.483799584E-1,2.639109055E-1,-5.064657605E-1,-6.963907974E-1,-4.346071909E-1,1.493955027E2,1.450132012E2,-5.388130329E1,1.261456442E2
1.584029583E-1,2.652013525E-1,-5.059094327E-1,-6.964033467E-1,-4.344493983E-1,1.492421649E2,1.450496965E2,-5.399428058E1,1.262302960E2
