"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-3.724166891E-4,-9.050180054E-1,7.352260895E0,6.807843018E0
9.649583371E-3,-8.674461365E-1,7.548951874E0,6.618786163E0
1.967158332E-2,-7.396119690E-1,7.703430634E0,6.256090393E0
2.969258337E-2,-4.290078735E-1,7.979756012E0,6.393354950E0
3.971458331E-2,1.169068909E-1,8.387208710E0,7.001689911E0
4.973658337E-2,-4.385879517E-1,7.633376312E0,7.085515594E0
5.975858332E-2,-1.421444092E0,6.418652344E0,6.383026428E0
6.978058338E-2,-1.165775757E0,6.976392517E0,5.941594391E0
7.980258332E-2,-4.059558105E-1,8.161478119E0,6.126459961E0
8.982358337E-2,-3.742218018E-1,8.172704773E0,6.419550476E0
9.984558332E-2,-9.488768005E-1,7.228917389E0,6.465953979E0
1.098675834E-1,-1.055455170E0,6.780449982E0,6.352639618E0
1.198895833E-1,-8.047265625E-1,7.031028900E0,6.396797791E0
1.299115834E-1,-5.950126648E-1,7.266489258E0,6.502028961E0
1.399335833E-1,-5.092410278E-1,7.301067352E0,6.534361725E0
1.499545834E-1,-6.682104492E-1,7.213200073E0,6.523733826E0
1.599765833E-1,-9.687854004E-1,7.110363922E0,6.604266357E0
1.699985834E-1,-1.052461395E0,7.096592560E0,6.673572235E0
1.800205833E-1,-1.134341125E0,7.069498901E0,6.682254181E0
1.900425834E-1,-1.345402222E0,6.958429871E0,6.623576202E0
2.000645833E-1,-1.548679504E0,6.940916290E0,6.529571686E0
2.100855834E-1,-1.546733551E0,7.061116333E0,6.492448883E0
2.201075833E-1,-1.603615265E0,7.117548981E0,6.524033203E0
2.301295834E-1,-1.846859436E0,6.943011932E0,6.396049347E0
2.401515833E-1,-2.217189331E0,6.636449432E0,6.311924286E0
2.501735834E-1,-2.826871490E0,6.283184052E0,6.253096619E0
2.601955833E-1,-3.577710114E0,5.914351044E0,6.345903625E0
2.702165834E-1,-4.253404999E0,5.660179596E0,6.398743744E0
2.802385833E-1,-4.497846680E0,5.764961700E0,6.338568878E0
2.902605834E-1,-3.977528687E0,6.151308289E0,6.227799225E0
3.002825833E-1,-3.330723724E0,6.374045105E0,6.168223114E0
3.103045834E-1,-2.741848297E0,6.291117554E0,6.137087860E0
3.203255833E-1,-2.159559174E0,6.404282227E0,5.945935364E0
3.303475834E-1,-1.369651794E0,6.918163605E0,5.540428619E0
3.403695833E-1,2.511776733E-1,7.549850006E0,5.413492584E0
3.503915834E-1,2.406246185E0,7.676336975E0,5.872737579E0
3.604135833E-1,4.425247650E0,7.213948517E0,6.796766052E0
3.704355834E-1,7.258256378E0,6.586603088E0,7.359296265E0
3.804565833E-1,9.960886230E0,6.954537964E0,6.554719391E0
3.904785834E-1,1.085901855E1,8.131390686E0,5.918841705E0
4.005005833E-1,9.938133545E0,7.954608307E0,6.800358582E0
4.105225834E-1,7.532935181E0,6.621929626E0,7.989186401E0
4.205445834E-1,5.190456390E0,5.357958069E0,8.230035553E0
4.305665834E-1,3.660787354E0,5.203479309E0,7.984995117E0
4.405872084E-1,3.101849670E0,5.921835480E0,7.807613983E0
4.506092083E-1,2.633323975E0,6.180347900E0,7.634424133E0
4.606312084E-1,2.404449921E0,6.761589203E0,7.317982178E0
4.706532083E-1,2.214794312E0,6.861581268E0,6.996750183E0
4.806752084E-1,2.349214783E0,6.492897949E0,6.901847534E0
4.906972083E-1,2.876119080E0,5.997577972E0,6.566993866E0
5.007182084E-1,3.054248657E0,5.803731079E0,6.110892334E0
5.107402083E-1,3.060834961E0,5.869444427E0,5.623805237E0
5.207622084E-1,3.073857880E0,5.843248901E0,5.289400635E0
5.307842083E-1,3.026855621E0,5.725443878E0,5.176086273E0
