"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.914624940E-3,7.181166687E0,-5.349575500E0,5.353018341E0
1.193762501E-2,7.166646881E0,-5.233417053E0,5.503904572E0
2.195962495E-2,7.126829681E0,-5.170847168E0,5.630840607E0
3.198162501E-2,7.087162170E0,-5.305567017E0,5.739364929E0
4.200362496E-2,7.045548706E0,-5.399571533E0,5.850883026E0
5.202562502E-2,7.009324036E0,-5.381159821E0,5.888604584E0
6.204762496E-2,7.073241119E0,-5.320236511E0,5.844296722E0
7.206962490E-2,7.159162445E0,-5.199587402E0,5.736221466E0
8.209262497E-2,7.194488983E0,-5.133125610E0,5.593119049E0
9.211462492E-2,7.074588318E0,-5.162314911E0,5.463189240E0
1.021366250E-1,6.940766602E0,-5.206622772E0,5.323978729E0
1.121586249E-1,6.743027802E0,-5.204676819E0,5.165458374E0
1.221806250E-1,6.612050171E0,-5.247637482E0,5.028044128E0
1.322026249E-1,6.457421722E0,-5.335953827E0,4.900060272E0
1.422246250E-1,6.287974091E0,-5.388644257E0,4.799768829E0
1.522476249E-1,6.212680664E0,-5.388793945E0,4.803211670E0
1.622696250E-1,6.152356110E0,-5.367687836E0,4.855003967E0
1.722916249E-1,6.040688324E0,-5.379363556E0,4.939877472E0
1.823136250E-1,5.979914703E0,-5.442681885E0,5.010380859E0
1.923356249E-1,5.894442444E0,-5.488336945E0,5.096601562E0
2.023576250E-1,5.808820496E0,-5.461842041E0,5.175188141E0
2.123796250E-1,5.656736755E0,-5.439987488E0,5.314698029E0
2.224016250E-1,5.499862976E0,-5.449268188E0,5.425617371E0
2.324246250E-1,5.452711029E0,-5.440586243E0,5.473517761E0
2.424466249E-1,5.501509552E0,-5.407355347E0,5.514083405E0
2.524686250E-1,5.627248077E0,-5.382806396E0,5.492827606E0
2.624906249E-1,5.738915863E0,-5.382656708E0,5.471272430E0
2.725126250E-1,5.846242676E0,-5.324727173E0,5.481900330E0
2.825346249E-1,5.936654663E0,-5.224286041E0,5.455704803E0
2.925566250E-1,6.049969025E0,-5.185965729E0,5.380411377E0
3.025796249E-1,6.134094086E0,-5.182822266E0,5.319787445E0
3.126016250E-1,6.190526733E0,-5.162165222E0,5.287754059E0
3.226236249E-1,6.259383545E0,-5.097499695E0,5.266049194E0
3.326456250E-1,6.412664795E0,-5.069956970E0,5.213209076E0
3.426676249E-1,6.634054413E0,-5.125341797E0,5.171595612E0
3.526896250E-1,6.806944885E0,-5.210065613E0,5.232967987E0
3.627116249E-1,6.983278198E0,-5.337151337E0,5.270689545E0
3.727336250E-1,7.068750458E0,-5.319637756E0,5.239554291E0
3.827566250E-1,7.029681702E0,-5.552852783E0,5.191653900E0
3.927786250E-1,7.257657623E0,-5.298082581E0,5.170398102E0
4.028006250E-1,7.271878052E0,-4.972509613E0,5.136867828E0
4.128226250E-1,7.078629913E0,-4.984784088E0,5.164111176E0
4.228446250E-1,6.955286407E0,-5.029840393E0,5.201084290E0
4.328666249E-1,6.927593994E0,-5.069657593E0,5.173391876E0
4.428886250E-1,6.952292633E0,-5.067112885E0,5.152585144E0
4.529116249E-1,6.988517303E0,-5.087919617E0,5.145849152E0
4.629336250E-1,6.989265747E0,-5.111121368E0,5.155578918E0
4.729556249E-1,6.885232086E0,-5.101092224E0,5.154531097E0
4.829776250E-1,6.763086090E0,-5.074297943E0,5.147346039E0
4.929996249E-1,6.695726166E0,-5.070855103E0,5.133424988E0
5.030216250E-1,6.652765503E0,-5.097200317E0,5.133125610E0
5.130436249E-1,6.630461884E0,-5.101990356E0,5.152285767E0
5.230656250E-1,6.635251923E0,-5.123695221E0,5.158423004E0
5.330886249E-1,6.684499512E0,-5.206922150E0,5.176385651E0
5.431106250E-1,6.698270874E0,-5.196593628E0,5.184917908E0
5.531326249E-1,6.687792664E0,-5.118007050E0,5.203179932E0
5.631546250E-1,6.729555817E0,-5.108426971E0,5.219496002E0
5.731766250E-1,6.800059204E0,-5.162165222E0,5.247038727E0
5.831986250E-1,6.845414886E0,-5.141358490E0,5.242548065E0
5.932206250E-1,6.877897339E0,-5.145849152E0,5.244194641E0
6.032426250E-1,6.950346680E0,-5.180127869E0,5.264402618E0
6.132656250E-1,6.967860260E0,-5.169350281E0,5.278173981E0
6.232876249E-1,6.905889130E0,-5.117557983E0,5.287754059E0
6.333096250E-1,6.838229828E0,-5.097948761E0,5.302273865E0
6.433316249E-1,6.770720215E0,-5.110073547E0,5.301226044E0
6.533536250E-1,6.718329163E0,-5.110073547E0,5.314099274E0
6.633756249E-1,6.683152313E0,-5.150190125E0,5.331163788E0
6.733976250E-1,6.636000366E0,-5.180726624E0,5.333858185E0
6.834196249E-1,6.577771454E0,-5.195545807E0,5.327571259E0
6.934426250E-1,6.531817017E0,-5.256469116E0,5.317242737E0
7.034646249E-1,6.504423981E0,-5.300327911E0,5.326822815E0
