"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.769304171E-2,9.728527821E0,1.215798760E0,-3.371920794E-1
2.771704167E-2,9.727569462E0,1.230570800E0,-3.101987738E-1
3.774004173E-2,9.726204137E0,1.246426695E0,-2.888942791E-1
4.776404169E-2,9.724504936E0,1.261543355E0,-2.803837663E-1
5.778704165E-2,9.722920341E0,1.271272391E0,-2.911557994E-1
6.781104172E-2,9.721782473E0,1.271863837E0,-3.247028288E-1
7.783404167E-2,9.721005378E0,1.264310550E0,-3.737422570E-1
8.785804175E-2,9.720448138E0,1.251894426E0,-4.263544802E-1
9.788104170E-2,9.719709050E0,1.239756337E0,-4.757664126E-1
1.079050417E-1,9.718415646E0,1.232961580E0,-5.179807880E-1
1.179280417E-1,9.716481972E0,1.233335948E0,-5.522248603E-1
1.279510417E-1,9.714015616E0,1.239584137E0,-5.808823565E-1
1.379750418E-1,9.711164514E0,1.248835894E0,-6.081108299E-1
1.479980417E-1,9.708001755E0,1.258656585E0,-6.376344084E-1
1.580220417E-1,9.704688138E0,1.266450339E0,-6.717670912E-1
1.680450417E-1,9.701709566E0,1.269305095E0,-7.084009206E-1
1.780690417E-1,9.699337351E0,1.267257400E0,-7.436584615E-1
1.880920418E-1,9.697467411E0,1.262510338E0,-7.754450952E-1
1.981160417E-1,9.696171083E0,1.255241372E0,-8.029615074E-1
2.081390417E-1,9.695336101E0,1.245209304E0,-8.282523961E-1
2.181630417E-1,9.694871247E0,1.233445584E0,-8.509895135E-1
2.281860417E-1,9.694747286E0,1.222887412E0,-8.675016119E-1
2.382100417E-1,9.694778861E0,1.216736215E0,-8.757454551E-1
2.482330417E-1,9.694991115E0,1.214944920E0,-8.758717550E-1
2.582570417E-1,9.695427318E0,1.216437349E0,-8.689418542E-1
2.682800418E-1,9.695904450E0,1.218824913E0,-8.602495296E-1
2.783030417E-1,9.696433039E0,1.216127958E0,-8.580976812E-1
2.883270417E-1,9.696496189E0,1.203733834E0,-8.747051623E-1
2.983500417E-1,9.695519119E0,1.182854524E0,-9.131743596E-1
3.083740417E-1,9.696426022E0,1.157991359E0,-9.351400099E-1
3.183970418E-1,9.700329039E0,1.141272561E0,-9.149934284E-1
3.284210417E-1,9.705100951E0,1.139651786E0,-8.650569642E-1
3.384440417E-1,9.709491041E0,1.148982115E0,-8.010784116E-1
3.484680417E-1,9.714160042E0,1.162186005E0,-7.214668163E-1
3.584910417E-1,9.719263492E0,1.174139614E0,-6.272420058E-1
3.685150417E-1,9.724120190E0,1.183035276E0,-5.272757778E-1
3.785380417E-1,9.727998648E0,1.189371976E0,-4.330749409E-1
3.885620417E-1,9.730431089E0,1.195903389E0,-3.530811936E-1
3.985850418E-1,9.731126908E0,1.206993657E0,-2.906069286E-1
4.086090417E-1,9.730035233E0,1.225952961E0,-2.440590903E-1
4.186320417E-1,9.727290550E0,1.253360615E0,-2.121863015E-1
4.286560417E-1,9.723022667E0,1.288066179E0,-1.995508522E-1
4.386790417E-1,9.717499972E0,1.327323947E0,-2.110150859E-1
4.487020418E-1,9.711038214E0,1.367985192E0,-2.459295963E-1
4.587260417E-1,9.704134991E0,1.405928505E0,-2.987426531E-1
4.687490417E-1,9.697353390E0,1.436961433E0,-3.641463548E-1
4.787730417E-1,9.691171129E0,1.457844032E0,-4.381968826E-1
4.887960417E-1,9.685647849E0,1.468279120E0,-5.181550350E-1
4.988200417E-1,9.680184796E0,1.472431520E0,-6.017298365E-1
5.088430417E-1,9.673844660E0,1.477455155E0,-6.855415233E-1
5.188670417E-1,9.665986002E0,1.490782860E0,-7.631387528E-1
5.288900418E-1,9.656815814E0,1.516482981E0,-8.259985138E-1
5.389140417E-1,9.646130027E0,1.556322546E0,-8.753014322E-1
5.489370417E-1,9.633155640E0,1.609368487E0,-9.210702203E-1
5.589610417E-1,9.617361141E0,1.670593074E0,-9.754988810E-1
5.689840417E-1,9.597290574E0,1.730356588E0,-1.064894111E0
5.790080416E-1,9.570803272E0,1.780632556E0,-1.210446730E0
5.890310417E-1,9.541209928E0,1.817464898E0,-1.377765829E0
5.990550417E-1,9.517855564E0,1.836128041E0,-1.508373039E0
6.090780417E-1,9.505827842E0,1.836523751E0,-1.581936859E0
