"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.979291660E-2,8.869568247E-2,-1.052701835E-2,-5.582147359E-1,-8.248748540E-1,1.698228498E2,6.771909398E1,-6.683771117E0,-1.722128206E2
2.981391666E-2,8.940577257E-2,-1.051913689E-2,-5.582043256E-1,-8.248053960E-1,1.697411549E2,6.771546727E1,-6.728564344E0,-1.721440794E2
3.983491659E-2,9.029047707E-2,-1.031470360E-2,-5.582683678E-1,-8.246682080E-1,1.696393635E2,6.772200771E1,-6.766596645E0,-1.720466698E2
4.985591664E-2,9.113990465E-2,-1.000429206E-2,-5.583686773E-1,-8.245106631E-1,1.695416233E2,6.773392024E1,-6.792652247E0,-1.719461987E2
5.987691670E-2,9.183971093E-2,-9.544132772E-3,-5.584667530E-1,-8.243719999E-1,1.694610937E2,6.774634911E1,-6.794848055E0,-1.718505462E2
6.989891664E-2,9.233611651E-2,-9.004315936E-3,-5.585470427E-1,-8.242682344E-1,1.694039670E2,6.775718923E1,-6.776233525E0,-1.717692078E2
7.991991669E-2,9.277140916E-2,-8.427030552E-3,-5.586030559E-1,-8.241874810E-1,1.693538711E2,6.776501220E1,-6.749901572E0,-1.716911525E2
8.994091663E-2,9.326128198E-2,-7.836658572E-3,-5.586578679E-1,-8.241009536E-1,1.692974914E2,6.777261301E1,-6.725843184E0,-1.716070154E2
9.996191668E-2,9.373155652E-2,-7.370577647E-3,-5.587392745E-1,-8.239966823E-1,1.692433648E2,6.778370285E1,-6.712630168E0,-1.715328777E2
1.099829166E-1,9.406653967E-2,-7.108677131E-3,-5.588038013E-1,-8.239170247E-1,1.692048082E2,6.779234521E1,-6.709960990E0,-1.714845787E2
1.200049167E-1,9.430192982E-2,-7.045035389E-3,-5.588150545E-1,-8.238830965E-1,1.691777141E2,6.779335876E1,-6.719182809E0,-1.714580232E2
1.300259166E-1,9.445833677E-2,-7.069796663E-3,-5.587728866E-1,-8.238935911E-1,1.691597108E2,6.778695227E1,-6.731170674E0,-1.714442397E2
1.400469167E-1,9.469503347E-2,-7.024088406E-3,-5.587368300E-1,-8.238911466E-1,1.691324652E2,6.778133938E1,-6.741690545E0,-1.714183101E2
1.500679166E-1,9.491714736E-2,-7.046341942E-3,-5.587347226E-1,-8.238668700E-1,1.691068977E2,6.778029339E1,-6.758083807E0,-1.713983804E2
1.600899167E-1,9.498327577E-2,-7.281984972E-3,-5.587289064E-1,-8.238611801E-1,1.690992855E2,6.777861483E1,-6.784681875E0,-1.714069697E2
1.701109166E-1,9.494816744E-2,-7.692832451E-3,-5.587307608E-1,-8.238602108E-1,1.691033269E2,6.777784513E1,-6.821499695E0,-1.714364856E2
1.801319167E-1,9.495895704E-2,-8.290158662E-3,-5.587389162E-1,-8.238476510E-1,1.691020849E2,6.777734629E1,-6.879070336E0,-1.714735080E2
1.901529166E-1,9.495436303E-2,-9.135160827E-3,-5.587569551E-1,-8.238270412E-1,1.691026137E2,6.777771863E1,-6.959308543E0,-1.715278480E2
2.001739166E-1,9.466949248E-2,-1.047713756E-2,-5.587272626E-1,-8.238639197E-1,1.691354052E2,6.777138232E1,-7.068293824E0,-1.716403245E2
2.101959167E-1,9.405145110E-2,-1.255750600E-2,-5.586097151E-1,-8.239853026E-1,1.692065450E2,6.775292692E1,-7.225253890E0,-1.718310310E2
2.202169166E-1,9.303600707E-2,-1.565110575E-2,-5.584870888E-1,-8.241307514E-1,1.693234187E2,6.773470665E1,-7.453177461E0,-1.721243559E2
2.302379167E-1,9.140505048E-2,-2.021910764E-2,-5.583893924E-1,-8.242799934E-1,1.695111125E2,6.772351060E1,-7.782423297E0,-1.725710085E2
2.402589166E-1,8.902451218E-2,-2.645283727E-2,-5.582543118E-1,-8.244556614E-1,1.697850190E2,6.771569410E1,-8.222350151E0,-1.731958118E2
2.502809167E-1,8.575581334E-2,-3.423801346E-2,-5.581080833E-1,-8.246145129E-1,1.701610230E2,6.772191723E1,-8.753766049E0,-1.740056494E2
2.603019166E-1,8.131197608E-2,-4.368417588E-2,-5.579845509E-1,-8.247019676E-1,1.706720357E2,6.775674999E1,-9.369136643E0,-1.750365476E2
