"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
4.082750063E-3,3.395230500E0,7.611403645E0,5.174461332E0
1.410475001E-2,3.398392966E0,7.605339498E0,5.181296727E0
2.412775008E-2,3.394984624E0,7.602204221E0,5.188127444E0
3.414975002E-2,3.382878841E0,7.602759706E0,5.195217778E0
4.417275009E-2,3.361069897E0,7.606715932E0,5.203575203E0
5.419475003E-2,3.330033168E0,7.613744286E0,5.213241236E0
6.421775010E-2,3.295200720E0,7.621982428E0,5.223326513E0
7.423975004E-2,3.261820427E0,7.629255195E0,5.233649772E0
8.426275000E-2,3.232133821E0,7.634050496E0,5.245062368E0
9.428475006E-2,3.208616905E0,7.635674853E0,5.257122835E0
1.043077500E-1,3.190125085E0,7.635082530E0,5.269223648E0
1.143297501E-1,3.175540960E0,7.632774634E0,5.281362467E0
1.243527500E-1,3.164745830E0,7.628909624E0,5.293412409E0
1.343747501E-1,3.157395296E0,7.623141346E0,5.306098529E0
1.443977500E-1,3.153800720E0,7.615071604E0,5.319804987E0
1.544197501E-1,3.152973339E0,7.604987496E0,5.334700184E0
1.644427500E-1,3.151249872E0,7.594144419E0,5.351140215E0
1.744647501E-1,3.145759044E0,7.583981958E0,5.368754953E0
1.844877501E-1,3.136855196E0,7.574646878E0,5.387112286E0
1.945097500E-1,3.127009947E0,7.564606624E0,5.406906865E0
2.045327501E-1,3.114432586E0,7.554192148E0,5.428681896E0
2.145547500E-1,3.099442956E0,7.544359471E0,5.450889037E0
2.245777501E-1,3.086065989E0,7.534831433E0,5.471618586E0
2.345997500E-1,3.077482861E0,7.524976535E0,5.489984105E0
2.446227501E-1,3.076063742E0,7.514676665E0,5.504867608E0
2.546447500E-1,3.080762564E0,7.504859190E0,5.515621222E0
2.646677501E-1,3.088518896E0,7.496957847E0,5.522025678E0
2.746897500E-1,3.097439700E0,7.491829255E0,5.523989173E0
2.847127500E-1,3.105576686E0,7.490330029E0,5.521453235E0
2.947347501E-1,3.115599690E0,7.491953216E0,5.513599840E0
3.047577500E-1,3.130871741E0,7.494797886E0,5.501067502E0
3.147797501E-1,3.154891810E0,7.497310435E0,5.483893645E0
3.248027500E-1,3.191398024E0,7.497408083E0,5.462595747E0
3.348247501E-1,3.245598789E0,7.493560615E0,5.435875726E0
3.448477500E-1,3.327825260E0,7.481618262E0,5.402506251E0
3.548687501E-1,3.455881621E0,7.457974461E0,5.354586564E0
3.648917500E-1,3.645587516E0,7.421276166E0,5.279246945E0
3.749137501E-1,3.889109430E0,7.382253018E0,5.158805412E0
3.849367501E-1,4.154002625E0,7.361914063E0,4.978210648E0
3.949587500E-1,4.420493864E0,7.362008788E0,4.743013415E0
4.049817501E-1,4.688517365E0,7.371912217E0,4.461929280E0
4.150037500E-1,4.961263663E0,7.377264174E0,4.147038884E0
4.250267501E-1,5.230020406E0,7.368022649E0,3.820369855E0
4.350487500E-1,5.477510825E0,7.343747934E0,3.507468097E0
4.450717501E-1,5.680899789E0,7.317051301E0,3.228659406E0
4.550937500E-1,5.819579372E0,7.306993505E0,2.996073247E0
4.651167501E-1,5.881573892E0,7.329786537E0,2.813791561E0
4.751387500E-1,5.868635173E0,7.390941396E0,2.677535942E0
4.851617500E-1,5.797120802E0,7.482581883E0,2.576908869E0
4.951837501E-1,5.691336485E0,7.589390633E0,2.499191479E0
5.052067500E-1,5.573400484E0,7.697685744E0,2.432889316E0
5.152297501E-1,5.459413692E0,7.798689378E0,2.368827660E0
5.252517500E-1,5.358766154E0,7.888502026E0,2.300271980E0
