"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.082750063E-3,-1.303480024E0,4.845108140E-1,2.511560386E-1
1.410475001E-2,-1.263682413E0,3.510650736E-1,9.138788760E-1
2.412775008E-2,-1.232881035E0,6.784261197E-1,1.161967465E0
3.414975002E-2,-1.197722897E0,9.491065961E-1,1.191850246E0
4.417275009E-2,-1.059007061E0,6.599933571E-1,1.308632591E0
5.419475003E-2,-1.071978816E0,4.448976821E-1,1.313486949E0
6.421775010E-2,-1.114236059E0,5.885935915E-1,1.073179834E0
7.423975004E-2,-1.230394799E0,4.874659967E-1,7.985062945E-1
8.426275000E-2,-1.323602340E0,2.246073407E-1,5.916002297E-1
9.428475006E-2,-1.341998850E0,1.940632403E-2,4.755061018E-1
1.043077500E-1,-1.350450415E0,-9.975232959E-2,3.655082810E-1
1.143297501E-1,-1.210128057E0,1.679530835E-1,2.446954501E-1
1.243527500E-1,-1.077486601E0,5.940186381E-2,2.426752371E-1
1.343747501E-1,-1.107857332E0,-3.199783516E-1,2.629206365E-1
1.443977500E-1,-1.196620696E0,-3.857051486E-1,1.540121520E-1
1.544197501E-1,-1.213755962E0,-3.209846574E-1,1.166636467E-1
1.644427500E-1,-1.003216730E0,-3.680711156E-1,1.997666144E-1
1.744647501E-1,-7.869638908E-1,-4.583497864E-1,3.421697044E-1
1.844877501E-1,-7.442306846E-1,-5.063454866E-1,3.522526431E-1
1.945097500E-1,-9.188019392E-1,-5.085797077E-1,1.821711731E-1
2.045327501E-1,-9.078711542E-1,-5.047515357E-1,1.368938434E-1
2.145547500E-1,-8.717754149E-1,-2.334126627E-1,1.711199355E-1
2.245777501E-1,-7.612504676E-1,2.217386967E-1,-7.082147598E-3
2.345997500E-1,-6.609081540E-1,3.992449611E-1,-1.803760779E-1
2.446227501E-1,-6.446698514E-1,5.956079113E-1,-2.653139019E-1
2.546447500E-1,-6.634397060E-1,8.371429414E-1,-2.440341300E-1
2.646677501E-1,-6.554784295E-1,9.177935869E-1,-5.719044685E-2
2.746897500E-1,-6.540707123E-1,8.367014766E-1,6.898018777E-2
2.847127500E-1,-5.376666820E-1,6.823747444E-1,1.830342221E-1
2.947347501E-1,-5.517312822E-1,6.094997263E-1,1.663386673E-1
3.047577500E-1,-8.255157530E-1,4.596601474E-1,4.415057123E-2
3.147797501E-1,-1.249653773E0,1.133131921E-1,-3.417697549E-2
3.248027500E-1,-1.847642378E0,-3.913851339E-1,-1.673572522E-1
3.348247501E-1,-2.545953709E0,-1.232979560E0,-1.849450922E-1
3.448477500E-1,-3.371534074E0,-2.447586585E0,-3.075512642E-1
3.548687501E-1,-4.060474364E0,-3.844937809E0,-4.494368756E-1
3.648917500E-1,-4.791155296E0,-4.584674909E0,-1.187356076E0
3.749137501E-1,-5.198286982E0,-3.479868069E0,-2.935778221E0
3.849367501E-1,-5.379503889E0,-1.569709015E0,-4.426757401E0
3.949587500E-1,-6.514938444E0,-7.059501332E-1,-3.908498797E0
4.049817501E-1,-5.094473176E0,1.876669711E-1,-3.372644460E0
4.150037500E-1,-2.825355307E0,8.687880725E-1,-3.690338597E0
4.250267501E-1,-5.498534489E-1,1.374696187E0,-3.925451337E0
4.350487500E-1,1.923248631E0,1.794897569E0,-3.679760107E0
4.450717501E-1,4.367404069E0,1.948530822E0,-3.077473798E0
4.550937500E-1,6.280807743E0,1.853507136E0,-1.985225024E0
4.651167501E-1,7.107814536E0,1.400359032E0,-7.739830720E-1
4.751387500E-1,6.922714493E0,6.850638789E-1,1.912486830E-1
4.851617500E-1,5.822765520E0,-7.284051955E-2,6.002342284E-1
4.951837501E-1,4.300685585E0,-7.897804946E-1,5.698766541E-1
5.052067500E-1,2.935505156E0,-1.468539321E0,3.125518030E-1
5.152297501E-1,1.957063664E0,-2.022650712E0,1.040301526E-1
5.252517500E-1,1.252684677E0,-2.323375352E0,-3.682883397E-2
5.352747501E-1,7.280607945E-1,-2.367100831E0,-1.880140033E-1
5.452967500E-1,3.526151705E-1,-2.231918467E0,-3.189740923E-1
5.553197501E-1,9.010851681E-2,-1.972732447E0,-4.582780118E-1
5.653417500E-1,-1.309688598E-1,-1.671335378E0,-5.083867496E-1
5.753647500E-1,-2.964778072E-1,-1.361879091E0,-3.845000374E-1
5.853867501E-1,-4.065042794E-1,-9.858282799E-1,-2.452088356E-1
5.954097500E-1,-3.826476395E-1,-6.835973972E-1,-1.214566094E-1
6.054317501E-1,-1.741920626E-1,-6.309133995E-1,6.704768300E-2
6.154547500E-1,2.481105164E-1,-6.369933343E-1,3.282118160E-1
6.254767501E-1,8.904724717E-1,-3.893491334E-1,4.878577602E-1
6.354997500E-1,1.692734433E0,2.131538147E-1,3.893186548E-1
6.455217501E-1,2.691109668E0,7.552234501E-1,1.611503597E-1
6.555447500E-1,3.827806052E0,9.008471864E-1,9.097682834E-3
6.655667501E-1,4.877149419E0,5.171318454E-1,1.156590220E-1
6.755897501E-1,5.560138999E0,-1.536747676E-1,3.708221940E-1
6.856117500E-1,5.631403109E0,-8.767841399E-1,6.313209504E-1
6.956347501E-1,5.223896617E0,-1.289154931E0,6.831250153E-1
7.056567500E-1,4.642003057E0,-1.169811505E0,2.360584913E-1
7.156797501E-1,4.198709559E0,-7.069213557E-1,-6.411302394E-1
7.257017500E-1,3.931317557E0,-8.300590396E-2,-1.549658913E0
7.357247501E-1,3.892956313E0,3.027232182E-1,-2.302174518E0
7.457467500E-1,3.814857393E0,3.028267139E-1,-2.686157661E0
7.557697501E-1,3.631455089E0,7.990454078E-2,-2.784897253E0
7.657917500E-1,3.461290588E0,-1.589811158E-1,-2.844738243E0
7.758147500E-1,3.381296585E0,-3.147111797E-1,-2.988182137E0
7.858367501E-1,3.345950751E0,-5.693737936E-1,-3.012190220E0
7.958597500E-1,3.299259857E0,-8.126600647E-1,-2.861461279E0
8.058817501E-1,3.160686986E0,-8.280312252E-1,-2.641381438E0
8.159047500E-1,3.001582201E0,-6.086220592E-1,-2.314287025E0
8.259267501E-1,2.803777620E0,-2.489732730E-1,-1.855446657E0
8.359497500E-1,2.473743519E0,1.396736097E-1,-1.227041128E0
8.459717501E-1,2.078976356E0,6.002207798E-1,-8.022252698E-1
8.559947500E-1,1.628019789E0,9.898114032E-1,-7.970420055E-1
8.660167500E-1,1.276089620E0,1.166423044E0,-1.055641842E0
8.760397501E-1,1.030801554E0,1.030784013E0,-1.332113255E0
8.860617500E-1,9.080591422E-1,6.812649429E-1,-1.387671890E0
8.960847501E-1,8.865592226E-1,3.273949599E-1,-1.233214911E0
9.061067500E-1,8.878666601E-1,1.088371485E-1,-1.000846853E0
9.161297501E-1,8.427656239E-1,1.569591486E-1,-7.916862483E-1
9.261517500E-1,8.318064800E-1,4.712680399E-1,-6.657902867E-1
9.361747501E-1,8.103419361E-1,8.910343891E-1,-5.700485623E-1
9.461967500E-1,7.416219494E-1,1.303106387E0,-5.757291323E-1
9.562197500E-1,6.030084398E-1,1.800589834E0,-6.367208540E-1
9.662417501E-1,4.501864886E-1,2.392459036E0,-7.125330748E-1
9.762647500E-1,3.442641771E-1,3.033960573E0,-7.934314960E-1
9.862877501E-1,2.528745353E-1,3.550470275E0,-8.364952160E-1
9.963097500E-1,2.653717893E-1,3.747062436E0,-6.454527935E-1
1.006332750E0,4.169286954E-1,3.576848234E0,-2.470438381E-1
1.016354750E0,5.282485718E-1,3.211428246E0,3.095246994E-1
1.026377750E0,5.879112214E-1,2.954640169E0,7.853664315E-1
1.036399750E0,6.636683321E-1,2.973646544E0,1.136388820E0
1.046422750E0,7.521179938E-1,3.115997593E0,1.336444141E0
1.056444750E0,8.955613035E-1,3.240681281E0,1.473760007E0
1.066467750E0,9.629001778E-1,3.223467078E0,1.624398901E0
1.076489750E0,8.889182818E-1,3.058824103E0,1.738835050E0
1.086512750E0,7.311925632E-1,2.894565876E0,1.842342462E0
1.096534750E0,7.390401113E-1,2.680062523E0,1.939943016E0
1.106557750E0,9.111523193E-1,2.296727836E0,2.028732547E0
1.116579750E0,1.060182644E0,1.817253229E0,2.170974693E0
1.126602750E0,1.111926994E0,1.358860758E0,2.314835494E0
1.136624750E0,1.094708698E0,1.046377367E0,2.379611387E0
1.146647750E0,1.067012776E0,7.881882977E-1,2.300706282E0
1.156669750E0,1.080259643E0,5.546019727E-1,2.259581645E0
1.166692750E0,1.050419548E0,3.887205577E-1,2.156932604E0
1.176714750E0,9.173281485E-1,3.823792523E-1,2.028491496E0
1.186737750E0,7.591323137E-1,4.625679678E-1,1.912041857E0
1.196759750E0,6.059855497E-1,6.339562905E-1,1.876187754E0
1.206782750E0,4.066451973E-1,8.615126744E-1,1.903079099E0
1.216804750E0,2.854675001E-1,1.067364194E0,1.887874584E0
1.226827750E0,2.783099234E-1,1.039947769E0,1.817922735E0
1.236849750E0,3.249543321E-1,9.446261671E-1,1.578087637E0
1.246872750E0,3.087937975E-1,8.845948505E-1,1.347151709E0
1.256894750E0,2.077813929E-1,7.977914724E-1,1.112053147E0
1.266917750E0,3.652931035E-2,6.707773769E-1,7.936219691E-1
1.276939750E0,-2.284887224E-1,4.878013346E-1,7.663944094E-1
1.286962750E0,-5.168242818E-1,2.891092922E-1,1.061052709E0
1.296984750E0,-5.815085202E-1,5.289435133E-2,8.352252008E-1
1.307007750E0,-4.338704181E-1,-1.546785884E-1,5.781732684E-1
