"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.349570835E-2,1.118646480E-1,-2.571469843E-2,-4.847214006E-1,-8.671045632E-1,1.671543689E2,5.765127102E1,-8.803200772E0,-1.701492003E2
2.351770829E-2,1.121569364E-1,-2.561714955E-2,-4.852644417E-1,-8.667658290E-1,1.671206630E2,5.772161281E1,-8.815877676E0,-1.701195697E2
3.353870835E-2,1.125128666E-1,-2.510911144E-2,-4.856642045E-1,-8.665107141E-1,1.670796166E2,5.777389653E1,-8.789316819E0,-1.700595157E2
4.355970828E-2,1.127503641E-1,-2.441413098E-2,-4.860730079E-1,-8.662703506E-1,1.670522271E2,5.782863495E1,-8.737531145E0,-1.700013197E2
5.358070834E-2,1.128939162E-1,-2.366861645E-2,-4.865562004E-1,-8.660010323E-1,1.670356716E2,5.789395631E1,-8.676337019E0,-1.699506014E2
6.360270828E-2,1.129531747E-1,-2.285560374E-2,-4.871764335E-1,-8.656663863E-1,1.670288373E2,5.797814627E1,-8.605305806E0,-1.699060284E2
7.362370833E-2,1.130745155E-1,-2.211672734E-2,-4.878605611E-1,-8.652844094E-1,1.670148430E2,5.807031867E1,-8.546018286E0,-1.698597514E2
8.364470827E-2,1.134401394E-1,-2.137074920E-2,-4.885636759E-1,-8.648584312E-1,1.669726743E2,5.816385684E1,-8.500080937E0,-1.697883558E2
9.366670833E-2,1.140337777E-1,-2.046138879E-2,-4.892829119E-1,-8.643956167E-1,1.669042040E2,5.825906871E1,-8.450970320E0,-1.696848674E2
1.036877083E-1,1.147490940E-1,-1.943922235E-2,-4.900239588E-1,-8.639046902E-1,1.668216932E2,5.835717045E1,-8.397906467E0,-1.695629231E2
1.137086250E-1,1.155609266E-1,-1.849072860E-2,-4.906908274E-1,-8.634386303E-1,1.667280410E2,5.844492139E1,-8.357002619E0,-1.694344651E2
1.237306249E-1,1.164438610E-1,-1.767672544E-2,-4.912688503E-1,-8.630083531E-1,1.666261765E2,5.852022410E1,-8.332693316E0,-1.693053411E2
1.337516250E-1,1.173761071E-1,-1.696631924E-2,-4.917852546E-1,-8.626020154E-1,1.665186113E2,5.858684545E1,-8.320951842E0,-1.691763350E2
1.437736249E-1,1.183795814E-1,-1.624851626E-2,-4.923100250E-1,-8.621793246E-1,1.664028143E2,5.865439330E1,-8.312795330E0,-1.690397587E2
1.537946250E-1,1.193386330E-1,-1.555926777E-2,-4.929034737E-1,-8.617206405E-1,1.662921305E2,5.873127139E1,-8.306029805E0,-1.689099053E2
1.638156250E-1,1.201559447E-1,-1.504292673E-2,-4.935422935E-1,-8.612504502E-1,1.661977947E2,5.881418952E1,-8.309225955E0,-1.688044465E2
1.738366249E-1,1.208887519E-1,-1.468377236E-2,-4.941858126E-1,-8.607849383E-1,1.661132045E2,5.889749002E1,-8.323506206E0,-1.687163414E2
1.838586250E-1,1.215963554E-1,-1.446890773E-2,-4.948341576E-1,-8.603163075E-1,1.660315165E2,5.898091637E1,-8.350930296E0,-1.686388905E2
1.938796249E-1,1.222948972E-1,-1.445428277E-2,-4.955016372E-1,-8.598333046E-1,1.659508676E2,5.906598917E1,-8.398156067E0,-1.685737495E2
2.039006250E-1,1.227986364E-1,-1.480003444E-2,-4.962401975E-1,-8.593294812E-1,1.658927050E2,5.915975153E1,-8.471153199E0,-1.685492170E2
2.139226249E-1,1.229332534E-1,-1.566543568E-2,-4.970806057E-1,-8.588090519E-1,1.658771612E2,5.926653472E1,-8.576089639E0,-1.685922508E2
2.239436250E-1,1.227038902E-1,-1.712890070E-2,-4.980179095E-1,-8.582707523E-1,1.659036448E2,5.938564370E1,-8.720816061E0,-1.687068290E2
2.339656249E-1,1.220665034E-1,-1.926922304E-2,-4.990238915E-1,-8.577317363E-1,1.659772372E2,5.951386882E1,-8.910060080E0,-1.689017590E2
2.439866250E-1,1.208619887E-1,-2.239432756E-2,-5.000311169E-1,-8.572396718E-1,1.661162940E2,5.964305646E1,-9.164185846E0,-1.692100414E2
2.540076249E-1,1.190149873E-1,-2.678575522E-2,-5.009909060E-1,-8.568115863E-1,1.663294838E2,5.976849157E1,-9.506038048E0,-1.696550605E2
2.640296250E-1,1.166409818E-1,-3.255917804E-2,-5.019017626E-1,-8.564049114E-1,1.666034331E2,5.989279350E1,-9.953699907E0,-1.702322688E2
2.740506249E-1,1.136735486E-1,-3.965352525E-2,-5.028737322E-1,-8.559345104E-1,1.669457534E2,6.003624222E1,-1.049842663E1,-1.709470711E2
2.840716250E-1,1.096516856E-1,-4.816063481E-2,-5.040121396E-1,-8.553530103E-1,1.674095257E2,6.022243097E1,-1.112325589E1,-1.718539684E2
2.940936249E-1,1.042240566E-1,-5.828319093E-2,-5.052398984E-1,-8.546771856E-1,1.680350740E2,6.045290305E1,-1.182615829E1,-1.730012199E2
3.041146250E-1,9.784129571E-2,-6.996914225E-2,-5.065210994E-1,-8.537961057E-1,1.687702476E2,6.073134078E1,-1.262658996E1,-1.743428618E2
3.141356249E-1,9.066166436E-2,-8.363616404E-2,-5.076422266E-1,-8.526927012E-1,1.695966534E2,6.104457344E1,-1.357271769E1,-1.758883081E2
3.241576250E-1,8.252942994E-2,-1.002753394E-1,-5.081186335E-1,-8.514395911E-1,1.705320553E2,6.135905546E1,-1.475144105E1,-1.777103729E2
3.341786249E-1,7.312495075E-2,-1.206059466E-1,-5.077151828E-1,-8.499012312E-1,1.716130120E2,6.169104597E1,-1.621601913E1,-1.798907428E2
3.441996250E-1,6.192316136E-2,-1.448134105E-1,-5.064970967E-1,-8.477353046E-1,1.728995857E2,6.211116712E1,-1.795408109E1,1.774872817E2
3.542216249E-1,4.792071388E-2,-1.730548652E-1,-5.044837523E-1,-8.445424280E-1,1.745065868E2,6.270827983E1,-1.991677274E1,1.742825287E2
3.642426250E-1,3.156293191E-2,-2.042290345E-1,-5.013659813E-1,-8.401943062E-1,1.763825536E2,6.348765367E1,-2.201401042E1,1.705792805E2
3.742636250E-1,1.511390202E-2,-2.359657379E-1,-4.974225536E-1,-8.346631645E-1,1.782680085E2,6.443639365E1,-2.413825274E1,1.667267857E2
3.842856250E-1,1.230182214E-3,2.664228524E-1,4.933323389E-1,8.280341818E-1,1.798590315E2,6.557776059E1,-2.610392452E1,1.628425957E2
3.943066250E-1,1.804753341E-2,2.928290753E-1,4.893802711E-1,8.212382553E-1,1.779317927E2,6.677154971E1,-2.760029928E1,1.590923430E2
4.043276249E-1,3.454933116E-2,3.133200722E-1,4.865773792E-1,8.147878909E-1,1.760401502E2,6.793711252E1,-2.848684387E1,1.557344166E2
4.143496250E-1,4.871214740E-2,3.275110584E-1,4.854256165E-1,8.091511292E-1,1.744157892E2,6.897566015E1,-2.886317696E1,1.530585758E2
4.243706249E-1,5.797901713E-2,3.362583101E-1,4.855933504E-1,8.048403074E-1,1.733523661E2,6.978023793E1,-2.900985392E1,1.513056486E2
4.343916250E-1,6.127414204E-2,3.401205209E-1,4.866347569E-1,8.023404092E-1,1.729740994E2,7.027006668E1,-2.908775440E1,1.505725059E2
4.444136249E-1,5.994950873E-2,3.394197874E-1,4.887543219E-1,8.014483712E-1,1.731261708E2,7.050055197E1,-2.904220243E1,1.506977477E2
4.544346250E-1,5.619721696E-2,3.354122490E-1,4.920902081E-1,8.013661427E-1,1.735568789E2,7.062006303E1,-2.883362327E1,1.513381653E2
4.644556249E-1,5.171279228E-2,3.297222506E-1,4.962885452E-1,8.014404054E-1,1.740715062E2,7.073430709E1,-2.850115889E1,1.521778779E2
4.744776250E-1,4.753283643E-2,3.239459724E-1,5.007106453E-1,8.013042711E-1,1.745510850E2,7.089013136E1,-2.813548952E1,1.529826295E2
4.844986249E-1,4.427067035E-2,3.194796866E-1,5.048320012E-1,8.006981151E-1,1.749252963E2,7.111959291E1,-2.783423225E1,1.535804542E2
4.945196250E-1,4.234367429E-2,3.173069428E-1,5.083853914E-1,7.994169774E-1,1.751463212E2,7.145319565E1,-2.766281349E1,1.538512182E2
5.045416249E-1,4.207047842E-2,3.179312536E-1,5.112903735E-1,7.973279267E-1,1.751776550E2,7.191423099E1,-2.764361317E1,1.537213885E2
5.145626250E-1,4.371420551E-2,3.214713992E-1,5.135227446E-1,7.943800075E-1,1.749891243E2,7.251245585E1,-2.776488564E1,1.531527909E2
5.245836249E-1,4.750194279E-2,3.279338492E-1,5.150845487E-1,7.905003058E-1,1.745546292E2,7.326076379E1,-2.800370017E1,1.521158062E2
5.346056250E-1,5.353488483E-2,3.372800288E-1,5.159273698E-1,7.856176356E-1,1.738624200E2,7.416777055E1,-2.834021288E1,1.505944867E2
5.446266249E-1,6.171794835E-2,3.493638042E-1,5.159401614E-1,7.797061186E-1,1.729231465E2,7.522952921E1,-2.875835794E1,1.486000935E2
5.546476250E-1,7.177081466E-2,3.638759335E-1,5.150146587E-1,7.727892307E-1,1.717685934E2,7.643186433E1,-2.924025001E1,1.461748441E2
5.646696249E-1,8.322894119E-2,3.802576602E-1,5.131287506E-1,7.649678714E-1,1.704516205E2,7.774929324E1,-2.975917072E1,1.434014015E2
5.746906250E-1,9.559166553E-2,3.976850396E-1,5.103800227E-1,7.564529015E-1,1.690292505E2,7.914022738E1,-3.027055524E1,1.403958627E2
5.847116250E-1,1.084090911E-1,4.152525625E-1,5.070384941E-1,7.474789313E-1,1.675527705E2,8.056296855E1,-3.072045899E1,1.372844345E2
5.947336250E-1,1.211642237E-1,4.321101956E-1,5.034113468E-1,7.383610717E-1,1.660814040E2,8.196546613E1,-3.107206609E1,1.342060678E2
6.047546250E-1,1.333421552E-1,4.475873428E-1,4.998023306E-1,7.294403330E-1,1.646744687E2,8.329676139E1,-3.131126385E1,1.312905516E2
6.147756249E-1,1.444461218E-1,4.611609725E-1,4.964735040E-1,7.210963950E-1,1.633895867E2,8.450554332E1,-3.144337724E1,1.286571784E2
