"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.701416681E-3,7.634873199E0,4.871320038E0,-3.833677826E0
8.321583271E-3,6.917564850E0,5.070855103E0,-3.928730164E0
1.834558323E-2,6.332132263E0,5.467230835E0,-3.661386108E0
2.836858330E-2,5.887556763E0,5.724545746E0,-3.484154663E0
3.839158325E-2,5.598956909E0,5.854325867E0,-3.626808014E0
4.841458332E-2,5.700595551E0,5.853577423E0,-3.843407593E0
5.843858328E-2,6.150559845E0,5.821544037E0,-4.342170410E0
6.846158323E-2,6.601122894E0,5.902825012E0,-4.755311279E0
7.848458330E-2,7.037914581E0,5.873635712E0,-4.813540192E0
8.850758325E-2,7.341034241E0,5.649102631E0,-4.637955322E0
9.853058332E-2,7.317832489E0,5.476062469E0,-4.340074768E0
1.085545833E-1,7.135960693E0,5.494773560E0,-4.053869934E0
1.185775832E-1,7.108417969E0,5.427713013E0,-3.910917206E0
1.286005833E-1,7.346572723E0,5.358856201E0,-3.921994171E0
1.386235832E-1,7.640411682E0,5.438041534E0,-3.863166504E0
1.486475833E-1,7.683222656E0,5.548362122E0,-3.824546814E0
1.586705833E-1,7.458240509E0,5.600304108E0,-3.906426544E0
1.686935832E-1,7.264992371E0,5.609884186E0,-4.021836548E0
1.787165833E-1,7.274871826E0,5.538033600E0,-4.061054993E0
1.887405833E-1,7.402705994E0,5.388045502E0,-4.005819855E0
1.987635833E-1,7.367828522E0,5.262007599E0,-3.987857208E0
2.087865833E-1,7.235803070E0,5.238805847E0,-3.992946625E0
2.188095833E-1,7.117249603E0,5.320236511E0,-3.997437286E0
2.288325833E-1,7.130272522E0,5.456004181E0,-4.024381256E0
2.388565833E-1,7.217391357E0,5.584736481E0,-4.065845032E0
2.488795833E-1,7.255861359E0,5.690865784E0,-4.070485382E0
2.589025833E-1,7.192393341E0,5.725892944E0,-4.084855499E0
2.689255833E-1,7.069498901E0,5.699847107E0,-4.085903320E0
2.789495833E-1,6.933581543E0,5.612428894E0,-4.096231842E0
2.889725833E-1,6.778354340E0,5.488336945E0,-4.179458771E0
2.989955833E-1,6.650669861E0,5.442981262E0,-4.252357178E0
3.090185833E-1,6.683152313E0,5.463787994E0,-4.241878967E0
3.190425832E-1,6.858288116E0,5.462590485E0,-4.236639862E0
3.290655833E-1,7.221283264E0,5.417384491E0,-4.295018463E0
3.390885832E-1,7.439978485E0,5.183720398E0,-4.196672974E0
3.491115833E-1,7.694000244E0,4.910239105E0,-3.813170471E0
3.591345833E-1,7.669451294E0,4.666845245E0,-3.499871979E0
3.691585832E-1,7.656128998E0,4.414619751E0,-4.200415192E0
3.791815833E-1,6.030808868E0,5.256020050E0,-4.380790100E0
3.892045832E-1,4.880301361E0,6.359375610E0,-4.519102478E0
3.992275833E-1,5.006488953E0,6.755302277E0,-4.751569061E0
4.092515833E-1,5.396278381E0,6.248156891E0,-4.825515289E0
4.192745832E-1,5.899980927E0,5.475014648E0,-4.798870697E0
4.292975833E-1,6.488856354E0,5.007836151E0,-4.768783264E0
4.393205832E-1,7.033573608E0,4.916526031E0,-4.702171783E0
4.493445833E-1,7.563621368E0,5.097050629E0,-4.593198395E0
4.593675833E-1,7.951913910E0,5.382956085E0,-4.466112671E0
4.693905833E-1,8.108787689E0,5.640420685E0,-4.365821228E0
4.794135833E-1,8.099057922E0,5.804030457E0,-4.307143250E0
4.894375833E-1,8.007149048E0,5.830225983E0,-4.261338501E0
4.994605833E-1,7.848628693E0,5.777236176E0,-4.262685699E0
5.094835833E-1,7.626490631E0,5.666765900E0,-4.312232666E0
5.195065833E-1,7.364385681E0,5.567671967E0,-4.406386871E0
5.295295833E-1,7.089706879E0,5.537434845E0,-4.552782440E0
5.395535833E-1,6.849157104E0,5.563780060E0,-4.696184235E0
5.495765833E-1,6.613846436E0,5.630241852E0,-4.775668945E0
5.595995833E-1,6.431974640E0,5.674100647E0,-4.792883148E0
5.696225833E-1,6.243666229E0,5.701194305E0,-4.823569336E0
5.796465833E-1,6.105802917E0,5.708229675E0,-4.880600739E0
5.896695832E-1,6.044580231E0,5.677693176E0,-4.908442841E0
5.996925833E-1,6.119574280E0,5.601501617E0,-4.897964630E0
6.097155833E-1,6.295009460E0,5.557642822E0,-4.861590271E0
6.197395832E-1,6.484515381E0,5.558690643E0,-4.775070190E0
6.297625833E-1,6.650969238E0,5.571414185E0,-4.701273651E0
6.397855832E-1,6.795418854E0,5.532644806E0,-4.614005127E0
6.498085833E-1,6.905290375E0,5.398823090E0,-4.505929871E0
6.598325833E-1,6.936874695E0,5.210963745E0,-4.406087494E0
6.698555832E-1,6.890022125E0,5.132526855E0,-4.338278503E0
6.798785833E-1,6.894063721E0,5.275928650E0,-4.358037415E0
6.899015832E-1,6.929689636E0,5.500910797E0,-4.508175201E0
6.999255833E-1,6.941365356E0,5.629942474E0,-4.671485596E0
7.099485833E-1,6.857389984E0,5.669759674E0,-4.704267426E0
