"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.959858334E-2,-5.991963476E-1,-1.768303263E-1,1.427890062E-1
2.962158329E-2,-1.085718604E0,9.338588119E-2,4.089849606E-1
3.964458324E-2,-1.402023150E0,2.638725632E-1,3.468480617E-1
4.966758331E-2,-1.423329234E0,3.176593459E-1,2.062318808E-1
5.969158327E-2,-1.007435496E0,2.985699409E-1,-1.934820271E-1
6.971458334E-2,-5.505007356E-1,3.694089586E-1,-6.436790407E-1
7.973758329E-2,-1.053264803E-1,4.171643382E-1,-7.669132036E-1
8.976058324E-2,2.674066204E-1,2.310047793E-1,-6.100084341E-1
9.978358331E-2,3.141831762E-1,1.480105698E-2,-3.283468866E-1
1.098075833E-1,1.475989258E-1,1.614767075E-2,-1.504664004E-2
1.198305833E-1,6.652377248E-2,-1.324452817E-2,1.864326239E-1
1.298535833E-1,2.408327794E-1,-9.940442026E-2,2.081357342E-1
1.398765832E-1,5.648714375E-1,-5.306172788E-2,2.565574041E-1
1.499005833E-1,6.922296417E-1,7.239496171E-2,3.362172389E-1
1.599235833E-1,5.161699784E-1,1.275768900E-1,2.851383018E-1
1.699465833E-1,3.007614774E-1,1.470317459E-1,1.756228763E-1
1.799695833E-1,2.567939240E-1,9.777129292E-2,1.052539748E-1
1.899935832E-1,3.859524858E-1,-3.752626061E-2,1.472460464E-1
2.000165833E-1,4.015850168E-1,-1.739388782E-1,1.974107713E-1
2.100395833E-1,2.847518009E-1,-2.334980321E-1,1.938328600E-1
2.200625833E-1,1.566170865E-1,-1.822313994E-1,1.918994781E-1
2.300855833E-1,1.296830571E-1,-4.667422950E-2,1.834107828E-1
2.401095832E-1,2.189431429E-1,9.853786290E-2,1.417938101E-1
2.501325833E-1,2.686666954E-1,2.090800595E-1,1.289290586E-1
2.601555833E-1,2.162733042E-1,2.684491789E-1,1.172814050E-1
2.701785833E-1,1.078045303E-1,2.676902103E-1,9.783385813E-2
