"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.492039680E-3,5.238160954E1,4.859968230E0,2.474189047E0,NaN,NaN,2.444792266E1,3.000000000E1
4.495894909E-2,5.238160954E1,4.859968230E0,2.472640280E0,NaN,NaN,2.444792266E1,3.000617293E1
5.153410435E-1,5.238160954E1,4.859968230E0,2.465159151E0,NaN,NaN,2.444792266E1,3.000000000E1
6.492305994E0,5.238150661E1,4.859872087E0,2.357011041E0,NaN,NaN,2.429227291E1,3.000000000E1
7.692626953E0,5.238160954E1,4.859968230E0,2.355763635E0,NaN,NaN,2.444792266E1,3.000021276E1
7.702643991E0,5.238160954E1,4.859968230E0,2.355763635E0,NaN,NaN,2.444792266E1,3.000021276E1
1.192738104E1,5.238154872E1,4.859912264E0,2.253139496E0,1.259999990E0,5.625000000E1,1.877127203E1,1.200000000E1
1.292550898E1,5.238154348E1,4.859918436E0,4.262962341E-1,1.259999990E0,5.625000000E1,1.222560426E1,3.000000000E0
1.392965198E1,5.238154257E1,4.859923919E0,5.755882263E-1,1.080000043E0,NaN,1.061430221E1,3.000000000E0
1.492865896E1,5.238151744E1,4.859978057E0,-5.081558228E-2,1.080000043E0,1.448437500E2,1.418091086E1,3.000000000E0
1.592761111E1,5.238151495E1,4.860004313E0,4.120140076E-1,1.889999986E0,3.251953125E2,1.422003055E1,3.000000000E0
1.692847395E1,5.238153275E1,4.859976884E0,3.431663513E-1,1.889999986E0,9.035156250E1,1.430196820E1,3.000000000E0
1.792373610E1,5.238153297E1,4.860005449E0,2.866477966E-1,1.889999986E0,9.035156250E1,1.435630701E1,6.000000000E0
1.951220500E1,5.238153217E1,4.859944800E0,2.320000959E0,1.889999986E0,9.035156250E1,1.274464711E1,3.000005462E1
2.092688990E1,5.238154027E1,4.859919739E0,1.839256287E-1,1.440000057E0,NaN,1.292018448E1,3.000000000E0
2.192609096E1,5.238155039E1,4.859955219E0,3.673973083E-1,1.460000038E0,2.953125000E1,1.501046863E1,3.000000000E0
2.292738795E1,5.238156958E1,4.859977823E0,1.992454529E-1,1.450000048E0,2.355468750E1,1.251596103E1,3.000000000E0
2.392922807E1,5.238157949E1,4.859968774E0,5.621604919E-1,1.450000048E0,2.798437500E2,1.234395606E1,3.000000000E0
2.492991173E1,5.238157979E1,4.859924554E0,5.621607248E-1,1.450000048E0,2.798437334E2,1.120716545E1,3.000000000E0
2.592899835E1,5.238158308E1,4.859912978E0,5.303612668E-1,5.500000119E-1,2.798437437E2,1.012870396E1,3.000000000E0
2.692796290E1,5.238158804E1,4.859901579E0,-5.615576794E-1,5.500000119E-1,2.798437437E2,8.927680110E0,3.718100850E0
2.792921400E1,5.238159328E1,4.859877900E0,-2.894019159E-1,5.500000119E-1,2.798437437E2,9.050878722E0,4.303616292E0
2.892348707E1,5.238159432E1,4.859868668E0,2.313500354E-1,5.199999809E-1,2.798437441E2,9.147431530E0,3.616261786E0
2.992629981E1,5.238159454E1,4.859931444E0,3.335228916E-1,5.799999833E-1,1.054687565E2,9.240863540E0,3.258152733E0
3.097258115E1,5.238158829E1,4.859916311E0,5.450710263E-1,1.899999976E0,3.118359203E2,8.371735223E0,3.000000000E0
3.197424018E1,5.238160024E1,4.859893869E0,4.152492536E-1,2.000000000E0,2.619140394E2,8.531871983E0,3.000000000E0
3.297031093E1,5.238159931E1,4.859863361E0,1.134914365E-1,2.000000000E0,2.594531022E2,8.722854508E0,3.000000000E0
