"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.142858330E-2,7.872226886E0,5.273799094E0,-2.539922014E0
2.145258326E-2,7.873412701E0,5.268141913E0,-2.547975384E0
3.147658333E-2,7.868884617E0,5.267797512E0,-2.562627629E0
4.149958328E-2,7.858633863E0,5.272807991E0,-2.583687838E0
5.152358324E-2,7.841659396E0,5.284491313E0,-2.611249566E0
6.154758332E-2,7.820234029E0,5.300907955E0,-2.642048020E0
7.157158328E-2,7.797061513E0,5.319218511E0,-2.673546679E0
8.159458323E-2,7.774499447E0,5.336785301E0,-2.704065051E0
9.161858330E-2,7.754417769E0,5.351665295E0,-2.732176710E0
1.016425833E-1,7.736980203E0,5.363655596E0,-2.757971410E0
1.116655833E-1,7.722158096E0,5.372497171E0,-2.782200517E0
1.216895833E-1,7.709777201E0,5.378264279E0,-2.805296727E0
1.317135833E-1,7.700156778E0,5.381122398E0,-2.826164562E0
1.417365833E-1,7.691995819E0,5.383164831E0,-2.844439742E0
1.517605833E-1,7.683571150E0,5.386308879E0,-2.861210726E0
1.617845832E-1,7.674436045E0,5.390918239E0,-2.877000840E0
1.718085833E-1,7.665180488E0,5.395872000E0,-2.892344518E0
1.818315833E-1,7.657499000E0,5.398921323E0,-2.906964019E0
1.918555832E-1,7.652394966E0,5.398350635E0,-2.921436463E0
2.018795833E-1,7.648883128E0,5.393895641E0,-2.938807371E0
2.119025833E-1,7.644533969E0,5.385617738E0,-2.965183868E0
2.219265833E-1,7.637345987E0,5.374912655E0,-3.002888469E0
2.319505833E-1,7.626321647E0,5.364082443E0,-3.049906515E0
2.419735832E-1,7.610818924E0,5.355696951E0,-3.102910355E0
2.519975833E-1,7.592017787E0,5.351320310E0,-3.156069439E0
2.620215833E-1,7.572817284E0,5.351868194E0,-3.200949158E0
2.720445832E-1,7.554208521E0,5.357192668E0,-3.235820783E0
2.820685833E-1,7.537832224E0,5.365092257E0,-3.260820846E0
2.920925833E-1,7.525202823E0,5.372196624E0,-3.278248180E0
3.021155833E-1,7.517512565E0,5.374888682E0,-3.291455871E0
3.121395833E-1,7.515208762E0,5.371239434E0,-3.302656505E0
3.221635832E-1,7.517285108E0,5.361332497E0,-3.314010043E0
3.321875833E-1,7.523987771E0,5.346900399E0,-3.322105221E0
3.422105833E-1,7.534203442E0,5.329837055E0,-3.326362871E0
3.522345832E-1,7.548979940E0,5.307887776E0,-3.327957699E0
3.622585833E-1,7.568890879E0,5.280612854E0,-3.326122258E0
3.722815833E-1,7.590866470E0,5.250761064E0,-3.323303315E0
3.823055833E-1,7.607483087E0,5.221291682E0,-3.331732661E0
3.923295833E-1,7.608471267E0,5.192458477E0,-3.374261507E0
4.023525832E-1,7.586750030E0,5.166630156E0,-3.461689076E0
4.123765833E-1,7.542594781E0,5.144606618E0,-3.588645284E0
4.224005833E-1,7.477374938E0,5.126507732E0,-3.747519688E0
4.324235832E-1,7.391133769E0,5.114607478E0,-3.930396328E0
4.424475833E-1,7.290172820E0,5.109065487E0,-4.121517834E0
4.524715833E-1,7.181559620E0,5.108231674E0,-4.308976936E0
4.624955832E-1,7.071791010E0,5.110228499E0,-4.484576131E0
4.725185833E-1,6.967638066E0,5.112797765E0,-4.641922366E0
4.825425833E-1,6.874011864E0,5.115588056E0,-4.776486094E0
4.925665833E-1,6.794579778E0,5.118895242E0,-4.885358326E0
5.025895833E-1,6.731652628E0,5.123520389E0,-4.966937801E0
5.126135832E-1,6.686879328E0,5.130720651E0,-5.019708923E0
5.226375833E-1,6.659831278E0,5.140810021E0,-5.045274119E0
5.326605833E-1,6.647660299E0,5.152271149E0,-5.049639065E0
5.426845832E-1,6.646193233E0,5.162932962E0,-5.040671191E0
5.527085833E-1,6.651116588E0,5.171925979E0,-5.024933994E0
5.627315833E-1,6.659343036E0,5.179453685E0,-5.006245708E0
5.727555833E-1,6.668795060E0,5.186531739E0,-4.986293839E0
5.827795833E-1,6.678642356E0,5.193215691E0,-4.966123284E0
5.928035832E-1,6.687666948E0,5.199489754E0,-4.947371264E0
6.028265833E-1,6.694002991E0,5.205482565E0,-4.932483668E0
6.128505833E-1,6.695890473E0,5.211342060E0,-4.923725123E0
6.228745832E-1,6.692120773E0,5.217188106E0,-4.922660345E0
6.328975833E-1,6.682172905E0,5.223179163E0,-4.929816753E0
6.429215833E-1,6.665903027E0,5.228781381E0,-4.945879054E0
6.529455832E-1,6.643132215E0,5.232883787E0,-4.972101477E0
6.629685833E-1,6.613030749E0,5.234409910E0,-5.010480262E0
6.729925832E-1,6.575754164E0,5.232587333E0,-5.061182638E0
6.830165833E-1,6.533295193E0,5.226807361E0,-5.121779088E0
6.930395833E-1,6.488921258E0,5.217071747E0,-5.187693581E0
7.030635832E-1,6.446324877E0,5.203800321E0,-5.253709815E0
7.130875833E-1,6.406838045E0,5.188868871E0,-5.316407754E0
7.231115833E-1,6.367971602E0,5.175919043E0,-5.375395635E0
7.331345832E-1,6.325022049E0,5.168398939E0,-5.433036903E0
7.431585833E-1,6.274976315E0,5.167213708E0,-5.491876849E0
7.531825833E-1,6.219296204E0,5.171370494E0,-5.550981089E0
7.632055416E-1,6.164306064E0,5.178145663E0,-5.605729739E0
7.732295416E-1,6.117325441E0,5.184553626E0,-5.651089514E0
7.832535416E-1,6.082935627E0,5.188180069E0,-5.684783510E0
7.932765416E-1,6.061058269E0,5.188095869E0,-5.708183482E0
8.033005416E-1,6.047948812E0,5.184420310E0,-5.725402948E0
8.133245417E-1,6.038503219E0,5.179174773E0,-5.740101094E0
8.233475416E-1,6.028028517E0,5.175837182E0,-5.754104590E0
8.333715416E-1,6.013618054E0,5.176973881E0,-5.768140247E0
8.433955417E-1,5.994287744E0,5.184344296E0,-5.781626265E0
8.534195416E-1,5.970938058E0,5.198402172E0,-5.793149958E0
8.634425416E-1,5.944174767E0,5.218197336E0,-5.802867445E0
8.734665416E-1,5.912700959E0,5.241105557E0,-5.814371842E0
8.834905416E-1,5.874221018E0,5.262595244E0,-5.833930779E0
8.935135417E-1,5.827438615E0,5.278327178E0,-5.866544793E0
9.035375416E-1,5.773827834E0,5.288011921E0,-5.910668467E0
9.135615416E-1,5.717769408E0,5.293515905E0,-5.960024815E0
9.235845417E-1,5.664821700E0,5.295864147E0,-6.008307028E0
9.336085416E-1,5.618733947E0,5.295434377E0,-6.051802127E0
9.436325416E-1,5.582148503E0,5.291255956E0,-6.089195071E0
9.536565416E-1,5.556287438E0,5.282936538E0,-6.119999957E0
9.636795416E-1,5.540954284E0,5.271597033E0,-6.143630310E0
9.737035416E-1,5.533626553E0,5.260313076E0,-6.159886154E0
9.837275416E-1,5.529366857E0,5.252120542E0,-6.170694147E0
9.937505416E-1,5.523084024E0,5.246445819E0,-6.181133766E0
1.003774542E0,5.514078142E0,5.239475938E0,-6.195075282E0
1.013798542E0,5.505852864E0,5.227680935E0,-6.212331001E0
1.023821542E0,5.503099995E0,5.209551058E0,-6.229972050E0
1.033845542E0,5.507909914E0,5.184591633E0,-6.246523179E0
