"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.217096329E-3,5.238158383E1,4.859852903E0,2.306902382E0,0.000000000E0,NaN,2.241232818E1,3.000000000E1
4.865410328E-1,5.238160954E1,4.859968230E0,2.335657813E0,NaN,NaN,2.444792266E1,3.000000000E1
5.980376005E0,5.238153142E1,4.859919232E0,2.336237449E0,0.000000000E0,NaN,2.092254659E1,3.000000000E1
1.054312813E1,5.238162068E1,4.859882863E0,1.330776215E0,0.000000000E0,NaN,2.456546192E1,4.000000000E0
1.154314280E1,5.238161527E1,4.859900549E0,1.537014008E0,0.000000000E0,NaN,2.371080640E1,4.000000000E0
1.254316437E1,5.238163744E1,4.859900381E0,9.482688904E-1,0.000000000E0,NaN,2.387614799E1,4.000000000E0
1.354318583E1,5.238163744E1,4.859900381E0,9.482689584E-1,0.000000000E0,NaN,2.387614799E1,4.000000000E0
1.454320002E1,5.238166653E1,4.859860484E0,2.108422006E-1,5.899999738E-1,NaN,2.323279518E1,4.000000000E0
1.554322195E1,5.238166977E1,4.859860535E0,-2.264746670E-1,5.899999738E-1,2.587499933E2,2.343810356E1,4.000000000E0
1.654323208E1,5.238166908E1,4.859885126E0,4.580956185E-1,2.300000042E-1,NaN,2.349418943E1,4.000000000E0
1.754323936E1,5.238167441E1,4.859900046E0,1.067714757E0,4.099999964E-1,NaN,1.424595459E1,9.773846845E0
1.854325175E1,5.238167441E1,4.859912284E0,1.827602454E0,4.499999881E-1,NaN,1.424595459E1,9.757013719E0
1.954326582E1,5.238167118E1,4.859914295E0,2.470119545E0,1.599999964E-1,NaN,5.458527760E0,4.000000000E0
2.054327154E1,5.238165697E1,4.859930892E0,3.234584876E0,2.199999988E-1,NaN,5.348745524E0,4.000000000E0
2.154327607E1,5.238165240E1,4.859908177E0,3.422573159E0,0.000000000E0,NaN,4.912330700E0,4.000000000E0
2.254327846E1,5.238166862E1,4.859903986E0,3.904018470E0,3.700000048E-1,NaN,2.292338051E1,4.000000000E0
2.354328132E1,5.238166657E1,4.859907338E0,4.306545326E0,3.700000048E-1,NaN,2.257575427E1,4.000000000E0
