"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.309816667E-2,6.221063232E-1,-9.566226619E-2,-1.514019549E-2
2.312016662E-2,5.137413374E-1,-1.175971364E-1,-5.968077600E-2
3.314216656E-2,1.848494902E-1,-1.379815169E-1,-3.307185173E-3
4.316416662E-2,-1.308042607E-1,-1.074469730E-1,-2.520033002E-2
5.318516667E-2,-5.902506924E-1,-1.976281232E-2,9.876765847E-2
6.320716662E-2,-8.151097557E-1,7.934233099E-3,2.424840331E-1
7.322916656E-2,-4.262240142E-1,8.962953849E-2,2.798682064E-1
8.325016662E-2,8.297199011E-2,1.950001104E-1,1.428971797E-1
9.327216656E-2,2.943850887E-1,2.588915212E-1,2.801751852E-2
1.032941666E-1,3.875321111E-1,3.366111585E-1,-7.123195052E-2
1.133161666E-1,3.484309030E-1,3.660937700E-1,-1.709497815E-1
1.233371666E-1,1.053057227E-1,2.623078301E-1,-1.637232077E-1
1.333591666E-1,-1.449916524E-1,1.235308908E-1,-1.841779375E-1
1.433811666E-1,-2.488431725E-1,3.869895169E-2,-2.077088875E-1
1.534031666E-1,-2.348531243E-1,5.479443604E-2,-1.076279444E-1
1.634241666E-1,-2.350013512E-1,1.017319319E-1,-7.931572616E-2
1.734461666E-1,-8.902210414E-2,1.648235258E-1,-1.591729045E-1
1.834681666E-1,1.117689425E-1,2.215019393E-1,-2.498421693E-1
1.934891667E-1,2.574204531E-1,2.335695326E-1,-2.277800399E-1
2.035111666E-1,3.219020855E-1,1.318501266E-1,-5.961587191E-2
2.135331666E-1,3.762449384E-1,-7.590705525E-2,2.036661226E-1
2.235551666E-1,3.531613004E-1,-3.710025806E-1,3.908167845E-1
2.335761666E-1,1.470703375E-1,-3.979193608E-1,4.674533165E-1
2.435981666E-1,6.815105259E-2,-1.547248910E-1,4.557623935E-1
2.536201666E-1,1.686401314E-1,1.015204180E-1,3.594154823E-1
2.636411666E-1,3.950115770E-1,3.473437228E-1,2.655641627E-1
2.736631666E-1,5.432449257E-1,4.646843675E-1,2.557817709E-1
