"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.309816667E-2,1.256310310E-1,2.525948297E-1,-3.766246598E-2,9.586419126E-1,1.655656030E2,-5.760083310E-1,-2.958795921E1,1.652198774E2
2.312016662E-2,1.259148479E-1,2.517963787E-1,-3.727859248E-2,9.588297190E-1,1.655328197E2,-5.317134151E-1,-2.948841443E1,1.651772311E2
3.314216656E-2,1.262752877E-1,2.514767265E-1,-3.704150592E-2,9.588754062E-1,1.654911840E2,-4.951740236E-1,-2.944741457E1,1.651257881E2
4.316416662E-2,1.267030361E-1,2.516953843E-1,-3.697194255E-2,9.587641807E-1,1.654417708E2,-4.681680657E-1,-2.947224925E1,1.650668255E2
5.318516667E-2,1.270707252E-1,2.522179209E-1,-3.703977790E-2,9.585756999E-1,1.653992934E2,-4.551697359E-1,-2.953487783E1,1.650175526E2
6.320716662E-2,1.272983182E-1,2.527751444E-1,-3.716503833E-2,9.583937941E-1,1.653729996E2,-4.534938653E-1,-2.960240433E1,1.649878196E2
7.322916656E-2,1.274430926E-1,2.531647920E-1,-3.725807750E-2,9.582680701E-1,1.653562734E2,-4.534735381E-1,-2.964970904E1,1.649690399E2
8.325016662E-2,1.276346922E-1,2.533236857E-1,-3.730016113E-2,9.581989493E-1,1.653341370E2,-4.494676822E-1,-2.966912838E1,1.649444667E2
9.327216656E-2,1.279276128E-1,2.531948006E-1,-3.720779631E-2,9.581975163E-1,1.653002933E2,-4.301060958E-1,-2.965267747E1,1.649048307E2
1.032941666E-1,1.283704076E-1,2.527842060E-1,-3.691879537E-2,9.582578706E-1,1.652491309E2,-3.858496104E-1,-2.960010576E1,1.648418521E2
1.133161666E-1,1.289514019E-1,2.523406315E-1,-3.652432194E-2,9.583118607E-1,1.651819959E2,-3.242864765E-1,-2.954202196E1,1.647580160E2
1.233371666E-1,1.295632898E-1,2.520165012E-1,-3.607286597E-2,9.583317540E-1,1.651112855E2,-2.524770802E-1,-2.949701855E1,1.646674326E2
1.333591666E-1,1.301070685E-1,2.518897550E-1,-3.561754303E-2,9.583084889E-1,1.650484411E2,-1.790088507E-1,-2.947504083E1,1.645838363E2
1.433811666E-1,1.305617487E-1,2.520152789E-1,-3.524185656E-2,9.582274827E-1,1.649958904E2,-1.140210619E-1,-2.948386294E1,1.645120717E2
1.534031666E-1,1.309387944E-1,2.523649186E-1,-3.496791258E-2,9.580940458E-1,1.649523100E2,-6.033792911E-2,-2.952056776E1,1.644515605E2
1.634241666E-1,1.312273317E-1,2.528622409E-1,-3.477210886E-2,9.579305160E-1,1.649189583E2,-1.671065069E-2,-2.957582910E1,1.644035673E2
1.734461666E-1,1.314911288E-1,2.535238937E-1,-3.461731402E-2,9.577250501E-1,1.648884651E2,2.403425560E-2,-2.965103186E1,1.643585084E2
1.834681666E-1,1.318578064E-1,2.543866713E-1,-3.448968283E-2,9.574505055E-1,1.648460779E2,6.872675465E-2,-2.975028102E1,1.642991192E2
1.934891667E-1,1.324236700E-1,2.554344631E-1,-3.442014053E-2,9.570957977E-1,1.647806611E2,1.165815943E-1,-2.987216852E1,1.642140501E2
2.035111666E-1,1.331485115E-1,2.565894974E-1,-3.441002529E-2,9.566866360E-1,1.646968582E2,1.647364506E-1,-3.000759365E1,1.641091651E2
2.135331666E-1,1.339028558E-1,2.575976606E-1,-3.440070030E-2,9.563106862E-1,1.646096357E2,2.113578747E-1,-3.012574936E1,1.640016233E2
2.235551666E-1,1.345229624E-1,2.583431014E-1,-3.438461074E-2,9.560230339E-1,1.645379279E2,2.493764870E-1,-3.021292833E1,1.639135595E2
2.335761666E-1,1.348914101E-1,2.589604895E-1,-3.439708620E-2,9.558036174E-1,1.644953186E2,2.726629711E-1,-3.028559172E1,1.638601455E2
2.435981666E-1,1.349698033E-1,2.594378552E-1,-3.444830516E-2,9.556612454E-1,1.644862525E2,2.782229667E-1,-3.034252975E1,1.638469141E2
2.536201666E-1,1.348053884E-1,2.597801403E-1,-3.456523106E-2,9.555872777E-1,1.645052668E2,2.643023217E-1,-3.038476167E1,1.638686882E2
2.636411666E-1,1.345096440E-1,2.600813217E-1,-3.473034134E-2,9.555410426E-1,1.645394681E2,2.388260204E-1,-3.042299520E1,1.639095300E2
2.736631666E-1,1.341645034E-1,2.603900895E-1,-3.490402850E-2,9.554991064E-1,1.645793801E2,2.106264830E-1,-3.046226334E1,1.639570145E2
2.836851666E-1,1.337972358E-1,2.606408106E-1,-3.510379402E-2,9.554749142E-1,1.646218488E2,1.771694753E-1,-3.049512791E1,1.640088671E2
2.937071666E-1,1.334236461E-1,2.608286907E-1,-3.534579069E-2,9.554669905E-1,1.646650463E2,1.368781343E-1,-3.052127964E1,1.640636330E2
3.037281666E-1,1.329872577E-1,2.611589428E-1,-3.570080413E-2,9.554244222E-1,1.647155024E2,8.269758139E-2,-3.056601442E1,1.641290228E2
3.137501666E-1,1.323836305E-1,2.619890672E-1,-3.631399863E-2,9.552578579E-1,1.647852900E2,-8.218698884E-4,-3.067375428E1,1.642201569E2
3.237721666E-1,1.317105453E-1,2.638842740E-1,-3.731910614E-2,9.547903650E-1,1.648631012E2,-1.169470321E-1,-3.091320279E1,1.643239045E2
3.337931667E-1,1.312454549E-1,2.673618421E-1,-3.880228535E-2,9.538273517E-1,1.649168634E2,-2.577085598E-1,-3.134696438E1,1.644030501E2
3.438151666E-1,1.312749155E-1,2.731083857E-1,-4.094198602E-2,9.521041778E-1,1.649134580E2,-4.230497817E-1,-3.205983330E1,1.644208006E2
3.538371666E-1,1.317718268E-1,2.808746485E-1,-4.359444524E-2,9.496552773E-1,1.648560171E2,-5.997571584E-1,-3.302174051E1,1.643782234E2
3.638591666E-1,1.325410068E-1,2.890792175E-1,-4.621278660E-2,9.469585534E-1,1.647670957E2,-7.532204388E-1,-3.403797474E1,1.642952777E2
3.738801666E-1,1.333517015E-1,2.962653921E-1,-4.831965487E-2,9.445153427E-1,1.646733649E2,-8.569658430E-1,-3.492763844E1,1.641971921E2
3.839021666E-1,1.341567906E-1,3.024918409E-1,-5.002149193E-2,9.423367721E-1,1.645802720E2,-9.250929896E-1,-3.569849045E1,1.640928453E2
