"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.706104169E-2,-1.688862033E-2,-2.847892046E-2,7.231169939E-2
4.708204162E-2,-4.564044531E-3,1.248081103E-1,7.370319963E-2
5.710304168E-2,1.148614101E-4,2.617045939E-1,7.269258797E-2
6.712504162E-2,7.391416468E-3,1.912046075E-1,5.005865172E-2
7.714604167E-2,2.396261692E-2,3.655592352E-2,-1.376862638E-4
8.716704161E-2,5.797944218E-2,-7.769314945E-2,-4.834755883E-2
9.718804166E-2,6.992817670E-2,-1.935681254E-1,-5.720917135E-2
1.072100417E-1,7.859729975E-2,-2.987153232E-1,-3.304791078E-2
1.172310417E-1,6.794998050E-2,-3.666376472E-1,-2.002026141E-2
1.272520417E-1,6.674383581E-2,-3.944900334E-1,-3.587352484E-2
1.372730416E-1,6.400293857E-2,-3.402264118E-1,-4.165457934E-2
1.472950417E-1,5.206904560E-2,-2.069354802E-1,-1.287512761E-2
1.573160416E-1,4.480145127E-2,-6.371696293E-2,4.171133414E-2
1.673370417E-1,4.271806031E-2,4.375516251E-2,7.477953285E-2
1.773580416E-1,4.560822994E-2,1.178487912E-1,6.459536403E-2
1.873800417E-1,5.393513292E-2,1.319472939E-1,2.920408361E-2
1.974010416E-1,5.820177495E-2,9.518336505E-2,8.410720155E-3
2.074220417E-1,6.313261390E-2,1.339316182E-2,1.597649604E-2
2.174430416E-1,7.497885078E-2,-1.008968502E-1,3.454264626E-2
2.274640417E-1,6.668683141E-2,-2.161312848E-1,5.293310434E-2
2.374860416E-1,4.424494505E-2,-3.425982296E-1,5.221039802E-2
2.475070417E-1,5.602383986E-2,-4.821630418E-1,2.364400029E-2
2.575280417E-1,9.891360998E-2,-5.167830586E-1,2.007353306E-2
2.675490417E-1,1.299154758E-1,-3.802255094E-1,5.160136521E-2
2.775710417E-1,1.378044933E-1,-1.648448408E-1,8.763344586E-2
2.875920417E-1,1.267190874E-1,2.800158411E-2,9.886532277E-2
2.976130417E-1,9.658783674E-2,1.683302522E-1,7.342354953E-2
3.076340416E-1,6.659797579E-2,2.435293943E-1,3.022974357E-2
3.176560417E-1,5.074786395E-2,2.417742014E-1,3.503515851E-3
3.276770416E-1,4.921761155E-2,1.651864797E-1,1.071215980E-2
3.376980417E-1,4.591785371E-2,6.543292850E-2,2.188655175E-2
3.477190416E-1,3.237567842E-2,-2.491321415E-2,1.848649420E-2
3.577410417E-1,3.697606176E-2,-8.072169870E-2,2.284882590E-2
3.677620416E-1,6.128139794E-2,-1.101773232E-1,4.551099613E-2
3.777830417E-1,5.984500051E-2,-1.166539714E-1,6.177563220E-2
3.878040416E-1,3.746166080E-2,-1.066641882E-1,5.148650706E-2
3.978260417E-1,8.029470220E-3,-6.590460986E-2,5.434573442E-2
4.078470416E-1,-2.975199744E-2,-2.421602048E-2,7.258731872E-2
4.178680417E-1,-4.019498453E-2,2.434782684E-2,7.409248501E-2
4.278890417E-1,-4.950566217E-2,8.356747776E-2,3.757175803E-2
4.379100417E-1,-8.331634104E-2,1.941827238E-1,1.776283607E-2
4.479320417E-1,-9.977281839E-2,3.116111159E-1,3.993551806E-2
4.579530417E-1,-1.019267216E-1,3.880212605E-1,6.854102015E-2
4.679740417E-1,-1.043065265E-1,4.454765618E-1,6.536360830E-2
4.779950416E-1,-1.112445891E-1,4.577110410E-1,1.779294014E-2
4.880170417E-1,-1.213289201E-1,3.960223496E-1,-4.238943756E-2
4.980380416E-1,-1.631825715E-1,2.988157272E-1,-8.917269856E-2
5.080590417E-1,-2.025355697E-1,2.284728587E-1,-1.328727752E-1
5.180800416E-1,-2.170463800E-1,1.794755012E-1,-1.692550331E-1
5.281020417E-1,-2.123581618E-1,1.906306893E-1,-1.624557227E-1
5.381230416E-1,-2.186393291E-1,2.580800354E-1,-9.857023507E-2
5.481440417E-1,-2.037525177E-1,3.285936117E-1,-1.385481842E-2
5.581650416E-1,-1.710851938E-1,3.493113518E-1,4.260272160E-2
